from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
20-Jan-2019 - 00:00,31.84,2.51,44.31,22.96,9.74,15.8,36.03,375.24,3.89,24.97,11.43,15.77,72.84,0.34,191.45,38.7,755.69,-0.12,21-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Jan-2019 - 00:00,31.28,3.29,38.07,52.57,21.86,34.26,29.14,477.49,5.38,26.9,21.2,16.62,73.1,0.31,179.44,38.75,755.24,-0.13,22-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Jan-2019 - 00:00,31.69,1.78,43.51,47.94,194.85,81.5,32.91,305.62,4.21,24.87,18.36,19.05,65.58,0.57,128.48,39.91,754.99,-0.15,23-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Jan-2019 - 00:00,31.3,0.88,38.61,62.31,127.95,73.07,43.41,164.02,2.92,20.95,11.55,17.56,73.84,0.93,175.35,33.52,755.36,-0.16,24-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Jan-2019 - 00:00,32.07,1.32,22.27,62.84,123.46,70.1,46.73,137.96,2.71,22.97,10.38,16.91,84.82,0.32,190.26,35.93,756.02,-0.11,25-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Jan-2019 - 00:00,31.59,1.58,18.16,49.47,91.83,53.79,45.26,191.12,3.11,22.99,11.55,17.76,85.72,0.39,156.44,31.51,756.34,-0.12,26-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Jan-2019 - 00:00,30.83,1.14,15.73,14.41,33.14,17.32,46.32,174.96,2.6,20.54,8.09,17.03,85.39,0.34,214.48,35.75,756.58,-0.15,27-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Jan-2019 - 00:00,30.69,0.59,31.94,6.94,27.03,11.21,45.76,98.46,1.86,21.42,6.06,16.45,85.42,0.49,230.28,73.84,756.91,-0.12,28-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Jan-2019 - 00:00,30.79,0.83,45.6,8.18,32.85,13.47,43.86,97.96,2.06,21.05,8.41,16.45,70.61,0.6,235.73,80.29,756.84,-0.12,29-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-Jan-2019 - 00:00,30.91,0.66,73.75,5.32,28.01,10.49,42.28,104.57,1.87,17.82,6.85,14.15,64.3,0.85,223.56,87.46,756.57,-0.13,30-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
30-Jan-2019 - 00:00,30.53,1.33,75.6,12.07,27.31,14.4,43.72,143.53,2.19,18.65,7.37,14.75,61.8,0.49,206.61,84.57,756.75,-0.11,31-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
31-Jan-2019 - 00:00,30.78,2.17,43.34,69.69,105.06,68.49,45.82,252.59,3.52,21.27,12.24,16.01,64.44,0.35,159.02,76.77,756.8,-0.12,01-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Feb-2019 - 00:00,30.75,2.88,42.13,82.83,105.67,77.62,42.22,308.83,3.95,23.9,13.04,17.84,67.9,0.33,186.89,70.58,755.74,-0.11,02-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Feb-2019 - 00:00,31.36,2.56,45.66,21.52,39.8,23.36,41.85,221.06,3.37,21.76,11.21,18.22,62.43,0.35,185.75,77.84,755.0,-0.11,03-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Feb-2019 - 00:00,32.86,2.02,66.3,9.06,27.36,12.58,42.0,200.05,2.54,20.54,7.15,18.79,65.47,0.41,202.3,77.36,755.95,-0.12,04-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Feb-2019 - 00:00,32.63,1.87,73.65,10.88,23.54,12.71,45.06,139.25,2.28,18.65,7.92,17.57,62.71,0.54,208.79,87.41,756.78,-0.13,05-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Feb-2019 - 00:00,32.52,1.85,59.78,9.85,22.99,11.93,44.63,152.56,2.49,20.29,8.2,17.23,63.17,0.41,201.35,83.8,755.94,-0.12,06-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Feb-2019 - 00:00,31.73,2.59,71.28,15.1,16.74,13.5,46.13,197.68,2.77,19.88,8.65,18.57,67.22,0.39,203.39,70.66,754.3,-0.11,07-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Feb-2019 - 00:00,31.77,2.32,58.52,14.08,14.0,12.16,45.1,228.61,3.43,22.36,10.11,19.91,70.06,0.68,157.64,65.26,754.41,-0.11,08-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Feb-2019 - 00:00,31.42,1.41,24.9,7.75,9.8,7.24,43.75,111.65,2.14,17.66,7.46,17.44,84.91,0.86,139.78,35.06,754.89,-0.14,09-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Feb-2019 - 00:00,30.64,1.24,38.41,23.05,55.41,34.2,42.12,95.56,1.71,17.28,6.1,17.6,80.54,0.5,198.71,72.51,755.36,-0.12,10-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Feb-2019 - 00:00,30.51,1.25,73.95,20.9,97.42,37.91,42.46,105.08,1.69,19.0,5.55,16.43,65.65,0.47,211.75,109.49,756.83,-0.11,11-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Feb-2019 - 00:00,30.51,1.51,49.89,20.72,95.18,37.22,42.59,117.22,2.18,20.21,7.22,17.84,64.98,0.34,204.89,104.23,757.01,-0.12,12-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Feb-2019 - 00:00,30.52,1.78,50.24,56.37,114.76,63.91,42.58,140.2,2.28,18.65,7.51,18.03,66.76,0.34,192.29,104.44,757.25,-0.11,13-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Feb-2019 - 00:00,30.45,1.58,57.97,24.33,89.78,38.01,44.63,164.19,2.53,19.36,7.28,19.23,68.45,0.35,188.39,98.97,756.83,-0.12,14-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Feb-2019 - 00:00,30.47,1.49,47.25,14.54,33.69,17.55,42.88,170.95,2.45,20.92,7.89,19.38,72.23,0.34,204.17,80.41,755.42,-0.12,15-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Feb-2019 - 00:00,30.52,1.35,22.79,14.83,21.09,14.46,42.18,158.77,2.4,21.14,7.86,18.05,81.96,0.43,188.31,25.39,755.3,-0.13,16-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Feb-2019 - 00:00,30.37,0.71,34.55,8.73,16.94,9.68,44.24,83.4,1.75,20.59,6.16,21.16,73.51,0.46,195.64,104.42,754.49,-0.11,17-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Feb-2019 - 00:00,30.51,0.49,34.28,4.13,14.0,6.13,42.08,92.65,1.43,18.5,4.66,17.97,76.22,0.86,223.35,91.49,753.46,-0.09,18-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Feb-2019 - 00:00,30.55,1.12,65.62,32.75,65.94,36.94,44.18,111.02,1.59,15.4,4.84,18.06,68.43,0.5,193.82,102.96,753.01,-0.09,19-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Feb-2019 - 00:00,30.55,2.38,65.72,42.59,85.22,47.91,48.86,152.98,2.65,20.71,9.09,20.92,61.88,0.38,155.34,101.57,753.94,-0.11,20-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Feb-2019 - 00:00,31.09,1.75,57.34,15.25,38.42,19.21,45.11,149.2,2.31,19.25,7.59,21.95,64.71,0.46,185.73,102.57,755.45,-0.11,21-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Feb-2019 - 00:00,32.26,2.64,53.32,22.31,36.14,22.9,29.78,150.25,2.48,20.6,8.47,23.24,63.11,0.36,185.92,97.28,755.53,-0.12,22-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Feb-2019 - 00:00,32.88,2.13,55.03,15.84,28.61,17.03,29.34,153.97,2.69,21.87,9.34,24.64,65.57,0.36,178.61,87.92,753.74,-0.12,23-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Feb-2019 - 00:00,32.93,0.83,78.56,6.14,17.38,8.22,29.58,80.68,1.64,19.36,5.88,22.68,64.21,1.31,227.86,108.01,753.21,-0.1,24-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Feb-2019 - 00:00,33.05,0.74,116.53,4.73,17.27,7.34,29.96,67.05,1.34,18.0,4.4,19.8,58.89,0.62,229.67,93.1,753.03,-0.11,25-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Feb-2019 - 00:00,32.97,2.08,76.99,16.01,18.03,14.37,29.94,108.32,2.06,19.4,8.67,21.7,61.5,0.46,174.56,103.81,752.76,-0.12,26-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Feb-2019 - 00:00,32.74,1.75,57.45,33.78,13.98,23.91,30.65,172.44,2.89,21.97,13.11,22.76,60.91,0.33,189.39,89.75,752.57,-0.11,27-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Feb-2019 - 00:00,32.3,1.03,71.32,26.5,45.54,27.32,32.17,74.26,2.2,18.6,10.2,20.78,69.2,1.25,143.57,86.11,752.08,-0.14,28-Feb-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Feb-2019 - 00:00,32.31,0.89,66.76,18.69,73.77,30.44,36.46,47.02,1.38,15.45,6.58,18.18,68.8,0.98,235.85,111.33,753.78,-0.12,01-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Mar-2019 - 00:00,31.36,1.21,80.8,24.51,98.43,40.36,37.08,73.45,1.54,17.21,6.39,17.83,55.03,0.64,212.61,129.88,754.82,-0.11,02-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Mar-2019 - 00:00,31.94,1.88,66.65,39.97,113.66,53.69,36.95,127.08,2.12,19.19,7.84,18.66,56.1,0.38,181.48,112.92,754.98,-0.15,03-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Mar-2019 - 00:00,31.82,1.43,61.93,19.14,77.64,31.72,37.09,129.57,1.91,19.42,5.5,17.55,72.84,0.45,186.74,62.44,753.76,-0.1,04-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Mar-2019 - 00:00,31.71,1.3,56.9,9.6,48.78,18.46,38.27,99.49,1.61,19.64,5.53,20.95,74.6,0.34,194.18,106.32,751.86,-0.11,05-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Mar-2019 - 00:00,31.75,1.45,58.09,9.13,24.11,11.78,38.22,98.38,1.82,19.32,6.78,22.25,69.49,0.48,216.97,88.46,751.5,-0.12,06-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Mar-2019 - 00:00,31.49,1.17,68.52,7.1,16.45,8.56,36.87,72.02,1.53,18.62,6.36,21.45,57.18,1.03,224.44,126.0,752.59,-0.1,07-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Mar-2019 - 00:00,31.61,1.06,93.68,5.73,14.51,7.09,37.21,76.14,1.36,17.83,4.66,20.81,52.96,0.62,202.86,126.19,753.33,-0.1,08-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Mar-2019 - 00:00,31.49,1.48,74.15,7.43,13.79,8.07,39.03,89.39,1.58,17.54,5.55,21.28,53.31,0.77,207.66,125.24,753.67,-0.11,09-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Mar-2019 - 00:00,31.4,2.1,85.23,13.54,9.96,10.69,37.38,114.29,1.81,17.98,6.19,23.09,55.15,0.61,195.6,120.74,753.16,-0.11,10-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Mar-2019 - 00:00,31.23,1.81,75.13,12.11,7.03,9.17,36.27,131.06,2.04,18.68,6.61,25.24,53.58,0.46,203.27,118.28,753.45,-0.15,11-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Mar-2019 - 00:00,30.83,1.45,77.4,11.59,31.16,22.02,34.69,97.85,1.66,16.49,5.89,25.63,48.34,0.45,184.72,119.92,754.12,-0.11,12-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Mar-2019 - 00:00,31.14,1.85,62.6,11.85,19.64,12.28,39.64,106.04,2.01,18.24,6.82,26.94,51.0,0.48,209.02,120.8,753.34,-0.13,13-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Mar-2019 - 00:00,32.56,1.4,83.65,6.61,12.54,7.26,39.44,84.61,1.78,18.06,6.35,27.29,45.06,0.62,222.09,119.55,753.85,-0.12,14-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Mar-2019 - 00:00,32.84,1.18,93.56,5.51,8.49,5.54,39.42,78.42,1.59,18.53,5.25,26.76,51.05,0.55,207.15,86.98,754.18,-0.15,15-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Mar-2019 - 00:00,32.69,1.26,61.99,14.59,62.35,25.01,39.59,73.51,1.6,19.47,5.38,27.5,55.18,0.49,209.69,100.28,754.2,-0.13,16-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Mar-2019 - 00:00,32.73,1.13,93.36,20.04,119.36,42.94,39.35,84.07,1.54,16.69,5.31,26.53,53.21,0.72,232.86,123.07,754.14,-0.12,17-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Mar-2019 - 00:00,32.94,0.92,106.98,13.68,108.47,36.39,39.65,70.57,1.34,17.2,3.81,24.2,43.85,0.61,208.1,101.16,754.29,-0.12,18-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Mar-2019 - 00:00,32.69,1.14,93.4,18.58,113.14,40.56,39.66,78.67,1.38,16.18,4.37,24.81,56.96,0.58,188.67,109.62,753.77,-0.11,19-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Mar-2019 - 00:00,33.78,1.48,91.26,17.35,121.53,42.0,39.91,86.69,1.55,16.09,4.98,25.2,52.81,0.64,203.01,125.27,752.54,-0.1,20-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Mar-2019 - 00:00,41.63,1.67,50.15,33.52,118.51,58.24,48.12,87.99,2.32,22.75,6.93,26.19,48.76,0.49,179.91,127.47,752.58,-0.12,21-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Mar-2019 - 00:00,29.78,3.8,46.63,61.75,109.16,61.61,39.12,169.9,2.35,17.58,5.45,28.4,44.9,0.36,190.47,120.79,752.67,-0.12,22-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Mar-2019 - 00:00,30.88,1.28,115.51,3.5,54.38,16.01,43.73,56.73,1.29,15.25,3.99,29.32,46.17,0.76,212.14,119.93,752.44,-0.12,23-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Mar-2019 - 00:00,32.64,1.11,141.92,4.9,48.82,15.11,43.69,38.49,1.07,15.72,2.96,26.5,40.85,1.25,227.35,135.94,752.72,-0.11,24-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Mar-2019 - 00:00,32.45,1.28,108.43,4.41,55.96,16.6,41.4,47.17,1.21,17.63,3.21,26.89,44.11,0.55,202.51,131.24,752.67,-0.1,25-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Mar-2019 - 00:00,32.48,2.04,79.36,19.13,70.95,29.19,44.39,58.74,1.64,18.57,5.39,29.03,45.86,0.46,204.04,117.49,752.7,-0.12,26-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Mar-2019 - 00:00,32.75,1.98,49.37,21.21,41.54,23.3,41.57,60.39,1.82,18.1,6.6,23.44,66.8,0.99,178.4,61.42,753.7,-0.12,27-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Mar-2019 - 00:00,31.55,1.99,72.4,8.04,13.36,8.35,43.23,61.49,1.68,15.65,6.5,26.73,58.81,0.49,183.98,130.45,753.99,-0.12,28-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Mar-2019 - 00:00,31.2,2.5,69.98,13.49,10.22,10.81,45.56,82.48,1.93,17.04,7.66,27.85,53.91,0.43,159.08,120.69,753.44,-0.12,29-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-Mar-2019 - 00:00,31.01,2.89,59.4,37.86,40.89,39.43,44.22,82.45,2.32,17.96,9.5,29.49,48.5,0.38,169.52,119.28,752.0,-0.13,30-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
30-Mar-2019 - 00:00,31.13,1.87,96.21,12.28,30.29,15.26,46.13,90.38,2.38,18.69,9.29,31.16,50.82,0.46,140.39,106.9,751.34,-0.14,31-Mar-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
31-Mar-2019 - 00:00,31.26,1.3,71.72,5.76,3.07,3.0,47.55,79.12,1.74,16.97,5.59,31.5,59.12,0.76,164.1,115.19,750.38,-0.13,01-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Apr-2019 - 00:00,31.46,1.01,73.11,16.68,94.39,23.16,49.89,44.62,1.47,14.91,5.51,26.85,69.31,1.57,103.86,121.56,751.86,-0.17,02-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Apr-2019 - 00:00,31.39,1.78,66.23,33.08,79.63,40.69,49.69,64.67,1.67,16.49,6.75,28.09,61.52,0.53,168.96,126.29,751.79,-0.14,03-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Apr-2019 - 00:00,31.84,1.53,78.16,14.41,63.74,25.24,50.2,81.84,2.25,17.4,7.54,29.95,50.2,0.81,132.44,119.91,752.05,-0.15,04-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Apr-2019 - 00:00,32.35,1.17,93.87,10.11,43.27,17.34,49.97,53.41,1.53,16.33,5.43,29.01,63.96,1.54,102.43,123.33,752.26,-0.16,05-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Apr-2019 - 00:00,31.65,1.11,64.46,8.82,18.88,10.24,49.81,51.58,1.56,17.21,5.65,28.27,70.6,1.78,96.65,109.12,752.17,-0.16,06-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Apr-2019 - 00:00,31.68,0.91,50.15,20.85,28.78,22.4,48.1,48.97,1.42,16.39,5.48,26.78,72.38,2.27,104.1,91.75,752.01,-0.16,07-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Apr-2019 - 00:00,31.72,0.78,94.58,11.99,61.03,23.08,43.45,30.38,1.12,16.31,4.37,25.91,66.57,1.02,120.11,121.0,752.15,-0.17,08-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Apr-2019 - 00:00,31.74,1.22,73.89,11.71,41.36,17.82,43.86,47.5,1.51,15.18,6.01,27.76,70.61,1.25,119.48,121.09,751.06,-0.17,09-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Apr-2019 - 00:00,31.45,1.06,63.24,8.97,15.99,9.59,40.6,52.67,1.52,15.42,5.88,26.42,70.42,1.57,111.08,89.88,751.15,-0.18,10-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Apr-2019 - 00:00,31.23,1.03,88.46,19.26,62.32,31.84,42.89,33.39,1.44,14.7,5.5,27.3,62.02,1.77,98.52,141.6,752.14,-0.17,11-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Apr-2019 - 00:00,31.15,1.24,84.5,12.64,60.82,23.42,40.97,62.84,1.56,17.52,5.48,30.11,62.99,0.78,118.38,132.89,751.56,-0.16,12-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Apr-2019 - 00:00,31.32,1.34,72.51,9.55,28.37,13.14,42.46,60.58,1.63,16.82,5.9,32.62,61.62,0.6,117.1,129.12,751.1,-0.18,13-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Apr-2019 - 00:00,31.07,1.18,65.01,7.16,13.52,7.85,37.79,66.79,1.56,17.26,5.04,34.47,58.91,0.56,148.76,127.49,750.88,-0.17,14-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Apr-2019 - 00:00,31.15,0.94,97.43,6.84,12.32,7.33,40.57,44.42,1.31,16.59,4.26,33.24,55.62,1.14,139.65,138.84,750.91,-0.17,15-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Apr-2019 - 00:00,33.29,1.25,79.97,8.17,9.53,7.42,41.46,53.58,1.46,16.58,5.51,33.42,61.7,1.07,136.68,140.42,750.56,-0.19,16-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Apr-2019 - 00:00,31.36,1.11,57.8,9.15,27.82,12.76,43.81,55.42,1.35,14.18,4.69,31.71,64.76,0.87,175.86,107.27,751.4,-0.18,17-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Apr-2019 - 00:00,30.39,1.03,74.01,6.06,19.12,8.63,46.46,36.29,1.07,13.36,4.08,26.39,61.22,1.12,221.84,54.9,753.38,-0.13,18-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Apr-2019 - 00:00,30.31,1.38,86.88,7.78,17.26,9.18,44.03,40.38,1.15,14.88,4.66,30.12,52.54,0.64,241.38,146.51,752.42,-0.25,19-Apr-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
