from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
19-Aug-2019 - 00:00,1.05,4.15,718.65,32.53,64.37,0.05,79.37,28.0,254.78,3.21,1.16,20.39,4.62,17.15,21.77,22.53,4.42,20-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Aug-2019 - 00:00,0.86,3.33,717.24,26.34,54.14,0.0,76.16,28.64,256.3,3.8,0.79,24.78,3.96,14.48,18.36,23.01,3.56,21-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Aug-2019 - 00:00,0.55,2.06,713.79,30.23,54.85,0.0,72.67,28.96,247.46,3.64,0.69,20.96,3.64,16.04,19.68,12.94,3.57,22-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Aug-2019 - 00:00,0.54,2.07,713.5,26.66,61.99,0.0,69.24,28.93,242.58,3.85,0.72,21.46,3.85,18.83,22.68,20.67,3.31,23-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Aug-2019 - 00:00,0.55,2.07,713.41,26.11,67.05,0.0,65.87,29.25,243.88,3.56,0.76,20.94,3.47,15.69,19.16,27.14,3.19,24-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Aug-2019 - 00:00,0.54,2.07,713.22,33.75,67.86,0.0,64.11,29.53,249.5,3.25,0.78,20.91,3.69,17.73,21.42,25.54,2.74,25-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Aug-2019 - 00:00,0.54,2.05,712.82,30.47,66.82,0.27,69.41,28.76,227.81,3.01,0.96,20.91,3.39,17.06,20.44,29.0,4.6,26-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Aug-2019 - 00:00,0.54,2.05,712.44,17.65,39.93,0.0,85.94,27.29,170.33,1.99,0.91,32.88,4.86,22.99,27.85,13.81,4.62,27-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Aug-2019 - 00:00,0.51,2.53,711.9,26.9,45.77,0.37,90.29,26.72,132.14,1.84,1.01,30.12,3.87,22.53,26.4,14.17,5.06,28-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Aug-2019 - 00:00,0.45,3.13,712.19,23.62,77.3,0.0,80.6,28.56,85.98,2.53,0.94,28.38,3.64,16.56,20.19,21.49,5.31,29-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Aug-2019 - 00:00,0.46,3.14,713.09,29.9,65.71,0.0,80.76,29.05,147.4,2.98,1.4,22.0,5.62,19.45,25.07,16.19,5.55,30-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Aug-2019 - 00:00,0.46,3.13,712.03,25.53,58.41,0.48,87.34,27.33,235.21,2.64,1.35,24.02,5.38,22.6,27.98,17.51,5.54,31-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Aug-2019 - 00:00,0.46,3.1,710.6,28.28,56.54,0.0,85.85,28.12,179.62,3.04,1.31,26.31,5.83,21.91,27.74,20.79,5.21,01-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Sep-2019 - 00:00,0.46,3.12,711.23,21.64,52.85,0.01,87.66,27.72,162.16,3.22,1.29,25.77,4.42,14.6,19.02,20.9,5.41,02-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Sep-2019 - 00:00,0.45,3.14,711.88,30.99,61.7,0.06,88.39,27.44,148.5,2.52,0.79,25.5,5.52,18.39,23.91,18.74,5.55,03-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Sep-2019 - 00:00,0.45,3.11,711.45,36.59,79.87,0.0,82.11,29.19,208.87,2.42,0.73,28.83,10.93,20.71,31.64,16.99,4.89,04-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Sep-2019 - 00:00,0.45,3.14,711.08,30.78,66.67,0.27,81.38,28.86,238.44,3.28,0.89,26.26,4.52,20.28,24.77,22.97,5.78,05-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Sep-2019 - 00:00,0.45,3.13,711.57,31.37,63.22,0.0,83.86,29.1,117.44,3.1,1.01,26.85,5.91,21.82,27.73,20.37,5.31,06-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Sep-2019 - 00:00,0.46,3.13,710.71,30.54,71.31,0.0,85.13,28.86,136.46,2.64,0.87,27.75,5.68,24.31,30.01,15.62,5.41,07-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Sep-2019 - 00:00,0.49,2.2,711.8,27.59,56.51,0.36,90.04,27.45,183.55,1.98,1.07,29.8,4.67,23.47,28.14,16.7,5.08,08-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Sep-2019 - 00:00,0.53,1.09,712.22,26.51,50.23,0.0,83.0,28.75,130.14,2.33,0.97,25.36,5.81,18.06,24.1,14.21,5.48,09-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Sep-2019 - 00:00,0.52,1.06,711.69,34.68,69.28,0.0,75.52,30.46,174.12,2.45,1.23,25.77,5.72,18.9,24.31,19.33,5.31,10-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Sep-2019 - 00:00,0.53,1.08,711.37,27.61,74.06,0.0,71.77,31.55,255.71,2.79,1.01,22.21,3.1,12.7,15.8,36.25,5.25,11-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Sep-2019 - 00:00,0.53,1.08,712.64,22.34,62.83,0.0,73.44,30.84,237.0,3.1,1.03,23.5,3.28,13.93,17.2,31.16,5.43,12-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Sep-2019 - 00:00,0.53,1.09,713.45,31.71,66.7,0.0,76.21,30.19,251.88,3.24,1.44,19.95,3.22,10.74,13.96,30.51,5.18,13-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Sep-2019 - 00:00,0.53,1.06,713.71,23.24,53.5,0.0,78.39,28.84,250.25,3.5,1.25,16.09,3.06,11.49,14.43,23.75,5.2,14-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Sep-2019 - 00:00,0.54,1.09,713.97,25.6,54.01,0.0,76.69,29.25,263.04,3.21,1.08,16.32,3.01,11.14,14.15,15.92,5.27,15-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Sep-2019 - 00:00,0.53,1.09,714.27,22.6,57.34,0.0,79.46,28.32,255.35,3.44,0.72,15.6,2.97,14.7,17.67,13.98,4.87,16-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Sep-2019 - 00:00,0.53,1.1,713.66,23.19,67.6,0.0,73.54,29.38,255.24,3.7,0.92,16.51,3.25,15.33,18.58,16.41,4.97,17-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Sep-2019 - 00:00,0.54,1.08,714.19,27.82,68.62,0.0,71.82,29.55,249.03,3.1,0.81,18.27,2.81,16.05,18.85,19.28,5.92,18-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Sep-2019 - 00:00,0.62,1.48,715.92,34.88,64.34,0.0,63.41,29.81,210.88,2.35,0.66,15.1,2.98,14.29,17.27,30.76,8.38,19-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Sep-2019 - 00:00,0.75,2.07,716.87,35.06,56.61,0.0,66.01,28.77,146.84,1.35,0.93,14.36,2.99,16.92,19.91,41.26,7.42,20-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Sep-2019 - 00:00,0.75,2.04,716.13,27.97,45.96,0.0,73.09,27.99,119.67,1.66,0.79,13.57,2.92,13.26,16.18,27.29,7.18,21-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Sep-2019 - 00:00,0.75,2.05,715.43,24.25,52.62,0.0,76.65,27.3,141.36,1.71,0.73,12.49,2.98,14.97,17.95,18.0,7.15,22-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Sep-2019 - 00:00,0.75,2.05,716.16,24.86,48.34,0.0,71.69,27.45,128.55,1.8,1.06,13.85,3.2,12.25,15.45,24.48,7.22,23-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Sep-2019 - 00:00,0.75,2.06,717.3,23.84,52.75,0.0,72.22,27.42,91.61,1.89,1.28,13.74,2.89,12.84,15.73,27.44,7.22,24-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Sep-2019 - 00:00,0.76,2.05,717.33,22.78,40.3,0.0,73.8,27.2,86.76,1.95,0.48,14.85,2.79,11.27,14.06,29.16,6.96,25-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Sep-2019 - 00:00,0.75,2.06,717.83,29.42,51.36,0.0,77.13,27.02,82.39,2.27,0.6,17.5,2.51,11.84,14.22,33.32,6.27,26-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Sep-2019 - 00:00,0.85,2.05,718.35,24.59,45.53,0.0,73.99,27.63,92.8,1.95,0.69,14.83,3.18,12.31,15.49,23.99,7.61,27-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Sep-2019 - 00:00,0.96,2.06,717.67,23.97,43.23,0.0,77.4,27.25,134.14,1.84,1.06,20.7,2.74,17.28,20.02,21.71,13.34,28-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Sep-2019 - 00:00,0.96,2.07,716.4,20.64,49.38,0.0,78.75,27.11,208.13,1.36,0.76,18.88,2.87,18.06,20.92,18.44,4.75,29-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Sep-2019 - 00:00,0.95,2.07,717.16,22.13,53.37,0.0,74.86,26.58,215.53,1.9,0.81,16.85,2.43,18.99,21.41,27.45,5.4,30-Sep-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Sep-2019 - 00:00,0.95,2.05,716.48,22.37,47.5,0.0,72.47,27.14,203.58,2.13,1.06,20.2,3.92,21.73,25.65,23.9,4.27,01-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Oct-2019 - 00:00,0.95,2.06,715.72,27.86,53.84,0.0,68.22,27.79,180.09,1.69,0.66,18.95,4.4,22.7,27.1,21.97,4.17,02-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Oct-2019 - 00:00,0.95,2.06,717.21,31.26,72.07,0.0,61.17,27.68,248.55,1.82,0.44,19.77,4.87,23.38,28.25,36.52,6.47,03-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Oct-2019 - 00:00,0.95,2.07,717.42,24.9,56.5,0.0,65.61,27.58,223.81,2.1,0.78,20.11,4.65,19.82,24.47,30.09,7.1,04-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Oct-2019 - 00:00,0.99,2.11,718.06,29.38,57.59,0.0,73.72,25.15,198.66,1.52,1.1,25.34,7.26,21.72,28.83,27.36,8.4,05-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Oct-2019 - 00:00,1.07,2.13,717.95,39.25,76.99,0.0,68.1,25.97,153.33,1.09,1.01,21.11,11.44,24.57,36.01,23.81,8.88,06-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Oct-2019 - 00:00,1.05,2.1,718.17,50.48,92.66,0.0,66.36,26.55,140.39,0.79,1.08,24.37,9.87,26.86,36.6,31.11,7.54,07-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Oct-2019 - 00:00,1.03,2.1,719.54,26.85,55.45,0.0,72.46,24.59,201.02,1.0,0.94,19.6,3.34,17.85,20.98,42.6,8.64,08-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Oct-2019 - 00:00,1.07,2.11,719.07,35.04,80.07,0.0,66.41,25.16,185.94,0.89,0.71,20.67,8.54,23.43,31.97,28.4,8.61,09-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Oct-2019 - 00:00,1.06,2.14,718.68,30.94,77.44,0.0,59.75,25.03,183.08,1.2,1.29,22.76,9.74,27.6,37.34,31.44,6.81,10-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Oct-2019 - 00:00,1.06,2.12,718.48,26.88,69.22,0.0,50.54,26.19,225.19,0.86,1.04,22.03,9.65,25.34,35.0,32.72,8.64,11-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Oct-2019 - 00:00,1.06,2.1,718.19,40.36,86.98,0.0,52.89,25.64,227.28,1.42,0.82,22.57,10.17,29.42,39.59,37.51,8.01,12-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Oct-2019 - 00:00,1.06,2.16,718.76,45.32,103.14,0.0,54.55,26.17,208.85,1.43,1.07,25.94,10.62,32.56,43.19,34.64,8.15,13-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Oct-2019 - 00:00,1.06,2.13,719.26,44.6,95.75,0.0,50.67,27.12,207.83,1.59,1.11,26.35,13.55,33.82,47.36,33.1,5.97,14-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Oct-2019 - 00:00,1.07,2.12,719.86,44.86,85.2,0.0,49.33,26.68,216.21,2.0,0.88,34.14,13.58,38.83,52.41,27.74,7.58,15-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Oct-2019 - 00:00,1.06,2.12,719.97,46.73,85.44,0.0,48.21,26.74,246.93,2.29,0.98,29.9,11.4,32.97,44.26,29.87,5.48,16-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Oct-2019 - 00:00,0.93,1.6,720.28,41.13,95.5,0.0,46.49,26.85,171.54,1.99,0.82,29.0,18.12,32.41,50.53,25.58,5.66,17-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Oct-2019 - 00:00,0.81,1.12,720.09,54.86,101.14,0.0,47.59,26.7,202.29,1.64,1.09,30.32,18.01,37.24,55.24,24.14,5.52,18-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Oct-2019 - 00:00,0.71,1.59,720.01,70.41,117.61,0.0,49.08,27.39,215.23,2.14,0.84,32.35,15.7,44.24,59.78,34.46,5.73,19-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Oct-2019 - 00:00,0.58,2.11,721.36,57.11,98.91,0.0,50.75,26.83,158.39,1.91,0.67,27.21,8.38,31.35,39.72,44.51,5.37,20-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Oct-2019 - 00:00,0.58,2.13,721.49,58.25,123.46,0.0,50.8,25.57,171.75,1.74,0.87,26.2,16.06,35.74,51.8,38.08,4.26,21-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Oct-2019 - 00:00,0.58,2.14,720.61,63.36,121.62,0.0,44.57,25.15,212.91,1.54,0.74,25.9,20.8,38.37,59.16,36.0,5.63,22-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Oct-2019 - 00:00,0.58,2.11,719.15,60.96,102.25,0.0,46.74,24.22,167.51,1.44,0.76,27.88,17.46,41.89,59.35,30.16,4.22,23-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Oct-2019 - 00:00,0.58,2.1,718.24,60.77,113.28,0.0,42.42,24.4,180.2,1.43,1.06,27.79,19.79,38.96,58.27,29.73,5.85,24-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Oct-2019 - 00:00,0.55,2.05,718.58,65.44,111.32,0.0,42.45,24.41,199.71,1.61,0.99,35.86,20.12,43.95,63.42,36.62,6.34,25-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Oct-2019 - 00:00,3.54,2.77,719.01,85.34,125.09,0.0,41.78,24.87,219.99,1.75,0.88,29.41,11.52,43.67,55.19,43.11,6.85,26-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Oct-2019 - 00:00,3.83,2.35,720.33,84.08,136.27,0.0,46.25,24.26,175.84,1.57,0.91,27.52,7.5,35.28,42.78,44.49,5.98,27-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Oct-2019 - 00:00,4.04,2.3,720.65,76.74,121.93,0.0,51.44,23.54,162.98,1.52,1.27,27.37,14.55,33.4,47.94,37.14,5.54,28-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Oct-2019 - 00:00,3.79,2.35,721.05,185.64,241.38,0.0,55.79,23.02,194.11,1.64,1.2,29.76,11.06,36.4,47.46,30.56,8.42,29-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Oct-2019 - 00:00,4.34,2.59,721.36,96.98,124.84,0.0,50.73,24.69,195.35,1.71,0.95,29.38,4.27,38.99,43.26,34.54,7.89,30-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Oct-2019 - 00:00,4.2,2.46,720.61,65.32,102.79,0.0,52.52,26.18,202.97,1.78,1.02,31.92,7.8,40.2,47.99,34.46,9.05,31-Oct-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Oct-2019 - 00:00,4.68,2.57,719.96,53.12,103.47,0.0,56.27,26.98,232.59,1.9,1.11,33.94,18.36,40.57,58.92,31.35,8.24,01-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Nov-2019 - 00:00,3.51,1.92,719.94,49.13,106.99,0.0,57.45,26.16,167.2,1.68,1.16,30.35,6.2,30.18,36.38,45.34,7.86,02-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Nov-2019 - 00:00,2.28,1.57,720.98,106.45,171.26,0.0,55.71,24.55,162.56,2.06,1.21,23.95,1.2,18.79,19.98,54.43,7.98,03-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Nov-2019 - 00:00,2.6,1.68,721.87,70.96,132.37,0.0,62.66,24.63,173.18,1.77,1.5,27.94,2.31,23.49,25.56,36.05,8.09,04-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Nov-2019 - 00:00,3.64,2.25,722.07,79.12,158.97,0.0,67.28,23.35,220.24,2.02,1.28,38.6,25.6,30.94,53.65,26.41,9.81,05-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Nov-2019 - 00:00,4.22,2.29,720.4,57.66,122.35,0.0,54.4,23.16,233.12,1.72,0.94,45.33,31.32,29.85,60.18,29.35,7.67,06-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Nov-2019 - 00:00,11.11,2.8,717.93,61.36,120.23,0.0,53.95,23.48,194.1,1.51,0.84,56.79,24.42,23.89,48.31,18.5,6.86,07-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Nov-2019 - 00:00,11.23,1.41,717.85,39.83,66.18,0.03,78.65,21.8,153.93,1.53,0.67,70.64,6.23,12.06,18.29,26.14,5.77,08-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Nov-2019 - 00:00,1.29,1.23,720.3,60.88,100.36,0.0,72.91,22.51,157.09,2.12,0.78,46.96,6.07,14.72,20.79,49.17,6.27,09-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Nov-2019 - 00:00,1.14,1.0,721.41,60.7,114.88,0.0,65.8,22.08,149.49,0.92,0.87,36.77,3.08,11.39,14.47,64.86,5.49,10-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Nov-2019 - 00:00,1.15,1.31,721.23,47.13,123.44,0.0,60.34,22.63,201.13,0.5,0.57,40.03,6.63,18.75,25.25,57.04,5.25,11-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Nov-2019 - 00:00,1.13,1.34,720.23,66.53,112.67,0.0,62.36,23.18,218.12,0.39,0.86,49.24,7.36,18.83,26.19,39.99,5.73,12-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Nov-2019 - 00:00,1.21,1.56,720.66,48.33,103.14,0.0,55.94,24.27,205.97,0.7,0.9,46.73,16.08,20.18,36.25,36.1,5.49,13-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Nov-2019 - 00:00,1.66,1.56,722.18,64.0,125.47,0.0,59.83,24.25,148.94,0.62,0.83,46.98,11.43,19.86,31.29,41.84,5.6,14-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Nov-2019 - 00:00,1.52,0.85,723.18,49.98,96.77,0.0,61.78,22.9,249.47,0.92,0.77,39.67,4.55,16.38,20.93,51.41,5.1,15-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Nov-2019 - 00:00,10.92,3.74,722.65,87.97,136.98,0.0,60.05,21.6,120.12,1.46,1.06,25.56,7.97,34.0,41.98,43.74,4.55,16-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Nov-2019 - 00:00,2.39,2.83,722.62,70.27,126.23,0.0,56.04,22.39,119.8,2.01,0.77,23.19,6.4,27.26,33.65,47.61,4.21,17-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Nov-2019 - 00:00,1.79,3.58,723.44,34.32,74.4,0.0,60.1,21.76,242.99,1.97,0.86,24.81,7.12,26.82,33.94,46.2,4.21,18-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Nov-2019 - 00:00,1.65,5.3,722.63,46.04,99.04,0.0,63.09,20.71,183.88,1.63,0.82,29.68,13.83,34.57,48.4,32.53,4.53,19-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Nov-2019 - 00:00,1.55,5.5,721.61,35.78,78.99,0.0,60.43,20.47,201.36,1.82,0.6,29.0,20.02,35.05,55.0,31.27,4.86,20-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Nov-2019 - 00:00,1.42,5.86,721.34,45.09,87.39,0.0,62.1,20.45,213.47,1.76,1.24,31.42,15.81,39.51,55.32,31.92,4.44,21-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Nov-2019 - 00:00,1.19,4.98,722.45,46.25,96.23,0.0,59.39,21.68,154.39,2.0,1.09,32.09,10.29,40.96,51.25,43.54,4.33,22-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Nov-2019 - 00:00,1.23,6.69,722.96,66.86,128.93,0.0,60.34,21.8,187.81,2.07,1.32,32.73,17.42,45.4,62.82,42.12,4.76,23-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Nov-2019 - 00:00,1.16,7.78,722.92,64.27,162.14,0.0,67.5,21.81,208.36,1.7,1.11,40.1,14.58,48.39,62.71,33.87,4.52,24-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Nov-2019 - 00:00,0.68,4.59,722.41,55.46,115.74,0.0,61.12,21.83,114.2,2.32,0.44,32.2,4.07,25.33,29.4,51.46,4.53,25-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Nov-2019 - 00:00,0.74,5.01,722.15,60.63,125.22,0.0,61.77,21.91,173.83,1.97,0.89,29.86,5.3,34.54,39.84,51.48,4.17,26-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Nov-2019 - 00:00,0.73,4.69,721.62,56.56,109.76,0.0,62.13,21.6,197.01,1.66,0.7,29.95,7.43,36.3,43.73,38.33,4.56,27-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Nov-2019 - 00:00,4.83,6.31,721.18,59.95,111.53,0.0,64.34,21.53,171.23,1.91,0.62,34.41,7.98,36.86,44.85,40.58,5.32,28-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Nov-2019 - 00:00,1.49,2.09,721.78,46.19,94.87,0.0,72.04,20.91,173.71,2.64,0.51,30.19,3.25,15.81,19.06,52.84,5.08,29-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Nov-2019 - 00:00,1.64,3.98,722.03,59.04,124.06,0.0,81.96,18.7,131.22,2.65,0.82,30.63,3.46,19.04,22.5,40.25,5.73,30-Nov-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Nov-2019 - 00:00,1.41,3.22,722.26,46.74,99.85,0.0,77.34,18.3,50.65,2.15,0.69,26.34,4.03,18.84,22.87,46.2,5.12,01-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Dec-2019 - 00:00,1.92,4.17,722.11,52.08,116.66,0.0,72.65,18.27,84.42,2.24,0.74,25.59,6.25,27.0,33.25,39.16,5.31,02-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Dec-2019 - 00:00,2.22,3.74,723.0,51.4,95.72,0.0,53.17,17.6,185.36,2.03,0.9,28.55,13.2,37.2,50.41,33.21,5.49,03-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Dec-2019 - 00:00,3.75,2.28,722.07,48.69,89.2,0.0,44.06,17.12,196.74,2.14,0.54,28.01,22.69,34.32,57.01,33.49,5.84,04-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Dec-2019 - 00:00,3.6,1.97,722.15,51.65,114.51,0.0,48.61,16.32,144.06,1.42,0.9,31.1,24.18,41.78,65.96,30.94,6.23,05-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Dec-2019 - 00:00,3.07,1.59,723.29,48.53,100.53,0.0,49.22,17.23,158.21,1.44,0.89,32.95,15.0,36.92,51.91,43.1,5.69,06-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Dec-2019 - 00:00,2.77,1.71,723.29,59.52,127.56,0.0,51.89,16.67,158.95,1.29,0.77,31.64,13.82,41.83,55.44,46.88,5.51,07-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Dec-2019 - 00:00,2.95,2.18,722.5,81.72,160.35,0.0,59.96,16.03,121.13,1.62,0.86,35.23,15.0,38.84,53.84,46.19,5.27,08-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Dec-2019 - 00:00,3.0,1.84,722.3,73.06,145.43,0.0,63.07,15.71,184.05,2.02,0.58,36.02,15.23,39.7,54.93,44.23,5.86,09-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Dec-2019 - 00:00,4.03,2.29,721.67,76.33,157.43,0.0,70.03,15.67,163.84,1.62,0.66,41.03,22.08,45.36,67.44,37.49,5.48,10-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Dec-2019 - 00:00,4.26,2.34,719.76,75.47,151.04,0.0,71.6,16.3,166.24,2.44,1.02,43.14,26.32,41.25,67.56,36.0,5.32,11-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Dec-2019 - 00:00,4.16,2.53,718.24,89.45,177.26,0.0,71.59,17.61,152.97,2.17,1.08,45.03,19.69,45.38,65.07,35.96,5.32,12-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Dec-2019 - 00:00,2.25,1.38,716.45,69.11,167.34,0.01,69.12,18.97,174.25,3.21,0.72,37.58,6.6,32.78,39.38,43.72,5.32,13-Dec-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
