from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
11-Feb-2019 - 00:00,2.01,28.32,766.66,47.59,93.28,0.0,38.39,15.69,151.69,2.12,0.44,29.68,4.47,33.5,37.96,60.93,8.58,12-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Feb-2019 - 00:00,1.36,22.49,767.06,47.05,88.54,0.0,39.27,18.17,161.65,2.06,0.37,28.32,2.58,27.96,30.54,69.15,6.69,13-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Feb-2019 - 00:00,1.77,21.53,772.85,78.48,122.52,0.0,43.62,20.21,169.23,2.28,0.6,35.31,7.06,41.31,48.37,55.52,8.69,14-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Feb-2019 - 00:00,1.91,24.17,767.72,70.71,117.32,0.0,48.78,20.87,216.82,3.32,0.36,35.06,2.43,24.76,27.19,78.24,7.04,15-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Feb-2019 - 00:00,2.28,26.89,765.04,74.09,128.91,0.0,38.79,17.89,193.91,3.03,0.51,23.25,7.07,27.01,34.08,67.87,4.67,16-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Feb-2019 - 00:00,2.96,28.86,765.59,37.81,75.03,0.0,36.62,16.17,237.82,3.0,0.56,19.56,4.79,21.37,26.14,60.48,9.51,17-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Feb-2019 - 00:00,5.74,30.01,755.79,72.33,143.77,0.0,39.52,17.06,216.24,1.67,0.51,31.89,12.34,33.12,45.45,33.58,6.52,18-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Feb-2019 - 00:00,2.88,22.84,755.67,55.93,174.23,0.0,29.59,20.54,196.74,2.99,0.36,29.41,9.25,29.24,38.49,43.75,7.47,19-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Feb-2019 - 00:00,2.26,24.86,761.31,48.29,123.15,0.0,38.34,21.33,224.61,2.0,0.56,34.39,19.05,34.62,53.66,22.91,4.94,20-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Feb-2019 - 00:00,2.33,25.22,765.15,22.76,52.49,0.0,48.36,22.49,137.12,2.82,0.27,33.29,2.81,19.17,21.98,44.16,4.45,21-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
