from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
07-Feb-2019 - 00:00,16.46,987.08,108.31,66.29,92.86,24.47,43.32,257.52,2.47,0.58,2.24,39.31,14.98,43.22,35.23,21.14,28.55,08-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
08-Feb-2019 - 00:00,14.13,993.38,235.87,108.52,73.14,155.7,46.47,108.73,1.79,0.61,2.0,32.74,18.36,43.03,37.86,25.47,30.59,09-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
09-Feb-2019 - 00:00,14.26,995.63,347.32,114.08,70.47,163.4,57.18,103.79,2.11,0.61,2.0,32.01,25.89,42.8,43.82,31.5,30.65,10-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
10-Feb-2019 - 00:00,14.21,996.99,454.74,194.23,72.73,113.31,61.81,85.78,1.16,0.63,3.07,38.1,61.08,51.76,77.46,23.28,28.97,11-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
11-Feb-2019 - 00:00,15.22,997.39,473.46,224.04,73.27,119.6,68.73,106.39,0.78,0.68,4.07,41.28,84.22,57.73,99.46,24.32,29.99,12-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
12-Feb-2019 - 00:00,17.12,997.39,407.17,251.52,72.26,98.62,72.67,108.13,0.69,0.69,3.31,49.57,40.33,63.64,66.66,26.53,32.31,13-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
13-Feb-2019 - 00:00,18.97,996.25,356.81,226.52,65.79,91.63,103.69,180.94,0.63,0.7,6.33,51.2,74.97,85.15,106.4,33.11,30.25,14-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
14-Feb-2019 - 00:00,17.94,991.82,230.35,154.25,75.32,38.09,70.45,285.57,2.09,0.67,4.85,51.7,27.78,71.39,60.59,15.86,27.81,15-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
15-Feb-2019 - 00:00,16.65,992.68,347.85,149.14,82.52,80.2,43.69,152.9,1.63,0.66,3.05,47.73,25.75,49.14,47.1,12.1,30.5,16-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
16-Feb-2019 - 00:00,15.55,994.28,315.84,112.0,90.02,71.94,45.6,101.7,1.84,0.69,2.25,43.78,18.36,32.0,32.02,13.83,35.06,17-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
17-Feb-2019 - 00:00,16.09,991.11,395.92,119.23,76.28,123.5,45.68,95.25,1.68,0.71,2.3,39.33,23.86,38.11,39.79,23.02,48.95,18-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
18-Feb-2019 - 00:00,19.24,986.07,307.73,106.84,61.38,109.2,50.08,251.4,1.38,0.73,2.87,40.82,24.29,56.47,49.8,23.28,29.23,19-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
19-Feb-2019 - 00:00,18.72,989.62,226.21,120.3,79.11,99.0,81.58,131.98,0.65,0.82,4.14,51.44,26.12,49.31,47.5,20.17,30.78,20-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
20-Feb-2019 - 00:00,18.65,994.2,135.36,79.18,81.82,37.31,137.29,263.94,1.15,0.79,10.11,50.95,43.99,58.96,67.21,18.35,38.04,21-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
21-Feb-2019 - 00:00,21.8,992.9,141.48,83.45,62.72,134.07,136.86,264.41,1.36,0.81,9.79,44.86,60.97,54.12,78.46,18.09,33.26,22-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
22-Feb-2019 - 00:00,18.5,994.02,118.65,66.65,74.61,121.03,85.84,113.48,2.96,0.66,4.51,45.1,16.31,24.93,26.36,15.76,33.23,23-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
23-Feb-2019 - 00:00,16.37,992.34,126.28,72.33,65.09,165.85,57.52,101.13,2.59,0.7,2.56,28.85,13.41,33.01,28.49,26.81,36.76,24-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
