from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,RH,SR,RF,WS,WD,to date,station
16-Dec-2019 - 00:00,46.43,259.44,232.31,15.8,60.16,0.37,33.46,62.74,219.75,2.99,50.39,0.67,0.78,1.43,,99.13,41.96,0.0,0.98,301.22,17-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Dec-2019 - 00:00,55.35,301.27,270.51,14.5,46.83,0.3,32.52,87.27,292.5,3.48,0.01,0.11,0.06,0.12,,95.33,61.96,0.0,0.83,281.29,18-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Dec-2019 - 00:00,51.3,282.42,254.18,16.28,17.03,0.47,31.9,113.87,333.68,4.34,5.4,0.02,0.11,0.62,,94.26,75.08,0.0,0.56,223.88,19-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Dec-2019 - 00:00,55.0,290.42,270.37,13.52,14.74,0.6,26.6,141.54,420.02,6.36,11.23,0.14,0.14,1.71,,93.83,77.19,0.0,0.17,140.83,20-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Dec-2019 - 00:00,72.17,359.51,339.65,10.1,22.86,0.46,28.95,167.14,473.18,6.39,9.74,0.02,0.1,0.8,,92.6,115.71,0.0,0.42,251.43,21-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Dec-2019 - 00:00,66.19,358.68,325.05,21.1,7.88,0.2,20.23,138.89,424.86,5.54,9.84,0.63,0.1,0.79,,96.25,111.49,0.0,0.68,293.25,22-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Dec-2019 - 00:00,74.92,376.84,341.34,0.87,5.42,0.55,19.44,94.62,276.43,4.99,6.96,0.29,0.04,0.41,,99.13,36.98,0.0,0.85,301.51,23-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Dec-2019 - 00:00,60.72,272.3,250.09,18.25,37.29,0.34,17.26,158.42,440.1,3.73,4.45,0.27,0.06,0.32,,98.72,60.26,0.0,0.52,267.46,24-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Dec-2019 - 00:00,55.19,259.92,237.27,21.47,12.24,0.45,24.84,122.34,355.42,3.13,4.88,0.57,0.03,0.44,,94.5,100.76,0.0,0.33,184.73,25-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Dec-2019 - 00:00,61.18,263.34,243.14,20.08,16.77,0.14,9.17,121.02,356.16,2.92,4.58,0.4,0.03,0.51,,99.02,54.4,0.0,0.8,313.6,26-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Dec-2019 - 00:00,59.38,215.25,203.64,33.72,9.27,0.16,27.47,120.26,334.16,2.54,3.31,0.15,0.02,0.22,,97.17,45.9,0.0,0.61,290.0,27-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Dec-2019 - 00:00,70.63,265.2,249.57,29.64,22.18,0.18,48.69,157.4,423.91,3.67,5.64,0.36,0.04,0.45,,93.86,78.81,0.0,0.3,226.3,28-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Dec-2019 - 00:00,57.99,254.4,234.72,34.44,7.63,0.26,39.08,151.72,444.07,3.66,4.96,0.42,0.04,0.6,,97.31,86.16,0.0,0.3,167.18,29-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Dec-2019 - 00:00,82.78,287.22,273.58,22.99,37.29,0.21,29.87,183.42,477.08,5.04,8.34,0.37,0.07,0.47,,95.16,125.02,0.0,0.33,198.33,30-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-Dec-2019 - 00:00,65.89,260.56,243.38,23.09,20.05,0.4,13.72,147.16,388.15,6.33,6.83,0.41,0.09,0.62,,99.13,55.19,0.0,0.4,160.86,31-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
31-Dec-2019 - 00:00,52.61,273.23,246.59,28.91,16.76,0.12,22.95,119.7,337.0,7.1,3.54,0.15,0.01,0.3,,99.13,6.0,0.0,0.46,98.16,01-Jan-2020 - 00:00,"Sector-18, Panipat - HSPCB"
