from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,RH,SR,RF,WS,WD,to date,station
10-May-2019 - 00:00,32.34,13.31,27.43,44.2,18.83,0.92,30.68,117.18,364.86,2.63,5.77,0.59,0.5,0.92,,21.34,229.97,0.0,1.85,237.79,11-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-May-2019 - 00:00,49.56,34.44,53.51,148.33,29.06,0.97,26.2,67.19,239.27,2.1,14.54,0.6,0.05,0.08,,34.55,223.71,0.01,1.08,250.07,12-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-May-2019 - 00:00,48.88,33.15,52.11,138.89,27.86,1.41,22.58,131.87,333.17,,,,0.0,0.0,,35.01,257.93,0.0,1.22,250.72,13-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-May-2019 - 00:00,29.28,22.18,33.09,104.55,28.88,1.1,31.56,73.06,266.98,2.43,10.91,0.75,0.88,1.14,,34.07,219.09,0.01,1.03,123.69,14-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-May-2019 - 00:00,34.51,15.46,30.15,45.24,21.29,1.04,19.28,48.02,203.5,3.25,9.65,2.09,2.59,6.25,,43.91,331.81,0.0,0.62,133.12,16-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-May-2019 - 00:00,40.52,25.26,41.43,46.06,24.18,1.09,17.41,68.66,285.81,3.19,8.22,1.19,1.22,3.12,,58.27,243.45,0.08,0.95,195.52,17-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-May-2019 - 00:00,25.28,13.07,23.69,51.83,28.52,0.95,22.77,96.98,381.01,2.8,7.24,0.79,0.91,2.11,,60.8,209.4,0.0,1.1,190.45,18-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-May-2019 - 00:00,32.0,24.06,36.01,104.11,24.8,0.63,16.36,38.41,95.42,1.86,8.52,0.56,0.31,0.75,,73.12,43.0,0.0,1.16,239.52,19-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-May-2019 - 00:00,15.95,14.4,19.89,60.33,16.91,0.89,27.67,49.48,174.64,1.92,5.53,0.51,0.54,1.28,,,284.63,0.0,1.39,279.64,20-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-May-2019 - 00:00,7.61,10.91,12.73,25.72,23.94,0.94,21.88,59.7,298.43,2.78,5.77,0.82,0.8,2.01,,24.07,290.45,0.0,1.45,266.44,21-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-May-2019 - 00:00,6.47,13.11,13.89,24.01,18.71,0.97,19.21,58.48,217.81,2.67,6.02,0.79,0.81,2.16,,26.13,269.39,0.0,1.18,287.45,22-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-May-2019 - 00:00,45.99,14.55,35.69,47.54,23.65,0.87,28.36,51.11,211.31,2.78,6.07,0.63,0.62,1.39,,23.96,255.28,0.0,1.01,248.2,23-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-May-2019 - 00:00,43.65,12.33,32.7,61.54,25.36,1.11,22.25,79.99,357.22,2.94,6.76,0.73,0.77,1.82,,35.98,215.79,0.0,1.3,284.21,24-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-May-2019 - 00:00,42.55,20.37,38.19,74.74,15.38,0.72,16.35,27.96,137.16,1.82,7.16,0.74,0.23,0.56,,60.61,156.4,0.06,1.16,218.41,25-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-May-2019 - 00:00,43.84,23.93,41.53,108.26,14.9,0.66,20.02,25.69,129.06,1.37,9.33,0.57,0.15,0.38,,49.1,210.12,0.0,1.58,289.6,26-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-May-2019 - 00:00,21.26,12.46,21.1,56.87,13.56,0.7,24.72,35.77,104.75,4.01,9.44,1.22,0.2,0.69,,37.09,307.4,0.0,1.3,290.56,27-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-May-2019 - 00:00,12.51,12.47,16.54,29.06,16.34,0.73,23.06,43.06,184.31,2.55,6.86,0.72,0.72,2.08,,24.32,410.93,0.0,1.37,281.3,28-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-May-2019 - 00:00,9.14,8.84,11.87,22.01,8.52,0.5,24.36,32.81,135.43,1.98,5.59,0.63,0.63,1.92,,15.99,453.84,0.0,1.49,282.91,29-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-May-2019 - 00:00,12.17,14.18,17.76,34.78,14.73,0.68,21.06,40.61,227.92,2.52,5.61,0.77,0.94,2.46,,19.16,278.61,0.0,1.08,277.08,30-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-May-2019 - 00:00,14.97,18.59,22.72,37.27,24.0,0.81,25.05,54.91,288.14,4.04,6.61,1.14,1.22,3.4,,17.93,329.24,0.0,1.08,251.15,31-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
31-May-2019 - 00:00,17.22,22.05,26.68,36.13,21.5,1.08,20.05,74.86,395.58,3.73,7.88,1.59,1.73,5.5,,14.45,264.3,0.0,1.0,227.53,01-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Jun-2019 - 00:00,14.03,17.04,20.99,44.83,14.94,1.23,33.13,71.13,232.64,5.25,6.62,1.13,1.46,3.31,,47.94,255.99,0.0,0.95,99.98,02-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Jun-2019 - 00:00,6.51,4.88,7.31,31.83,14.03,0.97,43.99,56.85,160.29,3.48,4.98,0.52,0.64,1.41,,52.61,250.04,0.0,0.96,100.37,03-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Jun-2019 - 00:00,7.62,7.94,10.63,44.06,8.86,0.89,52.5,57.75,214.04,2.52,6.2,0.5,0.53,1.21,,48.84,310.41,0.0,1.23,97.66,04-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Jun-2019 - 00:00,8.44,7.15,10.14,33.49,14.52,0.82,69.02,40.49,114.48,2.24,4.95,0.65,0.88,1.87,,48.32,219.2,0.0,1.0,90.11,05-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Jun-2019 - 00:00,15.14,9.86,15.81,32.47,23.69,1.36,61.16,61.79,144.17,5.52,7.04,1.26,1.43,4.28,,44.82,236.48,0.0,0.65,122.61,06-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Jun-2019 - 00:00,20.4,9.88,18.59,30.17,37.46,1.22,42.58,77.17,222.38,5.57,9.6,1.07,1.48,3.03,,38.86,221.47,0.15,0.98,147.83,07-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Jun-2019 - 00:00,57.44,35.26,50.9,24.28,13.22,2.64,11.0,76.34,190.21,4.77,,4.65,4.83,7.12,,52.91,6.0,0.0,0.38,177.74,08-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Jun-2019 - 00:00,25.04,34.84,40.61,97.11,29.02,1.02,50.76,68.7,125.43,3.57,,2.3,1.53,2.8,,36.29,262.25,0.0,0.84,230.74,09-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Jun-2019 - 00:00,8.71,22.72,21.72,44.85,27.93,0.97,37.83,69.3,147.92,6.01,,2.75,3.46,6.67,,31.49,253.52,0.0,0.69,190.97,10-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Jun-2019 - 00:00,6.75,16.42,15.65,18.17,38.64,0.8,40.62,58.7,136.46,4.2,,2.35,3.03,5.81,,21.5,265.69,0.0,0.92,255.59,11-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Jun-2019 - 00:00,4.02,14.63,14.37,25.56,23.45,0.62,48.96,59.69,185.03,4.7,22.07,3.04,5.01,7.36,,24.77,258.45,0.02,1.27,208.06,12-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Jun-2019 - 00:00,5.07,11.77,14.84,44.98,18.57,0.41,86.93,40.95,127.25,2.13,,0.44,2.51,4.33,,47.85,270.89,0.09,1.24,109.9,13-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Jun-2019 - 00:00,8.31,17.78,24.1,33.9,22.01,0.72,73.88,50.42,150.87,2.67,,0.45,2.75,4.79,,49.84,250.11,0.0,0.73,159.52,14-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Jun-2019 - 00:00,30.89,16.67,32.22,27.15,15.82,0.63,79.32,51.55,133.45,3.47,,0.46,2.52,5.01,,23.03,291.41,0.0,1.41,255.14,15-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Jun-2019 - 00:00,43.87,23.21,41.56,35.2,21.13,0.52,75.97,54.85,163.25,2.78,14.17,0.35,2.06,3.54,,22.9,270.91,0.0,1.69,271.53,16-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Jun-2019 - 00:00,0.15,,,12.86,,,,0.0,,,,,0.0,0.0,,,6.0,0.0,,,17-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Jun-2019 - 00:00,17.4,20.32,25.58,72.86,6.35,0.39,74.73,40.03,206.38,0.86,7.64,0.11,0.6,1.01,,47.43,280.92,0.12,2.58,186.15,18-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Jun-2019 - 00:00,26.63,25.73,34.38,74.48,7.98,0.62,48.1,22.75,65.14,2.22,8.25,0.17,0.68,1.49,,75.85,133.85,0.05,1.36,243.5,19-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Jun-2019 - 00:00,28.8,34.85,42.95,72.94,14.37,0.77,81.51,56.08,174.7,2.58,6.27,0.18,0.95,2.47,,62.36,290.82,0.0,0.77,233.79,20-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Jun-2019 - 00:00,17.78,15.8,21.96,48.36,16.28,0.76,82.64,45.03,123.64,2.94,8.73,0.35,2.04,3.49,,59.91,263.94,0.0,1.09,164.33,21-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Jun-2019 - 00:00,20.17,13.37,21.26,37.35,19.06,0.77,83.41,48.12,116.12,2.94,,0.5,2.49,3.97,,52.86,274.64,0.0,0.82,185.63,22-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Jun-2019 - 00:00,23.78,13.21,23.02,31.34,17.76,0.77,107.08,44.89,111.16,2.93,,0.54,2.53,4.43,,42.84,284.01,0.0,1.04,259.16,23-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Jun-2019 - 00:00,7.46,13.19,14.47,47.15,5.92,0.69,69.83,35.23,107.97,2.86,,0.45,2.41,3.96,,60.49,256.59,0.0,1.02,102.91,24-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Jun-2019 - 00:00,5.78,11.75,12.45,39.52,8.66,0.5,51.04,20.28,72.23,1.55,,0.39,2.13,3.6,,68.72,129.52,0.0,1.08,98.01,25-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Jun-2019 - 00:00,11.01,14.05,17.02,44.77,15.6,0.69,69.59,32.87,80.94,2.46,,0.43,1.99,3.39,,60.94,119.57,0.0,0.56,138.88,26-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Jun-2019 - 00:00,12.82,28.94,30.2,104.26,7.39,0.77,74.82,42.0,120.83,2.44,,0.47,1.64,2.76,,45.39,286.55,0.0,1.21,227.41,27-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Jun-2019 - 00:00,18.89,20.73,26.37,54.46,9.43,0.76,60.13,51.62,176.9,2.76,,0.45,2.12,3.84,,55.77,184.88,0.05,1.26,272.19,28-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Jun-2019 - 00:00,20.51,24.33,29.83,53.26,8.52,0.6,44.57,48.4,161.04,2.33,19.55,0.31,1.66,3.29,,49.43,378.45,0.0,1.53,253.96,29-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Jun-2019 - 00:00,40.39,23.35,38.11,55.22,12.56,0.61,40.26,65.43,244.95,2.01,16.31,0.19,0.95,1.76,,42.14,422.58,0.0,1.26,268.69,30-Jun-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-Jun-2019 - 00:00,30.33,22.93,32.67,66.84,18.79,0.59,62.08,57.95,188.62,1.8,7.23,0.2,0.85,2.22,,39.76,281.27,0.0,1.27,212.21,01-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Jul-2019 - 00:00,22.4,19.6,25.85,70.27,19.46,0.84,76.15,58.96,148.22,2.8,0.51,0.2,1.03,2.12,,55.34,254.81,0.0,0.74,147.08,02-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Jul-2019 - 00:00,17.42,18.3,22.22,61.44,14.42,0.68,87.59,53.54,139.15,2.0,0.53,0.18,0.71,1.63,,55.77,255.01,0.0,0.89,145.48,03-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Jul-2019 - 00:00,13.65,20.07,21.66,75.92,14.82,0.71,64.65,38.82,93.02,2.21,0.64,0.16,0.65,1.65,,61.85,215.54,0.0,0.63,119.71,04-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Jul-2019 - 00:00,16.75,23.52,26.05,86.56,18.12,0.75,38.34,22.66,49.42,2.81,0.7,0.19,0.46,1.01,,85.49,71.68,0.33,0.7,112.67,05-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Jul-2019 - 00:00,19.91,27.15,30.61,90.57,22.27,0.81,39.45,31.71,85.69,,,,0.0,0.0,,83.38,200.95,0.0,0.53,139.66,06-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Jul-2019 - 00:00,17.32,21.85,25.0,80.79,24.74,0.81,49.39,32.1,69.75,2.56,0.73,0.19,0.57,0.93,,80.09,213.35,0.0,0.68,104.15,07-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Jul-2019 - 00:00,16.54,22.46,25.09,85.42,28.15,0.65,53.71,27.8,59.29,2.49,0.44,0.15,0.57,1.09,,75.37,271.79,0.0,0.48,119.68,08-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Jul-2019 - 00:00,17.98,21.86,25.35,82.03,30.73,0.67,57.16,39.73,88.09,2.28,0.97,0.15,0.62,0.96,,76.82,320.38,0.02,0.64,140.36,09-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Jul-2019 - 00:00,23.2,22.68,27.93,73.34,20.45,0.68,34.36,26.98,80.15,2.67,1.03,0.14,0.46,0.64,,88.1,304.31,0.94,0.74,173.7,10-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Jul-2019 - 00:00,18.45,22.55,25.36,83.84,11.78,0.7,51.45,47.22,102.22,2.19,0.92,0.14,0.64,1.0,,85.65,194.06,0.0,0.59,130.24,11-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Jul-2019 - 00:00,18.69,23.1,25.92,81.75,14.21,0.67,30.85,83.3,186.27,2.54,0.37,0.17,0.77,1.67,,80.95,175.86,0.0,0.88,138.97,12-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Jul-2019 - 00:00,8.62,17.15,15.89,73.22,16.95,0.45,31.96,57.93,100.33,2.14,0.98,0.15,0.7,1.02,,90.63,153.6,0.0,0.6,90.25,13-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Jul-2019 - 00:00,8.04,15.94,14.6,69.24,19.14,0.35,29.75,72.03,150.15,1.93,0.42,0.14,0.54,1.2,,81.79,192.32,0.0,0.85,130.21,14-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Jul-2019 - 00:00,7.89,16.23,14.77,74.99,21.84,0.15,48.54,37.92,67.78,1.65,0.51,0.13,0.54,0.97,,86.62,144.11,0.0,0.75,94.23,15-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Jul-2019 - 00:00,7.79,16.46,14.9,73.15,24.24,0.16,42.97,30.87,46.03,1.36,1.37,0.11,0.5,0.41,,94.93,97.07,0.02,0.7,119.49,16-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Jul-2019 - 00:00,7.37,15.38,13.81,68.36,20.21,0.22,51.08,22.7,42.23,1.39,0.54,0.1,0.43,0.81,,98.68,74.37,0.31,0.67,106.99,17-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Jul-2019 - 00:00,8.88,21.27,19.33,76.98,13.18,0.62,35.03,31.72,56.6,2.6,2.5,0.27,1.21,1.71,,96.18,151.61,0.15,0.46,182.86,18-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Jul-2019 - 00:00,10.33,28.2,25.64,115.87,14.84,0.72,47.89,37.99,79.77,2.46,0.73,0.19,0.9,2.27,,91.55,214.54,0.0,0.5,143.98,19-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Jul-2019 - 00:00,7.47,16.1,14.45,63.06,15.13,0.62,46.05,35.7,74.32,2.27,0.18,0.27,1.77,3.08,,86.11,242.62,0.04,0.36,112.21,20-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Jul-2019 - 00:00,7.48,15.67,14.11,64.63,18.19,0.55,42.84,34.67,66.01,2.11,0.13,0.21,0.97,2.39,,88.15,247.16,0.0,0.56,98.21,21-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Jul-2019 - 00:00,7.75,17.08,15.38,70.21,21.66,0.63,37.94,39.25,75.27,2.16,0.2,0.17,0.74,1.66,,85.21,230.21,0.02,0.5,113.0,22-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Jul-2019 - 00:00,7.57,16.6,14.9,70.14,18.51,0.65,32.47,49.59,94.71,2.61,0.41,0.19,0.9,1.84,,91.98,203.04,0.26,0.48,106.12,23-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Jul-2019 - 00:00,7.07,13.84,12.42,47.28,13.9,0.64,46.63,48.89,91.71,2.9,0.64,0.14,0.81,1.05,,82.78,196.33,0.0,0.4,172.37,24-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Jul-2019 - 00:00,7.38,15.08,13.58,44.21,15.57,0.69,36.99,42.49,90.87,2.91,2.31,0.2,0.81,0.74,,73.87,269.18,0.12,1.01,193.31,25-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Jul-2019 - 00:00,7.26,14.23,12.83,54.99,17.92,0.47,28.52,19.44,43.97,1.38,0.99,0.12,0.61,0.49,,96.68,101.35,0.0,0.75,150.97,26-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Jul-2019 - 00:00,9.03,23.49,21.19,101.94,20.82,0.45,40.98,17.82,35.06,1.23,1.45,0.15,0.48,0.45,,92.6,219.55,0.3,0.61,109.47,27-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Jul-2019 - 00:00,7.55,15.75,14.2,68.01,24.36,0.47,29.58,13.23,23.84,1.34,0.79,0.09,0.41,0.46,,98.12,152.97,0.12,0.79,85.64,28-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Jul-2019 - 00:00,7.77,17.29,15.56,73.66,27.98,0.5,25.4,13.68,28.92,1.25,0.9,0.11,0.43,0.61,,90.99,221.23,0.0,0.77,86.72,29-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Jul-2019 - 00:00,14.07,15.55,17.42,66.2,30.15,0.43,27.36,14.97,30.69,1.34,0.81,0.12,0.53,0.74,,82.68,245.61,0.0,0.75,94.64,30-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-Jul-2019 - 00:00,20.22,16.77,21.65,77.3,33.23,0.51,26.39,19.26,41.05,1.72,0.86,0.17,0.55,0.96,,85.58,190.29,0.0,0.59,85.77,31-Jul-2019 - 00:00,"Sector-18, Panipat - HSPCB"
31-Jul-2019 - 00:00,22.85,18.25,24.2,81.05,35.99,0.5,23.85,21.5,44.51,1.78,1.23,0.2,0.83,1.12,,92.3,134.48,0.0,0.53,80.76,01-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Aug-2019 - 00:00,20.59,12.98,19.25,61.93,22.0,0.58,34.74,26.02,72.75,2.17,1.34,0.16,0.49,0.49,,85.76,256.02,0.0,0.53,109.63,02-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Aug-2019 - 00:00,21.33,16.88,23.11,80.35,16.74,0.57,26.71,23.55,71.39,1.78,0.97,0.13,0.46,0.44,,97.29,93.97,0.75,0.48,117.14,03-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Aug-2019 - 00:00,18.0,18.34,22.54,89.82,19.29,0.64,18.82,19.55,65.58,2.01,1.51,0.15,0.66,0.55,,97.17,203.19,0.03,0.44,79.94,04-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Aug-2019 - 00:00,18.45,17.61,21.93,81.25,22.48,0.76,19.14,25.4,79.46,1.82,1.5,0.24,0.99,1.55,,92.23,211.72,0.28,0.39,126.66,05-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Aug-2019 - 00:00,31.37,51.25,55.22,135.39,4.0,0.98,28.61,23.52,123.63,1.24,0.37,0.16,0.13,0.29,,80.53,110.94,0.0,0.3,88.12,06-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Aug-2019 - 00:00,11.34,19.38,19.87,78.61,5.59,0.64,26.09,16.46,53.51,1.69,1.47,0.12,0.5,0.23,,98.66,103.81,0.01,0.56,90.52,07-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Aug-2019 - 00:00,12.83,12.92,15.5,47.54,11.66,0.72,22.42,24.42,87.89,2.72,2.52,0.2,0.38,0.02,,88.49,250.31,0.0,0.37,114.38,08-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Aug-2019 - 00:00,12.21,9.67,12.56,41.39,21.89,0.64,23.9,22.1,82.9,1.93,1.14,0.13,0.32,0.31,,81.76,209.24,0.0,0.28,111.17,09-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Aug-2019 - 00:00,10.79,9.6,11.77,42.77,31.27,0.57,23.47,15.48,61.26,1.24,1.75,0.15,0.54,0.06,,86.25,214.13,0.0,0.74,86.3,10-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Aug-2019 - 00:00,11.55,9.71,12.26,43.48,40.6,0.56,25.82,14.93,53.27,1.21,1.06,0.09,0.43,0.15,,93.49,181.9,0.02,0.78,92.07,11-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Aug-2019 - 00:00,12.77,10.51,13.53,45.36,52.83,0.62,27.83,23.19,71.2,1.68,1.18,0.11,0.4,0.19,,83.91,213.23,0.0,0.37,133.42,12-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Aug-2019 - 00:00,17.28,14.39,19.0,45.41,62.35,0.65,17.65,22.17,68.99,2.21,1.18,0.15,0.34,0.31,,91.88,158.07,0.01,0.72,249.63,13-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Aug-2019 - 00:00,13.59,14.31,17.01,47.44,72.82,0.67,13.99,20.65,70.74,1.58,1.0,0.09,0.32,0.11,,92.84,190.21,0.0,0.88,253.93,14-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Aug-2019 - 00:00,13.34,11.84,14.9,46.39,83.11,0.73,16.18,19.37,64.46,2.08,1.73,0.15,0.67,0.09,,93.73,172.5,0.04,0.45,161.03,15-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Aug-2019 - 00:00,10.12,11.23,12.73,47.85,31.06,0.7,18.27,22.79,70.37,1.58,1.25,0.11,0.44,0.07,,90.6,234.67,0.02,0.45,100.05,16-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Aug-2019 - 00:00,8.17,9.78,10.54,45.98,10.37,0.6,22.0,14.68,55.85,1.1,1.37,0.09,0.32,0.05,,88.63,258.61,0.06,0.7,82.01,17-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Aug-2019 - 00:00,8.84,14.85,15.05,64.38,19.65,0.62,15.76,9.79,28.91,0.75,0.58,0.05,0.14,0.05,,98.74,95.78,0.39,0.9,92.15,18-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Aug-2019 - 00:00,19.76,18.59,23.66,74.8,3.59,0.58,19.16,12.85,36.42,1.77,1.26,0.1,0.36,0.06,,94.54,153.4,0.05,0.62,188.39,19-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Aug-2019 - 00:00,15.1,13.95,17.55,52.13,11.05,0.69,21.19,25.39,76.57,1.73,0.58,0.07,0.16,0.14,,91.35,164.1,0.0,0.35,199.18,20-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Aug-2019 - 00:00,9.86,13.98,14.3,39.61,6.34,0.68,32.54,23.82,81.87,1.53,0.55,0.06,0.12,0.04,,78.32,290.58,0.0,0.88,285.88,21-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Aug-2019 - 00:00,5.73,15.19,13.58,38.91,12.93,0.69,18.98,26.26,126.44,2.18,0.65,0.09,0.22,0.07,,80.22,143.4,0.0,0.77,251.12,22-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Aug-2019 - 00:00,4.45,10.79,9.58,32.18,53.82,0.72,38.89,35.7,119.65,1.84,1.2,0.12,0.48,0.11,,80.29,269.88,0.01,0.37,140.9,23-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Aug-2019 - 00:00,13.3,13.55,16.45,24.57,51.26,0.65,29.45,44.27,113.4,3.17,1.68,0.19,0.65,0.1,,84.81,225.49,0.0,0.54,253.04,24-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Aug-2019 - 00:00,19.75,17.59,20.63,43.11,18.48,0.6,29.69,26.81,88.67,4.59,1.93,0.21,0.68,0.05,,88.74,60.17,0.0,0.46,184.73,25-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Aug-2019 - 00:00,10.77,11.81,11.75,47.7,,0.4,40.0,9.03,74.44,1.24,1.15,0.09,0.11,0.01,,,6.0,0.0,0.57,88.08,26-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Aug-2019 - 00:00,13.55,10.86,11.83,37.04,13.53,0.48,28.8,17.56,49.06,1.76,2.44,0.2,0.89,0.05,,77.75,365.92,0.0,0.37,83.05,27-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Aug-2019 - 00:00,16.52,14.09,15.93,38.69,19.33,0.56,27.59,33.18,74.67,4.15,5.23,2.81,3.86,1.12,,82.07,196.7,0.0,0.27,151.53,28-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Aug-2019 - 00:00,14.5,11.26,12.62,38.35,21.2,0.63,27.24,30.44,91.57,3.31,0.77,1.6,2.97,4.25,,82.19,247.7,0.0,0.43,189.03,29-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Aug-2019 - 00:00,11.21,8.16,8.53,30.96,6.4,0.67,28.29,30.85,85.41,2.75,0.98,1.43,2.35,3.01,,78.47,149.01,0.0,0.45,116.22,30-Aug-2019 - 00:00,"Sector-18, Panipat - HSPCB"
