from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
07-Feb-2019 - 00:00,15.97,985.02,117.35,58.54,97.69,30.27,161.25,1.8,1.8,11.4,41.61,15.39,4.37,11.75,18.31,24.24,0.8,08-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Feb-2019 - 00:00,13.66,990.94,148.44,54.8,74.64,116.79,247.02,0.9,3.16,25.61,27.71,21.88,27.18,33.76,15.27,22.18,1.07,09-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Feb-2019 - 00:00,12.93,993.09,242.89,103.86,77.19,121.81,281.72,0.95,2.7,18.3,27.89,22.57,24.44,31.88,8.95,27.59,1.13,10-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Feb-2019 - 00:00,13.24,994.6,393.58,176.46,77.68,110.53,255.45,0.78,4.09,24.94,30.59,26.4,44.47,50.33,11.26,22.75,1.72,11-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Feb-2019 - 00:00,14.25,994.98,463.9,183.01,77.31,96.91,248.33,0.57,6.23,48.64,32.73,35.31,77.78,82.26,10.35,22.99,2.66,12-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Feb-2019 - 00:00,16.35,995.0,531.48,170.31,79.32,88.75,191.14,0.61,6.94,66.67,42.91,41.71,62.8,73.4,8.99,28.23,2.72,13-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Feb-2019 - 00:00,18.45,994.16,434.32,195.42,71.71,103.03,164.76,0.66,3.63,31.25,45.12,45.83,52.25,66.97,13.91,24.23,2.11,14-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Feb-2019 - 00:00,17.59,989.85,243.01,81.85,89.29,49.06,128.25,1.25,0.0,0.0,42.12,31.56,7.11,22.59,10.39,30.89,1.24,15-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Feb-2019 - 00:00,16.37,990.13,226.17,94.4,85.56,88.31,235.06,0.82,0.0,0.0,34.26,33.57,23.64,37.13,17.91,23.78,1.25,16-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Feb-2019 - 00:00,14.86,991.66,222.6,113.92,92.62,65.91,292.48,1.08,0.0,0.0,31.88,27.28,13.16,25.23,19.88,29.73,1.15,17-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
