from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
31-May-2019 - 00:00,109.02,224.43,55.24,106.36,96.63,70.23,13.36,0.99,59.59,7.82,1.23,3.13,3.96,9.49,2.15,195.58,26.33,453.52,0.0,01-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Jun-2019 - 00:00,102.74,254.13,44.67,98.32,93.5,66.25,6.23,0.86,87.76,6.62,1.42,3.02,3.97,8.51,2.85,105.86,52.47,492.27,0.0,02-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Jun-2019 - 00:00,84.03,212.12,39.6,122.27,126.71,56.35,6.61,0.78,102.14,5.25,1.38,2.79,3.66,7.49,2.82,95.51,48.74,454.35,0.0,03-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Jun-2019 - 00:00,75.98,192.61,40.61,90.71,86.66,45.13,5.79,0.67,92.33,4.66,1.08,2.6,3.09,7.2,3.02,106.1,49.53,490.28,0.0,04-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Jun-2019 - 00:00,82.63,187.6,38.85,68.54,60.15,40.99,5.31,0.79,92.4,5.59,1.07,2.55,3.24,7.25,2.66,126.34,45.92,501.81,0.0,05-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Jun-2019 - 00:00,98.12,203.06,33.33,80.09,78.17,39.01,7.29,0.87,95.76,6.41,1.03,2.29,2.98,7.33,1.9,169.94,43.26,463.12,0.0,06-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Jun-2019 - 00:00,91.45,200.59,34.38,98.46,100.38,45.63,7.29,0.93,71.99,6.39,1.45,3.25,4.83,10.7,2.5,125.05,42.47,286.61,0.0,07-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Jun-2019 - 00:00,76.43,149.65,37.49,119.78,124.94,44.92,6.89,0.86,99.44,5.7,1.31,2.69,4.52,7.99,1.84,156.24,42.99,511.77,0.0,08-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Jun-2019 - 00:00,85.4,183.92,41.67,144.43,152.96,52.09,6.54,0.83,105.11,6.7,1.44,3.17,4.89,8.29,2.37,174.33,42.44,457.44,0.0,09-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Jun-2019 - 00:00,65.2,152.57,49.11,134.46,135.7,53.77,6.49,0.65,99.67,4.17,1.28,2.47,3.43,6.22,2.56,177.5,28.48,453.85,0.0,10-Jun-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
