from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
14-Mar-2019 - 00:00,0.95,65.59,2.64,52.15,54.79,29.74,50.78,126.43,84.75,0.38,16.81,12.54,28.9,164.28,0.54,4.24,11.15,0.6,1.24,0.81,15-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
15-Mar-2019 - 00:00,1.05,70.71,9.45,82.11,91.56,36.03,32.41,109.64,78.3,0.4,10.4,13.13,26.29,196.53,0.39,4.07,11.77,0.77,1.83,1.66,16-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
16-Mar-2019 - 00:00,0.79,62.61,8.8,63.11,71.9,36.46,35.07,70.83,44.45,0.2,13.52,11.15,26.26,211.21,0.62,2.73,9.32,0.6,1.28,0.9,17-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
17-Mar-2019 - 00:00,0.95,72.01,5.06,47.78,52.83,31.3,50.07,93.12,59.48,3.37,8.21,7.96,26.55,154.27,0.65,2.96,11.05,0.51,1.0,0.67,18-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
18-Mar-2019 - 00:00,0.78,66.54,7.59,68.46,76.02,34.13,34.01,55.25,34.02,,9.84,9.91,24.67,198.81,0.55,3.72,9.28,0.64,1.52,0.99,19-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
19-Mar-2019 - 00:00,0.84,69.1,2.82,46.08,48.9,28.7,47.47,68.56,49.29,,17.93,14.85,26.47,238.05,0.82,1.82,7.75,0.38,0.8,0.45,20-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
20-Mar-2019 - 00:00,0.8,75.88,6.58,54.33,60.91,28.2,30.49,81.3,48.08,,13.06,14.86,27.07,207.74,0.75,2.0,6.37,0.41,0.94,0.58,21-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
21-Mar-2019 - 00:00,0.73,71.07,2.45,23.52,25.97,22.9,48.09,68.98,42.47,,9.68,14.32,28.01,219.6,0.93,1.27,7.18,0.27,0.57,0.27,22-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
22-Mar-2019 - 00:00,0.67,78.66,3.75,35.29,38.85,22.8,33.74,63.81,39.86,1.9,10.07,8.75,27.01,230.3,1.01,1.31,5.82,0.3,0.64,0.32,23-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
23-Mar-2019 - 00:00,0.97,58.89,50.23,75.2,125.43,31.88,32.54,99.9,52.82,,10.68,4.95,27.37,226.17,0.32,5.09,10.5,1.12,2.33,1.35,24-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
24-Mar-2019 - 00:00,1.11,46.52,64.82,74.97,139.78,39.49,39.12,116.25,63.36,,8.57,5.27,26.63,197.36,0.31,3.79,9.82,1.0,2.13,1.05,25-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
25-Mar-2019 - 00:00,1.22,53.06,61.5,83.16,135.87,44.88,42.67,147.73,77.34,,12.92,4.51,27.43,201.11,0.38,5.23,9.04,1.13,2.36,1.3,26-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
26-Mar-2019 - 00:00,0.81,60.86,2.97,39.02,41.94,30.89,46.91,128.09,58.93,,6.92,3.51,27.35,150.67,1.06,2.62,6.64,0.35,0.75,0.36,27-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
27-Mar-2019 - 00:00,0.68,55.69,5.36,63.85,69.19,31.71,52.68,102.66,46.59,,19.9,3.19,26.63,217.41,0.69,2.81,6.22,0.46,1.11,0.8,28-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
28-Mar-2019 - 00:00,0.79,69.23,3.04,37.92,40.96,28.04,40.19,81.09,43.72,,7.72,3.18,27.95,211.52,0.87,1.94,6.02,0.35,0.72,0.33,29-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
29-Mar-2019 - 00:00,0.64,75.6,4.15,33.13,37.29,24.58,24.7,70.17,37.53,,8.11,2.71,27.63,205.16,1.34,1.82,7.09,0.38,0.87,0.47,30-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
30-Mar-2019 - 00:00,0.69,77.04,3.1,28.31,31.4,24.4,30.5,73.47,35.93,,5.42,3.87,28.3,221.48,1.03,2.05,6.15,1.31,1.67,1.36,31-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
31-Mar-2019 - 00:00,0.76,80.61,2.64,18.15,20.8,22.61,20.84,65.07,41.13,,7.41,4.38,28.62,207.55,1.44,1.12,6.92,0.29,0.63,0.26,01-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
01-Apr-2019 - 00:00,0.68,73.63,2.87,25.04,27.9,25.24,29.78,45.28,20.7,,2.21,6.46,27.48,139.34,1.35,2.24,6.07,1.36,1.65,1.28,02-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
02-Apr-2019 - 00:00,0.75,78.9,3.79,23.22,27.13,24.45,23.24,65.09,34.9,,5.74,7.89,28.57,200.93,1.09,1.24,7.08,0.31,0.74,0.38,03-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
03-Apr-2019 - 00:00,0.67,78.8,2.93,18.41,21.34,22.17,20.33,59.77,31.85,,4.42,11.29,28.53,174.35,1.11,1.43,6.27,0.28,0.63,0.31,04-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
04-Apr-2019 - 00:00,0.62,77.34,3.23,20.2,23.44,22.32,19.67,55.13,33.15,,8.06,14.35,28.55,191.38,1.44,1.25,4.83,0.27,0.61,0.29,05-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
05-Apr-2019 - 00:00,0.61,74.76,4.21,26.0,30.22,23.9,21.08,59.0,33.12,1.53,5.75,15.07,28.12,191.55,1.04,1.4,6.26,0.3,0.69,0.36,06-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
06-Apr-2019 - 00:00,0.74,73.79,6.51,37.66,44.17,29.05,27.35,61.78,34.78,1.38,11.74,15.2,26.14,195.07,0.9,2.43,8.05,0.44,1.03,0.73,07-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
07-Apr-2019 - 00:00,0.78,68.91,2.98,29.18,32.16,26.06,44.94,41.43,27.38,0.2,10.06,15.2,26.22,184.28,0.83,2.1,8.15,0.4,0.92,0.48,08-Apr-2019 - 00:00,"Victoria, Kolkata - WBPCB"
