from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
21-Feb-2019 - 00:00,30.92,0.54,26.46,4.45,39.11,23.04,16.46,6.86,33.95,78.06,2.63,24.47,1.6,28.05,52.07,2.3,137.86,220.26,716.21,0.0,0.0,22-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Feb-2019 - 00:00,37.28,0.62,30.36,4.25,49.42,28.85,29.24,11.56,41.01,88.83,3.29,20.16,2.91,29.43,44.97,1.78,144.43,212.86,714.97,0.0,0.0,23-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Feb-2019 - 00:00,37.72,0.74,26.68,4.61,63.18,36.33,25.96,13.93,57.88,127.23,6.34,65.04,7.68,29.52,44.45,1.43,147.39,207.16,713.32,0.0,0.0,24-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Feb-2019 - 00:00,37.89,0.66,32.04,4.3,49.71,28.84,19.36,12.38,44.78,93.88,4.34,37.23,26.37,29.85,40.82,1.89,194.57,218.12,712.07,0.0,0.0,25-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Feb-2019 - 00:00,30.86,0.69,31.87,4.29,49.94,28.93,21.16,35.74,53.16,122.99,8.12,85.8,19.71,29.92,37.7,2.71,208.75,216.25,711.3,0.0,0.0,26-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Feb-2019 - 00:00,25.85,0.74,16.43,7.05,72.78,42.44,26.19,30.1,64.2,156.65,22.4,149.92,32.81,27.92,43.44,1.51,180.42,217.4,710.75,0.0,0.0,27-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Feb-2019 - 00:00,27.4,0.86,12.61,9.05,79.89,47.7,31.62,34.08,71.59,164.33,13.12,163.35,97.77,27.34,53.36,1.1,198.22,185.5,710.64,0.0,0.0,28-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Feb-2019 - 00:00,21.56,0.63,18.16,4.62,58.2,33.49,19.18,29.42,60.06,148.22,8.58,118.11,26.77,27.26,47.19,1.67,171.5,225.03,711.67,0.0,0.0,01-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Mar-2019 - 00:00,25.12,0.79,21.23,5.71,62.5,36.39,18.37,25.51,58.2,130.05,5.99,57.03,19.62,27.28,51.71,1.79,145.81,189.25,712.01,0.0,0.0,02-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Mar-2019 - 00:00,24.72,0.48,21.43,4.86,28.04,16.96,16.33,5.74,28.18,61.95,2.42,10.68,0.95,27.86,60.36,3.32,124.9,221.81,712.77,0.0,0.0,03-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Mar-2019 - 00:00,23.97,0.4,20.4,5.31,28.4,17.16,10.13,7.97,32.21,67.27,1.42,9.66,0.6,28.79,54.54,2.39,171.08,203.06,711.84,0.0,0.0,04-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Mar-2019 - 00:00,24.69,0.59,23.99,4.64,43.69,25.58,24.6,28.25,41.55,101.56,6.05,54.74,12.6,29.68,48.52,2.16,198.85,224.64,710.45,0.0,0.0,05-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Mar-2019 - 00:00,25.47,0.76,14.91,5.72,64.29,37.21,21.91,38.47,69.08,169.54,10.78,125.36,72.2,28.45,43.28,2.15,241.59,229.26,710.48,0.0,0.0,06-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Mar-2019 - 00:00,33.15,1.11,14.87,8.11,86.54,50.87,49.41,56.83,64.93,172.18,12.51,177.89,80.96,27.69,39.24,1.67,223.32,239.14,711.25,0.0,0.0,07-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Mar-2019 - 00:00,29.8,,21.42,10.57,83.4,49.71,54.43,54.32,73.65,170.69,26.6,230.78,78.37,27.39,39.58,1.27,170.31,214.01,711.08,0.0,0.0,08-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Mar-2019 - 00:00,30.08,,24.7,6.54,63.83,37.05,31.5,40.3,76.09,166.64,11.93,124.9,33.04,28.77,42.43,1.58,174.91,216.72,712.6,0.0,0.0,09-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Mar-2019 - 00:00,28.67,,21.48,6.43,49.49,29.4,15.96,5.37,52.11,113.55,3.28,34.89,6.95,28.94,51.29,1.98,200.02,292.58,712.94,0.0,0.0,10-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Mar-2019 - 00:00,29.09,0.16,35.34,6.85,33.8,21.64,12.61,4.03,38.26,100.13,1.41,7.3,0.81,32.86,42.21,3.02,145.69,212.63,713.0,0.0,0.0,12-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Mar-2019 - 00:00,29.58,0.16,28.02,5.12,34.5,20.35,11.27,5.9,46.8,103.72,2.01,15.66,8.67,30.68,47.39,2.38,181.9,221.32,713.58,0.0,0.0,13-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Mar-2019 - 00:00,28.74,0.57,33.52,4.61,33.19,19.64,10.33,6.53,40.97,115.23,1.42,14.17,2.4,30.59,41.73,2.98,181.91,229.6,713.64,0.0,0.0,14-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Mar-2019 - 00:00,28.74,0.49,30.62,4.71,39.02,22.81,9.18,10.58,41.18,104.82,2.21,21.91,31.41,30.72,37.46,2.64,210.05,235.02,713.91,0.0,0.0,15-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Mar-2019 - 00:00,28.74,0.45,31.95,5.22,42.13,24.44,10.47,13.5,46.59,110.69,3.32,26.7,21.58,30.72,37.19,2.54,196.41,238.43,713.84,0.0,0.0,16-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Mar-2019 - 00:00,28.86,0.29,32.48,4.5,35.81,20.99,10.13,6.09,39.32,97.01,2.45,10.87,1.14,29.96,37.31,2.88,157.16,241.84,713.69,0.0,0.0,17-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Mar-2019 - 00:00,30.36,0.57,28.44,4.33,35.41,20.93,10.89,7.66,37.56,87.84,1.77,12.98,0.59,29.56,45.96,3.03,153.83,243.01,713.57,0.0,0.0,18-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Mar-2019 - 00:00,34.55,0.57,29.31,4.72,45.25,26.47,15.36,16.76,38.06,90.74,3.8,37.52,3.42,29.55,43.67,2.53,165.55,247.11,712.77,0.0,0.0,19-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Mar-2019 - 00:00,35.51,0.69,20.59,4.93,42.41,24.76,14.34,6.14,30.83,70.76,1.81,10.67,1.62,29.78,51.58,2.35,171.77,241.86,711.74,0.0,0.0,20-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Mar-2019 - 00:00,30.27,0.59,24.98,1.45,36.94,19.87,19.78,7.4,39.07,81.24,1.61,7.3,0.67,29.57,56.82,3.29,153.72,285.49,711.22,0.06,0.0,21-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Mar-2019 - 00:00,,1.44,11.14,4.92,44.57,25.44,59.62,1.6,33.5,,2.54,7.83,0.85,,,,,,,0.0,,22-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Mar-2019 - 00:00,30.17,0.81,19.15,0.73,44.84,23.21,15.57,21.54,34.02,107.61,4.39,57.69,20.9,32.22,44.56,1.94,186.07,318.69,712.84,0.05,0.0,23-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Mar-2019 - 00:00,28.55,0.77,16.85,5.23,54.74,31.56,15.06,15.48,42.64,106.36,3.12,47.28,3.43,31.07,48.96,1.61,137.72,224.07,712.57,0.0,0.0,24-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Mar-2019 - 00:00,24.66,0.65,25.88,5.12,49.9,28.74,12.52,17.86,52.11,116.81,3.69,40.0,1.87,31.57,46.41,1.6,124.09,232.04,712.19,0.0,0.0,25-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Mar-2019 - 00:00,26.63,0.69,25.98,5.7,53.38,30.47,13.73,9.48,51.18,119.22,4.23,19.87,1.63,31.38,45.69,1.88,134.08,233.04,712.44,0.0,0.0,26-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Mar-2019 - 00:00,25.67,0.56,22.14,4.29,53.43,30.7,11.63,12.59,49.81,110.17,3.55,34.36,6.27,31.85,43.39,1.58,169.75,234.08,712.96,0.0,0.0,27-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Mar-2019 - 00:00,29.81,0.66,22.57,5.63,58.58,33.65,14.86,9.28,52.3,112.19,3.84,27.58,4.49,31.81,44.69,1.7,165.62,230.02,713.96,0.0,0.0,28-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Mar-2019 - 00:00,30.85,0.67,23.4,4.69,58.66,33.5,20.1,22.54,51.27,130.55,5.03,63.42,4.51,32.08,41.99,1.68,150.99,242.08,713.25,0.0,0.0,29-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
29-Mar-2019 - 00:00,32.86,0.82,24.82,6.23,58.42,33.79,32.85,18.29,53.52,135.03,4.64,44.7,3.5,32.27,39.2,1.56,139.61,178.42,711.36,0.01,0.0,30-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
30-Mar-2019 - 00:00,30.73,0.74,41.44,9.18,52.07,31.16,18.14,7.64,54.72,131.45,4.11,34.22,2.1,35.28,33.84,1.87,137.36,314.21,711.1,0.0,0.0,31-Mar-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
31-Mar-2019 - 00:00,35.32,0.77,27.47,7.17,58.21,33.89,35.37,5.32,44.05,114.86,3.04,18.81,10.31,29.62,43.5,1.77,217.42,6.0,711.33,0.0,0.0,01-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Apr-2019 - 00:00,31.46,0.5,21.92,4.48,52.94,30.42,13.94,5.91,30.91,105.67,2.74,45.98,18.59,34.84,32.98,1.29,185.69,286.19,711.13,0.01,0.0,02-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Apr-2019 - 00:00,30.6,0.61,28.65,4.51,48.26,27.76,16.29,5.09,37.28,106.41,3.69,31.26,3.63,32.29,41.57,1.69,152.2,264.17,711.01,0.0,0.0,03-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Apr-2019 - 00:00,30.45,0.63,25.61,4.12,44.05,25.65,16.95,4.79,40.43,105.42,4.32,30.15,2.15,30.9,50.84,2.09,136.58,214.42,711.4,0.0,0.0,04-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Apr-2019 - 00:00,30.41,0.56,28.47,4.47,42.68,25.16,13.06,5.19,39.93,102.48,2.12,17.85,1.81,30.95,47.96,2.82,181.56,238.01,712.35,0.0,0.0,05-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Apr-2019 - 00:00,30.14,0.53,31.87,5.5,45.13,26.09,13.94,7.74,30.6,87.34,2.55,38.86,10.3,30.46,43.27,2.56,221.67,212.27,712.98,0.0,0.0,06-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Apr-2019 - 00:00,29.93,0.53,32.76,4.63,43.75,25.47,12.42,6.5,31.2,72.31,2.28,20.04,10.13,30.76,42.25,2.39,222.84,235.49,712.09,0.0,0.0,07-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Apr-2019 - 00:00,29.99,0.51,30.99,5.35,38.39,22.51,11.64,4.05,28.73,77.66,1.67,11.4,3.38,31.44,45.17,2.64,201.06,255.89,711.44,0.0,0.0,08-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Apr-2019 - 00:00,29.65,0.56,28.3,4.78,40.35,23.59,11.6,4.26,27.26,72.92,2.72,11.2,3.32,31.26,43.2,2.42,189.35,272.43,710.7,0.0,0.0,09-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Apr-2019 - 00:00,29.34,0.57,24.86,4.85,47.26,27.3,11.51,4.61,30.47,74.23,2.27,13.89,1.79,30.18,46.04,2.43,176.55,233.75,711.14,0.0,0.0,10-Apr-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
