from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
25-Mar-2019 - 00:00,130.38,51.72,32.69,19.06,51.75,1.0,0.0,27.25,0.0,0.0,0.0,0.0,26-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Mar-2019 - 00:00,168.9,66.71,36.42,20.65,57.07,1.63,0.0,25.87,0.0,0.0,0.0,0.0,27-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Mar-2019 - 00:00,206.99,79.14,38.33,17.65,52.41,2.13,0.0,27.57,0.0,0.0,0.0,0.0,28-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Mar-2019 - 00:00,267.81,117.37,71.79,34.49,102.76,2.43,0.0,35.61,0.0,0.0,0.0,0.0,29-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-Mar-2019 - 00:00,254.77,121.16,119.45,47.92,167.11,2.29,0.0,37.58,0.0,0.0,0.0,0.0,30-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
30-Mar-2019 - 00:00,254.49,115.53,106.45,45.03,151.5,2.02,0.0,50.97,0.0,0.0,0.0,0.0,31-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
31-Mar-2019 - 00:00,202.86,61.97,79.89,49.17,129.05,1.48,0.0,26.48,0.0,0.0,0.0,0.0,01-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Apr-2019 - 00:00,175.21,47.35,61.52,53.02,114.53,1.3,0.0,24.05,0.0,0.0,0.0,0.0,02-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Apr-2019 - 00:00,236.84,98.36,128.88,51.62,166.35,2.02,0.0,34.01,0.0,0.0,0.0,0.0,03-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Apr-2019 - 00:00,229.73,89.22,101.68,40.56,141.77,2.19,0.0,36.7,0.0,0.0,0.0,0.0,04-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Apr-2019 - 00:00,310.48,138.84,156.15,38.76,170.27,2.64,0.0,53.68,0.0,0.0,0.0,0.0,05-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Apr-2019 - 00:00,334.15,145.36,196.68,35.84,218.75,3.07,0.0,44.49,0.0,0.0,0.0,0.0,06-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Apr-2019 - 00:00,274.61,93.52,87.93,26.97,99.57,1.28,0.0,33.58,0.0,0.0,0.0,0.0,07-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Apr-2019 - 00:00,319.92,144.47,252.27,20.48,260.1,0.65,0.0,27.37,0.0,0.0,0.0,0.0,08-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Apr-2019 - 00:00,192.75,71.31,241.57,20.44,203.77,0.27,0.0,23.43,0.0,0.0,0.0,0.0,09-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Apr-2019 - 00:00,186.63,83.49,122.6,28.69,105.68,1.73,0.0,47.88,0.0,0.0,0.0,0.0,10-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Apr-2019 - 00:00,269.04,115.19,142.53,45.17,171.48,2.83,0.0,45.79,0.0,0.0,0.0,0.0,11-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Apr-2019 - 00:00,217.09,77.31,106.7,38.1,144.73,1.63,0.0,30.04,0.0,0.0,0.0,0.0,12-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Apr-2019 - 00:00,212.06,60.76,106.61,29.59,117.86,1.38,0.0,32.06,0.0,0.0,0.0,0.0,13-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Apr-2019 - 00:00,162.36,50.75,65.45,19.62,85.08,1.14,0.0,29.78,0.0,0.0,0.0,0.0,14-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Apr-2019 - 00:00,169.1,46.41,66.82,24.11,90.93,1.43,0.0,27.15,0.0,0.0,0.0,0.0,15-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Apr-2019 - 00:00,192.24,66.49,118.76,27.15,145.89,2.1,0.0,24.93,0.0,0.0,0.0,0.0,16-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Apr-2019 - 00:00,218.09,36.31,14.9,11.86,23.98,1.04,0.0,37.83,0.0,0.0,0.0,0.0,17-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Apr-2019 - 00:00,60.64,25.01,26.84,14.98,24.47,1.12,0.0,31.83,0.0,0.0,0.0,0.0,18-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Apr-2019 - 00:00,89.83,32.04,46.7,23.95,41.97,1.47,0.0,34.96,0.0,0.0,0.0,0.0,19-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Apr-2019 - 00:00,160.08,62.34,46.35,16.61,55.39,1.93,0.0,32.59,0.0,0.0,0.0,0.0,20-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Apr-2019 - 00:00,179.23,78.54,54.77,7.83,62.2,2.1,0.0,44.2,0.0,0.0,0.0,0.0,21-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Apr-2019 - 00:00,219.19,99.16,81.98,9.78,87.71,2.39,0.0,29.46,0.0,0.0,0.0,0.0,22-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Apr-2019 - 00:00,271.13,131.33,138.93,13.93,116.97,2.76,0.0,50.99,0.0,0.0,0.0,0.0,23-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-Apr-2019 - 00:00,244.9,122.27,62.11,28.76,76.09,2.53,0.0,33.5,0.0,0.0,0.0,0.0,24-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Apr-2019 - 00:00,226.3,75.22,0.19,24.73,21.07,1.68,0.0,46.11,0.0,0.0,0.0,0.0,25-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
25-Apr-2019 - 00:00,227.12,75.07,0.25,24.55,20.56,1.34,0.0,57.62,0.0,0.0,0.0,0.0,26-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Apr-2019 - 00:00,254.55,86.71,0.52,27.7,23.85,2.67,0.0,38.3,0.0,0.0,0.0,0.0,27-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Apr-2019 - 00:00,288.96,63.92,0.07,26.52,22.64,2.1,0.0,22.24,0.0,0.0,0.0,0.0,28-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Apr-2019 - 00:00,278.49,72.36,,26.21,22.47,2.24,0.0,22.67,0.0,0.0,0.0,0.0,29-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-Apr-2019 - 00:00,307.24,90.72,,27.42,23.78,3.11,0.0,25.72,0.0,0.0,0.0,0.0,30-Apr-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
30-Apr-2019 - 00:00,334.11,102.84,0.51,26.74,23.23,2.15,0.0,55.28,0.0,0.0,0.0,0.0,01-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-May-2019 - 00:00,319.32,118.22,0.2,26.2,22.59,2.3,0.0,66.83,0.0,0.0,0.0,0.0,02-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-May-2019 - 00:00,241.91,80.04,9.67,22.87,23.06,1.52,0.0,57.85,0.0,0.0,0.0,0.0,03-May-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
