from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
23-Feb-2019 - 00:00,88.42,34.93,45.4,20.54,18.92,0.51,0.0,35.38,24-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
24-Feb-2019 - 00:00,134.45,60.99,9.61,7.85,17.46,0.67,,37.93,25-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
25-Feb-2019 - 00:00,140.67,65.28,13.84,8.98,22.82,0.73,,33.54,26-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
26-Feb-2019 - 00:00,93.58,45.15,11.5,7.55,19.05,0.64,,28.86,27-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
27-Feb-2019 - 00:00,88.9,46.54,9.01,6.56,15.57,0.57,,43.12,28-Feb-2019 - 00:00,"Sector - 62, Noida - IMD"
28-Feb-2019 - 00:00,175.65,86.43,18.4,10.29,28.7,0.71,,43.61,01-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
01-Mar-2019 - 00:00,205.66,98.22,24.17,11.45,35.62,0.77,,44.22,02-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
02-Mar-2019 - 00:00,202.43,110.69,18.9,9.84,28.74,0.91,,41.96,03-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
03-Mar-2019 - 00:00,91.7,50.78,13.32,7.72,21.04,0.69,,23.62,04-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
04-Mar-2019 - 00:00,186.19,95.13,34.83,14.01,48.84,1.01,,35.35,05-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
05-Mar-2019 - 00:00,110.26,55.73,17.17,8.53,25.7,0.7,,21.95,06-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
06-Mar-2019 - 00:00,168.78,71.25,21.13,10.02,31.15,0.79,,32.21,07-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
07-Mar-2019 - 00:00,204.53,91.34,28.06,12.16,40.22,0.93,,42.55,08-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
08-Mar-2019 - 00:00,186.75,83.03,20.06,9.97,30.03,0.81,,46.27,09-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
09-Mar-2019 - 00:00,154.43,73.08,20.88,9.85,30.73,0.73,,41.27,10-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
10-Mar-2019 - 00:00,147.71,53.3,15.15,8.39,23.54,0.66,,35.53,11-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
11-Mar-2019 - 00:00,190.7,74.11,17.14,9.05,26.19,0.77,,33.92,12-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
12-Mar-2019 - 00:00,126.09,54.82,19.07,8.93,28.0,0.72,,40.49,13-Mar-2019 - 00:00,"Sector - 62, Noida - IMD"
