from date,PM10,PM2.5,NO2,NO,NOx,CO,to date,station
25-Mar-2019 - 00:00,104.83,37.31,1.39,9.9,11.33,0.52,26-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Mar-2019 - 00:00,107.54,35.01,1.4,9.99,11.32,0.3,27-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Mar-2019 - 00:00,68.64,26.79,1.39,9.86,11.21,0.35,28-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Mar-2019 - 00:00,80.56,30.15,1.39,9.91,11.27,0.38,29-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Mar-2019 - 00:00,102.72,42.23,1.4,9.94,11.35,0.43,30-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Mar-2019 - 00:00,125.05,46.37,1.41,9.94,11.25,0.63,31-Mar-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
31-Mar-2019 - 00:00,132.79,48.21,1.38,9.94,11.27,0.32,01-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Apr-2019 - 00:00,92.28,38.02,1.39,9.89,11.27,0.34,02-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Apr-2019 - 00:00,108.84,41.87,1.39,9.88,11.28,0.46,03-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Apr-2019 - 00:00,104.76,40.55,1.4,9.86,11.23,0.58,04-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Apr-2019 - 00:00,116.39,47.37,1.4,9.89,11.29,0.67,05-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Apr-2019 - 00:00,182.6,62.26,,,,,06-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Apr-2019 - 00:00,117.68,49.06,,,,,07-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Apr-2019 - 00:00,150.94,43.55,,,,,08-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Apr-2019 - 00:00,132.66,46.9,,,,0.13,09-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Apr-2019 - 00:00,100.88,43.9,,,,,10-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Apr-2019 - 00:00,94.65,39.89,,,,,11-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Apr-2019 - 00:00,138.52,64.79,,,,,12-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Apr-2019 - 00:00,87.58,40.28,,,,0.12,13-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Apr-2019 - 00:00,88.51,53.51,,,,,14-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Apr-2019 - 00:00,90.89,41.29,,,,,15-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Apr-2019 - 00:00,107.58,50.61,,,,,16-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Apr-2019 - 00:00,86.3,94.77,,,,,17-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Apr-2019 - 00:00,68.83,,,,,,18-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Apr-2019 - 00:00,68.39,,,,,0.14,19-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Apr-2019 - 00:00,83.78,34.81,,,,0.11,20-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Apr-2019 - 00:00,80.45,31.47,,,,,21-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Apr-2019 - 00:00,66.86,26.29,,,,,22-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Apr-2019 - 00:00,82.25,30.9,,,,0.09,23-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Apr-2019 - 00:00,71.13,39.36,,,,0.09,24-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Apr-2019 - 00:00,75.45,47.42,,,,0.1,25-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Apr-2019 - 00:00,75.14,45.55,,,,0.1,26-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Apr-2019 - 00:00,81.0,44.93,,,,0.1,27-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Apr-2019 - 00:00,85.12,53.76,,,,0.11,28-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Apr-2019 - 00:00,81.11,54.51,,,,0.1,29-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Apr-2019 - 00:00,80.32,50.02,,,,0.1,30-Apr-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Apr-2019 - 00:00,79.17,46.65,,,,0.1,01-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-May-2019 - 00:00,69.97,37.55,,,,0.09,02-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-May-2019 - 00:00,93.3,49.93,,,,0.12,03-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-May-2019 - 00:00,94.68,51.07,,,,0.12,04-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-May-2019 - 00:00,70.02,37.55,,,,0.09,05-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-May-2019 - 00:00,64.17,35.88,,,,0.07,06-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-May-2019 - 00:00,69.15,40.79,,,,0.09,07-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-May-2019 - 00:00,82.81,38.41,,,,0.1,08-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-May-2019 - 00:00,69.61,36.36,,,,0.09,09-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-May-2019 - 00:00,65.55,38.4,,,,0.08,10-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-May-2019 - 00:00,54.14,30.51,,,,0.07,11-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-May-2019 - 00:00,51.19,26.08,,,,0.07,12-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-May-2019 - 00:00,97.01,47.34,,,,0.13,13-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-May-2019 - 00:00,93.1,38.0,,,,0.07,14-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-May-2019 - 00:00,51.1,20.81,,,,0.06,15-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-May-2019 - 00:00,78.47,28.19,,,,0.43,16-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-May-2019 - 00:00,,39.04,,,,1.25,17-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-May-2019 - 00:00,148.23,43.27,,,,0.69,18-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-May-2019 - 00:00,109.22,35.09,,,,0.22,19-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-May-2019 - 00:00,51.91,23.9,,,,0.07,20-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-May-2019 - 00:00,53.65,27.02,,,,0.07,21-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-May-2019 - 00:00,76.32,40.4,,,,0.09,22-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-May-2019 - 00:00,82.74,33.07,,,,0.08,23-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-May-2019 - 00:00,94.4,31.04,,,,0.1,24-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-May-2019 - 00:00,95.59,57.58,,,,0.1,25-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-May-2019 - 00:00,79.3,43.97,,,,,26-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-May-2019 - 00:00,58.25,31.85,,,,,27-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-May-2019 - 00:00,62.92,36.29,,,,0.06,28-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-May-2019 - 00:00,73.04,41.9,,,,,29-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-May-2019 - 00:00,60.62,36.04,,,,,30-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-May-2019 - 00:00,75.92,46.28,,,,,31-May-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
31-May-2019 - 00:00,69.61,39.29,,,,0.09,01-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Jun-2019 - 00:00,63.93,32.75,,,,0.07,02-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Jun-2019 - 00:00,56.05,31.74,,,,0.07,03-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Jun-2019 - 00:00,79.32,39.63,,,,0.1,04-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Jun-2019 - 00:00,88.11,48.53,,,,0.12,05-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Jun-2019 - 00:00,97.43,54.15,,,,0.12,06-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Jun-2019 - 00:00,103.59,54.94,,,,0.13,07-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Jun-2019 - 00:00,103.31,85.62,,,,0.09,08-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Jun-2019 - 00:00,85.38,33.36,,,,,09-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Jun-2019 - 00:00,89.29,27.38,,,,,10-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Jun-2019 - 00:00,105.54,25.69,,,,0.14,11-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Jun-2019 - 00:00,91.87,18.36,,,,0.09,12-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Jun-2019 - 00:00,93.54,20.71,,,,,13-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Jun-2019 - 00:00,56.71,17.2,,,,,14-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Jun-2019 - 00:00,32.49,13.13,,,,0.04,15-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Jun-2019 - 00:00,41.08,19.24,,,,0.05,16-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Jun-2019 - 00:00,58.33,17.67,,,,0.08,17-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Jun-2019 - 00:00,67.15,20.87,,,,0.08,18-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Jun-2019 - 00:00,60.09,18.68,,,,0.07,19-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Jun-2019 - 00:00,47.68,17.81,,,,0.06,20-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Jun-2019 - 00:00,28.87,10.47,,,,0.02,21-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Jun-2019 - 00:00,51.29,22.23,,,,0.09,22-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Jun-2019 - 00:00,77.62,29.58,,,,0.08,23-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Jun-2019 - 00:00,37.33,15.39,,,,0.47,24-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Jun-2019 - 00:00,46.88,19.67,,,,,25-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Jun-2019 - 00:00,52.4,17.4,,,,0.13,26-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Jun-2019 - 00:00,43.46,12.49,,,,,27-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Jun-2019 - 00:00,36.25,13.84,,,,,28-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Jun-2019 - 00:00,42.54,16.85,,,,0.02,29-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Jun-2019 - 00:00,35.33,16.21,,,,,30-Jun-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Jun-2019 - 00:00,51.32,84.28,,,,1.25,01-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Jul-2019 - 00:00,39.1,,,,,,02-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Jul-2019 - 00:00,32.08,,,,,,03-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Jul-2019 - 00:00,15.04,,,,,,04-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Jul-2019 - 00:00,127.0,,,,,,05-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Jul-2019 - 00:00,,,,,,,06-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Jul-2019 - 00:00,12.09,9.92,,,,,07-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Jul-2019 - 00:00,38.33,17.08,,,,,08-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Jul-2019 - 00:00,32.0,14.31,,,,,09-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Jul-2019 - 00:00,68.08,22.33,,,,0.09,10-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Jul-2019 - 00:00,64.55,19.71,,,,0.09,11-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Jul-2019 - 00:00,75.67,22.91,,,,0.1,12-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Jul-2019 - 00:00,96.33,24.92,,,,0.11,13-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Jul-2019 - 00:00,71.92,19.9,,,,0.1,14-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Jul-2019 - 00:00,69.3,18.7,,,,0.08,15-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Jul-2019 - 00:00,79.91,22.96,,,,0.11,16-Jul-2019 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
