from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
