from date,NO2,SO2,CO,PM10,PM2.5,to date,station
10-Mar-2019 - 00:00,8.04,7.23,0.4,128.49,57.09,11-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Mar-2019 - 00:00,8.57,6.69,0.39,119.01,55.0,12-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Mar-2019 - 00:00,9.35,7.44,0.36,109.19,44.67,13-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Mar-2019 - 00:00,9.02,7.18,0.39,88.11,38.32,14-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Mar-2019 - 00:00,9.57,6.85,0.36,82.36,36.79,15-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Mar-2019 - 00:00,9.22,7.27,0.38,95.84,39.02,16-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Mar-2019 - 00:00,8.62,7.24,0.38,112.64,51.09,17-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Mar-2019 - 00:00,8.06,7.15,0.4,133.33,62.1,18-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Mar-2019 - 00:00,7.01,7.36,0.35,157.43,68.82,19-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Mar-2019 - 00:00,6.53,6.96,0.37,129.66,53.52,20-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Mar-2019 - 00:00,5.99,7.28,0.4,83.29,33.6,21-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Mar-2019 - 00:00,5.43,7.19,0.39,59.21,23.99,22-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Mar-2019 - 00:00,6.13,6.96,0.38,85.13,32.77,23-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Mar-2019 - 00:00,6.38,7.01,0.39,112.56,47.13,24-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Mar-2019 - 00:00,5.69,7.19,0.38,112.45,50.52,25-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Mar-2019 - 00:00,,6.67,0.39,118.0,53.48,26-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Mar-2019 - 00:00,,7.28,0.36,123.7,47.03,27-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Mar-2019 - 00:00,1.36,7.16,0.4,127.88,56.66,28-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Mar-2019 - 00:00,3.06,7.19,0.38,135.12,57.59,29-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Mar-2019 - 00:00,5.32,9.1,0.36,47.84,29.96,30-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Mar-2019 - 00:00,3.57,7.76,0.4,70.18,49.54,31-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
31-Mar-2019 - 00:00,2.33,6.83,0.43,34.68,52.9,01-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Apr-2019 - 00:00,8.07,6.65,0.37,29.74,43.26,02-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Apr-2019 - 00:00,8.17,7.11,0.36,38.87,34.42,03-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Apr-2019 - 00:00,6.75,8.06,0.38,41.87,31.13,04-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Apr-2019 - 00:00,6.47,6.17,0.39,47.24,35.86,05-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Apr-2019 - 00:00,8.14,6.92,0.38,47.23,35.67,06-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Apr-2019 - 00:00,8.19,7.14,0.37,50.15,41.73,07-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Apr-2019 - 00:00,7.17,7.99,0.37,37.73,28.12,08-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Apr-2019 - 00:00,3.58,7.17,0.41,46.14,35.19,09-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Apr-2019 - 00:00,3.85,7.38,0.4,50.45,53.03,10-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Apr-2019 - 00:00,1.69,7.68,0.44,44.0,40.46,11-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Apr-2019 - 00:00,1.69,6.75,0.38,44.62,37.39,12-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Apr-2019 - 00:00,4.71,6.07,0.42,48.99,39.21,13-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Apr-2019 - 00:00,5.35,8.35,0.38,41.31,31.07,14-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Apr-2019 - 00:00,3.89,6.34,0.41,52.95,37.79,15-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Apr-2019 - 00:00,7.88,6.91,0.4,37.55,31.92,16-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Apr-2019 - 00:00,7.96,6.93,0.41,44.75,33.35,17-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Apr-2019 - 00:00,8.61,7.14,0.38,44.73,26.66,18-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Apr-2019 - 00:00,8.86,7.43,0.38,40.67,22.15,19-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Apr-2019 - 00:00,8.93,7.48,0.38,40.36,36.52,20-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Apr-2019 - 00:00,7.49,6.65,0.39,44.39,48.19,21-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Apr-2019 - 00:00,7.66,9.07,0.36,52.49,58.1,22-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Apr-2019 - 00:00,8.26,8.26,0.42,41.08,21.38,23-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Apr-2019 - 00:00,7.67,7.08,0.38,49.62,30.96,24-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Apr-2019 - 00:00,8.36,6.56,0.36,56.95,44.85,25-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Apr-2019 - 00:00,8.77,7.14,0.39,43.37,32.36,26-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Apr-2019 - 00:00,8.71,7.18,0.39,49.31,34.72,27-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Apr-2019 - 00:00,8.44,7.55,0.3,86.44,51.02,28-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Apr-2019 - 00:00,8.23,8.61,0.18,194.65,107.38,29-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Apr-2019 - 00:00,7.76,8.54,0.24,174.71,102.19,30-Apr-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Apr-2019 - 00:00,7.85,9.23,0.21,165.76,89.14,01-May-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
