from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
13-Jan-2019 - 00:00,0.58,12.33,15.21,39.37,31.82,1.3,42.9,256.85,166.33,13.2,11.1,15.1,5.76,11.89,,1.0,250.55,0.0,,14-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Jan-2019 - 00:00,0.48,8.2,10.04,27.02,17.27,0.7,36.57,129.63,57.77,5.66,5.12,7.52,2.82,6.15,,1.7,308.68,0.0,,15-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Jan-2019 - 00:00,45.28,38.66,18.73,82.54,24.7,1.11,31.72,171.51,90.97,8.72,8.01,13.23,4.6,10.84,,0.95,247.66,0.0,,16-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Jan-2019 - 00:00,55.56,41.12,15.08,96.8,32.12,1.28,48.3,248.63,145.86,12.21,9.23,18.65,5.84,13.61,,0.68,158.83,0.0,,17-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
17-Jan-2019 - 00:00,90.67,79.16,45.23,163.72,39.02,1.67,35.47,338.26,183.47,16.91,8.93,14.14,5.84,12.5,,0.63,177.93,0.0,,18-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
18-Jan-2019 - 00:00,75.04,58.42,25.51,125.14,21.46,1.51,14.69,282.45,165.4,12.5,7.7,12.5,4.93,10.98,,0.62,186.7,0.0,,19-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
19-Jan-2019 - 00:00,72.19,74.51,45.88,134.92,29.09,1.72,17.28,359.83,207.86,17.79,11.33,19.05,7.27,16.2,,0.53,186.39,0.0,,20-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
20-Jan-2019 - 00:00,47.1,39.29,18.31,99.69,28.08,1.25,23.97,272.65,153.61,22.31,12.18,18.04,7.87,15.96,,0.56,186.35,0.0,,21-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
21-Jan-2019 - 00:00,35.91,23.79,6.88,63.52,18.22,0.95,33.9,157.27,85.69,9.49,8.24,9.12,3.66,7.94,,1.63,164.82,0.0,,22-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
22-Jan-2019 - 00:00,49.41,56.13,45.14,114.89,12.02,1.06,20.83,107.72,68.05,7.31,6.72,9.88,4.57,8.77,92.53,1.19,109.22,0.0,2.3,23-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
23-Jan-2019 - 00:00,54.37,64.87,48.52,118.2,13.63,1.36,11.76,123.9,83.93,10.9,8.36,13.35,5.63,12.62,96.16,0.65,164.72,0.0,0.2,24-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
24-Jan-2019 - 00:00,51.58,50.12,31.89,98.6,16.61,1.3,19.64,181.72,119.0,13.11,8.59,11.9,4.92,11.52,90.83,0.83,199.58,0.0,0.2,25-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
25-Jan-2019 - 00:00,47.36,37.45,18.87,79.15,13.84,0.92,22.72,96.03,55.84,5.58,7.54,7.89,3.45,7.75,83.48,0.99,186.62,0.0,0.2,26-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
26-Jan-2019 - 00:00,47.82,34.16,14.44,76.73,17.55,0.97,31.19,153.68,89.27,7.12,5.63,6.28,3.11,7.05,69.86,1.24,262.81,0.0,,27-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
27-Jan-2019 - 00:00,53.8,38.89,16.44,85.58,11.57,1.02,29.67,146.37,89.3,7.55,5.74,5.99,2.69,5.96,70.8,1.3,315.57,0.0,,28-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
28-Jan-2019 - 00:00,59.89,43.42,18.12,92.28,16.35,0.98,32.71,142.14,72.26,6.48,5.82,7.04,3.16,7.26,61.5,1.43,317.4,0.0,,29-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
29-Jan-2019 - 00:00,64.05,51.47,25.45,104.62,16.38,1.04,34.22,150.02,71.33,7.07,3.98,8.35,3.24,7.82,54.93,1.2,265.39,0.0,,30-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
30-Jan-2019 - 00:00,68.05,61.07,35.07,119.84,21.27,1.35,27.15,229.35,116.66,8.46,0.87,10.23,4.02,10.1,60.65,0.73,182.0,0.0,,31-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
31-Jan-2019 - 00:00,39.29,34.78,20.83,79.27,22.5,1.09,47.16,234.88,103.68,6.34,0.34,2.71,1.37,2.93,61.41,1.0,156.37,0.0,,01-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
01-Feb-2019 - 00:00,40.1,31.06,15.6,75.36,13.03,1.28,28.14,257.57,118.87,6.7,0.42,1.81,1.23,2.77,74.73,1.31,242.17,0.0,,02-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Feb-2019 - 00:00,57.66,46.34,23.22,93.49,18.07,1.26,16.25,271.95,107.16,5.67,0.34,1.53,1.38,2.92,97.04,1.19,277.77,0.0,,03-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Feb-2019 - 00:00,41.16,32.75,17.03,71.66,8.06,1.36,22.02,246.14,88.41,7.24,0.32,1.29,1.12,2.48,98.19,0.76,260.01,0.0,,04-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Feb-2019 - 00:00,53.09,47.22,27.49,94.09,12.81,1.6,27.07,295.09,118.17,11.45,0.58,4.06,2.46,5.62,83.22,0.63,175.37,0.0,0.2,05-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Feb-2019 - 00:00,50.49,42.93,23.66,95.68,36.49,1.52,47.2,330.72,157.65,11.55,0.69,4.83,2.35,4.79,71.9,1.05,146.78,0.0,,06-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Feb-2019 - 00:00,20.46,14.29,7.48,45.56,12.82,1.36,54.26,142.48,92.55,8.15,0.26,1.04,0.63,1.16,77.28,1.01,180.75,0.0,1.4,07-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
07-Feb-2019 - 00:00,21.54,13.29,6.14,46.77,11.08,1.3,34.15,100.54,56.32,5.81,0.27,0.79,0.85,1.1,83.44,1.27,173.97,0.0,0.64,08-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Feb-2019 - 00:00,59.77,47.32,27.63,99.47,18.29,1.0,25.12,166.38,53.14,2.97,0.59,1.77,1.44,2.84,64.88,1.45,253.16,0.0,,09-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Feb-2019 - 00:00,58.29,56.73,35.77,53.99,15.06,1.41,24.8,103.56,55.34,4.18,0.34,2.71,2.03,4.89,67.9,1.19,275.51,0.0,,10-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Feb-2019 - 00:00,57.55,55.75,35.02,19.18,16.23,1.66,13.98,145.99,94.42,9.62,0.69,5.98,3.25,6.01,70.53,0.8,177.14,0.0,,11-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Feb-2019 - 00:00,74.71,72.72,45.01,23.54,23.95,1.86,14.67,201.04,134.55,9.49,0.86,5.67,3.3,6.01,69.96,0.56,169.49,0.0,,12-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Feb-2019 - 00:00,80.43,68.49,36.01,21.77,31.47,1.93,20.91,214.96,142.89,7.94,1.03,12.14,4.31,10.8,65.74,0.56,162.97,0.0,,13-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
13-Feb-2019 - 00:00,66.49,48.25,19.84,22.53,33.53,2.11,24.43,218.1,145.08,10.95,0.86,6.9,3.82,8.52,64.36,0.7,169.29,0.0,,14-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Feb-2019 - 00:00,28.78,17.07,5.54,21.37,19.68,1.85,28.92,152.88,100.14,6.31,0.3,1.29,0.74,1.54,65.33,1.91,150.73,0.0,0.43,15-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Feb-2019 - 00:00,45.07,51.68,38.14,17.16,12.3,1.99,10.16,137.28,90.45,5.97,0.46,2.18,1.52,3.63,87.66,0.91,214.34,0.0,,16-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Feb-2019 - 00:00,37.08,27.7,13.38,16.01,10.64,1.73,26.08,103.73,71.77,3.76,0.4,1.74,1.2,2.91,88.82,1.18,288.51,0.0,,17-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
17-Feb-2019 - 00:00,45.27,32.37,13.87,14.85,14.3,1.88,29.78,100.62,55.28,6.59,0.31,1.88,1.23,3.08,78.1,0.89,260.39,0.0,0.2,18-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
18-Feb-2019 - 00:00,39.77,27.98,11.97,18.75,19.34,2.0,42.73,149.45,87.15,5.29,0.39,2.4,1.27,2.97,66.56,0.98,164.2,0.0,0.2,19-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
19-Feb-2019 - 00:00,46.01,35.91,17.81,16.4,16.81,1.9,27.88,119.24,61.78,4.97,0.54,4.73,1.97,5.08,74.24,0.92,171.47,0.0,0.2,20-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
20-Feb-2019 - 00:00,44.37,29.52,10.9,19.57,21.37,2.21,23.1,166.37,89.83,6.14,0.49,3.32,1.72,3.79,77.75,1.39,143.44,0.0,,21-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
21-Feb-2019 - 00:00,36.52,27.01,12.89,18.24,20.17,2.43,33.76,158.82,69.34,5.26,0.45,1.98,1.45,3.06,70.66,1.05,160.28,0.0,,22-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
22-Feb-2019 - 00:00,32.31,22.08,9.48,17.53,14.48,2.2,23.61,101.0,54.85,3.15,0.52,1.25,1.15,2.66,94.84,1.75,310.15,0.0,,23-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
23-Feb-2019 - 00:00,47.39,31.14,10.96,13.51,13.47,1.97,36.58,73.79,37.49,2.75,0.22,1.0,0.69,1.63,,1.55,246.0,0.0,,24-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
24-Feb-2019 - 00:00,54.99,40.18,17.28,14.92,17.67,2.22,36.48,101.92,58.4,4.27,0.29,1.79,0.91,2.22,64.0,0.77,208.79,0.0,,25-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
25-Feb-2019 - 00:00,47.63,31.88,11.73,19.24,18.75,2.39,43.59,147.94,86.25,4.97,0.44,3.58,1.76,4.48,59.94,1.12,156.49,0.0,,26-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
26-Feb-2019 - 00:00,40.87,29.29,12.9,16.51,22.9,2.24,36.41,111.91,44.72,4.09,0.35,2.65,1.24,3.32,67.84,1.25,142.32,0.0,,27-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
27-Feb-2019 - 00:00,54.31,54.39,35.22,13.95,21.03,2.2,27.12,78.26,41.24,3.08,0.35,3.08,1.45,3.96,74.56,0.99,86.61,0.0,,28-Feb-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
28-Feb-2019 - 00:00,58.34,46.3,22.73,16.08,13.61,2.16,29.45,113.36,61.01,5.41,0.62,8.22,3.23,9.14,65.78,1.06,195.93,0.0,,01-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
01-Mar-2019 - 00:00,66.1,72.24,50.04,15.18,14.08,2.16,31.96,161.54,65.34,5.05,0.51,7.4,2.77,8.31,57.84,0.77,152.99,0.0,,02-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Mar-2019 - 00:00,62.23,46.17,20.05,18.54,21.57,2.38,26.49,249.59,80.94,5.6,0.72,9.26,3.49,9.93,77.18,1.18,115.42,0.0,0.36,03-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Mar-2019 - 00:00,32.21,18.66,5.29,16.36,19.44,2.24,32.7,117.48,36.24,2.69,0.24,1.27,0.73,1.79,80.71,0.93,138.86,0.0,0.42,04-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Mar-2019 - 00:00,38.47,37.93,25.24,15.95,18.6,2.17,22.54,85.23,52.28,6.71,0.29,1.44,1.16,2.58,87.01,0.73,226.82,0.0,1.9,05-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Mar-2019 - 00:00,51.9,41.3,20.69,14.02,15.59,1.93,28.79,70.79,43.11,3.45,0.35,2.72,1.23,3.3,69.47,1.11,220.12,0.0,0.2,06-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Mar-2019 - 00:00,58.2,51.59,29.35,14.95,15.36,2.12,30.4,102.09,62.03,4.9,0.59,9.02,3.29,8.95,58.63,1.2,197.6,0.0,,07-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
07-Mar-2019 - 00:00,53.86,35.97,12.77,19.64,16.99,2.26,37.7,156.73,88.21,5.52,0.68,9.2,3.39,8.49,54.47,0.89,165.35,0.0,,08-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Mar-2019 - 00:00,75.13,67.32,42.08,17.29,24.47,2.32,28.44,143.93,74.32,6.11,1.55,10.47,4.28,10.47,57.9,0.9,89.39,0.0,,09-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Mar-2019 - 00:00,46.97,33.44,14.1,15.83,23.76,2.07,29.9,112.36,54.3,3.61,0.32,1.19,0.82,1.95,62.9,1.28,64.95,0.0,,10-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Mar-2019 - 00:00,51.25,32.3,9.88,15.34,18.43,1.99,40.13,94.18,50.83,4.42,0.37,1.98,1.08,2.7,55.0,0.97,145.7,0.0,,11-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Mar-2019 - 00:00,32.55,17.62,3.76,17.06,34.46,1.97,69.45,112.88,66.0,5.2,0.39,0.72,0.6,0.95,45.12,1.74,177.44,0.0,,12-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Mar-2019 - 00:00,48.27,28.81,10.13,19.67,28.83,1.75,43.0,118.33,80.01,3.32,0.34,3.88,1.64,3.57,52.18,1.73,187.53,0.0,,13-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
13-Mar-2019 - 00:00,83.45,63.31,27.57,15.03,37.95,2.32,23.87,167.29,86.65,8.5,1.02,10.88,3.92,10.52,64.2,0.94,178.87,0.0,,14-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Mar-2019 - 00:00,68.29,89.58,70.22,19.43,20.7,2.33,18.7,170.55,98.1,7.64,2.23,11.82,4.81,12.1,77.96,2.01,221.09,0.0,0.2,15-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Mar-2019 - 00:00,32.8,32.5,22.16,17.66,13.34,1.95,17.23,70.15,37.7,3.56,0.33,1.13,1.04,2.08,76.15,1.86,302.58,0.0,0.2,16-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Mar-2019 - 00:00,52.82,39.8,18.23,14.06,14.27,2.25,48.49,98.73,52.35,4.63,0.44,2.61,1.26,3.3,49.94,1.64,234.95,0.0,,17-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
17-Mar-2019 - 00:00,55.27,45.82,24.12,15.65,19.64,2.51,36.05,126.65,73.72,6.02,0.58,4.2,1.93,5.21,54.8,1.63,219.26,0.0,,18-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
18-Mar-2019 - 00:00,54.71,43.2,21.22,15.33,21.84,2.57,37.95,136.74,82.01,6.54,0.46,4.95,1.81,5.11,55.86,1.39,215.78,0.0,,19-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
19-Mar-2019 - 00:00,45.57,31.6,12.74,17.64,24.94,2.54,37.92,151.93,85.09,5.22,0.42,4.13,2.05,4.76,56.41,1.48,172.33,0.0,1.6,20-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
20-Mar-2019 - 00:00,33.76,20.88,7.04,15.28,12.83,2.43,41.03,113.98,53.64,3.67,0.27,2.4,1.44,2.32,42.04,2.09,177.43,0.0,,21-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
21-Mar-2019 - 00:00,32.66,20.88,7.76,18.88,24.81,2.71,39.06,121.54,78.86,5.62,0.28,1.32,0.82,1.85,60.68,1.62,213.89,0.0,,22-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
22-Mar-2019 - 00:00,35.85,23.88,9.42,14.59,14.34,2.34,38.34,84.77,40.85,2.76,0.18,0.87,0.52,1.22,48.2,2.15,311.6,0.0,,23-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
23-Mar-2019 - 00:00,50.75,32.28,10.19,13.91,10.99,2.44,37.41,88.78,39.95,3.23,0.16,0.61,0.54,1.15,44.73,2.3,286.05,0.0,,24-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
24-Mar-2019 - 00:00,36.97,23.35,8.09,14.17,12.62,2.5,31.51,94.66,46.57,3.68,0.23,0.99,0.59,1.48,53.28,2.11,220.59,0.0,,25-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
25-Mar-2019 - 00:00,35.86,24.09,10.18,15.96,16.89,2.46,28.16,113.95,46.76,2.85,1.83,0.91,0.49,1.13,60.99,2.25,267.64,130.63,,26-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
26-Mar-2019 - 00:00,53.85,40.98,19.03,16.13,22.43,2.46,32.23,124.75,56.47,1.22,4.55,0.7,0.49,0.73,53.37,1.88,270.62,271.67,,27-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
27-Mar-2019 - 00:00,46.71,28.57,8.2,16.59,19.43,2.2,35.56,132.49,73.28,1.75,5.19,1.5,0.56,1.62,46.43,1.99,197.98,257.97,,28-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
28-Mar-2019 - 00:00,52.02,38.38,16.98,18.54,23.81,2.35,34.76,170.86,89.3,2.02,6.47,2.44,0.8,2.29,40.12,1.61,151.78,250.82,,29-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
29-Mar-2019 - 00:00,65.1,57.67,32.5,22.09,34.56,2.59,32.5,209.95,105.23,3.13,8.81,2.34,1.26,2.25,44.82,1.33,133.1,240.35,,30-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
30-Mar-2019 - 00:00,59.01,66.59,49.44,24.56,27.97,3.0,28.79,187.31,98.79,0.96,4.17,0.08,0.11,0.09,48.26,1.54,152.6,245.66,1.35,31-Mar-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
31-Mar-2019 - 00:00,26.48,5.36,7.15,16.64,6.12,1.58,34.03,160.81,25.82,,,0.0,,0.0,,2.29,329.12,0.0,,01-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
01-Apr-2019 - 00:00,52.74,33.14,11.65,17.21,46.28,0.25,45.79,107.92,36.74,0.96,3.66,1.6,0.63,1.42,24.88,2.46,206.9,224.33,,02-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Apr-2019 - 00:00,46.1,26.9,6.53,18.05,53.55,1.3,40.33,146.63,64.46,1.77,4.17,1.38,0.51,1.33,37.89,1.87,176.44,263.53,,03-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Apr-2019 - 00:00,57.65,37.1,11.82,21.17,37.43,1.47,36.26,152.98,62.17,1.87,4.81,1.31,0.53,1.41,36.82,1.65,153.12,251.1,,04-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Apr-2019 - 00:00,65.88,48.96,21.98,31.34,28.26,0.99,35.17,205.55,85.94,2.19,2.56,1.71,1.07,1.72,30.43,1.33,126.37,247.99,,05-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Apr-2019 - 00:00,56.98,43.61,22.21,35.62,23.32,1.12,33.78,248.16,100.78,4.7,0.95,4.46,1.49,4.01,32.91,1.68,164.01,221.13,,06-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Apr-2019 - 00:00,61.41,51.07,28.6,26.15,25.04,0.9,26.45,166.08,51.73,1.45,6.56,1.24,0.52,1.26,28.33,1.22,138.61,230.58,,07-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
07-Apr-2019 - 00:00,137.69,144.48,95.41,46.96,79.23,0.89,3.5,325.23,140.24,4.61,7.43,2.11,2.07,4.22,45.47,0.66,296.54,0.0,,08-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Apr-2019 - 00:00,29.9,14.53,4.3,24.22,41.63,0.9,48.32,239.05,59.17,0.93,3.79,0.43,0.25,0.51,33.46,2.34,103.85,247.52,,09-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Apr-2019 - 00:00,47.13,26.64,7.45,23.43,39.67,0.9,40.03,164.31,61.69,1.83,3.05,0.75,0.35,0.83,37.59,1.27,112.36,235.44,,10-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Apr-2019 - 00:00,61.26,43.67,19.51,29.22,30.29,0.8,35.53,191.51,89.72,2.5,4.47,2.72,0.99,2.52,34.46,1.21,139.98,232.74,,11-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Apr-2019 - 00:00,54.76,32.36,9.65,19.84,25.74,0.61,28.58,180.28,59.98,1.38,5.07,3.2,0.73,1.67,20.97,2.27,79.16,243.99,,12-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Apr-2019 - 00:00,47.21,30.85,12.66,19.01,22.49,0.6,25.78,198.09,72.72,1.25,5.06,2.79,0.66,1.45,32.77,2.21,153.71,236.75,,13-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
13-Apr-2019 - 00:00,53.64,42.57,23.09,22.35,27.33,0.69,20.0,170.04,60.28,1.76,4.99,2.49,0.56,1.13,35.57,2.52,129.72,240.44,,14-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
14-Apr-2019 - 00:00,41.9,28.28,12.93,19.02,22.72,0.71,20.25,169.13,48.14,1.35,3.13,0.97,0.26,0.47,33.86,2.08,236.57,238.82,,15-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
15-Apr-2019 - 00:00,56.65,41.79,20.18,18.36,25.34,1.0,19.36,203.59,60.62,1.87,4.21,1.29,0.47,0.81,28.96,1.81,207.91,214.49,,16-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
16-Apr-2019 - 00:00,21.04,10.92,4.86,20.81,8.45,0.86,22.11,159.89,59.41,0.76,2.65,0.31,0.11,0.2,56.59,3.21,149.7,113.23,0.78,17-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
17-Apr-2019 - 00:00,14.66,7.48,4.82,18.86,9.49,0.05,23.68,48.25,24.28,0.69,2.9,0.16,0.06,0.07,66.68,2.39,144.04,289.37,0.65,18-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
18-Apr-2019 - 00:00,46.35,26.21,8.69,19.59,24.32,0.37,20.39,112.67,33.23,0.81,4.87,0.15,0.16,0.07,44.04,1.51,273.31,204.05,,19-Apr-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
