from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,Temp,WD,WS,to date,station
21-Apr-2019 - 00:00,25.65,32.16,16.1,1.16,97.2,11.28,0.03,0.0,0.53,136.18,73.72,35.18,0.0,23.34,30.33,196.85,1.92,22-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Apr-2019 - 00:00,28.04,33.98,17.98,1.3,85.54,12.43,0.02,0.0,0.56,142.44,73.39,35.86,0.0,21.07,31.04,196.73,1.9,23-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Apr-2019 - 00:00,25.71,29.37,17.45,1.1,94.38,9.81,0.02,0.01,0.66,134.77,52.47,36.85,0.0,17.84,31.7,175.35,2.02,24-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Apr-2019 - 00:00,19.14,26.5,11.53,0.74,106.27,8.16,0.02,0.0,0.52,136.01,51.04,38.41,0.0,14.89,31.55,180.66,2.25,25-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Apr-2019 - 00:00,13.61,24.9,8.16,0.55,100.9,10.16,0.0,0.0,0.43,115.7,46.03,37.59,0.0,17.17,31.79,190.29,2.35,26-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Apr-2019 - 00:00,9.87,23.52,6.36,0.44,93.66,7.36,0.0,0.0,0.52,108.75,33.57,37.73,0.0,19.78,32.36,248.17,2.54,27-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Apr-2019 - 00:00,16.66,23.1,9.58,0.65,76.09,11.45,0.0,0.0,0.56,133.39,47.23,37.56,0.0,16.73,32.16,234.61,2.33,28-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Apr-2019 - 00:00,16.44,19.66,9.76,0.66,79.47,7.41,0.0,0.0,0.57,168.1,49.3,37.67,0.0,12.72,31.69,244.52,2.37,29-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Apr-2019 - 00:00,10.73,19.56,6.47,0.94,67.14,4.27,0.0,0.0,0.62,134.61,37.88,37.3,0.0,12.7,31.81,256.57,3.69,30-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Apr-2019 - 00:00,8.95,19.03,5.29,0.81,77.85,8.66,0.0,0.0,0.62,148.72,40.43,36.64,0.0,18.24,31.78,254.99,4.61,01-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-May-2019 - 00:00,8.4,21.34,5.01,0.75,90.46,7.06,0.0,0.0,0.57,256.17,51.78,36.05,0.0,25.35,30.74,255.23,4.64,02-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-May-2019 - 00:00,6.17,17.3,3.78,1.34,104.73,8.84,0.0,0.0,0.61,260.21,51.88,36.84,0.0,22.27,32.06,241.95,3.85,03-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-May-2019 - 00:00,6.06,18.88,3.91,0.68,104.87,10.3,0.0,0.0,0.49,201.08,44.33,36.67,0.0,24.45,31.22,250.7,3.95,04-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-May-2019 - 00:00,5.76,23.21,4.17,0.69,100.57,5.58,0.0,0.0,0.46,157.79,36.17,35.39,0.06,33.19,31.42,227.2,3.86,05-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-May-2019 - 00:00,12.5,29.14,8.02,0.45,86.56,6.0,0.0,0.0,0.52,114.08,33.54,34.81,0.0,41.15,30.77,227.48,2.25,06-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-May-2019 - 00:00,9.86,23.51,6.55,0.46,100.02,7.73,0.0,0.0,0.51,126.46,33.03,36.24,0.0,28.92,30.92,233.98,2.64,07-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-May-2019 - 00:00,9.45,19.09,6.27,0.44,94.35,8.6,0.0,0.0,0.49,125.04,31.0,36.54,0.0,21.32,30.82,254.77,3.95,08-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-May-2019 - 00:00,6.14,18.38,4.38,0.58,92.26,7.15,0.0,0.0,0.44,106.42,27.29,36.11,0.0,23.57,30.69,263.04,4.51,09-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-May-2019 - 00:00,6.42,18.52,4.62,0.56,80.45,7.8,2.4,0.0,0.61,92.6,24.25,35.62,0.0,27.65,30.51,263.21,4.43,10-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-May-2019 - 00:00,6.27,20.12,4.73,0.57,82.1,6.28,0.01,0.0,0.78,79.9,19.8,35.32,0.0,33.59,30.56,254.07,4.71,11-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-May-2019 - 00:00,8.37,18.0,4.78,0.61,80.7,5.06,0.0,0.0,0.8,118.17,25.01,35.58,0.0,31.23,30.29,263.75,4.02,12-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-May-2019 - 00:00,7.79,17.98,4.5,0.66,88.68,6.49,0.0,0.0,0.8,193.84,39.56,36.59,0.0,29.96,30.48,236.17,3.5,13-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-May-2019 - 00:00,8.98,16.97,5.29,0.69,73.75,5.35,0.0,0.0,0.86,116.08,28.78,36.56,0.0,25.78,30.63,244.79,3.42,14-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-May-2019 - 00:00,7.35,16.91,4.42,0.66,76.2,8.2,0.0,0.0,0.84,188.02,38.54,36.44,0.0,27.29,30.82,257.75,4.18,15-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-May-2019 - 00:00,7.0,17.18,4.22,0.67,82.6,6.66,0.0,0.0,0.87,118.76,30.12,36.57,0.0,28.36,30.9,254.2,3.62,16-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-May-2019 - 00:00,5.07,16.87,3.12,0.63,78.16,6.47,0.0,0.0,0.84,123.35,29.14,36.26,0.0,31.6,31.06,259.9,4.11,17-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-May-2019 - 00:00,5.61,16.47,3.42,0.68,74.13,7.79,0.0,0.0,0.81,168.54,34.69,36.11,0.0,30.43,30.89,258.08,4.79,18-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-May-2019 - 00:00,7.24,15.43,4.31,0.68,73.96,5.96,0.0,0.0,0.76,145.8,31.59,36.23,0.0,27.17,30.79,267.26,3.5,19-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-May-2019 - 00:00,7.35,16.81,4.33,0.61,75.32,5.36,0.0,0.0,0.84,130.86,27.12,36.47,0.0,26.57,30.97,248.51,3.17,20-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-May-2019 - 00:00,10.29,17.05,5.91,0.65,100.87,5.48,0.0,0.0,0.58,106.86,30.75,38.99,0.0,18.55,29.72,258.3,2.25,21-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-May-2019 - 00:00,6.34,15.52,3.88,0.55,69.21,6.87,0.0,0.0,0.58,100.51,23.11,37.83,0.0,22.88,29.19,255.14,3.15,22-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-May-2019 - 00:00,5.78,14.01,3.61,0.59,67.36,6.34,0.0,0.0,0.74,113.49,23.3,37.46,0.0,23.78,29.33,264.31,4.26,23-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-May-2019 - 00:00,6.4,15.46,3.86,0.77,68.08,7.11,0.0,0.0,0.75,136.08,26.76,37.22,0.0,29.62,29.24,256.68,4.77,24-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-May-2019 - 00:00,5.52,15.77,3.43,0.7,76.83,8.19,0.0,0.0,0.77,161.9,34.35,37.07,0.0,29.18,29.82,258.08,5.09,25-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-May-2019 - 00:00,6.8,16.23,4.04,0.65,81.49,7.28,0.0,0.0,0.72,167.15,36.2,37.37,0.0,30.75,30.0,255.25,3.78,26-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-May-2019 - 00:00,5.8,16.13,3.52,0.76,91.67,7.04,0.0,0.0,0.74,134.61,29.53,37.89,0.0,25.28,30.13,247.22,3.6,27-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-May-2019 - 00:00,6.51,20.63,4.25,0.76,79.56,5.74,0.0,0.0,0.78,144.8,32.94,37.79,0.0,26.85,31.43,257.5,3.83,28-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-May-2019 - 00:00,7.17,20.76,4.51,0.82,89.89,7.47,0.01,0.0,0.82,135.75,30.48,38.23,0.0,23.21,30.8,252.95,3.49,29-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-May-2019 - 00:00,7.99,22.4,5.25,0.77,80.61,6.39,0.01,0.0,0.81,151.66,36.25,38.27,0.0,23.49,30.08,237.51,2.91,30-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-May-2019 - 00:00,5.28,20.04,3.37,0.75,82.94,7.42,0.0,0.0,0.84,169.4,32.61,38.45,0.0,24.71,29.92,259.2,4.23,31-May-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-May-2019 - 00:00,5.47,16.38,3.42,0.66,83.98,6.04,0.0,0.0,0.9,120.03,28.79,38.24,0.0,25.72,29.79,260.74,4.39,01-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Jun-2019 - 00:00,6.68,17.56,4.25,0.69,75.5,5.76,0.0,0.0,0.91,108.0,29.0,37.33,0.0,32.51,29.7,257.47,4.29,02-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Jun-2019 - 00:00,6.95,23.36,5.51,0.81,76.93,5.89,0.01,0.0,0.89,128.62,31.14,37.25,0.0,40.59,30.94,246.46,4.53,03-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Jun-2019 - 00:00,7.01,23.49,4.56,0.74,93.31,6.33,0.0,0.0,0.86,133.68,30.51,38.11,0.0,35.18,33.36,268.75,5.21,04-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Jun-2019 - 00:00,5.82,21.27,3.84,0.7,82.04,6.16,0.0,0.0,0.89,135.25,32.43,37.73,0.0,36.86,33.02,268.29,5.34,05-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Jun-2019 - 00:00,5.1,16.38,3.27,0.68,81.89,6.94,0.0,0.0,0.86,176.96,37.07,38.32,0.0,30.35,29.47,268.73,4.27,06-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Jun-2019 - 00:00,5.49,18.42,3.88,0.69,85.99,9.29,0.0,0.0,0.75,141.42,30.78,38.71,0.0,28.06,29.54,268.08,4.03,07-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Jun-2019 - 00:00,5.92,19.24,3.97,0.72,93.25,5.23,0.0,0.0,0.65,143.15,33.32,38.89,0.0,29.92,30.56,245.65,3.56,08-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Jun-2019 - 00:00,5.39,19.48,3.47,0.66,108.93,7.24,0.0,0.0,0.69,146.4,32.24,38.82,0.0,26.49,31.4,265.91,4.34,09-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Jun-2019 - 00:00,6.16,20.45,3.89,0.68,112.13,7.56,0.0,0.0,0.79,145.21,32.98,38.84,0.0,25.93,32.84,247.25,3.54,10-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Jun-2019 - 00:00,6.23,20.87,3.98,0.69,93.53,5.28,0.0,0.0,0.75,149.81,30.46,37.7,0.0,33.52,33.81,231.81,5.55,11-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Jun-2019 - 00:00,7.98,19.68,4.92,0.75,82.0,5.0,0.0,0.0,0.67,101.81,24.74,37.71,0.0,33.76,31.37,217.99,3.49,12-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Jun-2019 - 00:00,9.76,23.01,5.9,0.82,95.56,4.91,0.0,0.0,0.52,117.38,31.14,37.71,0.0,34.29,30.88,214.03,2.13,13-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Jun-2019 - 00:00,7.14,25.9,4.39,0.7,91.31,2.73,0.0,0.0,0.72,55.43,19.72,35.7,0.01,54.04,31.01,267.51,3.62,14-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Jun-2019 - 00:00,10.16,20.72,6.08,0.8,78.05,2.74,0.0,0.0,0.65,85.28,25.65,35.77,0.02,50.8,30.66,207.93,2.45,15-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Jun-2019 - 00:00,6.51,26.43,4.26,0.69,68.76,1.67,0.0,0.0,0.65,81.59,25.5,35.46,0.03,54.85,30.59,248.68,5.7,16-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Jun-2019 - 00:00,5.44,21.09,3.74,0.61,62.19,1.38,0.0,0.0,0.55,90.1,22.29,35.33,0.0,55.68,30.91,255.79,7.15,17-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Jun-2019 - 00:00,4.84,16.82,3.36,0.66,63.57,1.37,0.0,0.0,0.51,86.67,21.93,35.21,0.0,53.97,30.8,256.59,7.96,18-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Jun-2019 - 00:00,4.04,14.38,2.99,0.66,60.44,1.24,0.0,0.0,0.57,79.42,17.92,35.25,0.0,52.23,30.77,233.55,5.87,19-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Jun-2019 - 00:00,10.03,20.0,6.28,0.79,58.08,1.41,0.0,0.0,0.5,45.45,14.72,33.32,0.23,76.04,30.48,231.89,5.05,20-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Jun-2019 - 00:00,14.67,30.47,8.95,0.75,82.67,3.67,0.0,0.0,0.63,86.47,30.73,34.84,0.0,62.21,31.18,248.01,3.25,21-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Jun-2019 - 00:00,10.69,29.9,6.67,0.82,92.29,3.97,0.0,0.0,0.64,78.77,27.17,34.16,0.0,65.73,30.89,255.83,2.93,22-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Jun-2019 - 00:00,10.76,31.57,6.68,0.85,102.62,3.5,0.0,0.0,0.64,64.3,23.23,34.46,0.0,64.35,31.88,234.62,3.34,23-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Jun-2019 - 00:00,10.42,30.61,6.53,0.75,116.73,4.49,0.0,0.0,0.58,73.26,27.06,34.61,0.0,60.15,30.95,235.38,3.55,24-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Jun-2019 - 00:00,8.79,32.05,5.47,0.76,127.36,4.53,0.0,0.0,0.61,52.05,22.82,34.15,0.08,66.71,30.76,214.78,3.35,25-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Jun-2019 - 00:00,6.31,33.64,4.13,0.81,139.82,3.88,0.0,0.0,0.62,32.23,15.5,33.83,0.07,74.09,31.71,236.07,2.85,26-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Jun-2019 - 00:00,8.37,31.67,5.33,0.77,110.84,5.04,0.0,0.0,0.67,73.41,34.51,34.46,0.0,70.83,31.61,260.13,3.53,27-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Jun-2019 - 00:00,6.18,28.4,4.33,0.73,89.69,2.76,0.0,0.0,0.58,49.45,23.11,33.66,0.0,73.77,30.1,246.91,4.36,28-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Jun-2019 - 00:00,8.35,29.34,5.49,0.75,71.87,4.03,0.0,0.0,0.54,61.66,26.22,33.93,0.0,71.12,30.12,224.93,4.59,29-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Jun-2019 - 00:00,5.75,27.69,3.98,0.69,89.18,2.69,0.0,0.0,0.55,43.82,17.4,33.12,0.0,73.97,30.11,251.24,3.83,30-Jun-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Jun-2019 - 00:00,5.79,28.88,3.96,0.7,87.31,3.47,0.0,0.0,0.52,30.39,12.02,32.19,0.16,83.32,29.99,218.54,3.5,01-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Jul-2019 - 00:00,6.15,31.15,4.15,0.79,94.94,2.6,0.0,0.0,0.54,40.68,14.2,33.63,0.0,75.11,31.27,243.17,3.8,02-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Jul-2019 - 00:00,6.0,28.42,4.15,0.73,97.79,5.73,0.0,0.0,0.53,63.67,24.79,35.2,0.18,63.42,30.19,252.19,4.21,03-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Jul-2019 - 00:00,4.06,28.67,2.84,0.76,100.57,4.54,0.0,0.0,0.56,28.69,15.7,32.01,0.27,87.08,31.09,259.5,4.82,04-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Jul-2019 - 00:00,3.6,23.46,2.66,0.76,99.0,4.69,0.0,0.0,0.62,11.06,5.94,31.63,0.05,89.22,30.98,276.27,4.0,05-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Jul-2019 - 00:00,3.14,22.93,2.41,0.71,77.08,4.62,0.0,0.0,0.56,18.85,12.21,30.11,0.61,91.54,30.54,274.93,3.94,06-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Jul-2019 - 00:00,3.21,24.51,2.47,0.74,57.57,4.22,0.0,0.0,0.56,35.67,16.51,26.7,0.58,89.93,30.53,256.51,4.03,07-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Jul-2019 - 00:00,3.67,27.42,2.92,0.73,69.65,4.64,0.0,0.0,0.54,57.2,16.98,27.73,0.01,80.78,31.11,252.78,4.88,08-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Jul-2019 - 00:00,4.57,27.89,3.57,0.7,53.39,4.01,0.0,0.0,0.52,75.02,22.1,28.4,0.0,76.74,31.07,249.94,5.41,09-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Jul-2019 - 00:00,4.4,27.26,3.56,0.7,56.56,4.53,0.0,0.0,0.49,68.34,21.08,28.61,0.0,73.54,31.1,242.12,6.19,10-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Jul-2019 - 00:00,4.86,25.44,3.77,0.67,61.36,4.78,0.0,0.0,0.55,71.92,21.5,28.68,0.0,71.02,31.21,242.03,5.19,11-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Jul-2019 - 00:00,4.8,22.48,3.72,0.63,57.63,4.47,0.0,0.0,0.48,74.51,21.86,28.89,0.0,66.92,31.26,241.41,6.67,12-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Jul-2019 - 00:00,5.37,22.2,3.75,0.68,58.07,2.67,0.0,0.0,0.51,67.07,19.55,29.08,0.0,65.96,31.1,243.43,6.18,13-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Jul-2019 - 00:00,5.42,21.81,3.53,0.68,56.99,1.81,0.0,0.0,0.49,61.8,16.74,28.89,0.0,66.73,30.98,237.84,6.57,14-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Jul-2019 - 00:00,5.84,21.5,3.66,0.68,61.36,2.33,0.0,0.0,0.47,75.6,20.08,29.01,0.0,63.47,31.1,240.92,7.23,15-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Jul-2019 - 00:00,5.42,21.25,3.4,0.63,59.0,2.16,0.0,0.0,0.44,81.77,20.47,29.21,0.0,60.9,31.43,243.02,7.52,16-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Jul-2019 - 00:00,5.58,20.5,3.79,0.7,56.43,2.23,0.0,0.0,0.5,66.56,18.8,29.23,0.0,60.43,30.96,243.84,6.06,17-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Jul-2019 - 00:00,6.26,19.56,4.41,0.65,56.68,2.13,0.0,0.0,0.64,73.75,22.36,29.33,0.0,60.08,30.51,253.12,4.82,18-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Jul-2019 - 00:00,6.34,18.15,4.3,0.67,61.4,2.35,0.0,0.0,0.7,75.14,27.65,29.6,0.0,62.01,30.62,264.47,3.53,19-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Jul-2019 - 00:00,6.44,19.94,4.22,0.78,69.59,3.1,0.0,0.0,0.69,61.01,24.59,29.85,0.0,60.42,30.95,235.81,2.43,20-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Jul-2019 - 00:00,7.8,20.69,4.82,0.85,81.0,3.05,0.0,0.0,0.54,53.18,24.32,30.12,0.0,59.94,30.64,149.47,2.33,21-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Jul-2019 - 00:00,11.4,21.88,6.75,0.93,78.81,2.36,0.0,0.0,0.48,31.43,17.03,28.91,0.27,73.41,30.81,144.74,2.13,22-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Jul-2019 - 00:00,19.1,30.46,12.0,1.02,51.52,2.69,0.0,0.0,0.6,47.65,19.76,30.03,0.0,66.17,30.45,159.0,1.87,23-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Jul-2019 - 00:00,11.03,31.59,7.22,0.81,69.56,2.6,0.0,0.0,0.63,27.11,9.96,30.47,0.0,61.86,30.18,200.08,2.17,24-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Jul-2019 - 00:00,9.5,30.53,6.03,0.83,70.65,2.58,0.0,0.0,0.73,37.07,18.11,29.91,0.0,69.76,30.49,232.16,3.38,25-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Jul-2019 - 00:00,5.61,23.65,3.95,0.73,61.39,1.86,0.0,0.0,0.67,40.03,16.58,28.93,0.0,74.63,30.27,247.74,5.36,26-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Jul-2019 - 00:00,4.36,21.93,3.36,0.71,42.84,1.79,0.0,0.0,0.59,42.61,15.62,27.49,0.05,83.49,30.68,249.96,5.78,27-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Jul-2019 - 00:00,4.54,23.21,3.34,0.68,52.55,2.11,0.0,0.0,0.49,54.39,19.15,27.49,0.38,84.83,30.64,253.05,6.18,28-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Jul-2019 - 00:00,4.94,24.52,3.69,0.61,35.46,2.45,0.0,0.0,0.44,40.32,17.68,26.97,0.11,88.65,30.84,269.25,5.78,29-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Jul-2019 - 00:00,6.25,26.37,4.52,0.73,43.95,3.14,0.0,0.0,0.58,22.81,9.6,27.25,0.29,88.23,31.03,264.86,3.64,30-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Jul-2019 - 00:00,4.07,22.07,3.03,0.65,48.49,2.16,0.0,0.0,0.51,14.76,8.41,26.97,0.09,87.78,30.68,263.66,5.45,31-Jul-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Jul-2019 - 00:00,2.97,18.55,2.48,0.61,37.9,2.95,0.0,0.0,0.4,12.29,5.02,26.47,0.02,89.2,30.34,250.43,6.61,01-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Aug-2019 - 00:00,3.25,18.06,2.76,0.62,29.72,3.12,0.0,0.0,0.43,17.41,8.96,26.87,0.05,89.17,30.39,258.02,5.95,02-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Aug-2019 - 00:00,4.46,18.91,3.5,0.62,35.93,5.74,0.0,0.0,0.55,41.3,22.51,27.59,0.01,84.23,30.39,265.75,3.9,03-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Aug-2019 - 00:00,4.85,21.04,3.87,0.66,37.25,5.81,0.0,0.0,0.61,31.99,16.4,27.9,0.0,83.89,30.49,249.71,3.8,04-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Aug-2019 - 00:00,5.7,21.33,3.99,0.68,52.41,6.42,0.0,0.0,0.64,36.45,18.34,28.0,0.03,82.93,29.95,238.19,2.98,05-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Aug-2019 - 00:00,4.56,24.71,3.38,0.61,30.17,5.97,0.0,0.0,0.59,47.9,21.79,27.58,0.0,87.09,28.29,256.58,4.32,06-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Aug-2019 - 00:00,5.57,23.74,4.31,0.63,32.89,5.9,0.0,0.0,0.53,57.86,25.58,27.67,0.0,84.57,31.31,263.94,4.26,07-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Aug-2019 - 00:00,4.24,21.81,3.33,0.83,40.45,6.23,0.0,0.0,0.54,39.25,21.67,26.71,0.82,90.83,29.45,269.53,3.83,08-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Aug-2019 - 00:00,5.37,19.93,3.65,0.82,43.59,5.95,0.0,0.0,0.57,39.05,22.19,27.27,0.33,89.22,30.18,256.79,2.38,09-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Aug-2019 - 00:00,3.98,15.27,2.89,0.78,40.85,4.77,0.0,0.0,0.55,14.6,7.14,26.63,1.0,92.38,30.27,226.51,4.19,10-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Aug-2019 - 00:00,3.57,14.11,2.89,0.7,40.07,5.03,0.0,0.0,0.45,31.07,13.77,27.16,0.0,83.85,30.63,193.41,5.57,11-Aug-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
