from date,PM2.5,PM10,NO2,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
30-Oct-2019 - 00:00,13.55,24.3,4.17,7.7,7.18,4.3,0.4,22.36,1.59,87.41,89.17,0.6,3.31,0.27,0.22,0.74,21.98,200.37,0.02,876.12,31-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Oct-2019 - 00:00,7.52,19.07,1.69,3.19,3.9,4.14,0.35,28.71,1.03,154.88,85.67,0.64,3.22,0.22,0.18,0.59,22.17,225.49,0.01,874.18,01-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Nov-2019 - 00:00,17.58,40.11,5.66,10.87,9.53,4.46,0.49,27.37,0.41,191.43,63.1,1.28,8.4,0.33,0.28,0.97,23.76,252.08,0.0,871.49,02-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Nov-2019 - 00:00,35.37,82.21,15.88,30.89,23.32,4.57,0.98,20.13,0.53,116.25,73.52,4.28,17.43,1.2,0.98,3.33,23.88,243.72,0.0,871.65,03-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Nov-2019 - 00:00,29.65,67.64,11.87,23.36,18.21,4.41,0.9,23.7,0.63,132.11,75.43,3.25,12.33,0.95,0.78,2.62,24.65,235.63,0.0,872.05,04-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Nov-2019 - 00:00,48.38,100.37,24.07,43.39,34.99,5.13,1.51,26.42,0.63,106.8,70.46,14.19,21.4,1.78,1.56,4.9,24.52,234.17,0.0,871.92,05-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Nov-2019 - 00:00,63.37,131.61,14.59,26.72,22.58,5.25,1.18,34.89,0.53,115.88,64.08,12.62,21.95,1.25,1.2,3.71,24.73,237.01,0.0,871.66,06-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Nov-2019 - 00:00,47.02,97.84,3.18,6.27,7.8,4.24,0.8,45.86,0.44,199.66,72.67,2.46,7.98,0.5,0.43,1.44,25.16,220.15,0.0,871.62,07-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Nov-2019 - 00:00,33.88,68.79,3.85,7.88,8.86,4.51,0.74,47.46,0.61,224.5,72.31,2.64,8.69,0.38,0.45,1.19,24.43,218.71,0.0,872.29,08-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Nov-2019 - 00:00,39.27,91.76,17.47,31.09,24.93,4.9,1.29,29.64,0.6,178.56,81.45,5.08,17.44,1.49,1.32,3.93,23.97,204.05,0.48,871.99,09-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Nov-2019 - 00:00,34.19,81.36,7.22,12.53,12.36,12.92,0.97,34.54,0.44,120.25,82.47,4.79,14.39,0.88,0.88,2.57,23.76,234.41,0.25,871.27,10-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Nov-2019 - 00:00,34.14,59.46,3.34,6.08,6.88,4.2,0.66,38.62,0.5,130.2,81.97,1.8,7.67,0.45,0.43,1.39,24.01,223.84,0.11,871.63,11-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Nov-2019 - 00:00,42.93,89.65,11.85,23.05,19.16,4.83,1.46,31.03,0.5,109.38,82.95,4.4,19.47,1.47,1.31,4.22,23.63,234.22,0.0,871.41,12-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Nov-2019 - 00:00,35.91,72.11,4.55,9.0,8.91,4.37,0.97,32.19,0.98,95.3,77.16,2.12,8.61,0.52,0.47,1.68,23.45,235.58,0.0,873.49,13-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Nov-2019 - 00:00,33.54,70.74,5.02,10.08,9.66,4.81,0.85,32.1,1.02,85.97,75.01,1.83,7.75,0.45,0.43,1.42,22.81,235.84,0.0,873.66,14-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Nov-2019 - 00:00,29.61,65.63,5.04,9.16,8.36,4.41,0.63,30.51,1.09,91.19,77.73,1.41,5.93,0.34,0.31,1.11,22.86,231.41,0.0,873.97,15-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Nov-2019 - 00:00,26.63,66.82,5.72,11.82,10.08,4.69,0.68,21.09,1.1,82.85,79.55,1.39,6.33,0.39,0.4,1.19,23.84,219.24,0.0,873.93,16-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Nov-2019 - 00:00,22.34,52.56,5.49,11.29,9.49,4.7,0.67,15.28,0.91,91.29,79.7,1.59,6.0,0.41,0.38,1.27,24.2,215.56,0.0,873.21,17-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Nov-2019 - 00:00,29.96,66.72,4.8,9.83,9.1,4.66,0.7,36.25,1.11,68.96,72.71,2.0,6.15,0.35,0.34,1.1,24.56,237.59,0.0,874.01,18-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Nov-2019 - 00:00,39.96,81.62,7.8,15.79,13.08,4.96,0.93,27.73,0.88,87.5,75.25,14.98,13.53,0.57,0.52,1.85,23.67,200.77,0.0,873.05,19-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Nov-2019 - 00:00,31.85,73.33,13.71,27.55,21.1,4.91,1.05,17.61,0.82,93.46,75.97,3.47,12.97,0.89,0.87,2.78,24.23,224.12,0.0,872.76,20-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Nov-2019 - 00:00,29.17,63.09,4.74,9.8,8.98,4.61,0.67,19.98,1.05,88.22,82.03,1.88,7.11,0.31,0.38,1.0,23.49,177.63,0.06,873.61,21-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Nov-2019 - 00:00,23.09,56.72,3.32,7.31,7.05,4.19,0.65,22.21,1.21,91.15,83.72,1.11,4.96,0.28,0.3,0.89,23.27,233.13,0.01,874.45,22-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Nov-2019 - 00:00,34.31,70.49,3.96,8.72,8.33,4.75,0.72,28.56,1.12,83.92,80.21,1.52,6.22,0.37,0.37,1.2,22.99,202.65,0.0,874.04,23-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Nov-2019 - 00:00,30.26,63.27,2.96,6.69,6.71,4.8,0.63,34.97,1.17,86.44,78.05,1.35,5.22,0.29,0.48,0.98,22.9,228.45,0.0,874.39,24-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Nov-2019 - 00:00,29.65,57.5,3.16,6.2,6.04,36.03,0.57,37.75,1.01,85.31,76.05,1.39,3.23,0.17,0.19,0.51,22.95,231.6,0.0,873.63,25-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Nov-2019 - 00:00,31.16,57.59,1.94,4.27,4.87,4.77,0.6,41.57,1.15,92.61,77.61,1.22,5.17,0.3,0.29,0.95,22.64,226.88,0.0,874.37,26-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Nov-2019 - 00:00,28.49,50.68,3.28,6.48,6.34,4.96,0.63,35.14,1.35,90.16,74.42,1.18,4.29,0.27,0.28,0.87,22.12,233.95,0.0,875.1,27-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Nov-2019 - 00:00,23.72,42.39,3.47,7.26,6.8,4.39,0.63,35.52,1.37,90.36,82.02,1.16,4.27,0.29,0.27,0.93,22.72,224.69,0.02,875.22,28-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Nov-2019 - 00:00,23.5,49.59,4.2,9.2,8.57,4.53,0.72,25.29,1.23,81.45,82.41,1.56,6.24,0.41,0.41,1.34,22.78,190.92,0.0,874.5,29-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Nov-2019 - 00:00,22.72,53.34,7.38,15.5,12.69,4.96,0.74,22.49,1.33,83.74,82.49,1.73,6.45,0.51,0.53,1.65,23.1,196.03,0.0,874.93,30-Nov-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Nov-2019 - 00:00,24.62,50.1,5.02,10.71,9.3,4.72,0.66,21.81,1.31,82.58,88.65,1.19,4.55,0.31,0.35,1.01,22.43,160.43,0.0,874.72,01-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Dec-2019 - 00:00,15.02,30.86,4.38,9.25,8.04,4.36,0.54,17.09,1.24,82.37,86.97,0.86,3.15,0.21,0.23,0.66,22.29,179.29,0.06,874.52,02-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Dec-2019 - 00:00,8.51,19.09,3.73,7.99,6.77,4.33,0.49,16.54,1.27,93.44,89.36,0.77,3.45,0.21,0.2,0.68,22.22,180.51,0.0,874.78,03-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Dec-2019 - 00:00,17.3,38.92,3.65,7.77,7.02,5.04,0.54,25.62,1.38,91.75,88.26,0.97,3.79,0.21,0.23,0.72,21.77,180.59,0.0,875.28,04-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Dec-2019 - 00:00,27.02,51.62,3.21,6.44,6.08,4.54,0.59,40.16,1.52,92.87,79.31,1.24,4.13,0.23,0.25,0.79,22.37,203.37,0.0,876.02,05-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Dec-2019 - 00:00,42.47,71.19,3.38,7.4,7.39,5.76,0.71,47.0,1.38,85.74,77.97,1.4,4.55,0.26,0.31,0.9,21.26,214.72,0.0,875.19,06-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Dec-2019 - 00:00,47.66,89.08,2.84,5.97,6.18,5.59,0.68,42.75,1.37,87.33,82.02,1.59,4.84,0.28,0.42,0.83,20.72,198.28,0.0,875.12,07-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Dec-2019 - 00:00,36.79,67.17,3.9,8.29,7.66,5.34,0.65,40.75,1.36,83.59,80.64,1.52,3.77,0.19,0.23,0.63,21.33,223.49,0.0,875.13,08-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Dec-2019 - 00:00,20.94,43.58,2.87,6.67,6.4,4.77,0.62,30.75,1.22,86.35,83.42,1.05,3.11,0.17,0.23,0.55,21.67,201.35,0.0,874.48,09-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Dec-2019 - 00:00,24.55,54.26,4.74,10.05,8.87,4.66,0.75,34.32,1.21,88.64,75.45,1.75,6.23,0.3,0.33,1.04,21.63,226.45,0.0,874.48,10-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Dec-2019 - 00:00,27.89,59.14,4.61,9.78,8.79,5.61,0.7,33.06,1.06,86.96,74.51,1.82,5.74,0.29,0.32,0.98,21.72,224.27,0.0,873.84,11-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Dec-2019 - 00:00,37.88,76.66,10.07,20.53,16.43,5.79,1.02,27.46,0.6,94.63,75.86,5.9,11.43,0.61,0.7,2.1,22.05,199.19,0.0,871.88,12-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Dec-2019 - 00:00,37.83,74.87,6.93,14.15,12.17,5.2,0.86,30.61,0.64,93.75,78.49,3.88,9.4,0.47,0.54,1.6,22.24,216.28,0.0,872.14,13-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Dec-2019 - 00:00,35.11,63.7,4.9,10.35,9.78,5.02,0.72,35.38,0.77,97.09,78.69,1.9,6.24,0.3,0.37,1.04,22.09,219.3,0.0,872.63,14-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Dec-2019 - 00:00,23.71,33.52,5.23,11.19,9.94,5.1,0.66,23.25,1.06,87.17,88.88,1.49,4.22,0.2,0.25,0.65,21.21,167.32,0.01,873.79,15-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Dec-2019 - 00:00,16.25,24.2,2.81,6.41,6.38,4.71,0.54,29.69,1.2,90.34,77.62,0.99,3.31,0.16,0.18,0.52,21.74,208.02,0.0,874.45,16-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Dec-2019 - 00:00,27.44,55.66,5.87,12.65,10.6,5.18,0.71,26.48,1.03,90.5,73.51,1.81,6.76,0.29,0.37,1.02,22.18,231.13,0.0,873.82,17-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Dec-2019 - 00:00,20.92,38.07,3.99,8.96,8.09,4.82,0.61,29.72,1.15,84.83,82.37,1.6,5.35,0.23,0.3,0.74,21.8,197.56,0.0,874.28,18-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Dec-2019 - 00:00,28.44,48.32,3.63,7.54,7.24,5.03,0.66,41.4,1.0,96.27,81.62,2.95,5.5,0.2,0.23,0.66,21.92,223.63,0.0,873.73,19-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Dec-2019 - 00:00,23.97,46.45,4.09,9.18,8.38,5.49,0.62,27.54,1.29,89.25,82.13,1.28,4.17,0.19,0.25,0.62,21.48,193.99,0.0,874.82,20-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Dec-2019 - 00:00,27.52,45.25,4.28,9.3,8.23,5.62,0.63,25.21,1.03,94.46,79.0,1.48,4.71,0.18,0.23,0.57,21.26,210.72,0.0,873.67,21-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Dec-2019 - 00:00,31.96,50.83,2.98,6.87,6.64,5.51,0.62,31.57,1.15,98.23,79.86,1.29,3.98,0.2,0.45,0.72,21.83,218.37,0.0,874.32,22-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Dec-2019 - 00:00,37.07,56.6,4.38,9.57,8.62,5.28,0.65,30.7,0.88,93.71,79.38,2.11,4.43,0.17,0.23,0.52,21.83,200.25,0.0,873.09,23-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Dec-2019 - 00:00,34.94,59.57,3.63,7.78,7.64,5.25,0.67,32.7,0.9,90.93,83.27,1.92,5.11,0.22,0.33,0.72,21.95,198.88,0.0,873.16,24-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Dec-2019 - 00:00,29.14,52.12,10.09,13.51,13.17,5.46,0.54,30.72,0.89,91.62,81.81,1.25,3.33,0.28,0.29,0.48,22.67,209.39,0.0,873.17,25-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Dec-2019 - 00:00,18.18,34.6,20.52,23.75,22.68,48.84,0.43,24.94,1.03,92.44,82.93,0.79,2.13,0.13,0.19,0.4,22.76,195.61,0.0,873.76,26-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Dec-2019 - 00:00,33.3,48.02,49.26,68.69,61.79,4.99,1.32,12.34,0.41,103.09,84.99,0.0,0.0,0.0,0.0,0.0,22.53,172.12,0.0,871.04,27-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Dec-2019 - 00:00,48.14,60.59,38.1,46.74,43.08,4.83,0.93,25.13,0.55,101.48,80.91,2.53,8.38,0.51,0.54,1.51,23.75,195.86,0.0,871.73,28-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Dec-2019 - 00:00,22.82,,22.97,25.61,25.08,4.41,0.39,37.55,0.97,96.99,78.46,0.78,2.81,0.13,0.18,0.43,22.99,215.96,0.0,873.49,29-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Dec-2019 - 00:00,31.51,,20.23,23.65,24.52,5.34,0.21,27.28,0.71,93.93,83.69,0.56,1.52,0.06,0.09,0.23,20.44,156.49,0.0,872.28,30-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Dec-2019 - 00:00,28.84,38.07,28.45,32.77,31.57,6.35,0.59,47.88,0.79,106.02,69.44,1.45,4.84,0.24,0.27,0.74,22.55,207.9,0.0,872.77,31-Dec-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Dec-2019 - 00:00,30.69,40.51,30.21,32.79,30.52,4.62,0.52,40.71,0.18,104.11,69.16,1.45,4.86,0.18,0.21,0.53,21.95,90.81,0.0,869.85,01-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
