from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
11-Feb-2019 - 00:00,20.29,13.49,3.61,0.0,13.7,0.63,42.54,71.33,136.64,5.96,,8.5,7.47,72.36,1.44,279.13,128.81,0.0,12-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
12-Feb-2019 - 00:00,24.2,15.82,3.96,0.0,24.62,0.74,38.71,83.25,141.48,6.77,95.74,8.71,8.2,74.21,1.13,276.79,136.6,0.0,13-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Feb-2019 - 00:00,38.59,29.08,11.12,0.0,19.45,1.0,39.38,119.22,184.65,8.67,80.88,8.74,8.76,78.89,0.86,171.58,124.92,0.0,14-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Feb-2019 - 00:00,28.43,18.86,5.0,0.0,14.75,0.68,30.69,118.64,172.7,6.84,48.74,7.27,6.06,83.1,2.02,108.27,57.42,0.07,15-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Feb-2019 - 00:00,19.14,13.49,4.35,0.0,11.1,0.58,22.55,61.5,91.37,5.73,0.95,6.24,4.86,82.85,1.5,165.65,139.89,0.0,16-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Feb-2019 - 00:00,14.76,10.17,3.07,0.0,7.41,0.5,28.72,63.84,88.58,5.01,1.27,7.92,6.03,80.15,1.54,285.55,218.46,0.0,17-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Feb-2019 - 00:00,15.79,10.55,2.86,0.0,15.81,0.53,37.8,54.89,85.02,4.98,1.0,7.05,5.59,80.8,2.25,271.12,250.16,0.0,18-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Feb-2019 - 00:00,19.29,13.6,4.39,0.0,13.45,0.46,38.84,58.94,93.19,4.87,1.01,6.55,5.41,53.75,1.64,129.23,179.91,0.02,19-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Feb-2019 - 00:00,21.77,15.93,5.68,0.0,11.52,0.45,53.72,44.53,90.27,4.56,0.85,5.86,5.48,60.25,1.77,122.86,302.16,0.0,20-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Feb-2019 - 00:00,24.24,16.41,4.67,0.0,13.27,0.47,31.21,46.58,93.85,5.15,1.14,7.43,5.94,75.72,1.57,119.33,378.05,0.0,21-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
21-Feb-2019 - 00:00,21.54,19.13,9.82,0.0,10.05,0.45,36.1,30.83,76.09,4.38,1.05,6.94,7.26,71.38,1.37,136.88,167.23,0.01,22-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
22-Feb-2019 - 00:00,15.76,13.5,6.57,0.0,9.14,0.41,48.39,48.75,93.6,4.27,0.83,5.94,5.67,83.49,2.46,284.28,292.31,0.01,23-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
23-Feb-2019 - 00:00,10.27,7.64,2.83,0.0,15.19,0.33,67.23,28.07,66.21,3.7,0.86,6.21,5.37,70.37,2.63,279.56,358.61,0.0,24-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
24-Feb-2019 - 00:00,10.47,7.57,2.62,0.0,19.95,0.37,80.57,38.67,80.12,4.17,1.01,6.66,5.41,66.27,1.87,279.34,309.61,0.0,25-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
25-Feb-2019 - 00:00,18.29,12.3,3.42,0.0,13.32,0.46,65.51,57.05,116.01,5.17,1.28,7.85,7.15,64.45,0.84,219.03,319.41,0.0,26-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
26-Feb-2019 - 00:00,15.24,10.4,3.04,0.0,10.66,0.28,56.05,38.98,91.54,3.68,1.06,6.84,5.35,65.89,1.85,124.95,206.2,0.0,27-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
27-Feb-2019 - 00:00,9.54,7.06,2.58,0.0,6.92,0.13,76.88,20.04,55.38,2.35,1.02,6.4,4.67,76.65,1.83,265.09,325.66,0.07,28-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
28-Feb-2019 - 00:00,14.06,9.77,3.03,0.0,10.21,0.29,58.25,35.53,75.99,3.89,0.88,6.33,5.62,70.5,1.88,274.45,343.58,0.0,01-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
01-Mar-2019 - 00:00,11.97,8.49,2.79,0.0,14.62,0.34,67.32,47.62,92.97,4.22,0.8,6.06,5.58,67.83,1.83,287.43,367.35,0.0,02-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Mar-2019 - 00:00,19.92,13.76,4.24,0.0,13.34,0.64,33.99,76.95,130.54,5.52,0.54,4.13,4.36,85.49,1.3,176.89,101.44,0.08,03-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Mar-2019 - 00:00,15.08,10.77,3.61,0.0,9.91,0.26,44.92,29.81,53.13,3.45,0.91,6.02,5.32,84.93,1.23,202.47,326.7,0.01,04-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Mar-2019 - 00:00,14.15,10.29,3.61,10.72,13.12,0.3,45.26,38.15,69.6,4.21,0.82,5.91,5.71,84.2,1.76,283.06,292.52,0.01,05-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
05-Mar-2019 - 00:00,11.98,9.67,3.82,20.47,11.83,0.26,59.96,34.76,62.92,5.31,19.26,6.72,6.33,77.96,1.96,277.35,377.6,0.0,06-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Mar-2019 - 00:00,14.28,11.78,4.23,20.5,15.3,0.29,72.96,40.6,84.99,4.04,75.31,4.81,4.9,62.95,2.31,273.13,308.83,0.0,07-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Mar-2019 - 00:00,16.74,13.39,4.35,23.96,12.32,0.4,74.33,41.96,87.31,4.15,86.99,5.14,5.22,63.99,1.82,290.74,321.45,0.0,08-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Mar-2019 - 00:00,17.21,13.64,4.36,22.36,16.65,0.47,60.27,48.9,96.93,4.72,100.43,5.92,5.32,65.31,1.72,285.24,268.35,0.0,09-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Mar-2019 - 00:00,15.43,12.82,4.22,20.49,9.63,0.48,66.47,50.56,103.52,4.21,82.47,5.8,5.03,65.01,2.1,293.75,335.24,0.0,10-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Mar-2019 - 00:00,18.16,14.24,4.49,19.82,20.11,0.48,73.81,47.85,109.58,4.65,83.73,5.04,4.75,61.4,1.53,249.42,278.5,0.0,11-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
11-Mar-2019 - 00:00,24.41,18.19,5.36,20.96,13.58,0.52,44.83,53.92,111.63,4.88,81.52,4.96,4.81,75.77,1.73,116.69,129.34,0.06,12-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
12-Mar-2019 - 00:00,18.98,14.59,4.39,21.58,11.56,0.36,64.63,29.98,85.65,3.29,86.41,4.78,4.41,60.5,1.8,223.74,389.1,0.0,13-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Mar-2019 - 00:00,25.32,19.42,6.28,22.47,19.22,0.61,42.88,55.33,170.61,6.47,86.52,6.26,7.02,70.15,1.16,249.2,148.95,0.0,14-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Mar-2019 - 00:00,24.52,19.39,6.78,21.39,10.88,0.48,34.2,36.75,101.89,5.34,79.34,5.74,6.46,81.61,1.6,269.96,219.98,0.02,15-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Mar-2019 - 00:00,19.32,15.03,4.72,22.07,14.44,0.41,60.46,34.0,77.76,4.04,80.39,5.18,5.47,71.49,1.81,297.61,347.17,0.0,16-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Mar-2019 - 00:00,15.92,12.65,3.96,21.56,12.4,0.45,68.93,31.69,86.58,3.94,80.45,4.88,4.85,70.3,2.12,279.53,334.59,0.0,17-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Mar-2019 - 00:00,15.66,12.5,3.95,20.93,14.59,0.42,83.75,33.82,91.37,3.78,87.73,4.83,4.49,,1.8,271.89,111.61,0.0,18-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Mar-2019 - 00:00,20.76,14.86,3.46,30.51,9.04,0.49,64.25,41.39,114.85,4.44,80.39,4.63,4.91,53.24,1.69,274.08,351.93,0.0,19-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Mar-2019 - 00:00,23.74,16.82,4.07,46.34,12.64,0.54,48.65,37.73,115.63,4.64,78.95,4.81,5.28,61.46,1.67,253.64,328.84,0.0,20-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Mar-2019 - 00:00,28.51,18.51,3.07,49.08,16.96,0.59,39.11,47.24,139.77,6.53,83.1,4.76,5.07,55.47,1.56,143.53,248.54,0.0,21-Mar-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
