from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Eth-Benzene,Toluene,MP-Xylene,Xylene,RH,WS,WD,SR,RF,to date,station
28-Feb-2019 - 00:00,11.97,82.48,89.79,162.31,3.48,1.19,21.82,124.14,63.05,5.46,17.65,3.59,15.16,8.13,63.01,1.83,256.9,383.05,0.0,01-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Mar-2019 - 00:00,10.49,73.4,81.26,165.51,3.61,1.22,23.47,147.6,79.64,5.05,15.66,3.74,14.31,7.45,62.56,1.41,241.03,377.94,0.0,02-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Mar-2019 - 00:00,19.02,95.89,122.32,227.1,3.95,1.69,22.05,170.29,101.12,7.61,18.23,3.23,17.45,10.37,76.68,1.53,113.08,127.78,0.0,03-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Mar-2019 - 00:00,16.05,114.29,147.31,262.83,4.63,1.47,28.28,71.33,42.94,4.55,17.04,0.36,14.48,7.75,86.13,1.6,98.92,214.99,0.0,04-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Mar-2019 - 00:00,16.3,117.84,151.41,255.98,4.78,1.92,38.96,82.99,55.19,5.79,22.57,0.98,18.17,9.84,84.71,1.44,245.46,313.67,0.0,05-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Mar-2019 - 00:00,21.02,92.46,113.22,199.03,4.01,1.54,52.15,82.2,47.69,3.97,20.38,0.16,15.27,8.66,68.54,2.05,289.21,361.82,0.0,06-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Mar-2019 - 00:00,21.39,93.14,113.56,192.49,3.85,1.57,44.02,141.67,68.05,5.04,20.24,0.59,16.92,8.55,57.4,1.99,254.83,406.67,0.0,07-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Mar-2019 - 00:00,19.56,112.83,140.61,229.25,4.42,1.62,49.46,128.01,69.75,6.01,23.0,0.63,18.93,9.98,53.94,1.38,243.28,406.12,0.0,08-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Mar-2019 - 00:00,22.12,85.38,102.89,191.39,8.09,1.63,33.45,173.85,83.91,6.65,20.39,0.74,16.61,9.15,56.25,1.28,164.04,368.81,0.0,09-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Mar-2019 - 00:00,25.19,33.14,33.56,159.52,9.59,1.42,25.94,174.22,79.77,7.58,21.73,0.83,18.2,9.73,54.83,1.97,290.49,368.0,0.0,10-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Mar-2019 - 00:00,26.16,32.04,30.85,152.14,8.11,1.31,26.79,145.64,65.85,4.63,19.52,0.84,16.69,8.52,53.58,1.65,231.76,405.62,0.0,11-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Mar-2019 - 00:00,26.51,31.24,29.39,154.94,7.49,1.47,24.46,154.05,74.77,6.12,18.87,0.41,14.34,8.61,58.06,2.1,113.92,369.59,0.0,12-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Mar-2019 - 00:00,25.28,30.38,30.02,163.16,8.96,1.53,28.09,134.8,66.79,6.57,19.14,0.79,16.15,8.6,61.96,1.72,294.71,273.3,0.0,13-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Mar-2019 - 00:00,26.55,41.61,42.28,193.67,12.42,1.76,16.6,210.14,89.4,6.8,21.58,1.19,18.91,9.68,63.01,1.2,182.91,160.29,0.0,14-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Mar-2019 - 00:00,24.55,48.87,54.04,186.45,11.46,1.89,18.92,194.51,93.12,9.71,23.03,1.43,20.14,10.82,66.22,1.91,212.77,243.63,0.0,15-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Mar-2019 - 00:00,24.46,23.83,22.95,133.57,7.76,1.27,27.68,89.21,47.48,5.2,18.73,0.67,15.77,8.33,65.53,1.98,287.94,424.2,0.0,16-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Mar-2019 - 00:00,24.16,26.8,27.05,131.91,8.33,1.26,28.39,96.01,50.96,4.13,16.58,0.22,13.69,7.14,58.48,1.9,276.44,415.93,0.0,17-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Mar-2019 - 00:00,24.49,34.19,35.81,157.65,8.49,1.4,28.11,133.21,65.7,5.45,18.41,0.73,16.3,8.34,51.97,1.62,271.3,427.22,0.0,18-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Mar-2019 - 00:00,25.85,31.58,30.7,149.13,10.9,1.41,27.82,135.1,68.99,5.46,17.68,0.35,15.12,7.92,51.34,1.7,267.76,423.48,0.0,19-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Mar-2019 - 00:00,26.08,30.26,28.74,167.33,11.66,1.47,24.8,144.64,71.73,5.5,19.34,0.83,16.34,8.56,53.29,1.52,207.17,414.64,0.0,20-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Mar-2019 - 00:00,25.97,31.72,30.72,162.43,9.36,1.61,19.75,155.34,74.57,7.52,16.53,0.62,13.2,7.1,52.11,1.68,113.0,358.47,0.0,21-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Mar-2019 - 00:00,24.82,25.89,25.02,184.92,10.95,1.72,28.67,148.92,82.14,7.31,18.89,0.93,15.71,8.08,51.64,1.41,182.24,387.05,0.0,22-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Mar-2019 - 00:00,23.48,18.19,17.27,131.45,5.95,1.21,31.71,101.38,39.19,4.61,16.84,0.2,13.02,7.43,43.99,2.45,287.74,431.69,0.0,23-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Mar-2019 - 00:00,24.27,18.96,17.13,125.74,7.32,1.22,31.6,103.06,39.13,3.56,14.13,0.16,11.58,6.18,46.56,2.46,284.04,396.78,0.0,24-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Mar-2019 - 00:00,24.99,20.23,17.72,151.66,10.49,1.32,24.94,127.21,54.68,4.21,16.15,0.43,13.62,6.93,49.8,1.91,250.82,394.59,0.0,25-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Mar-2019 - 00:00,24.57,20.15,18.19,146.41,9.15,1.32,23.71,119.26,48.2,5.29,16.57,0.43,13.9,7.27,56.92,2.18,269.02,351.14,0.0,26-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Mar-2019 - 00:00,24.75,22.19,20.49,141.57,8.49,1.32,25.43,124.05,51.38,4.77,16.13,0.57,13.43,7.13,54.02,2.29,288.14,408.19,0.0,27-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Mar-2019 - 00:00,25.78,32.41,31.83,162.18,11.34,1.49,23.73,146.97,66.61,5.21,17.29,0.35,14.93,7.92,46.93,1.78,251.24,376.43,0.0,28-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Mar-2019 - 00:00,26.1,38.43,38.92,184.86,9.6,1.66,22.31,159.37,76.72,6.13,19.0,1.6,16.07,8.97,45.63,1.1,178.9,379.93,0.0,29-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Mar-2019 - 00:00,26.97,33.12,31.1,206.25,12.39,1.85,26.07,193.14,93.65,8.14,19.43,1.5,15.8,8.89,50.16,1.09,145.34,364.28,0.0,30-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-Mar-2019 - 00:00,26.53,33.37,32.01,219.02,18.9,1.92,23.37,222.24,99.4,9.42,21.81,2.18,17.29,9.88,49.13,1.57,125.97,363.48,0.0,31-Mar-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
31-Mar-2019 - 00:00,24.87,21.29,19.22,137.73,9.84,1.35,29.74,115.0,50.78,4.43,17.0,0.71,13.17,7.49,38.97,2.48,283.72,403.41,0.0,01-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Apr-2019 - 00:00,26.24,20.8,16.73,130.03,9.94,1.35,28.58,128.4,44.57,3.89,14.61,0.26,12.03,6.62,37.58,2.42,276.63,453.75,0.0,02-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Apr-2019 - 00:00,25.98,31.54,30.48,173.43,15.24,1.52,27.76,158.87,76.51,5.17,17.25,0.85,14.36,7.9,39.98,1.31,198.14,426.78,0.0,03-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Apr-2019 - 00:00,27.07,27.62,24.23,147.42,11.03,1.48,27.34,152.57,66.14,6.36,15.78,1.22,10.1,8.49,35.8,1.3,218.62,416.24,0.0,04-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Apr-2019 - 00:00,31.61,47.88,36.04,98.57,13.86,1.74,26.71,223.48,114.48,8.36,7.71,1.94,8.72,7.04,37.78,1.18,189.83,402.52,0.0,05-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Apr-2019 - 00:00,41.63,62.69,26.51,86.86,11.11,1.5,23.15,219.7,120.75,6.18,4.69,0.59,2.78,4.48,39.54,1.25,145.81,358.79,0.0,06-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Apr-2019 - 00:00,19.67,35.99,17.43,32.32,13.14,0.8,29.24,228.81,98.59,6.1,4.86,0.54,5.19,2.7,37.94,1.29,159.65,380.17,0.0,07-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Apr-2019 - 00:00,17.0,28.27,12.54,30.17,6.99,0.85,26.75,275.99,124.74,7.81,4.77,0.39,4.38,2.5,55.49,2.16,142.71,339.08,0.0,08-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Apr-2019 - 00:00,15.37,24.94,10.95,25.27,7.33,0.65,29.49,234.56,129.56,3.58,4.17,0.38,3.65,1.91,52.42,1.52,141.41,320.37,0.0,09-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Apr-2019 - 00:00,19.32,31.55,13.3,29.19,12.34,0.81,29.56,175.43,92.85,5.49,3.99,0.33,4.24,2.06,45.29,1.31,98.09,400.2,0.0,10-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Apr-2019 - 00:00,26.98,44.09,17.57,43.94,16.27,1.0,33.75,231.09,130.07,6.71,6.21,0.77,7.82,3.49,38.58,1.07,179.21,398.45,0.0,11-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Apr-2019 - 00:00,23.3,35.45,12.84,33.45,29.31,0.91,31.6,229.87,141.01,6.97,6.32,0.73,7.09,3.81,32.92,1.43,169.1,403.31,0.0,12-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Apr-2019 - 00:00,23.25,36.57,14.03,32.72,19.78,0.84,28.69,275.95,128.33,5.86,5.15,1.2,6.8,2.96,38.22,1.48,170.61,327.56,0.0,13-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Apr-2019 - 00:00,23.9,51.0,28.13,39.85,18.03,0.82,26.9,215.52,113.68,6.87,16.84,1.63,13.2,7.26,37.48,1.84,211.32,413.19,0.0,14-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Apr-2019 - 00:00,15.88,23.66,9.07,20.81,12.3,0.58,27.95,154.11,79.88,4.44,17.17,1.3,12.6,6.85,32.25,2.2,295.65,535.35,0.0,15-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Apr-2019 - 00:00,25.35,56.48,33.12,41.11,8.0,0.8,25.34,298.06,125.63,3.19,14.47,1.53,10.65,5.78,21.04,1.74,239.37,284.72,0.0,16-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Apr-2019 - 00:00,13.54,22.27,10.26,22.78,6.22,0.49,24.34,187.09,77.43,3.72,13.82,0.54,9.69,5.82,55.22,3.03,173.01,172.04,0.0,17-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Apr-2019 - 00:00,13.35,24.12,12.4,21.34,4.22,0.48,23.82,40.27,21.95,2.36,10.14,0.21,7.86,4.47,75.28,2.17,146.0,207.15,0.0,18-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Apr-2019 - 00:00,17.64,31.44,15.09,24.89,5.9,0.6,28.41,103.57,38.08,2.79,12.29,0.29,10.02,5.21,62.12,1.37,162.61,410.15,0.0,19-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Apr-2019 - 00:00,22.64,37.9,16.09,29.4,11.15,0.67,29.05,156.68,73.69,3.86,15.3,0.77,12.17,6.54,49.66,1.58,267.85,447.45,0.0,20-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Apr-2019 - 00:00,25.66,47.95,23.02,35.75,10.37,0.8,30.64,201.03,98.06,4.0,13.72,0.57,10.14,5.61,42.16,1.2,248.08,459.72,0.0,21-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Apr-2019 - 00:00,28.75,57.65,29.52,44.1,8.74,0.9,29.21,238.35,122.2,4.58,15.5,0.97,12.66,6.26,36.22,1.49,203.19,442.72,0.0,22-Apr-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
