from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,BP,PM2.5,PM10,RF,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
16-Apr-2019 - 00:00,0.37,0.13,0.4,0.14,4.07,761.32,107.89,273.96,0.22,148.49,26.7,139.94,2.36,0.47,19.48,7.73,20.63,26.68,60.05,12.85,17-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Apr-2019 - 00:00,0.19,0.18,0.62,0.24,8.68,761.26,35.57,107.02,0.81,235.84,21.36,178.49,1.97,0.35,41.33,10.28,56.83,50.99,46.04,19.67,18-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Apr-2019 - 00:00,1.13,0.64,2.37,0.92,6.46,761.85,22.02,69.56,0.0,250.37,25.69,145.88,1.72,0.81,23.33,9.11,29.76,38.49,56.69,13.72,19-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Apr-2019 - 00:00,1.43,0.6,2.16,0.86,7.07,760.93,34.42,69.55,0.0,188.75,25.88,159.05,1.67,0.77,32.46,13.15,47.4,60.54,61.34,14.5,20-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Apr-2019 - 00:00,1.51,0.72,2.71,1.11,7.91,759.5,34.08,71.29,0.0,220.13,27.3,171.25,1.6,0.75,19.89,12.57,43.52,53.79,63.96,16.12,21-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Apr-2019 - 00:00,1.0,0.45,1.9,0.72,8.3,758.68,29.04,70.71,0.0,75.59,24.17,199.47,1.0,0.55,19.35,14.14,55.33,61.67,33.02,13.24,22-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Apr-2019 - 00:00,1.38,0.56,2.27,0.87,5.52,758.54,38.82,96.48,0.0,294.19,35.39,235.09,2.0,0.7,16.64,9.92,44.42,54.31,73.52,17.36,23-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Apr-2019 - 00:00,1.65,0.92,2.76,1.15,6.2,759.09,45.92,104.28,0.0,203.56,33.84,220.18,1.52,0.81,17.03,12.87,50.73,61.06,57.2,17.2,24-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Apr-2019 - 00:00,1.25,0.64,1.9,0.72,4.38,759.54,91.53,163.12,0.0,260.82,36.67,282.07,1.87,0.59,15.15,9.53,41.36,47.09,57.5,17.19,25-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Apr-2019 - 00:00,1.28,0.43,1.39,0.5,3.99,759.43,85.99,128.83,0.0,206.94,35.05,189.96,1.88,0.6,15.0,10.72,37.99,46.61,69.24,16.32,26-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Apr-2019 - 00:00,0.93,0.27,1.05,0.38,3.73,756.24,26.58,91.63,0.0,218.07,33.29,176.7,1.77,0.67,16.77,9.22,34.91,41.63,67.4,18.07,27-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Apr-2019 - 00:00,1.08,0.37,1.88,0.55,2.72,753.27,31.16,103.56,0.0,189.42,34.42,78.38,2.17,0.53,15.6,10.69,31.08,40.01,54.39,16.53,28-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Apr-2019 - 00:00,0.97,0.82,3.81,1.15,3.7,752.62,36.62,104.17,0.0,281.7,36.48,176.22,2.25,0.47,13.02,8.25,28.16,32.76,71.49,17.19,29-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Apr-2019 - 00:00,1.67,0.69,2.39,0.91,4.71,752.03,46.23,115.9,0.0,212.08,34.76,142.73,1.83,0.84,19.26,14.69,57.81,69.32,57.17,16.03,30-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Apr-2019 - 00:00,1.43,0.37,1.43,0.55,4.64,750.46,37.1,86.78,0.0,219.07,35.93,237.93,1.92,0.6,17.0,11.0,33.6,42.94,59.48,16.31,01-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-May-2019 - 00:00,1.37,0.58,1.74,0.63,4.49,750.08,36.21,105.58,0.0,212.69,35.67,142.49,1.62,0.7,14.96,11.19,38.78,48.38,54.64,17.84,02-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-May-2019 - 00:00,1.05,0.27,0.93,0.29,4.14,750.88,37.55,115.48,0.0,192.05,33.79,95.75,2.13,0.55,16.58,8.04,30.06,36.44,74.39,18.86,03-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-May-2019 - 00:00,0.76,0.23,0.93,0.32,5.62,752.44,31.5,85.24,0.0,176.13,30.94,111.84,2.16,0.52,16.62,8.02,30.75,37.29,75.93,16.25,04-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-May-2019 - 00:00,0.77,0.58,1.83,0.55,4.28,753.62,38.38,82.02,0.0,220.04,32.52,162.01,2.13,0.52,13.02,9.63,33.5,41.41,73.99,15.42,05-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-May-2019 - 00:00,1.11,0.37,1.58,0.56,5.19,753.99,42.37,80.22,0.0,241.52,33.46,241.95,1.84,0.6,11.12,9.48,35.3,43.18,64.08,15.24,06-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-May-2019 - 00:00,1.1,0.35,1.2,0.44,4.33,752.52,41.91,89.52,0.0,227.43,34.93,259.87,1.88,0.56,12.52,9.45,35.39,42.88,63.34,15.14,07-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-May-2019 - 00:00,0.74,0.27,1.0,0.4,4.3,751.72,46.39,117.6,0.0,220.24,36.82,269.33,3.29,0.48,10.75,9.94,26.17,34.8,63.32,15.91,08-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-May-2019 - 00:00,0.23,0.1,0.43,0.12,3.25,751.77,40.91,104.62,0.0,214.5,37.63,275.9,3.36,0.32,10.82,7.51,16.15,22.68,63.76,12.09,09-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-May-2019 - 00:00,0.49,0.1,0.43,0.12,4.27,751.43,48.96,129.06,0.0,214.1,37.0,252.64,3.33,0.38,13.34,7.8,17.69,24.1,65.83,14.88,10-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-May-2019 - 00:00,0.24,0.14,0.3,0.15,4.72,751.82,37.28,103.23,0.0,220.01,35.64,255.65,2.63,0.5,12.14,7.54,16.62,23.04,61.38,11.91,11-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-May-2019 - 00:00,0.59,0.28,0.78,0.24,4.96,752.9,29.52,73.15,0.0,93.2,29.34,121.23,1.59,0.54,13.65,9.48,28.85,34.57,51.17,13.47,12-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-May-2019 - 00:00,0.48,0.14,0.58,0.2,5.17,752.85,57.53,180.86,0.0,201.92,33.23,172.07,2.28,0.59,13.74,9.97,32.06,42.02,66.2,12.23,13-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-May-2019 - 00:00,1.07,0.4,1.54,0.54,5.17,752.32,44.97,110.66,0.0,298.03,35.2,137.42,2.02,0.59,15.01,10.88,32.67,43.54,81.05,14.53,14-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-May-2019 - 00:00,0.77,0.23,1.03,0.36,3.15,752.15,36.72,81.32,0.0,257.13,34.31,66.81,2.52,0.71,15.19,7.96,33.55,41.49,76.83,12.24,15-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-May-2019 - 00:00,0.84,0.3,0.83,0.28,3.96,752.71,37.81,94.51,0.03,159.73,30.54,150.09,1.71,0.57,18.87,9.58,38.11,41.75,66.76,12.58,16-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-May-2019 - 00:00,0.55,0.26,1.1,0.35,4.35,753.39,45.59,112.96,0.0,207.17,31.32,113.92,2.16,0.57,20.2,8.48,29.23,36.07,66.82,11.76,17-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-May-2019 - 00:00,0.25,0.12,0.44,0.14,4.05,753.05,38.0,87.79,0.17,288.05,31.61,170.83,2.18,0.45,17.15,8.41,23.18,25.77,63.76,11.88,18-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-May-2019 - 00:00,0.29,0.2,1.23,0.33,5.06,753.29,32.1,86.11,0.0,227.46,28.82,212.23,2.23,0.59,20.69,8.39,25.48,32.47,66.15,12.53,19-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-May-2019 - 00:00,0.49,0.95,1.68,0.49,6.98,753.59,53.78,93.83,0.0,324.51,30.98,151.84,1.83,0.57,18.51,11.76,38.26,46.55,63.63,12.38,20-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-May-2019 - 00:00,1.22,0.59,2.16,0.79,6.26,751.81,42.53,110.24,0.0,279.06,34.96,147.74,1.73,0.78,25.02,10.88,41.49,52.19,55.44,14.6,23-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-May-2019 - 00:00,0.82,0.33,1.14,0.36,3.46,751.47,38.9,117.44,0.01,192.89,32.76,162.03,1.93,0.48,21.89,9.32,35.19,39.98,49.26,15.72,24-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-May-2019 - 00:00,0.55,0.23,0.89,0.25,6.19,752.16,44.93,126.39,0.0,219.93,31.25,90.85,2.64,0.42,22.92,8.66,31.74,38.62,66.54,15.17,25-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-May-2019 - 00:00,0.34,0.13,0.52,0.14,5.28,752.28,39.94,105.5,0.0,231.38,32.92,123.25,2.36,0.34,14.93,8.38,27.75,34.45,76.43,15.84,26-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-May-2019 - 00:00,0.68,0.31,1.05,0.33,5.44,751.44,45.14,113.05,0.0,241.83,34.96,122.39,1.81,0.44,12.02,8.53,38.2,44.98,70.54,16.53,27-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-May-2019 - 00:00,0.74,0.35,1.0,0.37,3.1,751.31,38.16,105.81,0.0,224.59,36.36,188.95,1.89,0.49,10.95,9.23,32.58,40.15,65.02,14.92,28-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-May-2019 - 00:00,0.63,0.15,0.6,0.18,2.35,751.33,32.93,90.54,0.0,240.33,37.03,165.35,1.92,0.39,11.02,7.81,27.51,33.82,66.39,15.41,29-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-May-2019 - 00:00,2.42,1.29,2.65,1.42,5.35,750.41,40.74,112.2,0.0,229.86,37.18,184.18,1.59,0.7,14.18,13.65,50.08,60.92,56.67,16.23,30-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-May-2019 - 00:00,1.33,0.92,1.83,0.68,4.63,748.11,46.11,128.5,0.0,224.15,38.58,214.4,2.1,0.52,19.37,15.72,45.03,57.26,53.94,15.07,31-May-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
31-May-2019 - 00:00,0.29,0.08,0.41,0.14,1.78,743.03,54.53,151.76,0.0,181.62,39.67,231.48,2.22,0.62,13.91,7.99,19.78,26.69,66.57,14.34,01-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Jun-2019 - 00:00,0.36,0.03,0.1,0.04,1.36,740.09,50.04,108.83,0.0,91.32,38.28,274.87,2.51,0.73,13.04,8.19,14.51,22.25,63.84,15.19,02-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Jun-2019 - 00:00,0.84,0.13,0.49,0.16,2.89,732.28,70.32,186.63,0.0,232.26,39.36,105.17,2.08,0.77,32.22,8.21,27.48,34.18,76.06,15.46,04-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Jun-2019 - 00:00,0.9,0.17,0.56,0.18,3.15,732.85,59.23,147.52,0.0,204.61,36.39,139.67,1.85,0.63,24.21,8.46,24.5,31.78,58.09,14.22,05-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Jun-2019 - 00:00,0.84,0.31,0.66,0.18,3.67,732.75,67.95,153.72,0.0,200.93,38.58,152.95,2.07,0.6,20.61,8.25,23.82,30.77,55.22,14.45,06-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Jun-2019 - 00:00,0.46,0.13,0.64,0.2,2.68,733.0,49.07,130.29,0.0,222.69,38.55,182.45,2.09,0.48,16.86,9.15,27.55,35.27,53.45,15.94,07-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Jun-2019 - 00:00,0.48,0.09,0.38,0.11,2.34,734.32,61.81,156.7,0.0,219.77,36.14,171.48,2.19,0.52,19.42,8.21,22.9,29.6,64.5,13.45,08-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Jun-2019 - 00:00,1.7,1.49,1.98,1.05,4.74,733.74,62.54,146.43,0.0,221.09,37.57,133.42,1.77,0.86,20.46,14.84,42.83,55.74,57.08,15.16,09-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Jun-2019 - 00:00,1.66,1.91,2.07,1.25,5.7,732.27,69.41,131.63,0.0,219.71,38.7,152.05,1.75,0.84,14.29,17.3,50.64,65.64,58.19,17.58,10-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Jun-2019 - 00:00,1.93,1.25,2.59,1.04,5.25,730.87,53.83,108.59,0.0,225.2,39.44,136.19,1.86,0.78,19.21,13.81,57.57,68.13,51.94,16.56,11-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Jun-2019 - 00:00,0.38,0.19,0.58,0.21,3.3,730.98,50.81,111.79,0.0,190.35,39.94,177.68,2.52,0.66,15.44,8.21,23.64,30.76,59.19,15.36,12-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Jun-2019 - 00:00,0.69,0.19,0.61,0.2,4.22,731.91,48.66,133.88,0.27,194.4,34.46,151.76,2.01,0.75,22.3,9.61,31.51,36.31,48.99,15.49,13-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Jun-2019 - 00:00,0.46,0.19,0.86,0.3,2.62,731.04,25.39,57.12,0.07,205.37,32.31,203.4,1.7,0.85,31.45,9.82,33.71,40.88,44.46,15.66,14-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Jun-2019 - 00:00,0.77,0.55,1.34,0.55,3.14,733.65,37.62,106.41,0.0,223.19,35.97,150.33,1.29,0.92,23.63,9.97,38.15,46.31,57.59,16.69,15-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Jun-2019 - 00:00,0.19,0.07,0.43,0.12,2.45,734.25,43.04,105.47,0.0,119.23,35.97,167.19,1.47,0.61,19.7,8.55,40.18,41.76,59.62,17.94,16-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Jun-2019 - 00:00,0.25,0.09,0.44,0.14,2.6,734.54,27.65,61.78,0.07,107.71,29.54,202.81,1.57,0.58,22.08,8.98,20.08,27.91,41.99,16.41,17-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Jun-2019 - 00:00,0.21,0.09,0.53,0.14,1.87,735.96,32.41,74.9,0.0,171.15,31.0,203.5,2.04,0.57,20.96,9.09,19.57,27.55,52.64,15.82,18-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Jun-2019 - 00:00,0.66,0.32,1.28,0.46,2.94,734.52,18.29,70.67,0.04,106.8,26.49,123.34,1.86,0.72,18.66,9.57,30.5,38.6,41.55,14.63,19-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Jun-2019 - 00:00,0.57,0.12,0.5,0.15,2.58,734.11,21.35,56.32,0.0,191.43,28.07,221.5,1.49,0.6,27.78,10.57,35.81,43.54,25.12,13.22,20-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Jun-2019 - 00:00,1.43,1.88,1.84,1.02,4.47,733.23,36.83,86.09,0.0,219.03,31.56,172.13,1.11,0.95,17.56,10.23,33.93,42.48,45.91,15.25,21-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Jun-2019 - 00:00,0.66,0.49,1.14,0.33,2.87,733.63,43.98,103.0,0.0,88.81,31.5,180.92,1.51,0.67,16.87,10.54,35.51,40.71,46.35,16.07,22-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Jun-2019 - 00:00,1.09,0.66,1.74,0.65,3.95,733.75,44.79,102.85,0.0,222.9,34.72,94.86,1.49,0.71,21.65,12.32,38.83,49.26,68.84,15.27,23-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Jun-2019 - 00:00,0.58,0.13,0.35,0.09,2.77,734.48,39.69,91.44,0.0,210.79,34.55,175.86,1.41,0.61,22.95,9.03,16.93,24.77,59.27,15.34,24-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Jun-2019 - 00:00,0.5,0.12,0.56,0.18,2.35,734.39,29.78,84.88,0.01,181.45,31.02,140.02,1.52,0.58,17.28,9.07,15.81,23.71,36.65,14.57,25-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Jun-2019 - 00:00,0.58,0.23,0.66,0.19,2.37,733.67,17.67,60.73,0.0,139.48,31.63,134.34,1.5,0.6,19.87,10.01,25.11,32.08,31.68,13.78,26-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Jun-2019 - 00:00,0.84,0.39,1.53,0.51,4.12,733.63,24.64,54.48,0.0,216.47,35.19,116.23,1.36,0.73,17.61,10.78,37.72,46.38,47.95,13.72,27-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Jun-2019 - 00:00,0.52,0.29,1.0,0.33,2.93,734.3,77.5,171.76,0.0,200.61,35.96,126.0,1.64,0.6,13.61,8.83,27.34,34.33,66.82,13.09,28-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Jun-2019 - 00:00,0.31,0.16,0.84,0.25,2.38,734.82,64.17,112.93,0.0,200.16,36.27,154.67,1.54,0.59,13.25,8.78,21.36,28.76,59.81,14.21,29-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Jun-2019 - 00:00,0.18,0.06,0.29,0.09,2.06,734.87,60.37,127.17,0.0,220.55,37.18,152.55,1.69,0.56,13.08,8.17,18.76,25.82,55.68,12.4,30-Jun-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Jun-2019 - 00:00,0.15,0.05,0.23,0.07,2.3,735.96,60.35,127.13,0.0,213.77,36.81,211.91,1.88,0.54,12.88,8.46,17.66,25.18,57.66,10.82,01-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Jul-2019 - 00:00,0.16,0.05,0.22,0.07,1.9,735.49,57.5,117.36,0.0,184.97,35.43,138.1,1.88,0.6,12.86,8.71,16.33,23.99,56.01,10.94,02-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Jul-2019 - 00:00,0.3,0.32,0.97,0.27,1.93,735.54,70.31,146.15,0.0,204.31,35.49,86.42,2.03,0.67,12.7,8.83,19.35,27.08,71.34,11.53,03-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Jul-2019 - 00:00,0.57,0.28,0.49,0.16,2.08,733.77,136.63,156.31,0.04,155.73,31.66,180.61,1.33,0.76,14.4,9.92,17.47,26.03,36.48,13.47,04-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Jul-2019 - 00:00,0.38,0.3,0.58,0.19,2.04,733.61,71.72,71.98,0.21,151.2,31.3,234.63,1.42,0.73,19.67,10.43,18.67,25.89,30.24,15.14,05-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Jul-2019 - 00:00,0.72,0.52,0.56,0.25,2.58,733.88,32.58,81.44,0.01,138.63,28.78,149.58,1.62,0.79,20.99,9.68,16.92,25.65,35.67,13.91,06-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Jul-2019 - 00:00,0.5,0.27,0.12,0.05,2.47,733.51,32.17,103.77,0.0,143.15,28.95,159.69,1.39,0.73,23.96,10.55,29.59,38.66,50.37,13.95,07-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Jul-2019 - 00:00,0.36,0.26,0.12,0.05,2.55,733.52,36.88,116.58,0.0,197.55,31.53,163.61,1.29,0.68,24.98,10.68,27.9,36.82,56.27,14.29,08-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Jul-2019 - 00:00,0.21,0.24,0.11,0.04,1.85,733.62,32.86,96.43,0.0,141.17,32.5,205.09,1.25,0.69,16.67,10.24,23.14,31.76,47.04,12.21,09-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Jul-2019 - 00:00,0.18,0.22,0.09,0.06,1.56,734.21,22.81,58.67,0.0,106.6,29.73,230.52,1.65,0.67,20.41,9.16,18.24,25.68,38.87,11.69,10-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Jul-2019 - 00:00,0.31,0.22,0.28,0.14,1.99,734.91,50.65,104.15,0.0,187.75,33.25,243.83,1.79,0.68,17.45,9.09,13.15,21.14,41.03,11.62,11-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Jul-2019 - 00:00,0.21,0.11,0.18,0.14,0.94,736.72,41.88,83.72,0.0,183.15,34.3,252.63,2.24,0.64,12.75,8.07,9.0,16.38,30.45,12.15,12-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Jul-2019 - 00:00,0.1,0.08,0.13,0.15,0.89,737.71,36.68,86.21,0.0,196.46,34.37,149.77,2.66,0.61,11.15,7.73,7.18,14.29,43.92,11.75,13-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Jul-2019 - 00:00,0.11,0.01,0.03,0.01,1.05,737.05,37.18,75.15,0.0,228.9,34.58,178.53,2.47,0.59,10.17,8.12,7.48,14.96,36.64,11.71,14-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Jul-2019 - 00:00,0.1,0.01,0.03,0.01,1.29,737.04,36.62,85.64,0.0,261.73,34.78,125.55,2.54,0.56,10.79,7.97,7.17,13.78,43.97,11.42,15-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Jul-2019 - 00:00,0.13,0.02,0.06,0.02,1.19,735.56,54.85,132.94,0.0,179.55,33.27,227.14,1.9,0.62,10.31,8.2,9.29,16.78,49.13,12.02,16-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Jul-2019 - 00:00,0.34,0.22,0.2,0.07,1.68,733.75,56.49,112.09,0.0,122.39,30.89,139.23,1.54,0.73,10.96,9.09,13.84,22.02,42.53,11.68,17-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Jul-2019 - 00:00,0.51,0.37,0.35,0.14,2.04,733.54,25.92,88.58,0.0,137.7,27.93,171.79,1.32,0.82,17.11,9.47,17.24,25.77,33.15,13.05,18-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Jul-2019 - 00:00,0.31,0.33,0.22,0.08,2.04,734.21,52.35,92.95,0.0,189.84,28.48,106.67,1.72,0.71,17.77,9.19,19.15,27.23,33.84,12.88,19-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Jul-2019 - 00:00,0.54,0.34,0.22,0.08,2.03,733.45,47.53,115.67,0.18,167.0,30.08,164.74,1.26,0.73,18.7,8.66,22.11,29.43,36.49,11.86,20-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Jul-2019 - 00:00,0.78,0.25,0.49,0.18,2.78,733.32,60.08,159.01,0.0,155.02,29.9,110.85,1.28,0.77,18.34,9.65,23.1,31.07,40.33,13.82,21-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Jul-2019 - 00:00,0.53,0.07,0.32,0.12,2.6,733.29,92.2,184.87,0.0,160.74,30.14,160.24,1.14,0.74,17.2,8.78,16.45,24.27,51.21,13.24,22-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Jul-2019 - 00:00,0.81,0.1,0.46,0.17,3.04,733.17,79.11,164.49,0.0,157.27,30.55,143.42,1.28,0.85,17.9,9.08,18.25,26.25,43.3,13.13,23-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Jul-2019 - 00:00,1.13,0.9,0.77,0.53,4.56,732.96,135.23,108.79,0.0,179.88,32.63,207.07,1.22,0.87,20.0,10.85,20.73,30.15,43.19,12.41,24-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Jul-2019 - 00:00,0.28,0.04,0.16,0.06,2.04,735.02,28.64,77.43,0.0,143.61,31.33,159.4,1.77,0.63,18.05,8.67,13.16,20.94,35.18,13.25,25-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Jul-2019 - 00:00,0.4,0.05,0.22,0.08,2.03,733.26,22.76,69.42,0.0,96.3,26.82,189.27,1.24,0.72,14.96,8.37,13.88,21.39,32.97,12.39,26-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Jul-2019 - 00:00,0.3,0.03,0.12,0.04,1.85,733.37,35.58,81.61,0.05,113.29,27.55,153.52,1.38,0.64,15.21,8.44,11.78,19.34,29.91,12.48,27-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Jul-2019 - 00:00,0.4,0.15,0.37,0.16,2.86,733.45,36.07,90.42,0.0,139.41,27.36,152.43,1.4,0.71,17.27,8.54,15.77,22.26,27.47,12.81,28-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Jul-2019 - 00:00,0.39,0.25,0.55,0.28,2.99,733.47,43.25,93.92,0.0,128.5,27.2,133.25,1.44,0.71,10.45,8.56,14.98,22.6,34.34,14.61,29-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Jul-2019 - 00:00,0.51,0.23,0.55,0.28,2.84,733.32,32.14,94.89,0.0,61.54,28.16,102.21,1.42,0.93,10.32,8.62,22.58,26.38,30.26,15.04,30-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Jul-2019 - 00:00,0.48,0.23,0.51,0.26,7.59,734.24,30.93,86.32,0.0,164.07,29.74,66.42,1.7,0.74,11.62,8.78,20.71,28.3,43.87,10.14,31-Jul-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
31-Jul-2019 - 00:00,0.41,0.13,0.33,0.14,1.88,733.39,40.07,100.88,0.0,148.05,29.93,125.33,1.31,0.83,19.73,8.43,20.69,27.51,34.39,11.02,01-Aug-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Aug-2019 - 00:00,0.45,0.13,0.31,0.14,1.89,733.23,43.03,109.36,0.0,176.69,30.0,129.86,1.22,0.84,16.46,8.28,18.31,25.49,33.12,11.05,02-Aug-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
