from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
12-Jan-2019 - 00:00,76.88,148.11,31.78,101.17,719.62,66.49,0.0,104.61,0.85,0.02,29.96,0.0,0.02,6.84,37.66,0.46,21.49,11.73,16.71,0.59,0.2,13-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Jan-2019 - 00:00,66.88,118.45,31.69,104.66,719.6,63.16,0.0,105.44,0.82,0.01,30.02,0.0,0.02,6.21,34.88,0.3,18.4,9.98,14.15,0.49,0.16,14-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Jan-2019 - 00:00,74.12,139.94,31.69,105.81,720.01,64.02,0.0,124.61,0.72,0.01,29.27,0.0,0.03,8.3,29.33,0.79,21.64,12.14,13.9,0.58,0.2,15-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Jan-2019 - 00:00,74.92,151.15,31.61,104.67,720.01,62.96,0.0,171.71,0.69,0.0,29.12,0.02,0.06,11.57,25.94,3.31,25.85,16.21,17.04,0.66,0.39,16-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Jan-2019 - 00:00,73.88,148.27,31.79,105.29,719.99,60.66,0.0,84.3,0.66,0.0,29.15,0.04,0.02,15.04,25.87,1.28,24.01,13.74,15.16,0.6,0.41,17-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Jan-2019 - 00:00,69.93,154.11,31.79,110.82,719.89,62.06,0.0,101.41,0.63,0.01,29.19,0.04,0.06,10.82,22.09,3.47,29.64,18.52,13.84,0.62,0.45,18-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Jan-2019 - 00:00,73.2,161.58,31.85,108.72,719.75,62.94,0.0,113.15,0.59,0.01,29.37,0.02,0.05,9.25,21.11,2.33,30.56,18.1,15.24,0.72,0.46,19-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-Jan-2019 - 00:00,78.41,162.2,31.88,105.52,720.02,62.93,0.0,117.74,0.62,0.02,29.16,0.02,0.06,11.74,24.58,2.59,29.34,17.65,15.97,0.6,0.45,20-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
20-Jan-2019 - 00:00,69.55,154.58,31.81,115.07,719.91,60.39,0.0,95.66,0.64,0.01,29.12,0.02,0.1,12.07,21.02,6.37,34.22,23.15,13.23,0.69,0.39,21-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-Jan-2019 - 00:00,61.45,135.98,31.86,116.47,719.84,62.36,0.0,97.2,0.78,0.01,29.25,0.0,0.03,7.18,27.3,1.58,24.61,14.22,14.37,0.54,0.18,22-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-Jan-2019 - 00:00,40.71,89.39,31.87,120.64,719.44,49.77,0.0,129.76,0.72,0.02,30.18,0.0,0.01,8.57,25.18,17.49,15.62,21.0,12.28,0.43,0.14,23-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-Jan-2019 - 00:00,52.38,100.76,31.74,105.31,719.41,63.51,0.0,119.24,0.8,0.01,30.16,0.0,0.0,6.98,25.57,0.55,16.16,8.98,14.99,0.45,0.11,24-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-Jan-2019 - 00:00,53.15,114.95,32.2,86.82,719.67,65.98,0.0,105.55,0.73,0.02,30.3,0.0,0.0,7.59,22.25,1.59,23.51,12.89,14.89,0.49,0.16,25-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-Jan-2019 - 00:00,28.12,68.43,31.7,104.17,719.2,62.39,0.0,137.91,0.87,0.04,31.17,0.0,0.0,7.08,21.65,0.5,12.29,6.77,13.21,0.36,0.07,26-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
26-Jan-2019 - 00:00,28.57,53.36,31.49,72.43,719.9,73.64,0.0,118.75,0.93,0.01,30.18,0.01,0.0,7.53,18.7,0.61,10.91,6.19,13.25,0.44,0.09,27-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-Jan-2019 - 00:00,50.53,73.37,31.23,29.71,722.12,86.55,0.0,42.82,1.18,0.0,27.4,0.06,0.0,10.31,8.28,2.56,16.72,10.97,16.04,0.52,0.31,28-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-Jan-2019 - 00:00,70.72,105.6,31.21,55.12,722.05,79.46,0.0,54.4,1.08,0.0,27.28,0.03,0.0,14.31,13.19,1.28,21.55,12.51,14.32,0.56,0.26,29-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
29-Jan-2019 - 00:00,60.16,112.18,31.5,121.27,721.36,65.74,0.0,134.34,0.78,0.0,27.34,0.03,0.01,13.98,19.22,3.33,24.17,15.56,12.71,0.48,0.38,30-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
30-Jan-2019 - 00:00,54.26,128.95,31.81,127.81,721.35,55.96,0.0,109.26,0.64,0.0,27.17,0.02,0.04,16.51,20.5,2.4,30.12,17.92,11.95,0.46,0.51,31-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
31-Jan-2019 - 00:00,58.44,124.55,31.7,121.74,721.07,62.93,0.0,89.83,0.82,0.02,28.23,0.0,0.04,9.01,25.4,1.17,29.29,16.53,12.19,0.58,0.27,01-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Feb-2019 - 00:00,59.56,113.85,31.56,113.55,719.78,64.8,0.0,104.64,0.72,0.02,29.87,0.0,0.04,9.72,29.65,0.67,23.15,12.82,13.11,0.55,0.18,02-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Feb-2019 - 00:00,54.58,114.4,31.65,116.06,720.22,63.43,0.0,99.24,0.77,0.01,29.4,0.0,0.04,8.62,25.66,0.92,24.78,13.93,12.14,0.54,0.19,03-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Feb-2019 - 00:00,54.82,101.55,31.44,120.01,719.92,63.11,0.0,97.41,0.89,0.01,29.9,0.0,0.02,8.18,29.12,0.56,20.67,11.43,12.64,0.47,0.16,04-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Feb-2019 - 00:00,61.88,115.03,31.61,120.6,719.68,62.9,0.0,90.03,0.97,0.02,30.5,0.0,0.02,8.93,33.75,0.42,23.39,12.76,13.47,0.55,0.15,05-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Feb-2019 - 00:00,57.46,118.09,31.61,119.53,719.26,59.39,0.0,103.28,0.73,0.01,30.87,0.0,0.02,9.19,31.62,0.68,23.63,13.1,12.22,0.59,0.27,06-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Feb-2019 - 00:00,63.43,136.54,31.68,115.3,719.25,59.62,0.0,120.86,0.78,0.01,30.93,0.01,0.04,9.64,30.21,3.02,25.38,15.84,12.57,0.63,0.24,07-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Feb-2019 - 00:00,51.74,99.24,31.65,116.85,718.7,56.45,0.0,142.22,0.8,0.03,32.01,0.0,0.0,9.87,32.26,0.39,14.01,7.71,12.3,0.41,0.08,08-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Feb-2019 - 00:00,47.39,124.44,31.59,115.76,719.5,56.41,0.0,267.16,0.8,-0.0,30.5,0.02,0.02,9.98,20.13,2.21,20.46,12.67,11.6,0.57,0.24,09-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Feb-2019 - 00:00,46.89,150.31,31.58,127.03,720.25,49.58,0.0,173.83,0.92,0.0,29.33,0.01,0.01,11.28,24.96,1.24,18.45,10.76,11.03,0.46,0.26,10-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Feb-2019 - 00:00,58.38,171.9,31.92,116.24,719.6,48.3,0.0,74.84,0.86,0.0,30.39,0.02,0.01,28.59,29.22,2.01,30.91,17.99,14.02,0.52,0.32,11-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Feb-2019 - 00:00,55.75,120.4,31.57,111.22,719.06,61.83,0.0,89.89,1.13,0.02,31.51,0.0,0.01,8.46,30.2,0.35,17.74,9.69,14.43,0.46,0.15,12-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Feb-2019 - 00:00,59.84,127.33,31.53,123.02,723.64,65.49,0.0,102.78,0.88,0.01,31.3,0.0,0.02,7.41,26.36,0.75,20.46,11.46,13.62,0.55,0.18,13-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Feb-2019 - 00:00,61.26,140.74,31.66,133.27,730.76,59.5,0.0,84.72,0.84,0.01,31.67,0.0,0.04,8.3,25.49,1.44,28.91,16.55,12.47,0.57,0.23,14-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Feb-2019 - 00:00,52.05,123.57,35.11,128.78,729.38,59.34,0.0,109.44,0.8,0.01,32.35,0.0,0.04,5.15,26.43,1.23,27.04,15.24,15.06,0.61,0.18,15-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Feb-2019 - 00:00,26.82,70.54,31.96,127.73,727.02,55.4,0.0,145.11,0.76,0.03,32.98,0.0,0.0,4.68,22.93,0.48,11.42,6.38,10.35,0.42,0.1,16-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Feb-2019 - 00:00,41.27,99.21,31.62,129.88,727.55,58.72,0.0,214.21,0.69,0.0,32.12,0.02,0.02,6.75,20.11,2.04,18.85,11.61,12.08,0.55,0.26,17-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Feb-2019 - 00:00,38.21,92.28,31.67,127.65,728.65,61.81,0.0,158.31,0.79,0.01,32.56,0.02,0.01,7.5,19.64,1.53,17.15,10.33,12.6,0.48,0.26,18-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Feb-2019 - 00:00,66.76,152.32,31.61,124.38,729.58,64.01,0.0,124.21,0.68,0.01,32.23,0.03,0.06,10.78,23.34,7.45,29.04,20.58,15.39,0.72,0.47,19-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-Feb-2019 - 00:00,48.09,107.84,31.59,124.11,730.3,60.33,0.0,90.81,0.93,0.03,33.87,0.0,0.0,7.43,27.33,0.49,15.85,8.8,13.06,0.34,0.15,20-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
20-Feb-2019 - 00:00,29.4,79.22,31.68,129.59,731.05,61.81,0.0,86.41,1.14,0.04,33.45,0.0,0.01,5.79,20.23,0.49,14.41,8.01,11.24,0.41,0.08,21-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-Feb-2019 - 00:00,33.61,89.45,31.69,134.76,731.01,53.85,0.0,90.43,0.9,0.02,33.8,0.0,0.01,6.27,25.36,0.48,16.15,8.93,9.62,0.44,0.11,22-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-Feb-2019 - 00:00,40.19,114.36,31.61,132.59,731.43,50.56,0.0,114.46,0.67,0.01,34.36,0.0,0.02,7.43,24.74,0.79,20.73,11.62,9.5,0.45,0.14,23-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-Feb-2019 - 00:00,50.93,136.48,37.22,131.17,730.41,51.36,0.0,175.89,0.56,0.0,34.18,0.02,0.05,8.43,19.94,3.24,31.21,19.2,20.94,0.6,0.31,24-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-Feb-2019 - 00:00,,97.43,31.8,134.6,725.44,45.97,0.0,198.17,0.63,0.01,34.6,0.0,0.02,4.5,24.16,0.65,15.48,8.75,9.67,0.47,0.11,25-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-Feb-2019 - 00:00,50.9,110.59,31.85,129.0,725.49,42.92,0.0,180.84,0.91,0.02,34.66,0.02,0.0,9.9,26.25,0.41,15.87,8.75,10.99,0.44,0.16,26-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
26-Feb-2019 - 00:00,55.36,135.97,31.87,134.22,726.31,51.25,0.0,202.1,0.78,0.0,32.91,0.04,0.02,10.79,18.83,3.69,24.51,16.04,13.31,0.56,0.39,27-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-Feb-2019 - 00:00,65.07,145.61,31.61,118.76,726.46,61.47,0.0,167.16,0.67,0.0,32.33,0.04,0.06,12.23,17.12,5.59,24.71,17.58,17.4,0.68,0.57,28-Feb-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-Feb-2019 - 00:00,45.91,129.53,31.77,137.34,726.16,53.23,0.0,152.99,0.91,0.0,32.84,0.01,0.0,11.29,22.2,0.91,17.19,9.89,12.11,0.43,0.18,01-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Mar-2019 - 00:00,32.5,132.04,31.78,112.9,726.6,60.17,0.0,125.14,0.89,0.01,32.38,0.01,0.02,9.19,22.97,3.39,20.83,13.7,13.97,0.55,0.2,02-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Mar-2019 - 00:00,26.81,71.09,31.38,119.23,726.27,64.35,0.0,95.42,1.21,0.04,33.23,0.0,0.0,4.55,20.86,0.26,9.91,5.43,13.39,0.43,0.04,03-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Mar-2019 - 00:00,,63.34,31.29,112.1,725.77,59.32,0.0,130.27,0.81,0.01,33.95,0.0,0.0,3.88,18.79,0.39,8.59,4.8,10.84,0.32,0.03,04-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Mar-2019 - 00:00,,99.77,31.36,136.01,725.76,54.54,0.0,206.08,0.8,0.01,34.37,0.03,0.0,6.23,23.02,0.95,13.82,8.07,10.35,0.45,0.11,05-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Mar-2019 - 00:00,41.05,169.05,31.6,133.79,726.79,50.72,0.0,216.31,0.82,0.0,33.08,0.04,0.04,10.16,16.29,3.55,20.84,13.91,12.06,0.7,0.35,06-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Mar-2019 - 00:00,59.8,155.78,31.58,144.71,729.05,48.95,0.0,175.6,0.7,0.0,32.23,0.02,0.04,11.84,19.49,3.71,20.94,14.15,14.46,0.7,0.29,07-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Mar-2019 - 00:00,63.26,166.31,32.04,138.92,729.0,48.32,0.0,203.55,0.62,0.01,32.49,0.05,0.02,17.57,24.98,4.94,29.04,19.29,16.06,0.74,0.49,08-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Mar-2019 - 00:00,61.07,156.58,31.78,139.21,728.34,50.64,0.0,130.24,0.72,0.01,33.51,0.05,0.03,11.73,21.11,2.72,24.85,15.38,16.29,0.54,0.46,09-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Mar-2019 - 00:00,39.09,120.33,31.69,128.49,727.84,56.59,0.0,153.79,0.68,0.01,34.26,0.0,0.02,6.23,19.39,1.21,19.0,11.04,14.21,0.52,0.2,10-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Mar-2019 - 00:00,41.02,116.76,31.83,131.94,727.62,59.01,0.0,149.7,0.72,0.01,34.9,0.0,0.0,8.02,19.73,1.68,17.01,10.22,14.24,0.5,0.2,11-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Mar-2019 - 00:00,28.94,93.07,31.61,122.49,727.89,55.71,0.0,110.68,0.9,0.04,35.35,0.0,0.0,7.23,22.15,0.58,12.55,7.1,12.0,0.34,0.08,12-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Mar-2019 - 00:00,30.26,105.12,31.52,123.4,727.91,52.66,0.0,152.25,0.78,0.03,35.42,0.0,0.0,6.83,23.37,1.31,12.12,7.38,10.82,0.41,0.11,13-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Mar-2019 - 00:00,31.18,99.33,31.63,133.67,727.76,44.73,0.0,134.89,0.82,0.04,35.74,0.0,0.0,6.69,26.5,0.27,9.26,5.1,9.02,0.34,0.06,14-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Mar-2019 - 00:00,32.26,105.28,31.58,140.47,727.94,43.71,0.0,163.98,0.73,0.03,35.36,0.0,0.01,8.3,22.99,0.74,14.26,8.05,9.32,0.37,0.17,15-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Mar-2019 - 00:00,39.8,118.93,31.8,145.8,727.83,42.99,0.0,151.17,0.81,0.04,35.42,0.0,0.05,13.92,23.34,1.65,16.88,10.21,13.05,0.4,0.42,16-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Mar-2019 - 00:00,30.53,110.79,31.75,144.8,727.97,40.56,0.0,111.32,0.95,0.04,35.34,0.0,0.0,9.06,28.78,0.33,10.61,5.84,8.35,0.45,0.08,17-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Mar-2019 - 00:00,32.07,92.5,31.8,145.52,728.27,48.08,0.0,107.89,0.94,0.05,35.01,0.0,0.0,6.82,27.33,0.33,10.48,5.74,9.78,0.42,0.05,18-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Mar-2019 - 00:00,32.05,102.89,31.88,145.21,728.52,48.16,0.0,122.76,0.9,0.04,34.31,0.01,0.0,9.02,29.74,0.77,14.24,8.1,9.56,0.52,0.14,19-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-Mar-2019 - 00:00,23.76,71.47,31.63,138.64,728.32,56.05,0.0,127.84,0.78,0.03,34.77,0.0,0.0,7.07,23.15,0.47,10.81,6.02,10.0,0.41,0.04,20-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
20-Mar-2019 - 00:00,35.62,89.04,31.27,127.78,728.46,58.77,0.0,106.75,1.01,0.05,35.1,0.0,0.0,6.56,23.07,27.38,16.31,28.07,11.21,0.5,0.08,21-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-Mar-2019 - 00:00,33.39,83.31,29.6,130.59,726.7,56.02,0.0,120.53,0.86,0.04,35.41,0.0,0.0,12.57,24.39,0.73,8.19,4.94,23.17,0.52,0.05,22-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-Mar-2019 - 00:00,29.76,85.77,28.59,132.53,726.4,54.24,0.0,141.82,0.79,0.01,35.27,0.15,0.33,12.56,25.67,0.87,10.59,6.34,14.09,0.45,0.26,23-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-Mar-2019 - 00:00,35.32,115.89,29.08,137.68,726.16,53.53,0.0,136.83,0.69,0.01,35.87,1.79,1.71,8.84,30.82,1.26,15.24,9.14,13.62,0.49,11.48,24-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-Mar-2019 - 00:00,44.78,124.55,32.58,137.2,726.25,51.92,0.0,84.72,0.71,0.01,36.21,1.42,1.54,10.01,34.89,1.84,17.11,10.59,16.46,0.54,9.72,25-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-Mar-2019 - 00:00,43.77,127.03,31.75,138.91,726.14,49.25,0.0,82.48,0.83,0.02,36.25,1.02,1.07,12.09,42.18,1.27,17.27,10.21,13.58,0.59,5.55,26-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
26-Mar-2019 - 00:00,41.5,118.05,31.26,144.43,726.0,49.4,0.0,132.81,0.7,0.01,36.3,0.96,0.99,13.93,34.74,1.56,14.41,8.93,13.34,0.58,5.48,27-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-Mar-2019 - 00:00,41.99,117.98,31.37,141.29,725.95,48.8,0.0,151.33,0.75,0.01,36.56,1.15,1.41,13.52,37.65,1.08,13.52,8.07,12.57,0.5,10.14,28-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-Mar-2019 - 00:00,48.58,145.02,31.92,144.01,726.11,47.36,0.0,134.31,0.65,0.01,36.56,1.5,1.67,13.96,37.02,1.28,17.92,10.57,12.59,0.6,11.66,29-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
29-Mar-2019 - 00:00,55.67,159.99,31.99,140.86,726.5,46.15,0.0,98.3,0.62,0.01,36.54,1.8,2.08,16.24,40.83,1.68,21.34,12.72,13.72,0.56,15.04,30-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
30-Mar-2019 - 00:00,57.42,144.42,32.16,139.97,726.78,47.71,0.0,148.34,0.59,0.01,36.73,1.56,2.48,11.99,41.96,1.03,18.56,10.71,15.46,0.75,11.08,31-Mar-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
31-Mar-2019 - 00:00,42.95,128.91,31.37,137.02,726.99,44.54,0.0,194.79,0.75,0.0,36.86,1.38,1.38,3.71,40.52,1.22,12.91,7.86,12.85,0.56,10.05,01-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Apr-2019 - 00:00,34.93,108.07,30.71,102.86,728.57,45.54,0.0,209.62,0.79,0.0,34.11,15.68,2.9,9.22,29.68,2.47,20.38,12.85,11.73,0.54,12.54,02-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Apr-2019 - 00:00,37.74,122.99,30.7,153.43,730.31,45.16,0.0,144.12,0.7,0.01,33.12,1.24,1.48,12.73,45.82,2.61,16.56,10.93,12.54,0.5,9.81,03-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Apr-2019 - 00:00,40.81,123.78,28.74,108.76,732.51,54.64,0.0,96.02,0.82,0.01,32.15,0.93,0.56,10.22,52.43,1.33,17.38,10.4,12.67,0.48,7.16,04-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Apr-2019 - 00:00,34.34,112.43,29.02,140.57,732.88,52.58,0.0,137.14,0.8,0.01,31.92,0.89,0.98,11.47,44.91,1.56,16.21,9.97,10.74,0.41,6.23,05-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Apr-2019 - 00:00,27.08,75.56,28.62,115.95,733.44,47.14,0.0,183.79,0.78,-0.01,31.64,0.72,0.46,12.28,68.67,1.27,8.54,5.65,9.71,0.35,4.48,06-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Apr-2019 - 00:00,27.17,78.25,28.58,141.64,734.0,47.5,0.0,188.3,0.7,-0.03,31.45,0.86,0.38,13.23,63.26,1.38,11.6,7.38,9.13,0.4,5.59,07-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Apr-2019 - 00:00,27.55,80.82,28.54,149.58,733.44,50.49,0.0,157.19,0.86,-0.01,32.24,0.46,0.13,13.1,62.56,1.5,8.11,5.62,8.66,0.33,2.87,08-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Apr-2019 - 00:00,26.03,81.41,29.03,146.65,733.84,48.53,0.0,157.02,0.74,-0.03,32.0,0.58,0.35,14.19,51.2,1.48,14.29,8.88,8.69,0.41,3.82,09-Apr-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
