from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,PM10,RH,SO2,SR,VWS,WD,WS,to date,BP,station
27-Apr-2019 - 00:00,22.54,4.19,32.47,7.11,,,0.82,52.09,63.19,94.97,66.56,90.68,,36.18,59.84,549.55,0.38,119.81,9.24,28-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Apr-2019 - 00:00,13.85,4.15,32.48,7.14,,,0.85,54.57,47.88,73.5,50.97,92.78,,,38.55,306.02,0.42,58.89,15.08,29-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Apr-2019 - 00:00,12.34,4.14,32.46,7.08,,,0.8,7.68,48.14,29.21,60.52,107.08,,,47.59,100.36,0.42,23.01,5.18,30-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Apr-2019 - 00:00,38.55,4.17,32.37,7.04,,,1.09,9.59,66.79,39.74,73.6,121.11,,29.95,42.09,146.15,0.41,30.94,7.42,01-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-May-2019 - 00:00,39.41,4.15,32.45,7.07,,,0.92,23.36,70.96,52.05,49.63,113.69,,28.82,90.36,100.81,0.41,23.16,5.24,02-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-May-2019 - 00:00,39.3,4.14,32.46,7.02,,,0.85,24.37,76.73,55.61,66.42,100.37,,28.6,98.31,98.1,0.41,22.61,5.09,03-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-May-2019 - 00:00,39.96,4.18,32.44,7.12,,,0.93,13.34,59.15,38.38,34.59,85.04,,29.92,92.16,76.75,0.42,19.0,4.1,04-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-May-2019 - 00:00,41.41,4.21,32.48,7.09,,,0.91,14.61,54.32,37.4,3.04,72.27,,32.82,72.55,146.59,0.42,31.12,7.41,05-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-May-2019 - 00:00,43.58,4.17,32.47,7.11,,,0.81,19.96,59.61,43.97,3.02,81.68,,37.16,137.31,260.79,0.42,51.02,12.88,06-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-May-2019 - 00:00,44.48,4.19,32.44,7.06,,,0.8,24.23,77.35,55.81,3.13,74.3,,38.96,92.48,341.59,0.41,65.09,16.83,07-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-May-2019 - 00:00,43.72,4.16,32.33,7.06,,,0.68,12.66,69.29,31.19,2.25,42.98,,38.26,57.41,247.85,0.37,48.57,8.54,08-May-2019 - 00:00,942.52,"Maninagar, Ahmedabad - GPCB"
08-May-2019 - 00:00,46.67,4.2,32.52,7.09,,,0.8,15.01,56.13,38.58,3.24,71.76,,43.34,87.77,397.13,0.42,75.02,19.47,09-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-May-2019 - 00:00,47.13,4.08,32.33,6.94,,,0.55,11.45,42.19,15.17,3.2,23.68,,44.26,43.25,396.65,0.31,74.87,9.9,10-May-2019 - 00:00,903.61,"Maninagar, Ahmedabad - GPCB"
10-May-2019 - 00:00,,3.95,30.22,6.81,,,0.26,,,0.0,,1.72,,38.68,1.31,443.04,0.2,,0.4,11-May-2019 - 00:00,800.0,"Maninagar, Ahmedabad - GPCB"
11-May-2019 - 00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,,12-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-May-2019 - 00:00,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,,13-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-May-2019 - 00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,,14-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-May-2019 - 00:00,,9.11,58.32,9.91,3.44,1.34,0.34,20.66,129.58,53.75,42.36,31.01,146.29,,143.84,359.32,0.29,141.08,2.82,15-May-2019 - 00:00,952.92,"Maninagar, Ahmedabad - GPCB"
15-May-2019 - 00:00,,16.54,85.28,14.11,5.32,2.31,0.89,14.8,85.92,58.79,48.06,37.68,122.26,26.18,158.83,273.22,1.04,182.14,3.64,16-May-2019 - 00:00,974.55,"Maninagar, Ahmedabad - GPCB"
16-May-2019 - 00:00,,15.37,83.96,13.17,4.79,2.29,0.68,14.3,78.21,54.46,52.21,34.45,116.2,32.0,93.45,186.53,,264.11,7.52,17-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-May-2019 - 00:00,,16.18,84.03,13.5,5.02,1.94,0.77,17.5,75.55,56.82,39.19,35.24,131.14,32.0,92.48,177.15,,261.23,7.39,18-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-May-2019 - 00:00,,15.7,82.78,13.44,4.99,2.06,1.03,14.05,76.45,53.31,41.75,34.89,140.3,32.0,84.05,179.09,,285.64,6.62,19-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-May-2019 - 00:00,,15.63,83.9,13.02,4.69,2.14,1.57,36.79,69.7,73.02,37.11,34.26,111.39,32.0,82.87,184.57,,280.43,5.33,20-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-May-2019 - 00:00,,15.8,83.97,13.56,4.98,2.0,1.44,13.92,79.48,54.65,47.77,40.38,115.45,32.0,83.76,200.86,,292.07,6.84,21-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-May-2019 - 00:00,,15.51,82.89,12.02,4.5,1.77,1.32,11.0,81.03,52.07,46.97,24.22,102.88,32.0,81.2,188.87,,293.5,7.48,22-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-May-2019 - 00:00,,15.66,83.93,13.53,4.73,2.08,1.63,12.11,79.45,52.56,53.46,28.85,102.32,32.75,84.56,205.15,,268.75,7.3,23-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-May-2019 - 00:00,,16.18,84.1,13.43,4.81,2.13,1.43,14.37,86.95,58.8,50.14,41.89,137.82,32.0,107.76,183.34,,273.85,6.95,24-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-May-2019 - 00:00,,15.15,82.32,11.77,4.76,2.37,1.46,14.49,93.67,62.21,55.91,46.06,147.37,32.0,127.59,185.29,,259.5,7.37,25-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-May-2019 - 00:00,,16.01,83.26,14.06,4.96,1.97,1.47,17.51,89.26,63.51,50.5,51.57,156.45,32.0,125.94,187.49,19.64,261.55,5.21,26-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-May-2019 - 00:00,,16.88,84.63,13.36,4.92,2.19,1.72,28.28,97.89,80.0,50.74,64.0,177.34,32.0,114.88,181.98,19.48,240.24,5.15,27-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-May-2019 - 00:00,,16.66,83.99,13.48,4.78,2.02,1.45,21.97,114.21,80.77,51.88,57.41,165.11,32.0,136.15,186.27,19.64,241.43,4.95,28-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-May-2019 - 00:00,,16.88,85.53,14.2,4.96,2.47,1.63,21.13,101.36,73.54,50.05,50.28,156.4,32.0,115.01,185.68,19.67,266.22,5.52,29-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-May-2019 - 00:00,,16.78,85.17,13.43,4.88,2.5,1.6,16.72,73.17,54.73,50.27,42.67,141.55,32.0,84.29,184.43,19.84,275.5,6.56,30-May-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-May-2019 - 00:00,,17.1,83.63,13.68,5.33,2.2,1.44,19.36,90.52,66.24,53.02,48.0,151.6,32.0,136.99,190.97,19.64,249.67,6.01,31-May-2019 - 00:00,999.82,"Maninagar, Ahmedabad - GPCB"
31-May-2019 - 00:00,,15.81,84.63,13.36,4.87,2.11,1.8,16.45,82.28,58.9,44.61,46.84,136.89,32.0,142.04,182.72,19.57,235.42,6.14,01-Jun-2019 - 00:00,999.73,"Maninagar, Ahmedabad - GPCB"
01-Jun-2019 - 00:00,,15.31,84.08,12.45,4.96,2.1,1.97,24.02,70.65,61.85,40.05,47.4,140.47,32.0,136.77,180.97,18.81,216.43,6.63,02-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Jun-2019 - 00:00,,15.95,83.78,13.97,4.59,1.79,1.65,22.51,73.05,61.31,41.36,41.3,120.98,32.0,135.03,186.96,18.32,233.17,6.2,03-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Jun-2019 - 00:00,,14.37,81.14,10.49,4.59,1.53,1.74,22.03,71.49,59.99,48.0,46.51,133.0,32.0,136.58,185.41,18.72,236.32,7.11,04-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Jun-2019 - 00:00,,12.59,79.02,7.46,3.44,1.06,1.41,22.01,79.89,64.07,68.88,40.32,119.41,32.0,138.83,179.43,18.86,240.07,6.66,05-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Jun-2019 - 00:00,,105.02,327.24,,45.74,252.74,1.52,17.01,60.9,49.1,85.17,38.02,113.06,32.0,111.37,195.18,18.92,266.1,7.16,06-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Jun-2019 - 00:00,,21.0,65.51,96.7,3.19,13.21,1.36,12.74,71.68,49.5,74.01,34.42,127.69,32.0,99.27,182.96,18.95,254.83,6.83,07-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Jun-2019 - 00:00,,,,,,,1.7,15.64,124.25,79.71,66.15,31.16,125.1,32.0,31.5,186.23,18.28,249.3,5.44,08-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Jun-2019 - 00:00,,8.29,80.04,2.08,17.81,0.45,1.42,16.58,157.27,95.62,67.97,49.01,136.72,32.0,59.77,177.56,18.85,240.02,5.35,09-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Jun-2019 - 00:00,,30.69,156.88,18.06,8.99,5.43,1.47,15.75,146.61,89.48,79.48,35.26,119.82,32.0,125.73,184.87,19.11,247.34,6.07,10-Jun-2019 - 00:00,998.34,"Maninagar, Ahmedabad - GPCB"
10-Jun-2019 - 00:00,,25.07,240.61,53.94,3.25,9.03,1.38,15.64,123.55,78.1,78.19,34.01,115.0,32.0,114.43,175.64,18.99,234.05,6.01,11-Jun-2019 - 00:00,997.26,"Maninagar, Ahmedabad - GPCB"
11-Jun-2019 - 00:00,,7.88,126.65,49.26,8.81,2.92,1.23,15.07,134.7,82.89,86.63,33.67,108.93,32.0,100.14,169.07,19.07,222.52,5.61,12-Jun-2019 - 00:00,995.84,"Maninagar, Ahmedabad - GPCB"
12-Jun-2019 - 00:00,,6.3,84.26,33.1,5.32,3.81,1.69,12.84,140.6,83.23,81.66,40.35,151.72,32.0,88.65,145.16,18.72,195.32,5.57,13-Jun-2019 - 00:00,994.88,"Maninagar, Ahmedabad - GPCB"
13-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.34,13.68,119.78,74.03,89.87,25.68,78.41,32.0,57.89,126.51,17.77,150.52,5.57,14-Jun-2019 - 00:00,998.23,"Maninagar, Ahmedabad - GPCB"
14-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.46,14.63,114.47,72.52,75.83,27.11,104.32,32.0,61.26,161.09,18.79,166.7,7.51,15-Jun-2019 - 00:00,998.25,"Maninagar, Ahmedabad - GPCB"
15-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.59,19.32,116.09,78.66,54.23,32.73,95.9,32.0,48.39,98.4,15.38,172.89,6.13,16-Jun-2019 - 00:00,999.87,"Maninagar, Ahmedabad - GPCB"
16-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.62,24.81,106.34,80.16,29.94,32.2,106.97,32.0,30.21,149.08,13.58,194.0,6.9,17-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.48,25.45,115.54,85.46,21.83,28.18,103.97,32.0,42.23,174.68,16.61,190.92,8.1,18-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.5,22.56,130.41,89.34,23.98,27.26,72.09,32.0,26.56,75.65,13.2,190.25,8.83,19-Jun-2019 - 00:00,997.55,"Maninagar, Ahmedabad - GPCB"
19-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,0.85,18.65,151.44,95.15,6.88,62.93,166.77,32.0,36.29,215.17,14.95,191.29,3.6,20-Jun-2019 - 00:00,997.68,"Maninagar, Ahmedabad - GPCB"
20-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.38,30.47,149.64,110.75,42.32,42.07,124.78,32.0,34.61,155.66,17.36,222.98,5.35,21-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.22,18.5,147.28,93.14,74.87,36.03,103.91,,23.64,224.1,16.4,260.14,4.68,22-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,0.86,13.14,170.52,105.29,104.89,62.71,150.67,,26.76,217.38,16.8,239.77,4.53,23-Jun-2019 - 00:00,997.75,"Maninagar, Ahmedabad - GPCB"
23-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.17,14.32,142.29,85.73,106.97,46.16,103.5,,40.69,177.18,17.93,248.25,5.85,24-Jun-2019 - 00:00,998.23,"Maninagar, Ahmedabad - GPCB"
24-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.67,21.55,271.99,164.43,97.01,60.96,122.11,,37.02,90.02,12.83,160.22,2.89,25-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.58,19.13,177.9,108.6,89.17,48.58,95.28,,20.75,130.84,15.88,220.17,4.48,26-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.74,24.95,210.7,135.16,50.65,69.81,135.13,,29.86,104.13,18.58,235.32,5.56,27-Jun-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.88,26.9,172.28,119.04,52.58,59.17,109.48,,35.67,165.3,16.78,233.98,6.05,28-Jun-2019 - 00:00,998.3,"Maninagar, Ahmedabad - GPCB"
28-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.73,28.61,163.83,112.54,31.54,47.93,100.94,,44.64,95.29,18.58,228.41,5.58,29-Jun-2019 - 00:00,997.55,"Maninagar, Ahmedabad - GPCB"
29-Jun-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.84,41.83,181.57,141.27,21.08,60.29,114.02,,37.42,96.63,17.22,209.8,4.94,30-Jun-2019 - 00:00,997.14,"Maninagar, Ahmedabad - GPCB"
30-Jun-2019 - 00:00,,6.24,79.2,1.46,0.97,0.45,1.72,28.38,106.27,82.82,47.43,52.25,116.02,,30.04,181.39,16.4,215.01,5.62,01-Jul-2019 - 00:00,997.29,"Maninagar, Ahmedabad - GPCB"
01-Jul-2019 - 00:00,,6.24,79.2,1.46,0.97,0.45,1.57,29.04,171.69,120.18,67.6,43.92,105.99,,41.59,158.93,16.37,216.15,5.29,02-Jul-2019 - 00:00,997.08,"Maninagar, Ahmedabad - GPCB"
02-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.53,24.32,110.41,87.08,58.29,44.48,113.91,,47.8,138.46,16.63,242.23,5.04,03-Jul-2019 - 00:00,997.55,"Maninagar, Ahmedabad - GPCB"
03-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.63,24.48,112.83,93.59,48.34,43.55,96.33,,47.2,162.63,17.85,239.32,5.41,04-Jul-2019 - 00:00,997.68,"Maninagar, Ahmedabad - GPCB"
04-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.78,39.84,142.17,114.78,20.9,48.62,103.71,,45.21,56.73,9.12,202.31,3.85,05-Jul-2019 - 00:00,997.12,"Maninagar, Ahmedabad - GPCB"
05-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.75,36.46,109.67,95.07,23.51,47.19,114.53,,35.08,120.9,14.2,211.13,6.36,06-Jul-2019 - 00:00,994.99,"Maninagar, Ahmedabad - GPCB"
06-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.63,34.68,170.35,122.64,21.04,47.62,100.78,,40.52,101.54,17.61,192.83,4.79,07-Jul-2019 - 00:00,994.0,"Maninagar, Ahmedabad - GPCB"
07-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.54,26.15,148.88,102.59,50.47,34.62,81.02,,32.62,137.37,13.75,171.27,5.01,08-Jul-2019 - 00:00,995.66,"Maninagar, Ahmedabad - GPCB"
08-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.59,36.63,120.55,100.57,27.3,38.0,114.51,,32.83,147.32,17.1,200.09,6.6,09-Jul-2019 - 00:00,996.53,"Maninagar, Ahmedabad - GPCB"
09-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.5,35.73,133.52,105.87,27.45,41.95,119.91,,30.32,148.24,17.68,203.93,7.38,10-Jul-2019 - 00:00,995.58,"Maninagar, Ahmedabad - GPCB"
10-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.39,40.88,151.7,120.62,33.79,46.49,130.91,,31.61,167.85,17.64,211.11,6.21,11-Jul-2019 - 00:00,995.83,"Maninagar, Ahmedabad - GPCB"
11-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.34,36.86,100.71,91.16,30.49,42.51,115.31,,91.95,146.1,18.23,217.98,8.02,12-Jul-2019 - 00:00,997.69,"Maninagar, Ahmedabad - GPCB"
12-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.33,30.93,107.53,87.72,34.15,41.36,108.81,,93.75,167.32,18.22,209.74,8.73,13-Jul-2019 - 00:00,999.65,"Maninagar, Ahmedabad - GPCB"
13-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.46,36.37,118.08,99.07,33.37,39.33,102.03,,101.3,164.34,18.5,212.78,8.37,14-Jul-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.25,23.98,103.29,77.73,50.0,41.33,110.3,,100.87,155.0,18.97,243.97,10.11,15-Jul-2019 - 00:00,999.63,"Maninagar, Ahmedabad - GPCB"
15-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.26,32.81,115.01,93.52,37.31,42.98,116.93,,142.72,153.28,18.92,234.06,10.37,16-Jul-2019 - 00:00,997.97,"Maninagar, Ahmedabad - GPCB"
16-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.47,31.99,103.91,87.16,33.23,38.58,115.63,,151.57,159.44,18.94,211.56,8.98,17-Jul-2019 - 00:00,999.54,"Maninagar, Ahmedabad - GPCB"
17-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.43,30.23,110.86,88.56,37.34,34.83,113.13,,112.51,141.28,19.32,218.1,6.83,18-Jul-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.54,24.39,103.33,78.22,46.59,32.39,105.4,,132.02,148.45,19.04,217.37,5.7,19-Jul-2019 - 00:00,999.43,"Maninagar, Ahmedabad - GPCB"
19-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.51,26.99,139.23,98.69,58.0,45.4,122.04,,104.13,174.51,17.38,228.36,4.39,20-Jul-2019 - 00:00,998.39,"Maninagar, Ahmedabad - GPCB"
20-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.64,26.32,156.27,106.24,50.09,51.9,130.36,,104.84,166.15,18.01,231.12,4.22,21-Jul-2019 - 00:00,997.66,"Maninagar, Ahmedabad - GPCB"
21-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.84,16.68,153.45,93.87,78.94,48.81,104.23,,89.55,131.84,19.11,203.19,4.2,22-Jul-2019 - 00:00,996.92,"Maninagar, Ahmedabad - GPCB"
22-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.92,15.48,114.26,73.4,111.16,37.36,80.84,,54.87,174.2,15.23,154.41,3.21,23-Jul-2019 - 00:00,995.76,"Maninagar, Ahmedabad - GPCB"
23-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.91,15.38,160.34,103.16,71.39,73.97,200.56,,34.62,201.51,17.41,179.29,3.36,24-Jul-2019 - 00:00,996.13,"Maninagar, Ahmedabad - GPCB"
24-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,2.13,27.96,99.97,80.65,56.83,52.52,173.33,,47.33,140.69,17.27,236.02,5.24,25-Jul-2019 - 00:00,997.29,"Maninagar, Ahmedabad - GPCB"
25-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,1.66,35.47,162.69,119.81,29.18,47.37,164.68,,50.89,147.12,17.95,246.35,8.65,26-Jul-2019 - 00:00,998.61,"Maninagar, Ahmedabad - GPCB"
26-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,,34.0,32.95,54.85,44.94,45.88,99.4,,57.84,156.1,17.66,238.76,10.52,27-Jul-2019 - 00:00,997.4,"Maninagar, Ahmedabad - GPCB"
27-Jul-2019 - 00:00,,6.23,79.11,1.46,0.97,0.44,0.0,26.77,42.6,50.79,51.56,39.18,97.53,,94.32,65.91,14.99,259.96,8.83,28-Jul-2019 - 00:00,997.11,"Maninagar, Ahmedabad - GPCB"
28-Jul-2019 - 00:00,,6.17,78.37,1.44,0.96,0.44,0.0,32.85,29.96,49.06,47.45,47.58,99.93,,83.87,66.18,14.01,252.0,8.62,29-Jul-2019 - 00:00,997.84,"Maninagar, Ahmedabad - GPCB"
29-Jul-2019 - 00:00,,6.3,80.04,1.48,0.98,0.45,,32.66,43.37,58.4,64.96,44.32,123.5,,68.45,79.27,6.44,249.7,6.99,30-Jul-2019 - 00:00,996.8,"Maninagar, Ahmedabad - GPCB"
30-Jul-2019 - 00:00,,5.68,70.18,1.75,0.87,0.42,1.12,32.89,30.53,51.68,42.92,40.72,,32.0,63.15,61.61,1.6,224.97,7.28,31-Jul-2019 - 00:00,997.11,"Maninagar, Ahmedabad - GPCB"
31-Jul-2019 - 00:00,,2.88,24.51,3.39,0.4,0.32,0.84,31.47,50.41,60.44,35.69,28.98,,32.0,54.49,50.34,1.46,245.31,8.15,01-Aug-2019 - 00:00,998.19,"Maninagar, Ahmedabad - GPCB"
01-Aug-2019 - 00:00,,2.88,24.51,3.39,0.4,0.32,1.53,61.1,21.98,67.84,23.06,48.25,112.99,,49.55,43.42,3.45,230.37,6.12,02-Aug-2019 - 00:00,999.01,"Maninagar, Ahmedabad - GPCB"
02-Aug-2019 - 00:00,,2.88,24.51,3.39,0.4,0.32,1.41,44.57,42.81,67.11,29.1,55.7,137.72,,51.37,110.97,13.58,231.75,5.21,03-Aug-2019 - 00:00,997.33,"Maninagar, Ahmedabad - GPCB"
03-Aug-2019 - 00:00,,2.48,28.62,1.82,0.37,0.37,1.27,37.04,29.86,56.14,29.01,45.78,119.42,,42.29,78.09,7.02,259.01,4.88,04-Aug-2019 - 00:00,996.43,"Maninagar, Ahmedabad - GPCB"
04-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.22,24.83,37.58,46.57,42.62,37.69,106.98,,40.29,103.57,7.94,284.6,6.47,05-Aug-2019 - 00:00,996.18,"Maninagar, Ahmedabad - GPCB"
05-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.4,29.77,37.42,52.16,42.68,43.99,155.67,,43.65,125.2,13.31,256.28,6.95,06-Aug-2019 - 00:00,995.55,"Maninagar, Ahmedabad - GPCB"
06-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.45,38.55,56.55,68.8,41.46,51.04,182.26,,39.8,142.27,17.33,231.2,6.62,07-Aug-2019 - 00:00,994.99,"Maninagar, Ahmedabad - GPCB"
07-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.36,40.53,31.03,59.34,27.42,57.4,193.64,,40.26,87.12,19.12,229.39,6.57,08-Aug-2019 - 00:00,994.13,"Maninagar, Ahmedabad - GPCB"
08-Aug-2019 - 00:00,,2.12,31.7,0.52,0.35,0.41,1.48,35.97,49.49,62.43,37.79,61.85,202.3,,40.08,63.88,18.37,251.07,6.99,09-Aug-2019 - 00:00,992.64,"Maninagar, Ahmedabad - GPCB"
09-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.42,26.27,72.52,65.33,45.01,41.04,90.22,,42.55,35.57,4.62,263.13,8.08,10-Aug-2019 - 00:00,990.48,"Maninagar, Ahmedabad - GPCB"
10-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.39,28.04,43.18,53.03,38.88,21.62,50.2,,44.35,48.85,2.49,198.09,9.35,11-Aug-2019 - 00:00,990.24,"Maninagar, Ahmedabad - GPCB"
11-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.3,34.18,37.06,56.97,33.7,37.74,95.1,,40.61,128.09,1.67,182.39,5.75,12-Aug-2019 - 00:00,997.15,"Maninagar, Ahmedabad - GPCB"
12-Aug-2019 - 00:00,,2.1,31.35,0.51,0.34,0.4,1.12,37.68,47.34,61.73,35.52,45.79,164.68,,41.11,187.27,3.24,209.73,4.8,13-Aug-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.04,29.27,49.44,57.47,47.48,42.04,175.96,,37.04,160.48,8.9,220.54,4.85,14-Aug-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.22,33.27,35.92,55.13,41.84,48.91,181.99,,41.52,117.16,14.77,227.82,5.39,15-Aug-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.32,31.53,52.82,61.7,31.89,47.34,109.28,,38.42,63.07,3.49,249.63,5.13,16-Aug-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.31,33.77,42.53,57.14,35.51,28.93,78.95,,42.54,82.73,7.09,252.74,6.28,17-Aug-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.44,29.54,43.53,54.31,43.49,41.31,141.85,,40.07,131.45,13.71,217.29,7.26,18-Aug-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Aug-2019 - 00:00,,2.14,32.05,0.52,0.35,0.41,1.11,36.56,68.97,74.22,41.17,45.23,134.19,,38.82,156.02,10.28,223.41,5.53,19-Aug-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
