from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
28-Feb-2019 - 00:00,15.0,991.29,210.27,108.31,69.92,155.4,155.11,0.5,,5.48,36.38,27.07,36.36,54.97,58.72,1.25,19.45,1.21,01-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Mar-2019 - 00:00,16.46,991.63,220.02,111.88,63.29,160.51,154.25,0.48,,6.74,35.57,26.58,36.89,64.92,64.56,11.34,20.48,1.16,02-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Mar-2019 - 00:00,15.19,992.06,215.54,120.23,82.85,33.99,75.12,0.67,,9.9,41.63,32.1,28.88,69.35,60.41,10.64,19.46,1.45,03-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Mar-2019 - 00:00,16.89,988.68,145.23,76.25,85.4,119.43,65.5,0.76,,6.16,21.86,28.48,19.83,43.66,39.42,,15.19,1.39,04-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Mar-2019 - 00:00,18.51,985.73,209.23,118.79,82.16,137.74,160.24,0.47,,9.19,21.25,30.29,29.47,44.42,47.64,,16.95,1.18,05-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Mar-2019 - 00:00,18.06,986.83,161.24,83.8,72.26,160.0,170.07,0.59,,3.72,18.14,24.93,27.39,65.48,56.44,5.14,21.81,0.98,06-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Mar-2019 - 00:00,18.36,987.85,205.92,101.0,65.08,164.3,153.02,0.61,,5.02,26.78,24.52,32.77,66.86,62.25,16.54,21.05,1.29,07-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Mar-2019 - 00:00,18.9,988.26,239.65,118.88,63.66,167.04,138.43,0.52,,8.07,34.66,27.61,44.14,68.81,72.56,35.18,22.76,1.36,08-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Mar-2019 - 00:00,19.84,989.94,198.96,86.14,61.41,145.7,136.88,0.69,,4.83,18.04,28.5,27.9,62.14,55.88,37.61,22.16,1.13,09-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Mar-2019 - 00:00,20.44,989.92,188.75,79.4,56.34,162.93,224.49,0.33,,5.12,16.47,28.78,19.24,56.89,45.91,36.87,29.68,0.98,10-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Mar-2019 - 00:00,20.19,990.13,186.93,87.53,51.34,188.25,151.66,0.47,,3.78,13.92,24.87,26.63,70.31,59.11,46.74,27.45,1.11,11-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Mar-2019 - 00:00,21.82,989.57,233.0,86.23,53.66,132.44,98.01,0.88,,6.24,20.19,28.02,9.28,56.16,37.42,55.9,24.41,1.26,12-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Mar-2019 - 00:00,21.06,991.77,147.62,54.96,56.2,142.04,156.2,0.82,,3.25,11.53,27.09,2.52,40.96,23.84,43.41,17.88,0.91,13-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Mar-2019 - 00:00,19.61,992.02,262.02,95.88,57.66,85.19,77.76,0.64,,6.69,21.44,30.34,17.56,62.18,47.37,29.91,29.99,1.33,14-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Mar-2019 - 00:00,17.73,992.86,236.29,121.98,73.19,104.36,139.61,0.66,,7.04,29.67,32.63,25.92,53.33,49.53,22.18,24.91,1.29,15-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Mar-2019 - 00:00,19.22,994.04,166.1,90.15,66.85,180.14,179.57,0.38,,4.7,23.36,28.28,37.63,60.71,62.99,32.56,30.28,1.01,16-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Mar-2019 - 00:00,20.25,992.4,160.04,79.88,57.14,169.97,182.06,0.51,,3.2,14.59,23.29,17.64,66.82,49.92,40.39,28.23,1.0,17-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Mar-2019 - 00:00,21.63,990.53,195.71,102.75,53.7,181.62,160.18,0.5,,5.0,23.77,25.35,18.08,64.44,49.07,45.59,29.08,1.19,18-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Mar-2019 - 00:00,21.41,990.06,203.77,110.23,57.88,171.92,147.48,0.41,,5.36,26.98,26.77,35.4,75.53,69.11,47.35,34.64,1.27,19-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Mar-2019 - 00:00,23.11,986.47,222.69,113.77,53.77,176.33,149.05,0.63,,7.77,33.77,27.21,48.0,77.84,80.51,42.99,31.07,1.55,20-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Mar-2019 - 00:00,25.82,984.78,223.62,91.92,47.16,149.6,130.92,0.67,,7.92,24.46,30.84,23.99,59.8,51.34,49.98,23.85,1.45,21-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Mar-2019 - 00:00,24.86,988.3,178.79,111.44,50.4,164.93,116.82,0.84,,6.56,9.08,36.49,3.68,32.57,19.23,55.16,25.41,1.22,22-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Mar-2019 - 00:00,23.95,990.27,126.25,38.0,40.88,188.77,208.38,0.43,,2.36,6.75,27.38,2.53,40.06,22.83,56.45,25.53,0.78,23-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Mar-2019 - 00:00,24.03,989.49,148.54,57.73,44.3,181.58,197.88,0.66,,2.39,8.0,26.37,4.83,56.04,33.74,51.99,28.11,0.85,24-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Mar-2019 - 00:00,24.52,987.84,149.94,60.06,48.34,172.16,203.82,0.69,,3.87,13.58,27.76,16.28,53.11,41.52,39.31,33.42,0.92,25-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Mar-2019 - 00:00,23.39,988.29,146.88,67.29,58.59,161.01,173.63,0.77,,3.64,15.92,27.22,11.16,46.36,33.76,36.24,25.17,0.98,26-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Mar-2019 - 00:00,23.8,989.58,176.79,88.12,53.68,178.56,171.85,0.58,,4.02,18.98,29.15,22.21,63.49,51.93,39.98,33.02,1.07,27-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Mar-2019 - 00:00,24.58,990.12,189.52,91.77,50.53,158.3,163.43,0.66,,5.5,25.92,28.24,30.29,71.89,62.91,44.14,33.72,1.27,28-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Mar-2019 - 00:00,26.62,987.98,261.15,157.31,51.94,166.31,151.73,0.51,,11.89,44.92,35.66,54.17,72.06,82.51,54.06,36.14,1.84,29-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Mar-2019 - 00:00,28.49,984.96,235.56,105.08,56.1,160.45,129.58,0.46,,8.19,42.31,41.17,34.25,67.49,63.82,47.55,24.79,1.66,30-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Mar-2019 - 00:00,29.96,983.95,201.48,100.15,51.31,155.65,99.33,0.81,,6.9,18.13,43.93,11.73,58.09,40.54,60.24,30.39,1.36,31-Mar-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Mar-2019 - 00:00,28.49,984.66,166.02,56.69,40.14,183.83,187.9,0.46,,3.32,12.69,34.67,8.99,60.0,39.24,46.19,32.91,0.84,01-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Apr-2019 - 00:00,27.21,984.91,165.75,65.1,37.95,183.78,184.27,0.76,,3.63,13.07,29.6,7.62,62.41,39.4,53.37,35.1,0.91,02-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Apr-2019 - 00:00,27.38,985.76,186.73,100.29,39.67,166.52,149.79,0.44,,5.67,26.15,29.74,28.93,77.95,65.05,65.25,40.32,1.17,03-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Apr-2019 - 00:00,28.14,984.63,194.67,95.12,39.51,175.76,151.58,0.81,,6.7,26.73,31.47,13.5,62.75,44.36,58.87,25.5,1.32,04-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Apr-2019 - 00:00,29.65,985.11,199.52,123.06,43.57,157.2,108.99,0.44,,10.09,26.61,36.53,18.81,73.26,54.34,57.32,38.44,1.59,05-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Apr-2019 - 00:00,30.64,984.14,205.21,123.73,43.38,147.88,90.58,0.59,,10.07,38.27,41.79,33.28,74.79,66.88,37.34,43.22,1.8,06-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Apr-2019 - 00:00,31.47,982.91,242.7,139.91,40.03,194.65,111.1,0.56,,8.62,25.58,39.56,28.71,62.82,56.97,50.32,33.19,1.52,07-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Apr-2019 - 00:00,29.69,982.18,251.21,174.84,58.06,187.5,77.46,1.03,,10.56,20.69,58.64,9.55,45.33,31.9,56.25,28.81,1.44,08-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Apr-2019 - 00:00,27.83,983.16,184.62,110.79,53.49,200.34,62.38,0.94,,5.34,16.72,44.66,8.26,52.96,34.97,46.44,19.96,1.14,09-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Apr-2019 - 00:00,28.68,982.84,155.19,97.53,49.91,216.74,59.75,0.72,,9.16,23.3,43.46,18.56,60.94,47.56,53.67,28.33,1.54,10-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Apr-2019 - 00:00,31.24,984.02,161.23,102.84,42.4,220.09,125.12,0.47,,8.71,25.42,42.04,21.1,59.65,48.92,59.38,32.48,1.33,11-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Apr-2019 - 00:00,32.23,983.63,150.27,81.23,35.84,209.81,144.87,0.52,,3.79,22.01,36.12,6.41,52.35,33.06,59.25,27.64,1.08,12-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Apr-2019 - 00:00,30.51,984.33,145.98,76.31,39.67,194.83,104.34,0.98,,3.45,14.36,36.83,2.74,42.09,24.61,59.7,23.56,0.98,13-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Apr-2019 - 00:00,31.57,984.84,130.44,64.34,35.07,222.13,178.76,0.74,,2.61,10.68,32.92,6.12,42.82,27.78,41.72,24.58,0.87,14-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Apr-2019 - 00:00,31.76,984.52,136.6,69.62,35.23,214.17,189.05,0.44,,3.15,14.59,32.29,13.63,54.21,39.93,25.86,29.63,0.9,15-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Apr-2019 - 00:00,33.2,982.53,159.83,81.96,32.15,229.1,160.34,0.64,,5.87,29.03,32.08,26.2,54.55,50.36,26.84,24.61,1.45,16-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
