from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
11-Aug-2019 - 00:00,32.37,976.54,61.5,17.67,70.41,189.21,123.36,0.85,,0.73,12.98,21.96,2.8,19.14,12.47,54.38,9.9,0.46,12-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Aug-2019 - 00:00,30.53,976.57,51.92,14.12,82.79,114.42,169.12,1.09,,0.57,15.17,22.76,2.72,20.58,13.16,21.29,8.19,0.81,13-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Aug-2019 - 00:00,30.12,976.9,57.81,16.77,85.04,142.53,156.78,0.92,,0.5,16.88,23.84,8.74,27.6,21.81,19.37,8.01,0.78,14-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Aug-2019 - 00:00,29.66,978.26,68.61,30.93,87.95,170.8,84.54,0.64,,0.53,19.41,24.75,8.79,30.38,23.32,50.96,7.86,1.08,15-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Aug-2019 - 00:00,30.37,978.04,53.76,21.0,82.28,203.38,44.51,1.6,,0.41,12.72,23.78,5.23,16.9,13.25,30.08,9.02,0.53,16-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Aug-2019 - 00:00,29.0,976.26,36.77,13.71,83.13,137.48,51.01,1.86,,1.07,12.89,20.76,2.81,16.06,10.83,39.73,9.79,0.44,17-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Aug-2019 - 00:00,27.06,975.8,15.53,5.73,94.12,83.04,66.61,1.27,,0.77,10.34,15.83,3.37,13.05,9.69,18.35,7.73,0.5,18-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Aug-2019 - 00:00,26.85,979.19,30.96,12.98,93.88,78.27,148.86,0.71,,1.07,17.79,16.19,7.93,20.59,17.41,22.85,7.95,0.85,19-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Aug-2019 - 00:00,29.77,981.19,86.66,37.25,82.52,197.94,105.81,0.53,,1.63,27.94,16.5,17.47,26.75,28.48,45.04,7.22,1.14,20-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Aug-2019 - 00:00,30.68,980.55,95.09,37.6,77.27,206.61,178.83,0.39,,1.39,19.82,25.74,13.6,29.31,26.68,35.91,7.62,0.73,21-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Aug-2019 - 00:00,31.41,979.07,138.48,38.28,73.79,219.12,176.64,0.59,,1.11,20.7,26.96,4.49,30.79,20.04,46.09,8.29,0.95,22-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Aug-2019 - 00:00,29.95,979.54,138.16,41.41,76.53,151.36,136.82,0.57,,4.55,36.31,26.77,17.31,42.09,36.5,33.51,9.42,1.28,23-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Aug-2019 - 00:00,31.0,979.18,157.96,47.81,78.48,188.82,129.78,0.51,,2.66,36.9,31.17,26.07,35.26,40.01,33.41,8.64,1.34,24-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Aug-2019 - 00:00,29.53,979.61,136.31,53.02,85.79,92.15,84.92,0.67,,1.69,34.7,35.05,21.83,37.28,37.63,23.58,7.23,1.04,25-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Aug-2019 - 00:00,27.82,980.21,58.4,27.75,88.13,110.23,70.94,0.77,,1.91,14.97,30.72,5.78,24.08,17.52,28.56,8.27,0.76,26-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Aug-2019 - 00:00,29.89,979.89,68.17,25.69,82.9,196.81,55.59,0.75,,1.51,19.92,23.65,10.33,21.61,19.92,29.11,10.05,0.89,27-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Aug-2019 - 00:00,31.46,978.86,104.94,39.35,76.29,204.71,55.99,0.72,,3.25,33.39,22.84,16.95,26.25,27.78,62.73,12.22,1.12,28-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Aug-2019 - 00:00,30.88,979.36,124.59,42.02,80.44,22.93,68.73,0.47,,2.64,36.62,26.81,25.65,36.41,40.27,35.88,12.73,1.24,29-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Aug-2019 - 00:00,32.6,980.7,80.15,25.96,70.16,186.91,94.58,0.75,,2.98,21.07,31.03,3.56,24.25,15.8,39.43,12.41,1.77,30-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Aug-2019 - 00:00,31.26,978.31,121.32,49.83,74.34,167.47,75.99,0.67,,2.88,24.34,24.91,4.22,28.81,18.76,73.83,18.65,0.58,31-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Aug-2019 - 00:00,31.8,976.34,128.21,56.06,77.57,149.63,116.63,0.53,,1.27,33.63,20.67,5.49,34.37,22.74,47.77,14.06,1.32,01-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Sep-2019 - 00:00,29.38,978.63,74.81,30.21,84.29,130.11,60.53,1.1,,1.16,18.26,22.52,4.05,27.58,17.98,53.55,12.68,0.99,02-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Sep-2019 - 00:00,31.56,978.73,87.38,39.8,75.73,202.9,69.26,0.63,,0.81,15.48,26.72,3.1,21.7,14.08,50.56,15.49,0.87,03-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Sep-2019 - 00:00,31.71,977.61,124.77,58.28,77.4,138.4,72.75,0.64,,0.88,16.53,21.7,4.02,30.59,19.54,40.29,15.58,1.17,04-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Sep-2019 - 00:00,31.18,977.27,149.62,70.88,80.75,141.68,66.99,1.07,,1.89,24.31,20.98,3.21,31.7,19.48,57.92,15.9,0.97,05-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Sep-2019 - 00:00,31.45,978.22,81.38,27.17,77.97,155.33,53.82,1.05,0.0,1.18,23.82,19.28,5.9,28.53,20.0,35.46,15.19,0.81,06-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Sep-2019 - 00:00,31.92,978.05,92.77,36.0,75.35,166.91,80.15,1.0,0.0,0.99,20.27,24.33,5.82,28.87,20.1,50.06,16.82,1.06,07-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Sep-2019 - 00:00,30.84,978.72,77.23,29.23,79.24,141.79,85.29,0.84,,1.01,19.73,21.41,7.57,29.5,21.85,46.1,15.51,0.96,08-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Sep-2019 - 00:00,31.43,980.26,67.4,25.81,78.62,175.01,40.07,0.95,,0.63,9.52,20.89,4.08,21.14,14.58,38.94,16.82,0.95,09-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Sep-2019 - 00:00,32.52,978.86,126.96,51.48,73.24,165.48,60.53,0.76,,0.81,15.21,19.88,3.78,26.54,17.2,45.63,15.42,0.91,10-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Sep-2019 - 00:00,32.52,978.42,119.67,54.4,69.09,172.04,46.05,0.64,,1.19,15.16,19.06,3.9,27.38,17.74,55.63,17.16,1.11,11-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Sep-2019 - 00:00,33.3,979.65,158.56,74.9,67.9,168.23,74.14,0.57,,1.64,16.9,18.06,5.22,32.62,21.61,63.6,16.98,1.27,12-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Sep-2019 - 00:00,32.96,981.1,112.33,49.46,72.23,152.3,87.03,0.98,,0.67,14.98,18.04,2.48,21.56,13.49,46.4,12.07,1.03,13-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Sep-2019 - 00:00,32.49,982.09,83.26,30.2,71.32,180.31,69.68,0.88,,0.54,14.73,26.94,4.06,19.31,13.58,34.82,14.92,1.07,14-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Sep-2019 - 00:00,31.33,982.62,66.44,24.85,72.59,154.53,52.37,1.42,,0.5,9.77,22.02,3.48,18.15,12.5,45.54,13.74,0.81,15-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Sep-2019 - 00:00,29.53,981.39,79.6,39.12,69.78,96.67,63.28,0.88,,0.45,10.08,22.8,6.54,16.74,14.24,45.43,13.77,0.97,16-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Sep-2019 - 00:00,32.42,979.8,145.27,58.08,64.76,155.21,70.29,0.67,,1.1,16.15,19.82,10.93,31.81,25.84,48.97,13.78,1.12,17-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Sep-2019 - 00:00,32.54,980.63,140.42,57.15,61.67,168.66,98.49,0.74,,2.0,18.16,20.03,5.42,30.55,20.67,61.23,13.25,1.04,18-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Sep-2019 - 00:00,30.67,984.71,105.44,32.46,60.55,184.78,63.24,1.16,,2.26,19.04,20.0,3.84,20.84,14.22,69.44,15.8,0.88,19-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Sep-2019 - 00:00,27.25,986.93,65.06,18.15,65.71,121.48,55.8,1.27,,2.13,22.98,16.92,3.43,15.42,11.0,43.64,15.55,0.92,20-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Sep-2019 - 00:00,29.0,985.15,115.25,43.73,64.46,149.81,68.48,0.79,,4.22,27.52,15.29,12.67,24.76,23.5,56.76,16.38,1.07,21-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Sep-2019 - 00:00,27.49,983.9,85.06,35.71,70.01,120.83,100.34,0.63,,1.89,18.55,15.71,8.31,20.37,17.61,38.26,13.85,1.09,22-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Sep-2019 - 00:00,23.45,985.92,65.33,24.73,74.2,106.0,67.38,1.03,,2.74,18.02,17.12,11.29,23.56,21.74,33.03,14.31,0.89,23-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Sep-2019 - 00:00,26.15,987.19,92.85,39.77,68.34,139.56,64.9,0.89,,2.57,16.67,18.48,6.88,22.91,17.8,50.88,16.18,1.21,24-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Sep-2019 - 00:00,27.03,987.28,87.94,31.85,66.46,140.27,81.96,0.81,,3.55,19.33,18.49,8.05,23.38,19.0,40.01,16.5,0.82,25-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Sep-2019 - 00:00,27.21,988.52,76.71,29.79,68.27,175.84,62.07,0.94,,3.4,19.9,19.47,8.98,21.56,18.8,39.95,13.8,0.95,26-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Sep-2019 - 00:00,27.51,988.86,61.75,21.58,67.64,125.94,46.68,1.31,,3.61,27.06,18.92,7.19,18.43,15.67,57.05,17.25,0.75,27-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Sep-2019 - 00:00,25.74,987.73,44.39,12.15,68.81,115.39,42.97,1.61,,2.79,19.04,17.68,4.64,14.21,11.34,47.84,17.1,0.98,28-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Sep-2019 - 00:00,25.12,986.0,62.51,24.72,69.89,130.42,38.99,1.49,,4.33,21.0,17.53,6.62,16.61,14.23,30.67,16.19,0.85,29-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Sep-2019 - 00:00,24.39,986.57,45.36,13.82,70.63,137.15,57.25,1.23,,2.27,13.79,16.18,4.36,14.67,11.36,29.81,13.24,0.94,30-Sep-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Sep-2019 - 00:00,25.2,985.27,80.17,30.04,69.59,111.78,78.34,0.76,,4.12,21.46,15.99,6.7,22.57,17.47,40.91,13.8,1.02,01-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Oct-2019 - 00:00,26.32,984.89,86.33,28.93,68.46,139.08,80.07,0.73,,4.04,23.07,15.14,9.32,22.75,19.7,34.66,11.89,1.07,02-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Oct-2019 - 00:00,26.27,986.05,80.15,32.96,66.53,155.69,73.77,0.61,,3.73,13.84,15.45,9.07,22.68,19.46,39.53,14.94,1.01,03-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Oct-2019 - 00:00,26.38,986.09,140.57,63.97,66.63,132.1,75.37,0.68,,5.92,27.7,17.94,14.03,31.1,27.98,52.76,16.02,1.43,04-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Oct-2019 - 00:00,23.88,987.01,97.6,44.75,68.47,154.23,171.4,0.59,,3.7,25.88,20.77,8.23,33.34,24.46,38.51,14.34,1.04,05-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Oct-2019 - 00:00,24.36,986.97,93.81,38.19,61.04,176.79,163.85,0.31,,2.76,22.27,20.49,16.16,42.42,35.74,40.52,16.03,0.99,06-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Oct-2019 - 00:00,25.3,987.54,132.38,59.1,61.21,162.97,159.19,0.31,,3.47,18.97,21.19,11.19,46.93,34.09,49.66,18.14,1.13,07-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Oct-2019 - 00:00,25.36,988.52,129.08,51.08,61.1,151.52,185.21,0.44,,3.33,19.19,19.81,6.47,39.01,26.03,46.25,15.91,0.91,08-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Oct-2019 - 00:00,23.74,988.01,115.1,47.31,59.29,169.62,164.5,0.41,,4.02,14.05,17.57,17.69,43.52,37.57,48.51,16.45,1.05,09-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Oct-2019 - 00:00,24.24,988.13,168.0,73.52,60.36,142.34,67.41,0.54,,6.68,28.49,20.11,22.29,49.41,44.45,71.17,17.91,1.37,10-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Oct-2019 - 00:00,24.19,987.56,231.12,115.83,59.55,121.29,69.04,0.49,,6.25,30.55,29.27,19.36,60.28,47.84,71.07,19.31,1.45,11-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Oct-2019 - 00:00,23.99,987.07,228.1,110.23,60.89,138.68,74.82,0.52,,6.64,50.49,31.84,36.28,63.44,63.31,60.43,17.99,1.34,12-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Oct-2019 - 00:00,24.55,987.91,239.44,115.46,61.69,119.57,101.13,0.46,,7.79,48.19,32.06,30.83,64.69,59.54,52.77,17.51,1.54,13-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Oct-2019 - 00:00,24.08,988.39,283.71,151.23,60.59,119.53,93.26,0.39,,7.89,49.13,35.46,52.29,65.7,77.58,57.57,19.38,1.6,14-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Oct-2019 - 00:00,24.44,989.18,264.21,126.62,61.76,125.46,104.14,0.44,,8.16,51.28,34.32,44.69,62.31,69.57,53.32,15.47,1.7,15-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Oct-2019 - 00:00,24.93,989.82,285.23,143.96,62.3,113.98,73.46,0.51,,8.35,59.11,35.94,51.1,67.05,77.33,52.51,16.63,2.16,16-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Oct-2019 - 00:00,25.39,990.13,272.62,149.06,63.51,107.56,66.11,0.57,,8.66,42.27,40.15,21.81,58.23,48.77,43.42,19.04,1.66,17-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Oct-2019 - 00:00,25.6,989.84,240.06,122.56,59.91,110.16,56.22,0.61,,8.97,47.41,34.34,13.27,53.71,39.39,90.81,22.9,1.41,18-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Oct-2019 - 00:00,25.79,990.04,174.77,78.12,56.13,110.93,95.22,0.7,,5.33,30.74,30.05,9.02,42.28,29.84,43.82,17.76,1.14,19-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Oct-2019 - 00:00,23.45,991.39,171.65,83.93,58.1,109.89,80.74,0.52,,6.12,44.77,27.23,20.18,57.06,46.8,52.23,17.58,1.22,20-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Oct-2019 - 00:00,22.84,990.96,203.9,109.65,55.53,119.66,154.62,0.33,,5.74,36.1,25.72,28.18,61.33,55.58,39.47,21.32,1.23,21-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Oct-2019 - 00:00,21.13,989.27,258.04,133.12,55.43,117.52,152.71,0.51,,7.28,43.95,24.97,33.24,69.49,64.05,38.57,21.28,1.22,22-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Oct-2019 - 00:00,20.56,986.46,236.85,102.9,54.9,112.66,149.92,0.66,,4.62,59.48,23.12,29.59,65.86,59.16,37.76,19.06,1.46,23-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Oct-2019 - 00:00,20.34,985.8,301.9,140.6,58.29,110.61,128.79,0.56,,7.86,68.29,29.29,54.02,69.14,80.82,45.56,30.81,1.97,24-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Oct-2019 - 00:00,20.32,986.94,398.56,227.9,61.72,95.62,53.03,0.54,,8.49,57.04,42.98,67.09,77.96,96.16,57.04,25.15,2.4,25-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Oct-2019 - 00:00,20.19,988.34,276.4,144.06,58.62,95.59,58.47,0.56,,8.63,48.76,35.56,55.91,66.2,80.79,51.99,23.03,1.7,26-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Oct-2019 - 00:00,19.98,989.55,334.38,188.27,62.64,87.19,80.32,0.46,,7.41,58.01,38.66,56.29,71.7,84.03,61.26,20.43,2.15,27-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Oct-2019 - 00:00,19.74,988.88,367.35,258.78,61.73,97.48,134.19,0.46,,7.5,55.4,41.22,53.46,60.82,75.93,41.32,25.88,2.21,28-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Oct-2019 - 00:00,19.37,989.61,428.88,304.26,62.38,79.0,123.11,0.53,,8.4,33.32,39.84,39.86,59.51,64.14,47.85,23.16,2.09,29-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Oct-2019 - 00:00,19.18,990.26,511.98,348.69,66.89,56.21,101.47,0.32,,9.85,64.07,49.59,48.22,68.44,75.73,21.84,15.1,2.46,30-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Oct-2019 - 00:00,20.2,988.86,528.67,328.58,65.34,65.54,126.66,0.38,,10.98,95.87,50.96,85.29,68.13,105.76,20.49,15.25,2.94,31-Oct-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Oct-2019 - 00:00,18.68,988.22,579.21,385.65,65.49,67.89,124.98,0.34,,11.45,115.66,54.61,96.23,87.26,124.87,30.28,20.8,2.69,01-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Nov-2019 - 00:00,20.69,988.35,612.88,418.88,63.22,68.71,97.15,0.39,,11.8,74.64,54.53,54.42,97.02,95.97,47.28,21.63,2.23,02-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Nov-2019 - 00:00,19.55,989.93,523.15,393.12,65.47,52.6,148.33,0.47,0.0,10.32,44.41,50.46,27.72,72.01,60.89,25.9,19.43,1.94,03-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Nov-2019 - 00:00,17.79,990.69,678.43,605.26,70.48,50.59,158.63,0.62,0.0,10.53,42.26,64.07,22.71,67.32,54.32,17.53,13.5,2.5,04-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Nov-2019 - 00:00,19.81,990.28,454.33,378.91,60.13,85.67,181.12,0.53,,7.77,38.19,40.54,15.73,57.43,43.37,28.92,15.33,1.48,05-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Nov-2019 - 00:00,18.61,987.54,334.1,223.98,58.42,84.78,150.78,0.76,,5.69,58.53,28.03,28.43,55.11,52.49,33.12,16.11,1.65,06-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Nov-2019 - 00:00,19.27,985.54,241.85,114.48,55.62,84.87,124.37,0.44,0.0,8.29,45.09,26.33,32.94,59.36,58.42,25.72,12.78,1.37,07-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Nov-2019 - 00:00,14.34,987.11,298.77,203.65,66.2,34.28,72.79,0.95,0.0,9.6,41.59,34.78,27.62,62.49,55.77,16.77,15.75,1.6,08-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Nov-2019 - 00:00,17.15,989.62,272.85,165.81,63.16,76.55,109.18,0.37,0.0,7.85,57.71,40.91,38.12,69.61,67.2,27.33,17.74,2.4,09-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Nov-2019 - 00:00,17.72,990.06,248.88,160.12,57.11,89.17,166.05,0.44,,5.68,34.74,38.62,28.63,55.27,52.73,42.18,17.68,2.34,10-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Nov-2019 - 00:00,15.64,990.18,319.65,223.62,52.2,81.52,139.16,0.35,,6.06,34.77,35.88,24.42,69.64,56.95,58.28,26.26,1.21,11-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Nov-2019 - 00:00,16.47,989.15,433.65,303.45,53.66,78.37,129.21,0.28,,8.21,48.41,40.83,26.9,77.96,63.45,52.58,26.95,2.35,12-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Nov-2019 - 00:00,21.42,990.06,581.88,473.67,58.57,78.1,119.8,0.47,,10.43,53.87,54.85,39.41,99.45,85.03,49.26,20.44,2.18,13-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Nov-2019 - 00:00,22.24,991.99,546.15,418.11,61.58,66.28,118.19,0.35,,10.22,56.18,54.83,34.32,97.44,79.8,45.66,21.75,2.06,14-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Nov-2019 - 00:00,22.32,992.72,595.42,421.33,66.72,54.39,103.04,0.44,,12.65,88.11,63.39,74.04,103.87,115.61,49.11,19.6,2.62,15-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Nov-2019 - 00:00,22.84,991.68,623.38,473.16,64.2,65.83,136.95,0.43,0.0,10.54,58.71,52.18,38.43,76.05,71.82,44.57,12.99,2.55,16-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Nov-2019 - 00:00,23.46,991.37,319.08,189.67,58.94,70.0,195.85,0.51,0.0,5.47,23.55,39.08,20.55,50.96,43.85,26.19,14.2,1.62,17-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Nov-2019 - 00:00,23.22,991.28,186.75,109.67,56.62,75.8,184.06,0.92,,3.45,21.03,27.63,9.76,45.86,32.35,16.22,15.0,1.11,18-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Nov-2019 - 00:00,21.96,990.76,192.79,120.56,62.48,75.92,157.54,0.84,,4.81,34.35,27.32,20.7,53.9,45.54,24.63,16.89,1.31,19-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Nov-2019 - 00:00,21.5,990.2,252.71,153.94,63.3,77.02,143.46,0.59,0.0,5.62,55.84,29.14,51.22,65.71,76.71,19.45,20.62,1.71,20-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Nov-2019 - 00:00,21.32,990.77,367.5,229.83,63.56,72.34,95.62,0.37,0.0,9.3,94.33,35.48,97.14,82.89,123.28,14.63,20.98,2.64,21-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Nov-2019 - 00:00,21.37,992.7,381.29,252.23,62.41,54.15,74.86,0.36,,12.12,56.05,41.02,78.9,91.66,113.08,5.04,24.78,2.2,22-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Nov-2019 - 00:00,21.8,992.73,364.41,226.1,62.08,62.29,115.43,0.38,,10.28,60.61,42.08,56.24,83.15,90.06,5.16,21.28,1.9,23-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Nov-2019 - 00:00,22.63,992.08,227.49,128.12,58.09,59.55,178.27,0.79,,5.81,35.13,32.91,17.49,56.71,44.43,3.65,17.09,0.91,24-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Nov-2019 - 00:00,22.89,991.42,193.76,118.31,58.44,58.26,177.22,0.54,,4.17,18.86,29.68,17.99,59.68,46.41,3.77,18.9,0.95,25-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Nov-2019 - 00:00,22.11,992.14,213.74,125.85,59.85,63.66,61.02,0.49,,6.17,27.3,29.83,39.88,58.46,63.6,3.86,19.24,1.39,26-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Nov-2019 - 00:00,22.87,991.72,240.32,123.73,57.38,52.1,39.81,0.83,,8.08,24.9,32.78,23.93,56.76,49.69,6.22,23.73,1.06,27-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Nov-2019 - 00:00,22.02,991.59,136.82,70.23,64.57,50.13,62.66,1.05,,4.9,20.34,29.73,9.94,42.34,30.63,3.26,14.83,1.09,28-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Nov-2019 - 00:00,20.62,992.54,48.5,31.32,70.22,55.91,53.48,1.76,,3.17,12.79,25.74,4.15,26.43,17.45,3.63,10.71,0.74,29-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Nov-2019 - 00:00,20.44,992.95,95.44,58.83,72.12,77.79,64.14,0.72,,4.51,29.71,26.48,24.33,39.49,40.85,3.14,14.33,1.2,30-Nov-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Nov-2019 - 00:00,19.95,992.92,178.67,122.35,75.73,77.73,159.48,0.55,,5.78,36.92,36.89,39.87,54.97,61.75,3.5,14.31,1.26,01-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Dec-2019 - 00:00,19.36,992.63,197.31,142.65,68.11,77.71,147.32,0.44,,4.41,24.73,32.54,29.59,63.08,57.68,4.08,15.82,1.04,02-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Dec-2019 - 00:00,18.95,993.24,251.02,164.98,66.11,77.51,155.24,0.49,,6.28,33.72,33.83,37.3,71.7,68.54,5.19,14.85,1.13,03-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Dec-2019 - 00:00,18.98,992.63,270.0,163.98,62.83,77.21,147.26,0.62,,6.58,49.63,34.96,44.6,66.52,71.75,9.49,13.79,1.55,04-Dec-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
