from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
06-May-2019 - 00:00,0.64,0.02,0.05,0.0,754.72,79.67,53.47,0.0,14.8,34.86,270.07,1.72,0.69,14.57,8.08,28.44,35.35,25.1,5.27,07-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-May-2019 - 00:00,0.1,0.0,0.0,0.0,753.77,89.4,45.6,0.0,11.06,35.53,263.69,2.5,0.51,12.1,6.8,21.36,23.84,27.42,6.5,08-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-May-2019 - 00:00,0.22,0.0,0.0,0.0,754.1,94.3,46.55,0.0,12.4,35.54,264.12,2.32,0.63,11.84,7.15,16.07,23.14,36.33,7.34,09-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-May-2019 - 00:00,0.05,0.0,0.0,0.0,753.8,69.64,33.75,0.0,11.91,34.69,271.07,2.54,0.63,11.37,6.74,15.35,22.02,26.77,7.14,10-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-May-2019 - 00:00,0.08,0.0,0.0,0.0,753.82,51.99,27.66,0.0,20.82,33.9,246.14,2.01,0.64,10.67,6.62,14.37,20.85,23.76,7.95,11-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-May-2019 - 00:00,0.52,0.01,0.01,0.0,755.13,94.15,40.93,0.0,23.58,33.47,241.03,1.39,0.66,10.81,7.56,17.09,24.33,27.22,7.09,12-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-May-2019 - 00:00,0.25,0.0,0.0,0.0,754.63,160.87,61.45,0.0,24.9,33.26,239.47,2.21,0.63,10.05,6.98,16.99,23.61,26.1,10.4,13-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-May-2019 - 00:00,0.2,0.0,0.0,0.0,753.3,69.59,32.94,0.0,23.75,33.9,234.85,1.57,0.56,12.14,10.21,14.14,24.22,22.8,7.0,14-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-May-2019 - 00:00,1.66,0.73,0.7,0.4,753.59,139.64,46.71,0.0,29.74,32.08,151.1,1.48,0.49,15.72,7.64,17.33,24.49,26.48,10.32,15-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-May-2019 - 00:00,0.3,0.0,0.0,0.0,753.81,98.22,42.63,0.0,22.17,34.58,248.64,1.69,0.48,13.86,7.34,14.18,21.31,27.41,10.47,16-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-May-2019 - 00:00,0.22,0.0,0.0,0.0,755.74,160.4,65.18,0.02,33.45,31.64,260.4,1.76,0.46,12.84,7.5,14.58,21.44,23.88,7.72,17-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-May-2019 - 00:00,0.2,0.0,0.0,0.0,755.32,139.18,33.43,0.0,34.13,31.42,252.74,2.25,0.43,19.5,8.91,22.34,29.96,22.1,7.64,18-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-May-2019 - 00:00,0.09,0.0,0.0,0.0,756.0,65.15,24.92,0.0,31.74,31.27,278.99,2.07,0.46,13.22,7.21,17.92,25.1,28.4,5.95,19-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-May-2019 - 00:00,0.67,0.01,0.01,0.0,755.57,85.47,34.69,0.0,25.57,33.58,212.33,1.03,0.5,11.46,7.87,27.77,35.64,30.8,6.05,20-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
20-May-2019 - 00:00,1.47,0.07,0.12,0.0,755.77,104.04,45.9,0.0,21.97,34.86,171.12,0.85,0.65,11.32,9.48,31.31,40.75,22.54,11.33,21-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-May-2019 - 00:00,0.72,0.0,0.01,0.0,754.19,91.82,40.98,0.0,23.36,35.96,228.58,0.94,0.71,11.86,11.65,19.23,30.88,28.97,12.25,22-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
