from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
26-Jan-2019 - 00:00,7.26,22.14,1.61,5.17,0.43,31.48,2.51,0.35,0.11,3.77,62.14,103.7,7.01,124.26,71.12,0.0,68.71,5.18,30.62,27-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Jan-2019 - 00:00,9.83,16.31,1.59,6.52,0.4,35.58,5.46,0.35,0.12,3.44,53.84,111.78,7.13,132.38,55.79,0.0,62.06,5.11,30.37,28-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Jan-2019 - 00:00,16.54,16.1,1.64,10.13,0.51,35.66,9.87,0.57,0.19,4.07,57.08,138.36,12.89,137.91,44.61,0.0,60.7,4.55,29.98,29-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
29-Jan-2019 - 00:00,17.77,14.85,1.73,10.86,0.5,35.52,16.54,0.52,0.74,5.67,52.38,137.21,12.81,145.29,36.22,0.0,73.21,3.35,30.23,30-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
30-Jan-2019 - 00:00,23.71,16.08,2.54,14.65,0.55,37.35,21.88,0.48,1.93,9.83,54.59,114.18,16.7,139.75,33.96,0.0,115.42,2.27,29.59,31-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
31-Jan-2019 - 00:00,18.11,12.41,1.55,10.89,0.41,46.09,29.01,0.24,2.04,7.98,41.97,109.09,20.69,120.44,30.68,0.0,150.34,3.97,29.51,01-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Feb-2019 - 00:00,17.9,18.83,2.09,11.21,0.54,48.57,19.01,0.33,1.21,7.35,58.46,138.57,22.09,122.23,38.14,0.0,158.1,3.44,29.69,02-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Feb-2019 - 00:00,11.94,26.52,1.72,7.75,0.59,44.85,8.04,0.53,0.22,4.3,85.16,170.86,18.03,119.11,58.18,0.0,75.9,4.93,29.78,03-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Feb-2019 - 00:00,20.07,24.0,1.64,12.02,0.62,40.11,15.61,0.66,0.67,5.47,90.21,170.16,20.92,117.09,53.43,0.0,96.43,4.16,30.59,04-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Feb-2019 - 00:00,23.57,19.47,1.72,13.93,0.59,43.74,32.25,0.41,2.03,8.58,79.54,150.88,24.47,112.28,46.12,0.0,127.67,3.97,30.9,05-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Feb-2019 - 00:00,19.75,14.17,1.52,11.74,0.49,49.8,22.01,0.3,3.56,8.37,63.12,128.51,26.04,122.92,34.28,0.0,169.38,3.65,30.9,06-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Feb-2019 - 00:00,17.81,17.23,1.8,10.94,0.55,47.79,25.23,0.37,2.62,6.15,78.47,185.3,23.41,115.79,40.5,0.0,234.32,2.88,30.95,07-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Feb-2019 - 00:00,14.12,12.15,1.65,8.85,0.33,36.77,23.27,0.23,0.76,5.56,42.07,158.52,13.67,138.89,46.2,0.0,255.88,4.59,30.75,08-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Feb-2019 - 00:00,12.63,9.3,2.31,8.59,0.35,31.34,11.54,0.23,1.51,6.61,57.14,275.05,10.47,145.15,36.8,0.0,263.56,3.18,30.56,09-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Feb-2019 - 00:00,14.21,12.97,1.64,8.9,0.47,35.13,8.11,0.43,0.39,4.38,44.02,196.43,9.27,150.19,34.22,0.0,117.82,4.29,29.89,10-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Feb-2019 - 00:00,18.26,13.4,1.62,11.02,0.46,36.35,7.8,0.36,1.37,5.87,38.59,116.54,12.15,149.85,33.72,0.0,82.36,3.45,29.36,11-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Feb-2019 - 00:00,21.11,13.81,1.53,12.45,0.51,41.47,11.88,0.35,1.95,5.36,44.77,147.76,17.36,145.75,31.43,0.0,109.62,3.31,29.46,12-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Feb-2019 - 00:00,14.38,15.91,1.44,8.81,0.52,46.2,29.53,0.3,1.58,7.28,48.67,124.62,23.14,137.23,36.1,0.0,141.98,2.89,29.85,13-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Feb-2019 - 00:00,19.75,18.77,1.51,11.74,0.64,42.08,24.99,0.43,2.5,9.18,69.31,160.79,25.22,111.96,44.06,0.0,140.42,4.19,30.99,14-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Feb-2019 - 00:00,14.44,18.17,1.75,9.1,0.54,35.63,23.8,0.38,2.06,7.53,57.17,143.58,25.03,125.12,45.51,0.0,231.97,2.77,31.11,15-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Feb-2019 - 00:00,7.78,16.2,1.41,5.28,0.39,41.65,7.63,0.24,0.16,3.06,44.68,144.94,20.87,142.38,39.0,0.0,286.89,3.87,30.99,16-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Feb-2019 - 00:00,8.91,19.8,1.52,5.97,0.51,42.77,9.19,0.48,0.23,4.44,52.35,133.02,16.39,145.16,46.2,0.0,96.64,3.66,30.76,17-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Feb-2019 - 00:00,15.03,16.12,1.84,9.48,0.45,41.52,11.23,0.37,0.99,4.89,43.65,111.98,17.49,155.28,37.72,0.0,141.59,2.43,30.28,18-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Feb-2019 - 00:00,18.97,14.07,1.7,11.46,0.39,37.47,19.08,0.27,2.67,4.25,43.44,135.99,22.73,138.28,28.48,0.0,238.42,2.47,29.7,19-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Feb-2019 - 00:00,11.82,12.04,1.45,7.46,0.34,38.56,19.81,0.19,0.71,3.27,37.7,135.66,24.47,149.54,28.56,0.0,287.96,3.48,29.7,20-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Feb-2019 - 00:00,18.1,16.67,1.82,11.11,0.47,31.44,24.48,0.41,3.43,7.54,45.51,158.86,27.17,150.24,27.21,0.0,107.27,3.34,30.08,21-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Feb-2019 - 00:00,12.74,17.82,1.51,8.01,0.46,40.01,20.08,0.4,2.55,6.91,52.17,142.54,28.76,145.82,35.35,0.0,197.54,3.45,31.32,22-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Feb-2019 - 00:00,6.32,15.4,1.39,4.49,0.29,30.0,6.13,0.17,0.21,3.23,26.69,96.16,24.71,156.48,44.83,0.0,298.08,3.52,31.21,23-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Feb-2019 - 00:00,9.33,18.13,1.57,6.23,0.41,33.05,9.71,0.27,0.46,4.73,35.91,121.17,22.55,150.27,49.33,0.0,118.73,3.52,31.07,24-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Feb-2019 - 00:00,14.25,15.66,1.8,9.03,0.45,30.96,16.86,0.33,1.8,4.71,42.73,140.12,21.72,127.76,41.32,0.0,184.75,3.73,30.97,25-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Feb-2019 - 00:00,12.65,13.84,1.68,8.09,0.35,35.59,13.44,0.25,0.57,3.12,40.98,148.95,21.24,164.85,27.53,0.0,281.61,3.47,30.88,26-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
26-Feb-2019 - 00:00,12.89,13.43,1.71,8.25,0.3,30.95,15.01,0.21,1.03,3.07,42.2,200.35,20.69,160.45,33.55,0.0,251.68,4.59,30.55,27-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Feb-2019 - 00:00,13.64,14.38,1.65,8.59,0.31,26.82,11.31,0.19,0.56,3.01,43.49,182.69,17.76,116.9,50.24,0.0,270.55,3.64,30.8,28-Feb-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Feb-2019 - 00:00,10.24,12.63,1.61,6.76,0.41,32.98,6.76,0.35,0.31,4.99,37.67,118.46,15.34,164.3,44.19,0.0,94.89,4.26,30.12,01-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Mar-2019 - 00:00,16.34,11.1,1.76,10.12,0.48,32.86,11.75,0.41,1.02,5.77,36.99,114.59,17.51,164.67,32.06,0.0,69.43,3.77,29.52,02-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Mar-2019 - 00:00,15.49,14.66,1.52,9.47,0.48,41.99,28.41,0.3,2.99,6.91,45.31,132.89,23.35,152.22,33.46,0.0,120.1,4.54,29.97,03-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Mar-2019 - 00:00,11.39,12.81,1.52,7.29,0.36,36.98,18.79,0.23,1.4,5.5,43.46,159.75,25.7,149.23,35.25,0.0,260.26,3.97,31.15,04-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Mar-2019 - 00:00,11.32,19.21,1.66,7.36,0.39,27.23,10.16,0.27,0.4,3.16,60.46,226.09,22.08,141.82,54.83,0.0,276.91,4.46,31.06,05-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Mar-2019 - 00:00,6.47,11.53,1.44,4.61,0.35,36.97,5.12,0.24,0.11,3.06,33.73,120.47,18.85,167.88,40.24,0.0,234.49,4.03,30.67,06-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Mar-2019 - 00:00,13.38,13.01,1.55,8.37,0.42,37.14,11.64,0.37,1.9,5.75,41.35,126.06,20.58,167.45,34.54,0.0,211.34,2.97,29.71,07-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Mar-2019 - 00:00,11.61,11.61,1.53,7.41,0.39,40.58,10.87,0.25,1.91,5.42,36.29,113.12,21.8,170.3,31.71,0.0,182.62,3.28,29.67,08-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Mar-2019 - 00:00,14.96,11.74,1.54,9.2,0.38,39.02,19.51,0.23,2.63,6.19,40.48,156.49,25.38,166.28,27.22,0.0,210.01,2.96,29.75,09-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Mar-2019 - 00:00,9.12,12.14,1.46,6.03,0.31,34.51,11.3,0.18,0.34,2.94,38.34,167.53,23.99,173.58,31.67,0.0,285.44,3.06,29.75,10-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Mar-2019 - 00:00,12.45,11.36,1.61,7.94,0.34,34.97,13.04,0.22,1.24,4.56,39.39,155.42,25.43,165.36,26.65,0.0,240.7,1.78,29.7,11-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Mar-2019 - 00:00,14.54,13.66,1.58,9.02,0.38,28.14,26.06,0.26,0.57,3.63,59.46,219.2,26.03,166.5,30.15,0.0,268.14,3.84,30.55,12-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Mar-2019 - 00:00,9.55,9.08,1.36,6.18,0.31,45.06,7.85,0.16,0.84,3.9,26.02,131.46,24.55,170.91,24.97,0.0,236.69,3.3,30.91,13-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Mar-2019 - 00:00,11.41,11.14,1.41,7.22,0.35,35.35,8.32,0.26,140.03,4.08,32.01,152.97,26.48,186.06,23.05,0.0,254.97,2.72,30.48,14-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Mar-2019 - 00:00,18.41,10.4,1.53,11.02,0.65,31.31,16.83,4.3,8.66,2.78,33.17,186.83,25.95,24.68,21.11,0.0,290.04,3.76,29.67,15-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Mar-2019 - 00:00,7.72,12.24,1.49,5.3,0.35,42.02,8.01,0.27,0.42,4.13,30.92,140.82,23.26,173.96,27.11,0.0,147.75,4.07,29.58,16-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Mar-2019 - 00:00,7.63,14.64,1.38,5.19,0.44,40.61,11.06,0.34,0.22,5.19,36.15,133.42,23.68,167.04,36.71,0.0,62.34,4.88,30.41,17-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Mar-2019 - 00:00,9.09,13.41,1.48,6.04,0.45,41.17,13.18,0.32,0.19,5.2,37.2,133.72,25.25,161.26,30.97,0.0,137.55,4.13,30.41,18-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Mar-2019 - 00:00,8.57,13.28,1.39,5.69,0.43,41.94,14.04,0.27,0.71,5.23,32.43,125.3,26.75,176.55,27.72,0.0,102.28,3.61,30.53,19-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Mar-2019 - 00:00,14.29,13.02,1.48,8.8,0.49,38.52,16.14,0.33,1.87,5.31,37.23,137.47,29.56,173.79,20.57,0.0,169.32,2.61,30.02,20-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Mar-2019 - 00:00,10.63,13.13,1.36,6.76,0.44,33.24,15.28,0.37,1.17,5.15,43.59,162.4,31.01,177.07,20.36,0.0,205.2,3.69,30.02,21-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Mar-2019 - 00:00,4.75,10.99,1.36,3.62,0.28,31.45,6.51,0.09,0.17,3.01,26.18,93.31,28.09,188.62,25.84,0.0,261.05,4.21,29.84,22-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Mar-2019 - 00:00,5.06,12.55,1.32,3.76,0.37,40.03,6.46,0.22,0.14,4.35,27.88,98.45,28.91,185.69,21.44,0.0,177.27,3.31,30.72,23-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Mar-2019 - 00:00,10.04,15.84,1.43,6.5,0.46,40.35,13.96,0.32,0.74,5.3,37.04,135.76,29.02,180.11,24.95,0.0,97.7,3.73,30.52,24-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Mar-2019 - 00:00,12.57,12.56,1.36,7.79,0.43,37.91,15.37,0.27,1.96,5.35,38.97,141.85,31.62,183.46,19.16,0.0,167.32,2.86,29.89,25-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Mar-2019 - 00:00,6.26,12.82,1.35,4.42,0.4,32.85,7.85,0.25,0.31,4.11,44.09,178.2,33.23,184.11,19.71,0.0,230.17,4.03,29.95,26-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
26-Mar-2019 - 00:00,7.08,14.47,1.43,4.93,0.42,32.0,7.74,0.29,0.13,4.67,39.21,155.43,30.53,192.44,23.7,0.0,163.18,3.71,31.0,27-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Mar-2019 - 00:00,11.13,14.54,1.52,7.14,0.5,37.45,14.19,0.41,0.64,5.4,40.18,141.27,31.63,193.78,21.89,0.0,103.6,3.45,30.07,28-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Mar-2019 - 00:00,19.02,15.03,1.52,11.36,0.61,36.34,11.41,0.51,1.41,6.93,44.95,154.64,34.95,191.97,16.72,0.0,101.66,3.02,29.91,29-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
29-Mar-2019 - 00:00,14.96,13.16,1.47,9.14,0.49,36.67,17.9,0.32,1.66,5.59,50.16,173.99,37.81,191.84,15.1,0.0,240.6,2.59,29.98,30-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
30-Mar-2019 - 00:00,16.47,11.96,3.42,11.55,0.35,35.05,16.57,0.17,0.26,2.9,44.32,169.96,36.94,191.35,18.21,0.0,295.43,4.07,29.98,31-Mar-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
31-Mar-2019 - 00:00,11.49,10.78,1.44,7.28,0.38,33.23,14.38,0.18,0.17,2.66,47.76,201.56,35.46,199.73,17.34,0.0,288.55,4.69,30.75,01-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Apr-2019 - 00:00,10.91,13.0,1.43,6.96,0.44,43.72,12.09,0.23,0.43,3.81,48.3,168.51,35.42,188.53,18.73,0.0,230.05,2.66,30.69,02-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Apr-2019 - 00:00,12.15,12.55,1.54,7.71,0.49,40.48,15.02,0.26,1.05,4.9,48.57,153.57,36.53,192.16,12.88,0.0,196.39,2.66,30.03,03-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Apr-2019 - 00:00,11.57,14.07,1.43,7.32,0.65,40.47,13.3,0.31,0.66,4.37,53.04,173.43,37.01,197.14,13.35,0.0,241.49,3.31,30.9,04-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Apr-2019 - 00:00,11.06,12.28,1.45,7.06,0.54,37.1,13.22,0.19,0.36,3.17,46.98,164.57,37.88,187.12,14.81,0.0,294.62,4.23,30.47,05-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Apr-2019 - 00:00,10.6,15.17,1.55,6.89,0.52,38.23,14.96,0.2,0.36,2.64,53.08,178.48,36.14,198.4,23.67,0.0,276.31,4.91,30.52,06-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Apr-2019 - 00:00,11.25,14.34,1.58,7.27,0.54,30.25,17.05,0.23,0.41,3.29,49.59,159.17,34.26,197.55,24.89,0.0,269.3,4.46,31.58,07-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Apr-2019 - 00:00,11.2,12.14,1.53,7.2,0.47,27.76,20.82,,,,43.12,156.2,35.36,194.35,23.93,0.0,273.02,5.13,31.57,08-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Apr-2019 - 00:00,10.17,11.18,1.58,6.68,0.53,28.15,11.78,0.08,0.11,2.45,39.62,169.27,35.61,197.57,23.74,0.0,251.17,3.67,31.61,09-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Apr-2019 - 00:00,13.59,10.76,1.47,8.42,0.53,27.8,19.97,0.21,0.45,3.11,45.83,148.66,33.64,211.94,19.79,0.0,275.5,4.32,31.54,10-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Apr-2019 - 00:00,10.09,10.58,1.53,6.59,0.5,27.1,12.33,0.16,5.78,6.35,37.84,170.64,32.03,192.42,21.89,0.0,263.52,3.62,31.52,11-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Apr-2019 - 00:00,8.6,11.06,1.47,5.77,0.45,26.42,10.61,0.16,0.2,3.14,32.31,132.53,33.78,206.23,21.24,0.0,274.59,3.99,31.84,12-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Apr-2019 - 00:00,7.99,9.05,1.46,5.44,0.43,27.94,7.19,0.14,0.2,2.96,31.44,130.83,34.21,211.97,15.54,0.0,290.98,4.2,31.73,13-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Apr-2019 - 00:00,7.98,10.56,1.44,5.41,0.48,32.14,8.64,0.16,0.32,3.28,33.34,131.46,34.05,201.55,17.77,0.0,271.22,3.6,30.38,14-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Apr-2019 - 00:00,6.33,10.09,1.3,4.41,0.43,35.27,9.85,0.1,0.46,3.12,33.71,157.77,34.29,193.24,18.93,0.0,274.47,4.71,30.11,15-Apr-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
