from date,PM2.5,PM10,AT,VWS,RH,RF,BP,SR,Temp,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,WS,WD,to date,station
22-Jan-2019 - 00:00,127.27,240.57,24.31,0.03,72.29,0.0,760.83,130.95,29.42,16.89,22.53,62.57,51.6,11.57,1.19,17.57,5.75,9.11,4.23,1.35,170.15,23-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Jan-2019 - 00:00,117.55,135.89,24.31,0.04,72.23,0.0,760.3,131.73,30.16,18.31,35.13,74.85,68.39,16.53,1.11,30.81,5.52,9.14,3.78,1.53,166.03,24-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Jan-2019 - 00:00,114.71,231.59,24.43,0.02,74.63,0.0,760.99,99.77,30.83,24.34,33.6,48.9,53.44,15.07,1.12,27.74,6.44,10.86,4.72,1.28,173.27,25-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Jan-2019 - 00:00,101.92,214.04,24.29,0.02,80.7,0.0,760.03,51.28,28.8,18.59,51.62,41.17,63.87,12.3,1.02,7.4,7.47,13.33,6.51,1.03,181.28,26-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Jan-2019 - 00:00,46.23,57.6,25.41,0.07,74.97,0.0,759.5,123.4,28.28,7.08,14.53,22.31,23.68,14.39,0.65,28.01,3.01,6.09,1.78,1.98,128.3,27-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Jan-2019 - 00:00,82.65,132.21,25.29,0.08,68.79,0.0,760.44,87.83,28.11,6.78,2.34,17.6,11.27,17.31,0.78,70.68,3.28,4.88,0.6,2.4,142.83,28-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Jan-2019 - 00:00,84.74,136.94,24.31,0.03,59.53,0.0,762.02,39.93,28.04,8.09,6.17,43.45,28.12,14.63,0.87,51.23,3.5,5.49,1.4,2.17,179.29,29-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
29-Jan-2019 - 00:00,80.5,128.14,24.98,0.04,62.83,0.0,761.14,118.9,27.86,8.69,5.43,44.54,28.11,14.45,0.83,62.52,3.17,4.67,1.36,2.05,157.22,30-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
30-Jan-2019 - 00:00,70.94,117.53,24.35,0.05,61.48,0.0,762.69,108.84,27.93,10.26,2.98,33.77,20.39,13.34,0.7,77.5,2.13,3.89,0.87,2.63,144.18,31-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
31-Jan-2019 - 00:00,56.96,105.8,24.28,0.07,63.4,0.0,759.93,127.28,27.61,6.92,2.78,35.56,21.18,11.24,0.7,89.61,2.12,3.76,0.84,1.93,141.28,01-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Feb-2019 - 00:00,59.44,115.97,24.39,0.06,64.8,0.0,760.54,132.22,27.72,8.39,14.67,56.03,41.73,10.99,0.9,79.72,2.87,5.52,1.74,1.78,169.45,02-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Feb-2019 - 00:00,97.6,203.7,24.64,0.04,69.2,0.0,758.82,133.46,27.82,10.72,37.61,72.17,68.98,15.54,1.18,53.85,5.61,7.87,3.45,1.39,154.58,03-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Feb-2019 - 00:00,86.37,245.36,25.18,0.06,65.93,0.0,761.9,126.0,27.55,9.19,26.26,62.31,54.49,14.01,1.03,66.28,4.64,6.43,2.71,1.51,156.08,04-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Feb-2019 - 00:00,72.1,148.31,25.7,0.05,66.64,0.0,763.96,130.72,27.24,5.84,6.62,48.68,31.28,14.78,0.88,77.64,2.9,4.04,1.27,1.76,168.74,05-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Feb-2019 - 00:00,111.18,247.03,25.31,0.03,68.08,0.0,762.49,135.34,27.67,10.92,43.46,75.92,75.71,16.48,1.33,50.69,5.38,6.5,2.56,1.37,188.54,06-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Feb-2019 - 00:00,113.77,283.53,25.18,0.02,62.46,0.0,758.04,144.16,27.57,27.95,54.04,91.0,92.33,19.38,1.45,42.68,5.49,8.69,3.13,1.34,210.48,07-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Feb-2019 - 00:00,118.59,272.44,25.91,0.02,60.58,0.0,758.11,142.29,27.55,27.77,59.5,86.13,94.19,22.27,1.53,54.74,5.41,8.49,2.65,1.09,202.12,08-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Feb-2019 - 00:00,96.32,206.65,25.56,0.01,70.65,0.0,758.73,127.86,27.85,19.46,41.57,62.9,67.26,21.27,1.14,28.73,3.42,5.63,1.64,1.66,201.82,09-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Feb-2019 - 00:00,75.95,138.92,26.15,0.01,77.17,0.0,,120.98,27.68,12.77,12.12,42.9,32.67,18.45,0.83,23.11,1.75,4.74,0.47,1.74,200.34,10-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Feb-2019 - 00:00,76.09,,25.92,0.11,74.48,0.0,,126.32,27.01,5.78,3.74,28.93,18.43,13.95,0.8,46.47,1.35,1.86,0.56,2.56,118.43,11-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Feb-2019 - 00:00,58.16,122.65,25.41,0.07,74.29,0.0,,124.12,27.13,4.45,3.04,28.18,17.47,12.12,0.68,66.15,1.21,2.12,0.18,2.53,131.7,12-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Feb-2019 - 00:00,55.33,127.02,25.56,0.08,71.92,0.0,,136.98,27.39,5.43,3.34,33.83,20.71,11.19,0.73,70.49,1.37,3.47,0.28,2.16,124.49,13-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Feb-2019 - 00:00,61.89,128.57,25.28,0.07,69.67,0.0,701.83,142.0,27.53,7.38,5.66,37.54,24.57,10.9,0.82,87.74,1.43,2.55,0.32,2.14,141.49,14-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Feb-2019 - 00:00,92.94,174.02,25.31,0.04,73.12,0.0,,148.83,27.76,7.27,30.1,58.68,55.69,11.24,1.04,53.73,3.06,3.66,1.0,1.29,164.69,15-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Feb-2019 - 00:00,53.12,94.83,26.56,0.05,72.26,0.0,,203.21,27.52,7.26,7.03,30.58,20.85,10.26,0.77,56.87,1.56,2.1,0.41,1.81,153.79,16-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Feb-2019 - 00:00,66.88,136.27,25.55,0.08,75.95,0.0,704.0,129.77,27.74,7.52,22.56,41.88,40.61,10.27,0.84,43.21,2.03,3.5,0.64,2.04,155.64,17-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Feb-2019 - 00:00,50.9,109.77,26.69,0.01,74.54,0.0,,135.56,27.53,11.6,7.32,36.74,25.5,9.27,0.83,25.97,1.93,3.69,0.45,2.06,208.92,18-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Feb-2019 - 00:00,51.39,100.3,27.2,0.02,77.77,0.0,,140.79,27.54,20.81,13.02,36.78,30.15,8.73,0.77,19.0,1.89,3.39,0.65,2.12,199.02,19-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Feb-2019 - 00:00,33.12,71.41,27.28,0.02,77.0,0.0,,134.42,27.59,4.62,6.5,21.11,16.51,8.16,0.69,15.16,1.43,1.73,0.41,2.0,184.67,20-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Feb-2019 - 00:00,40.18,87.85,27.07,0.02,75.16,0.0,,148.65,27.65,6.46,18.45,25.53,28.58,8.62,0.75,13.75,1.94,4.37,0.65,1.77,194.03,21-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Feb-2019 - 00:00,52.12,116.3,26.76,0.03,76.76,0.0,,144.81,27.75,15.98,23.86,35.94,38.52,9.65,0.82,18.2,2.05,3.85,0.89,1.83,203.5,22-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Feb-2019 - 00:00,54.72,121.42,27.28,0.03,73.11,0.0,,122.9,26.5,9.63,10.28,41.54,30.01,10.49,0.64,30.67,1.99,6.21,0.49,2.24,209.87,23-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Feb-2019 - 00:00,49.78,125.68,27.75,0.01,65.88,0.0,747.97,32.17,26.29,13.91,11.65,47.64,33.7,9.6,0.83,17.01,2.01,3.71,0.58,2.09,231.5,24-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Feb-2019 - 00:00,43.26,147.1,28.97,0.01,57.86,0.0,748.36,148.54,28.46,32.16,15.62,51.58,40.23,11.11,0.72,21.88,1.83,4.2,0.46,2.49,225.48,25-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Feb-2019 - 00:00,47.48,164.36,27.67,0.02,68.21,0.0,748.3,145.99,27.56,25.28,15.89,35.04,31.72,14.81,1.1,12.27,2.49,3.93,0.69,3.24,226.68,26-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Feb-2019 - 00:00,54.12,183.75,25.89,0.01,82.38,0.0,748.12,6.0,24.61,6.99,8.32,29.12,22.24,13.75,1.08,1.64,3.21,2.88,0.54,1.89,214.75,27-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Mar-2019 - 00:00,10.78,45.66,26.62,0.14,78.16,0.18,748.26,36.29,29.85,3.37,4.56,16.69,11.17,13.33,0.42,18.74,5.04,3.77,1.13,3.03,84.74,02-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Mar-2019 - 00:00,16.33,52.72,26.93,0.09,75.7,0.12,752.88,145.55,29.91,4.67,5.4,14.53,11.67,18.17,0.46,25.0,1.03,1.95,0.53,2.55,118.17,03-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Mar-2019 - 00:00,27.24,70.04,27.03,0.01,76.97,0.0,752.74,128.82,29.93,6.08,9.37,21.41,18.86,19.13,0.56,25.05,1.43,2.41,0.46,1.92,176.62,04-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Mar-2019 - 00:00,27.85,89.01,27.76,0.02,75.09,0.0,749.66,141.3,29.98,10.4,9.56,24.51,20.43,16.78,0.75,15.29,1.91,2.59,0.51,3.22,201.57,05-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Mar-2019 - 00:00,22.56,91.18,28.11,0.03,74.76,0.0,748.36,159.34,29.73,11.54,11.73,26.71,23.81,14.71,0.66,12.59,1.57,2.94,0.56,3.9,215.49,06-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Mar-2019 - 00:00,42.23,111.81,28.69,0.03,76.22,0.0,749.14,156.79,29.88,13.91,10.56,32.43,25.66,15.02,0.75,13.91,1.89,3.24,0.62,3.45,206.33,07-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Mar-2019 - 00:00,29.69,90.23,28.61,0.04,77.12,0.05,751.05,151.89,29.9,7.33,7.11,23.47,17.92,13.4,0.63,20.98,1.47,3.97,0.31,2.35,183.29,08-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Mar-2019 - 00:00,35.04,83.62,27.26,0.05,79.95,0.08,754.59,129.16,29.62,4.54,18.09,31.24,30.29,14.34,0.78,26.46,1.76,5.63,0.85,1.91,154.68,09-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Mar-2019 - 00:00,26.45,96.43,27.81,0.03,77.61,0.0,755.53,106.92,28.91,5.68,27.86,38.37,43.06,9.52,0.92,13.17,2.47,4.69,1.29,1.94,205.19,10-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Mar-2019 - 00:00,18.04,74.82,28.12,0.02,74.86,0.0,755.76,173.45,28.56,12.44,17.89,36.64,34.03,8.78,0.57,9.98,1.06,4.13,0.34,2.7,212.86,11-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Mar-2019 - 00:00,21.62,94.78,28.41,0.01,73.26,0.0,756.0,178.1,28.85,16.23,16.81,43.11,36.6,6.98,0.86,9.8,1.53,2.27,0.47,3.01,213.19,12-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Mar-2019 - 00:00,31.38,121.6,28.76,0.02,69.57,0.0,755.27,168.75,28.66,25.17,15.39,54.79,41.65,6.77,0.67,14.98,1.86,3.11,0.67,2.6,223.95,13-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Mar-2019 - 00:00,42.89,132.82,28.86,0.01,70.03,0.0,755.86,176.44,29.07,23.29,11.83,51.8,37.16,9.22,0.7,15.72,1.8,2.7,0.55,2.63,226.38,14-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Mar-2019 - 00:00,50.85,159.58,29.5,0.02,65.11,0.0,755.06,174.75,28.45,25.69,20.81,61.54,49.65,9.82,0.84,16.35,2.48,5.06,0.68,1.99,221.17,15-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Mar-2019 - 00:00,43.71,118.43,28.67,0.02,70.32,0.0,755.99,174.24,28.61,13.13,11.03,38.36,29.37,10.09,0.74,22.29,0.92,1.28,0.18,2.05,195.64,16-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Mar-2019 - 00:00,26.75,89.84,28.51,0.06,71.74,0.0,757.18,207.56,29.0,7.61,5.74,24.93,17.92,8.47,0.57,19.29,0.86,1.47,0.16,2.25,157.99,17-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Mar-2019 - 00:00,34.33,105.73,28.0,0.01,71.82,0.0,756.25,178.22,28.89,13.2,13.01,38.63,31.11,10.97,0.61,15.56,1.43,2.82,0.19,2.15,209.33,18-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Mar-2019 - 00:00,28.43,76.39,28.36,0.09,69.8,0.0,756.68,184.75,29.65,31.5,6.78,26.62,19.46,9.63,0.56,41.77,1.95,4.44,0.89,2.34,110.18,19-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Mar-2019 - 00:00,32.97,100.96,27.77,0.01,71.62,0.0,752.78,169.9,28.62,3.99,13.55,44.2,34.52,9.17,0.68,20.61,3.72,8.25,2.41,2.44,202.47,20-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Mar-2019 - 00:00,27.7,74.11,28.83,0.02,71.31,0.0,752.23,218.57,28.56,10.08,7.1,29.4,21.42,8.96,0.64,20.76,2.42,9.41,0.89,2.77,204.85,21-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Mar-2019 - 00:00,24.87,74.8,28.99,0.01,68.72,0.0,755.02,166.02,28.5,9.99,9.8,30.24,24.05,7.6,0.83,20.61,4.58,7.2,1.69,2.93,189.22,22-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Mar-2019 - 00:00,36.83,116.45,28.48,0.02,71.75,0.0,754.99,174.71,28.79,28.04,16.69,43.78,36.86,8.54,0.97,10.41,3.85,7.49,1.52,2.81,216.41,23-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Mar-2019 - 00:00,30.06,101.16,29.15,0.01,73.92,0.0,752.91,187.55,29.24,10.58,13.02,35.94,29.7,8.46,0.72,13.47,3.02,6.32,1.5,2.83,213.06,24-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Mar-2019 - 00:00,30.96,108.28,28.73,0.01,76.48,0.0,753.56,136.65,28.75,12.49,15.72,36.32,32.1,7.7,0.86,11.13,3.78,5.72,1.12,2.06,212.64,25-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Mar-2019 - 00:00,36.4,89.05,28.53,0.01,75.34,0.0,753.71,185.21,28.85,4.94,16.39,36.08,32.51,7.55,0.82,16.5,2.92,7.04,0.87,1.92,203.75,26-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Mar-2019 - 00:00,25.32,66.33,28.46,0.02,74.36,0.0,754.86,187.74,28.83,8.99,13.22,30.88,27.18,6.07,0.71,8.97,2.14,6.96,0.48,2.36,200.86,27-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Mar-2019 - 00:00,24.25,75.85,28.56,0.01,73.99,0.0,756.25,168.65,28.88,9.77,12.43,33.83,28.09,6.09,0.68,12.75,1.62,3.56,0.52,2.69,207.17,28-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Mar-2019 - 00:00,31.09,93.62,28.72,0.02,73.54,0.0,754.8,167.65,28.73,13.82,9.59,33.04,25.37,6.6,0.74,15.65,1.68,3.01,0.41,2.52,199.29,29-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
29-Mar-2019 - 00:00,33.25,108.01,28.92,0.01,72.85,0.0,752.17,178.22,28.87,12.85,10.13,29.63,24.0,7.21,0.87,14.74,2.55,4.07,0.7,2.78,193.92,30-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
30-Mar-2019 - 00:00,35.86,101.23,29.14,0.02,75.31,0.0,750.84,187.5,28.92,10.35,15.49,35.87,31.67,6.9,0.83,9.06,2.42,5.53,0.74,3.06,215.06,31-Mar-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
31-Mar-2019 - 00:00,44.62,132.42,29.53,0.01,72.67,0.0,750.41,181.02,28.92,22.69,18.27,45.33,38.97,7.49,0.88,9.45,3.13,4.81,0.88,3.44,216.15,01-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Apr-2019 - 00:00,42.98,134.99,29.68,0.03,72.73,0.0,751.74,152.62,28.6,10.09,8.35,35.32,25.57,5.91,0.93,17.37,3.2,5.79,0.95,3.26,190.43,02-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Apr-2019 - 00:00,27.24,103.65,29.11,0.03,73.52,0.0,752.2,179.27,28.58,18.14,12.01,36.63,29.25,5.26,0.94,10.23,2.29,5.06,0.69,3.47,210.22,03-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Apr-2019 - 00:00,27.0,88.69,28.85,0.03,73.17,0.0,752.67,176.57,29.07,14.37,13.79,35.38,30.03,5.1,0.88,9.7,1.85,3.96,0.71,3.07,212.57,04-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Apr-2019 - 00:00,26.94,101.68,28.89,0.03,73.23,0.0,754.09,173.3,28.74,21.48,21.23,32.43,34.5,4.95,0.83,4.54,3.26,4.94,1.03,3.37,211.74,05-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Apr-2019 - 00:00,24.62,78.67,28.68,0.02,74.35,0.0,752.63,109.32,29.07,18.07,20.62,24.99,29.6,5.31,0.71,4.39,2.36,4.24,0.91,3.48,214.1,06-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Apr-2019 - 00:00,32.7,108.88,29.4,0.02,65.1,0.0,751.05,132.36,28.66,8.13,13.79,45.74,35.54,6.2,0.63,10.88,2.84,5.88,0.85,3.45,231.14,07-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Apr-2019 - 00:00,25.92,87.59,29.32,0.01,65.34,0.0,750.78,176.24,28.42,12.53,8.2,40.14,28.02,5.23,0.67,17.48,2.53,5.42,0.79,3.26,206.7,08-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Apr-2019 - 00:00,22.66,79.55,28.93,0.02,74.1,0.0,750.18,163.57,28.04,4.57,14.23,22.91,23.76,4.29,0.79,5.66,2.5,4.14,0.87,3.79,210.98,09-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Apr-2019 - 00:00,24.73,84.31,29.29,0.02,73.57,0.0,751.02,167.18,27.79,7.76,22.16,24.43,31.01,5.51,0.88,5.33,2.81,5.16,0.74,3.38,211.18,10-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Apr-2019 - 00:00,32.82,96.79,29.79,0.02,72.54,0.0,751.33,214.45,27.6,4.12,12.11,21.79,21.43,5.09,0.62,9.92,2.0,3.5,0.65,3.33,205.84,11-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
