from date,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,to date,BP,station
30-May-2019 - 00:00,32.61,63.65,123.59,27.04,,0.88,31.2,3.43,19.45,22.87,2.4,31-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
31-May-2019 - 00:00,34.9,64.79,126.37,25.91,,0.72,31.66,3.41,19.73,23.15,2.34,01-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Jun-2019 - 00:00,47.15,70.59,133.22,26.7,,1.31,28.01,3.53,19.97,23.5,2.25,02-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Jun-2019 - 00:00,111.51,78.52,93.33,27.34,,1.92,19.79,3.3,16.49,19.79,2.37,03-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Jun-2019 - 00:00,,79.08,80.82,26.24,,0.93,22.26,3.46,18.8,22.27,2.27,04-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Jun-2019 - 00:00,,75.93,157.47,26.88,,0.73,23.66,4.28,19.38,23.66,2.33,05-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,06-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Jun-2019 - 00:00,,63.08,150.18,28.98,,1.31,23.93,3.46,20.58,23.93,4.85,07-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Jun-2019 - 00:00,18.96,72.54,89.18,26.9,,1.05,26.66,3.67,22.99,26.66,3.73,08-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Jun-2019 - 00:00,17.0,76.68,113.45,27.4,,0.88,26.59,3.79,22.8,26.59,3.66,09-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Jun-2019 - 00:00,14.76,74.12,149.39,27.28,,0.82,24.51,3.59,20.92,24.51,3.42,10-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Jun-2019 - 00:00,11.95,76.59,121.9,26.28,,0.89,25.19,3.49,21.69,25.19,2.63,11-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Jun-2019 - 00:00,30.75,76.93,108.62,26.26,,0.87,36.92,4.0,32.94,36.92,10.13,12-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Jun-2019 - 00:00,24.58,79.31,75.2,25.99,,0.75,41.03,3.77,37.26,41.03,11.96,13-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Jun-2019 - 00:00,26.33,78.14,68.57,26.24,,1.07,35.3,3.65,31.64,35.29,22.03,14-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Jun-2019 - 00:00,28.82,76.44,111.77,26.61,,0.96,34.69,3.53,31.19,34.69,32.34,15-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Jun-2019 - 00:00,35.11,71.18,141.64,27.07,,0.84,34.53,3.4,31.14,34.53,30.42,16-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Jun-2019 - 00:00,27.78,67.41,123.29,27.4,,0.74,32.38,2.86,29.52,32.38,29.55,17-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Jun-2019 - 00:00,37.26,67.61,107.49,27.13,,0.93,37.92,3.8,34.11,37.92,30.34,18-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Jun-2019 - 00:00,50.95,68.52,78.49,27.0,794.26,0.92,40.05,3.64,36.42,40.05,18.08,19-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Jun-2019 - 00:00,38.23,69.36,99.14,27.1,,0.91,30.1,2.79,27.32,30.1,2.24,20-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Jun-2019 - 00:00,32.23,68.98,110.88,26.97,,0.84,29.91,2.86,27.05,29.91,1.58,21-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Jun-2019 - 00:00,35.33,75.78,85.21,25.94,,1.15,31.9,2.93,28.98,31.9,2.26,22-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Jun-2019 - 00:00,24.74,77.08,79.94,26.11,0.0,1.14,31.7,3.11,28.59,31.41,2.74,23-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Jun-2019 - 00:00,23.62,87.23,56.17,25.26,,0.95,29.93,2.79,27.14,29.93,2.05,24-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Jun-2019 - 00:00,32.66,81.39,80.07,25.98,,1.05,32.06,3.17,26.97,30.51,3.38,25-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Jun-2019 - 00:00,40.67,71.7,97.46,26.67,,1.02,32.91,2.97,28.99,31.94,4.11,26-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Jun-2019 - 00:00,35.04,74.14,63.45,26.14,0.0,0.99,31.92,3.04,28.38,31.12,4.14,27-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Jun-2019 - 00:00,34.42,68.13,113.45,26.38,,0.98,26.73,3.16,28.89,32.03,4.08,28-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Jun-2019 - 00:00,43.92,74.4,0.91,24.95,,1.0,22.7,2.77,27.38,30.13,4.13,29-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Jun-2019 - 00:00,40.73,55.99,156.32,27.71,,0.83,21.24,2.88,28.39,31.28,3.5,30-Jun-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Jun-2019 - 00:00,27.64,70.63,88.42,25.94,,0.97,20.85,2.76,27.22,29.98,3.05,01-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Jul-2019 - 00:00,31.69,65.98,117.05,26.48,,0.91,21.27,2.85,27.75,30.6,3.29,02-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Jul-2019 - 00:00,31.2,65.17,89.97,26.66,,0.93,23.29,3.45,30.93,34.36,3.29,03-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Jul-2019 - 00:00,28.86,84.47,0.96,24.29,,0.93,21.6,2.66,27.75,30.41,3.16,04-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Jul-2019 - 00:00,36.31,68.74,18.69,26.56,,1.17,23.99,3.18,30.05,33.24,5.07,05-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Jul-2019 - 00:00,30.88,78.69,84.35,25.49,,0.93,23.44,2.99,28.79,31.75,4.64,06-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Jul-2019 - 00:00,23.62,85.49,70.33,24.47,,0.73,23.33,2.9,27.43,30.33,4.73,07-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,08-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,09-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Jul-2019 - 00:00,27.17,68.89,120.44,26.54,,1.05,20.5,3.17,26.38,29.55,5.87,10-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Jul-2019 - 00:00,24.23,74.05,96.17,25.21,,0.81,22.13,2.73,30.26,32.98,6.86,11-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Jul-2019 - 00:00,27.04,72.2,93.66,25.5,,0.78,21.69,2.77,31.68,34.45,8.35,12-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Jul-2019 - 00:00,33.02,70.05,127.03,26.15,,0.75,22.18,2.92,32.16,35.08,11.0,13-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Jul-2019 - 00:00,29.02,70.53,104.37,26.35,,0.6,21.97,2.79,30.31,33.1,11.07,14-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Jul-2019 - 00:00,22.78,71.22,85.75,26.13,,0.69,20.8,2.46,28.88,31.34,10.98,15-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Jul-2019 - 00:00,21.73,68.63,116.58,26.89,0.0,0.64,21.52,2.92,30.72,33.06,7.93,16-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Jul-2019 - 00:00,30.18,76.18,97.44,25.86,,0.7,22.74,2.82,29.91,32.73,6.59,17-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Jul-2019 - 00:00,36.28,73.28,94.25,26.22,,0.58,23.35,3.05,30.19,33.23,5.82,18-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Jul-2019 - 00:00,34.71,77.73,89.42,26.03,,0.52,24.47,3.33,29.44,32.77,5.74,19-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Jul-2019 - 00:00,24.45,82.95,81.27,25.39,,0.62,24.33,3.07,28.66,31.73,5.87,20-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Jul-2019 - 00:00,21.09,79.4,78.82,25.18,,0.7,22.56,2.63,29.67,32.3,5.73,21-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Jul-2019 - 00:00,22.7,82.46,61.52,25.0,,0.75,20.78,2.47,29.81,32.28,5.51,22-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Jul-2019 - 00:00,22.26,81.17,63.79,24.79,,0.69,20.25,2.54,28.38,30.92,3.35,23-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Jul-2019 - 00:00,28.68,83.86,73.14,24.44,,0.95,22.51,2.89,29.74,32.63,1.82,24-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Jul-2019 - 00:00,30.55,76.47,121.73,25.61,0.0,0.83,23.67,3.65,31.8,35.11,2.51,25-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Jul-2019 - 00:00,26.46,79.88,78.77,25.61,,0.97,24.19,3.12,30.21,33.33,3.27,26-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Jul-2019 - 00:00,30.82,79.64,67.6,24.91,,0.82,23.49,3.03,29.19,32.21,3.11,27-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Jul-2019 - 00:00,31.4,72.44,105.51,25.71,,0.8,21.67,3.0,28.93,31.93,3.2,28-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Jul-2019 - 00:00,30.84,76.51,73.16,25.2,,0.76,20.73,2.58,27.32,29.9,3.01,29-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Jul-2019 - 00:00,28.01,72.95,71.27,25.51,,0.82,21.35,2.78,27.43,30.2,2.94,30-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Jul-2019 - 00:00,27.26,73.7,76.69,25.12,,0.8,22.23,2.94,30.21,33.14,2.93,31-Jul-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
31-Jul-2019 - 00:00,26.2,70.56,154.38,25.78,,0.71,20.27,3.06,28.55,31.61,2.88,01-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Aug-2019 - 00:00,21.33,53.2,197.28,28.1,,0.58,18.71,2.68,26.09,28.77,2.98,02-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Aug-2019 - 00:00,20.04,73.08,23.07,25.11,,0.8,20.9,2.76,28.32,31.06,2.98,03-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Aug-2019 - 00:00,20.79,66.55,87.9,26.05,,0.83,19.94,2.71,28.25,30.72,2.87,04-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Aug-2019 - 00:00,0.0,,,,0.0,0.0,,,,0.0,,05-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Aug-2019 - 00:00,17.56,90.87,38.67,23.84,,0.51,21.93,2.9,29.17,32.07,2.84,06-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Aug-2019 - 00:00,17.08,82.34,79.19,24.59,0.0,0.82,21.87,2.89,30.02,31.96,3.05,07-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Aug-2019 - 00:00,18.39,88.16,46.72,24.27,,0.85,22.56,3.36,29.74,33.1,2.85,08-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Aug-2019 - 00:00,16.57,90.42,40.61,24.27,,0.79,22.25,2.92,28.46,31.39,2.88,09-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Aug-2019 - 00:00,21.79,84.41,101.59,24.84,,0.74,22.0,2.9,25.97,28.85,3.09,10-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Aug-2019 - 00:00,19.53,81.92,75.39,24.64,,0.73,23.27,3.15,29.42,32.57,2.94,11-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Aug-2019 - 00:00,15.96,79.66,101.53,24.99,,0.74,20.04,2.54,26.66,29.2,2.91,12-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Aug-2019 - 00:00,22.2,83.8,87.43,25.2,,0.8,23.76,3.61,30.0,33.61,3.0,13-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Aug-2019 - 00:00,19.84,82.6,102.88,25.27,,0.76,24.25,3.58,29.94,33.52,2.98,14-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Aug-2019 - 00:00,21.54,83.32,125.72,24.96,,0.85,23.88,3.77,29.11,32.88,2.93,15-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Aug-2019 - 00:00,16.87,82.3,104.32,25.06,,0.76,21.63,2.58,24.71,27.29,2.88,16-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Aug-2019 - 00:00,19.74,83.6,106.11,25.14,,0.8,23.81,3.17,27.62,30.79,2.89,17-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Aug-2019 - 00:00,19.06,86.63,48.41,24.53,,0.94,26.03,3.71,29.54,33.25,3.07,18-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Aug-2019 - 00:00,21.72,93.17,36.04,24.25,,0.91,29.67,5.31,26.97,32.27,2.95,19-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Aug-2019 - 00:00,21.0,83.96,139.38,25.31,,0.66,28.41,2.75,39.03,41.78,3.45,20-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Aug-2019 - 00:00,18.49,87.7,68.02,25.05,,0.82,26.26,2.56,41.83,44.38,4.02,21-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Aug-2019 - 00:00,20.82,84.48,92.65,25.19,,0.76,22.99,2.43,38.3,40.72,3.93,22-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Aug-2019 - 00:00,21.23,84.69,107.68,24.88,,0.72,22.22,2.27,37.36,39.63,4.04,23-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Aug-2019 - 00:00,20.58,83.02,122.14,24.94,,0.62,20.89,2.19,34.51,36.7,4.06,24-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Aug-2019 - 00:00,18.18,82.21,100.44,24.64,,0.75,20.13,2.18,32.27,34.46,4.06,25-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Aug-2019 - 00:00,15.62,75.44,154.85,25.2,,0.64,18.89,2.15,30.56,32.7,4.14,26-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Aug-2019 - 00:00,16.4,87.2,148.79,23.74,,1.1,18.6,2.26,28.31,30.54,4.07,27-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Aug-2019 - 00:00,21.61,61.64,153.14,27.0,,0.74,19.1,2.2,32.01,34.21,4.0,28-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Aug-2019 - 00:00,24.37,79.44,117.9,25.21,,0.63,20.23,2.2,32.49,34.68,4.14,29-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Aug-2019 - 00:00,23.8,78.15,120.78,25.68,,0.63,20.42,2.3,33.64,35.94,4.05,30-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Aug-2019 - 00:00,27.72,73.52,124.51,25.72,,0.84,21.53,2.94,30.76,33.68,3.72,31-Aug-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
31-Aug-2019 - 00:00,35.74,77.1,80.0,25.07,,1.04,23.24,2.91,28.65,31.56,2.05,01-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Sep-2019 - 00:00,31.09,87.21,9.03,23.97,,1.11,21.08,3.1,28.56,31.67,,02-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Sep-2019 - 00:00,22.27,86.82,43.59,24.15,,1.03,19.08,2.5,24.85,27.35,,03-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Sep-2019 - 00:00,17.34,84.43,78.02,24.55,,1.13,20.3,2.74,26.91,29.65,4.73,04-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Sep-2019 - 00:00,27.54,87.26,77.08,24.22,,1.0,22.82,5.23,32.81,38.03,4.62,05-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Sep-2019 - 00:00,25.62,82.41,73.42,24.92,0.0,1.21,19.24,2.8,24.71,24.66,4.85,06-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Sep-2019 - 00:00,15.55,81.63,131.38,25.04,,1.04,19.85,2.91,25.94,28.85,3.53,07-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Sep-2019 - 00:00,13.27,86.6,113.73,24.34,,1.3,19.94,2.7,26.56,29.19,3.06,08-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Sep-2019 - 00:00,,,,,,,,,,,,09-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Sep-2019 - 00:00,11.73,60.9,360.08,28.25,,0.88,16.27,2.14,23.15,25.28,2.38,10-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Sep-2019 - 00:00,25.67,64.55,94.61,27.52,,1.03,22.99,5.16,31.3,36.46,1.78,11-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Sep-2019 - 00:00,0.0,,,,0.0,0.0,,,,0.0,,12-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Sep-2019 - 00:00,,,,,,,,,,,,13-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Sep-2019 - 00:00,,,,,,,,,,,,14-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Sep-2019 - 00:00,,,,,,,,,,,,15-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Sep-2019 - 00:00,,,,,,,,,,,,16-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Sep-2019 - 00:00,35.4,92.99,0.91,24.15,,1.39,23.54,3.3,27.05,30.35,2.45,17-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Sep-2019 - 00:00,17.07,82.77,97.05,25.46,,1.33,24.54,3.94,31.09,35.03,2.39,18-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Sep-2019 - 00:00,19.35,80.19,87.69,25.7,,1.15,23.18,3.03,29.81,32.83,2.37,19-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Sep-2019 - 00:00,20.66,78.61,128.14,25.85,,1.21,22.43,3.29,28.54,31.82,1.97,20-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Sep-2019 - 00:00,16.52,73.7,137.72,25.91,,1.04,22.1,3.02,29.83,32.85,1.82,21-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Sep-2019 - 00:00,29.99,70.93,144.89,26.49,,1.44,23.38,3.0,31.2,34.2,1.79,22-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Sep-2019 - 00:00,16.52,84.02,59.22,25.54,,1.31,28.22,5.77,30.79,36.56,1.77,23-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Sep-2019 - 00:00,22.01,89.66,77.93,25.07,,1.4,33.79,7.59,32.65,40.24,2.03,24-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Sep-2019 - 00:00,23.36,84.25,127.51,25.27,,1.55,26.97,3.6,30.43,34.03,2.02,25-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Sep-2019 - 00:00,13.94,85.98,121.43,25.14,,1.15,25.13,2.88,29.0,31.88,2.08,26-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Sep-2019 - 00:00,16.56,79.05,153.74,25.28,,1.32,22.71,2.99,29.67,32.66,4.67,27-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Sep-2019 - 00:00,20.88,75.99,136.99,25.77,,1.38,24.38,3.87,32.51,36.38,4.96,28-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Sep-2019 - 00:00,20.86,70.4,137.37,26.46,,1.24,23.14,2.97,30.59,33.56,5.16,29-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Sep-2019 - 00:00,23.96,66.39,151.49,26.7,,1.29,23.03,2.89,31.88,34.77,5.05,30-Sep-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Sep-2019 - 00:00,21.13,67.75,161.65,26.6,,1.41,23.11,2.97,31.84,34.81,5.34,01-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Oct-2019 - 00:00,21.65,77.18,109.53,25.73,,1.07,23.66,3.1,34.06,36.96,4.84,02-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Oct-2019 - 00:00,15.23,75.64,161.81,25.84,,0.87,24.35,3.95,35.76,39.7,2.63,03-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Oct-2019 - 00:00,24.07,79.28,87.46,25.02,,1.43,24.61,3.33,37.65,40.98,2.9,04-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Oct-2019 - 00:00,24.59,83.24,163.25,24.84,,1.15,24.99,4.43,39.02,43.44,2.81,05-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Oct-2019 - 00:00,31.16,82.95,94.99,24.97,,1.51,28.18,4.95,43.73,48.72,2.94,06-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Oct-2019 - 00:00,20.13,73.81,166.29,26.17,,1.01,21.62,2.53,29.8,32.33,2.75,07-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Oct-2019 - 00:00,21.82,80.0,65.98,25.5,,1.36,22.35,2.59,28.06,30.64,2.85,08-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Oct-2019 - 00:00,26.52,81.85,128.83,25.0,,0.89,21.03,2.54,25.32,27.86,2.52,09-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Oct-2019 - 00:00,35.59,82.64,98.26,25.09,,1.16,26.6,4.05,35.49,39.53,3.32,10-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Oct-2019 - 00:00,188.39,81.24,148.44,25.57,,1.26,29.13,6.39,40.53,46.89,4.22,11-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Oct-2019 - 00:00,32.2,81.51,106.71,25.81,,1.14,31.95,8.48,43.43,51.9,4.32,12-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Oct-2019 - 00:00,27.27,70.7,143.49,26.62,,0.8,27.4,4.66,33.39,38.03,4.57,13-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Oct-2019 - 00:00,20.14,74.77,126.7,26.3,,0.48,25.11,3.34,27.37,30.7,4.79,14-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Oct-2019 - 00:00,19.81,74.49,178.72,26.8,,0.76,34.11,8.59,36.36,44.94,4.37,15-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Oct-2019 - 00:00,21.06,74.54,123.77,26.57,,0.69,29.0,5.3,28.55,33.84,4.19,16-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Oct-2019 - 00:00,18.72,74.87,104.88,26.3,,0.86,25.46,3.25,25.07,28.31,3.84,17-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Oct-2019 - 00:00,16.4,80.69,72.89,25.38,,1.05,27.39,5.16,28.88,34.03,4.14,18-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Oct-2019 - 00:00,18.18,76.72,93.09,25.54,,1.09,24.56,3.2,26.73,29.91,4.44,19-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Oct-2019 - 00:00,15.07,77.7,146.08,25.88,,0.76,23.95,3.2,25.72,28.9,4.27,20-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Oct-2019 - 00:00,17.64,77.97,96.63,25.69,,0.91,23.26,2.98,26.03,28.99,4.32,21-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Oct-2019 - 00:00,39.05,87.0,75.36,24.94,,1.1,26.86,4.39,29.08,33.43,4.13,22-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Oct-2019 - 00:00,17.36,93.22,54.17,24.01,,0.91,25.44,3.12,24.39,27.46,4.81,23-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Oct-2019 - 00:00,14.2,86.33,116.74,24.62,,0.95,23.64,3.1,27.39,30.47,4.62,24-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Oct-2019 - 00:00,13.79,81.64,116.24,24.56,,0.49,19.53,2.95,25.4,28.32,4.55,25-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Oct-2019 - 00:00,16.51,85.15,71.33,23.93,,0.7,20.59,2.89,28.9,31.74,4.6,26-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Oct-2019 - 00:00,15.87,81.11,149.83,24.44,,0.81,18.8,2.86,26.69,29.5,4.6,27-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Oct-2019 - 00:00,22.71,83.76,112.3,24.5,,1.24,20.04,3.55,26.27,29.81,5.02,28-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Oct-2019 - 00:00,27.18,82.23,139.65,25.27,,1.32,21.44,3.63,22.57,26.2,6.54,29-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Oct-2019 - 00:00,23.21,81.57,83.62,24.89,,1.28,22.39,2.86,19.37,22.23,6.02,30-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Oct-2019 - 00:00,18.01,86.66,79.04,24.41,,1.34,24.66,3.23,20.73,23.96,5.66,31-Oct-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
31-Oct-2019 - 00:00,16.93,81.25,103.45,24.77,,1.17,25.4,3.34,23.3,26.64,5.35,01-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Nov-2019 - 00:00,20.77,62.15,183.67,25.78,,1.02,21.24,2.72,26.21,28.93,5.55,02-Nov-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
