from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,BP,THC,station
26-Nov-2019 - 00:00,21.25,74.75,-0.5,174.36,0.15,99.07,287.66,1.3,214.49,38.24,12.74,30.54,20.33,32.74,300.22,27-Nov-2019 - 00:00,,503.02,"Talkatora District Industries Center, Lucknow - CPCB"
27-Nov-2019 - 00:00,21.66,77.56,-0.52,110.02,0.15,85.54,215.01,1.09,216.0,38.34,12.87,30.69,20.42,24.09,300.15,28-Nov-2019 - 00:00,,499.94,"Talkatora District Industries Center, Lucknow - CPCB"
28-Nov-2019 - 00:00,22.43,76.51,-0.35,86.88,0.29,93.7,259.99,0.95,216.53,38.37,12.84,30.68,20.42,12.66,301.01,29-Nov-2019 - 00:00,,497.47,"Talkatora District Industries Center, Lucknow - CPCB"
29-Nov-2019 - 00:00,18.71,82.1,-0.05,184.62,0.47,28.2,74.73,1.04,291.54,34.36,13.01,28.68,22.64,9.33,292.77,30-Nov-2019 - 00:00,,503.15,"Talkatora District Industries Center, Lucknow - CPCB"
30-Nov-2019 - 00:00,19.64,78.24,0.13,304.34,0.59,124.25,83.52,1.01,751.77,28.61,12.84,25.49,30.12,10.52,594.31,01-Dec-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Dec-2019 - 00:00,19.11,77.81,0.2,322.12,0.6,120.86,119.34,0.98,817.77,28.65,12.8,25.48,30.13,4.55,259.74,02-Dec-2019 - 00:00,,986.92,"Talkatora District Industries Center, Lucknow - CPCB"
02-Dec-2019 - 00:00,17.81,72.26,0.17,305.67,0.6,114.43,90.22,1.03,797.04,28.6,12.78,25.43,30.12,4.31,207.86,03-Dec-2019 - 00:00,,971.96,"Talkatora District Industries Center, Lucknow - CPCB"
03-Dec-2019 - 00:00,16.54,71.52,0.15,285.36,0.64,130.42,154.51,1.01,836.24,28.58,12.76,25.41,30.12,3.61,176.81,04-Dec-2019 - 00:00,,972.66,"Talkatora District Industries Center, Lucknow - CPCB"
04-Dec-2019 - 00:00,17.14,63.56,-0.15,279.53,0.4,130.74,179.51,1.02,782.66,28.6,12.75,25.39,30.11,9.07,249.42,05-Dec-2019 - 00:00,,925.19,"Talkatora District Industries Center, Lucknow - CPCB"
05-Dec-2019 - 00:00,17.13,68.59,-0.53,249.01,0.19,95.02,204.98,1.21,755.79,28.61,12.74,25.41,30.11,28.74,209.45,06-Dec-2019 - 00:00,,880.51,"Talkatora District Industries Center, Lucknow - CPCB"
06-Dec-2019 - 00:00,17.92,72.48,-0.49,203.15,0.17,107.06,254.2,1.12,787.6,28.59,12.66,25.33,30.11,25.61,273.44,07-Dec-2019 - 00:00,,923.23,"Talkatora District Industries Center, Lucknow - CPCB"
07-Dec-2019 - 00:00,18.76,77.49,-0.53,147.59,0.11,88.16,239.03,1.22,647.65,28.58,12.71,25.37,30.11,48.32,332.48,08-Dec-2019 - 00:00,,797.85,"Talkatora District Industries Center, Lucknow - CPCB"
08-Dec-2019 - 00:00,18.54,71.39,-0.37,234.69,0.21,112.77,255.53,0.83,603.48,28.6,12.81,25.46,30.12,44.14,227.69,09-Dec-2019 - 00:00,,709.05,"Talkatora District Industries Center, Lucknow - CPCB"
09-Dec-2019 - 00:00,17.65,68.83,-0.33,218.85,0.28,102.36,225.6,0.94,828.03,28.63,11.56,24.48,31.12,22.5,154.05,10-Dec-2019 - 00:00,,893.43,"Talkatora District Industries Center, Lucknow - CPCB"
10-Dec-2019 - 00:00,17.04,68.96,-0.27,304.7,0.32,101.93,215.08,1.34,725.02,50.46,51.01,51.58,33.69,17.14,138.18,11-Dec-2019 - 00:00,,837.56,"Talkatora District Industries Center, Lucknow - CPCB"
