from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
04-Dec-2019 - 00:00,189.48,117.51,90.52,48.61,139.12,2.67,,22.62,0.0,0.0,0.0,0.0,05-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
05-Dec-2019 - 00:00,287.4,206.05,123.72,61.34,184.93,4.26,0.0,30.84,0.0,0.0,0.0,0.0,06-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
06-Dec-2019 - 00:00,269.54,187.55,77.72,42.49,120.12,3.24,0.18,24.29,0.0,0.0,0.0,0.0,07-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
07-Dec-2019 - 00:00,265.31,190.57,85.23,42.39,127.64,3.34,,22.27,0.0,0.0,0.0,0.0,08-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
08-Dec-2019 - 00:00,246.5,178.39,126.23,48.9,171.39,4.46,0.0,22.22,0.0,0.16,0.96,0.03,09-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
09-Dec-2019 - 00:00,214.51,148.56,101.35,44.57,145.92,3.58,9.3,26.65,0.0,0.08,1.38,0.4,10-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
10-Dec-2019 - 00:00,259.08,179.42,95.71,45.58,141.29,3.78,0.0,26.97,0.0,0.68,0.9,2.07,11-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
11-Dec-2019 - 00:00,313.08,214.91,135.13,52.81,187.96,5.73,,22.53,0.0,2.19,13.86,4.44,12-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
12-Dec-2019 - 00:00,331.54,229.38,53.65,32.67,81.16,2.92,0.0,23.45,0.0,0.0,0.0,1.69,13-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
13-Dec-2019 - 00:00,105.8,77.09,8.97,20.48,21.54,1.2,0.0,19.0,0.0,0.0,0.0,0.0,14-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
14-Dec-2019 - 00:00,95.23,57.3,27.26,20.8,40.88,1.57,,19.53,0.0,0.0,0.06,0.46,15-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
15-Dec-2019 - 00:00,108.92,65.9,20.84,19.53,40.37,1.64,,20.06,0.0,0.0,0.0,0.0,16-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
16-Dec-2019 - 00:00,102.11,67.66,5.22,15.65,20.87,1.43,,18.61,0.0,0.0,0.0,0.0,17-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
17-Dec-2019 - 00:00,105.82,72.64,17.84,17.53,35.37,1.64,,20.41,0.0,0.0,0.0,0.0,18-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
18-Dec-2019 - 00:00,166.3,111.53,34.4,25.09,59.5,1.46,,26.35,0.0,0.0,0.0,0.0,19-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
19-Dec-2019 - 00:00,288.5,186.69,37.7,26.98,64.67,2.28,,16.71,0.0,0.0,0.0,0.0,20-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
20-Dec-2019 - 00:00,382.93,259.39,21.39,24.04,45.43,3.14,,17.39,0.0,0.0,0.0,0.0,21-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
21-Dec-2019 - 00:00,306.21,216.11,11.01,10.74,21.75,3.0,,16.77,0.0,0.0,0.0,0.0,22-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
22-Dec-2019 - 00:00,155.04,121.88,5.77,9.98,15.75,1.32,,17.69,0.0,0.0,0.0,0.0,23-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
23-Dec-2019 - 00:00,195.44,131.48,6.18,9.65,15.83,1.53,,21.41,0.0,0.0,0.0,0.0,24-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
24-Dec-2019 - 00:00,362.43,225.27,9.6,10.06,19.66,3.51,,16.26,0.0,0.01,0.59,0.03,25-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
25-Dec-2019 - 00:00,218.34,144.27,6.01,9.49,15.49,2.23,,17.2,0.0,0.0,0.0,0.04,26-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
26-Dec-2019 - 00:00,231.73,160.24,4.01,9.69,13.71,1.33,,24.66,0.0,0.0,0.0,0.0,27-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
27-Dec-2019 - 00:00,,,,,,,,,,,,,28-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
28-Dec-2019 - 00:00,,,,,,,,,,,,,29-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
29-Dec-2019 - 00:00,,,,,,,,,,,,,30-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
30-Dec-2019 - 00:00,,,,,,,,,,,,,31-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
31-Dec-2019 - 00:00,,,,,,,,,,,,,01-Jan-2020 - 00:00,"Lodhi Road, Delhi - IMD"
