from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
23-Apr-2019 - 00:00,0.01,197.43,28.25,746.28,146.8,66.21,96.25,103.2,36.77,177.31,32.52,1.86,10.37,0.68,1.6,4.98,6.0,4.0,4.01,24-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Apr-2019 - 00:00,0.15,144.96,30.54,746.89,141.13,7.89,70.35,43.71,45.03,134.98,33.52,1.37,4.75,1.1,1.25,3.81,4.81,2.21,3.41,25-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Apr-2019 - 00:00,0.22,104.05,36.44,746.92,128.99,6.66,46.09,29.84,52.43,129.24,32.46,1.32,6.34,1.27,3.32,11.79,7.19,3.33,3.53,26-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Apr-2019 - 00:00,0.11,180.71,23.27,746.71,160.76,35.66,77.97,70.0,35.85,132.21,32.79,1.39,15.04,0.79,8.97,52.62,14.05,13.77,4.67,27-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Apr-2019 - 00:00,-0.14,278.61,13.51,746.29,159.47,11.96,63.88,43.55,37.48,125.59,33.42,1.0,20.64,1.25,4.43,29.26,7.79,8.47,3.34,28-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Apr-2019 - 00:00,-0.16,291.22,12.17,745.53,162.02,14.98,63.65,45.68,37.58,131.39,33.26,1.03,25.3,1.09,3.02,21.96,7.3,3.87,2.63,29-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Apr-2019 - 00:00,-0.13,235.47,10.01,744.95,158.96,29.39,80.15,66.15,35.73,166.39,33.69,1.54,33.92,0.89,6.58,28.29,13.19,11.03,4.68,30-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Apr-2019 - 00:00,-0.2,133.46,8.98,743.09,146.55,16.08,79.04,54.91,47.38,153.84,34.48,1.1,36.8,1.01,8.55,26.9,14.01,8.21,5.13,01-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-May-2019 - 00:00,0.15,120.7,20.59,742.78,147.0,36.35,98.24,81.32,50.0,173.5,33.06,1.72,26.53,0.82,10.33,26.19,15.3,9.05,5.36,02-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-May-2019 - 00:00,0.36,69.65,30.27,744.18,135.79,11.83,51.75,36.99,57.92,123.41,30.96,0.96,16.14,1.89,4.8,14.4,6.66,3.72,2.52,03-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-May-2019 - 00:00,0.04,98.75,35.01,745.73,145.49,19.69,60.14,47.4,57.41,84.66,29.45,1.12,18.59,1.3,5.39,15.13,6.98,4.01,2.79,04-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-May-2019 - 00:00,-0.21,237.98,19.15,746.77,158.73,17.14,81.92,57.23,41.99,113.77,31.3,1.18,24.46,0.89,2.39,11.89,7.1,3.21,3.5,05-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-May-2019 - 00:00,-0.21,261.09,13.0,746.91,154.42,42.65,84.85,78.74,45.66,141.92,31.67,1.64,41.71,1.02,1.0,2.99,4.0,1.0,3.0,06-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-May-2019 - 00:00,0.09,225.14,12.85,745.27,147.59,65.76,94.58,102.92,40.96,149.83,32.31,1.77,30.74,0.96,6.4,22.69,9.13,7.28,3.22,07-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-May-2019 - 00:00,0.29,208.12,15.59,744.35,143.83,126.05,100.68,153.43,23.75,196.2,32.7,1.92,26.28,1.02,14.17,39.18,23.4,18.44,7.92,08-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-May-2019 - 00:00,0.29,222.93,15.63,744.28,144.52,77.79,91.09,115.32,29.03,184.38,33.59,1.79,20.7,1.28,21.28,55.14,20.6,18.67,4.84,09-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-May-2019 - 00:00,0.29,237.43,16.5,743.77,134.88,40.16,73.78,71.37,32.95,234.87,33.92,1.67,19.99,1.32,19.07,64.09,19.54,15.08,7.32,10-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-May-2019 - 00:00,0.31,253.04,16.16,744.39,137.18,8.13,43.67,29.74,39.88,195.69,33.67,1.11,22.56,1.52,7.4,24.38,7.17,4.73,3.01,11-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-May-2019 - 00:00,0.32,253.35,25.82,746.01,126.43,8.23,53.06,34.51,53.61,151.26,31.99,1.33,17.51,0.98,7.71,36.02,8.21,9.24,4.08,12-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-May-2019 - 00:00,0.25,264.43,27.34,745.82,129.07,8.29,54.29,35.49,53.73,302.14,31.74,1.4,14.27,1.02,5.46,10.99,2.58,1.57,1.1,13-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-May-2019 - 00:00,0.22,164.97,33.57,744.99,106.26,16.17,68.05,49.11,58.63,201.48,31.06,1.5,20.09,1.02,0.58,1.75,2.34,0.58,1.75,14-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-May-2019 - 00:00,0.24,171.24,43.78,745.66,139.76,8.52,51.23,34.06,48.93,66.6,29.24,1.1,10.01,0.81,1.0,2.98,3.99,1.0,2.99,15-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-May-2019 - 00:00,0.31,121.39,52.4,746.53,110.39,22.96,82.1,62.04,22.15,112.02,28.4,1.56,10.87,1.19,0.99,2.98,3.97,1.0,2.98,16-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-May-2019 - 00:00,0.28,202.91,49.29,746.98,94.19,26.91,71.82,59.73,33.26,120.89,29.09,1.25,8.13,0.95,0.96,8.46,2.65,2.08,1.91,17-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-May-2019 - 00:00,0.28,187.86,54.38,746.89,111.59,33.54,55.96,56.6,34.64,169.2,27.46,1.17,8.48,1.17,0.59,1.77,2.36,0.59,1.77,18-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-May-2019 - 00:00,0.31,264.41,66.91,746.87,143.26,7.12,42.5,28.3,36.26,37.96,26.51,1.22,8.62,0.91,7.08,22.87,5.9,3.48,3.37,19-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-May-2019 - 00:00,0.35,262.7,42.94,746.83,140.03,18.3,66.22,49.83,50.87,79.06,30.36,1.2,11.58,0.85,17.16,32.51,10.74,5.58,4.19,20-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-May-2019 - 00:00,0.42,179.07,32.82,746.96,142.4,40.35,84.66,77.31,43.7,133.62,32.26,1.46,12.67,0.85,14.0,46.52,13.2,14.88,5.27,21-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-May-2019 - 00:00,0.46,154.01,28.72,746.02,133.39,15.01,68.34,48.34,44.57,75.78,33.18,1.06,13.58,0.94,8.78,33.49,9.0,10.33,4.18,22-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-May-2019 - 00:00,0.33,205.88,34.53,745.07,92.43,49.05,72.24,76.03,31.1,106.42,32.28,1.71,13.47,0.75,14.4,41.64,20.68,14.08,8.27,23-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-May-2019 - 00:00,0.33,129.64,43.88,744.58,115.22,46.29,69.03,73.75,45.73,111.26,31.46,1.52,12.87,0.94,16.76,57.67,19.38,15.87,8.75,24-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-May-2019 - 00:00,0.38,66.08,67.41,745.82,135.83,28.81,50.69,49.56,20.24,41.75,28.01,1.24,10.7,1.72,6.82,41.78,10.38,13.5,4.56,25-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-May-2019 - 00:00,0.29,42.17,44.32,745.4,157.26,6.76,41.95,27.73,44.34,49.13,30.77,0.96,9.68,1.78,8.57,24.72,5.54,10.29,2.31,26-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-May-2019 - 00:00,0.29,42.18,31.05,744.34,160.08,8.77,62.07,40.03,48.32,66.41,31.89,1.19,10.87,1.52,3.97,28.15,7.41,4.22,2.87,27-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-May-2019 - 00:00,0.19,104.82,23.04,744.07,153.35,15.29,74.4,51.81,46.94,86.16,33.6,1.24,13.92,1.11,6.35,34.97,12.05,9.3,4.12,28-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-May-2019 - 00:00,0.28,125.39,15.68,743.84,158.1,20.54,86.22,62.29,46.35,79.77,34.06,1.13,18.82,1.16,6.22,21.38,5.5,4.7,2.03,29-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-May-2019 - 00:00,0.24,152.12,18.61,742.84,165.89,39.54,85.24,76.83,56.86,110.79,35.05,1.5,19.83,0.86,10.37,37.69,13.64,8.95,5.35,30-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-May-2019 - 00:00,0.14,221.7,18.98,741.95,163.68,110.18,96.7,139.56,49.42,126.49,36.33,2.06,15.36,0.67,35.57,93.19,27.09,22.8,9.7,31-May-2019 - 00:00,"Shadipur, Delhi - CPCB"
31-May-2019 - 00:00,0.12,190.6,18.08,742.13,154.56,42.08,67.98,69.82,55.91,182.99,36.21,1.46,15.99,0.82,17.14,57.33,19.23,13.16,6.71,01-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Jun-2019 - 00:00,0.12,110.77,31.43,742.18,144.91,48.93,75.92,79.47,35.12,135.24,35.5,1.48,11.34,1.03,14.78,41.8,13.35,8.18,5.33,02-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Jun-2019 - 00:00,0.17,106.95,48.04,742.25,144.09,4.86,28.37,18.98,5.93,91.29,34.87,1.12,9.56,1.52,3.72,7.25,2.63,1.02,1.02,03-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Jun-2019 - 00:00,0.23,127.41,48.62,742.75,150.7,4.53,23.12,15.92,3.53,132.81,33.32,1.08,9.65,1.93,0.0,0.0,0.0,0.0,0.0,04-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Jun-2019 - 00:00,0.29,117.75,46.59,743.03,152.49,4.66,34.73,22.15,25.24,86.7,33.29,1.3,9.15,1.62,3.72,12.92,6.08,2.18,2.81,05-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Jun-2019 - 00:00,0.16,119.64,39.65,742.52,149.83,9.04,53.02,35.43,51.41,106.84,35.15,1.32,8.31,1.15,5.76,19.52,8.62,3.13,3.49,06-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Jun-2019 - 00:00,0.16,152.47,32.12,742.82,144.31,20.25,59.49,47.81,53.43,124.11,35.03,1.02,9.44,1.13,6.29,21.19,8.66,4.51,4.17,07-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Jun-2019 - 00:00,0.38,95.48,45.14,744.72,151.28,5.28,41.53,26.13,75.2,85.86,32.41,1.12,9.2,1.3,4.37,13.18,5.87,2.29,2.49,08-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Jun-2019 - 00:00,0.35,177.05,36.81,743.61,159.06,20.64,65.01,51.09,52.19,102.61,35.2,1.51,10.14,0.79,5.89,32.02,13.21,7.26,4.51,09-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Jun-2019 - 00:00,0.21,126.51,27.02,741.89,144.43,108.01,103.48,141.45,66.47,156.35,35.71,2.03,13.0,0.73,15.21,58.23,27.52,13.97,11.43,10-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Jun-2019 - 00:00,0.2,199.37,21.69,740.15,151.39,72.38,98.78,110.45,47.18,130.23,37.23,1.85,12.11,0.65,10.14,50.07,19.57,11.7,6.87,11-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Jun-2019 - 00:00,0.23,220.45,17.68,740.22,112.71,47.79,68.11,74.94,27.39,273.09,36.95,1.19,10.44,1.0,8.5,42.12,16.68,10.37,6.55,12-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Jun-2019 - 00:00,0.27,115.15,38.9,742.04,142.09,9.73,31.67,24.95,59.52,141.06,33.3,0.63,7.93,2.02,3.03,11.89,5.57,2.7,2.21,13-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Jun-2019 - 00:00,0.26,192.73,38.65,742.2,147.52,12.38,48.24,35.57,46.47,102.12,34.2,1.07,7.39,1.1,5.8,23.93,9.62,5.36,4.2,14-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Jun-2019 - 00:00,0.31,266.65,25.47,741.5,158.26,16.69,56.75,43.53,49.64,104.82,35.41,0.93,8.33,1.19,6.19,32.68,11.78,9.98,4.83,15-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Jun-2019 - 00:00,0.35,251.75,19.63,741.19,143.68,20.76,71.69,54.73,48.64,120.11,35.84,0.81,11.47,1.06,8.75,39.44,14.58,10.35,5.85,16-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Jun-2019 - 00:00,0.3,273.24,53.02,742.75,95.96,8.16,23.39,18.97,31.64,70.0,30.39,0.64,5.5,2.04,2.57,11.68,3.93,2.0,1.66,17-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Jun-2019 - 00:00,0.33,236.67,50.75,742.54,82.62,9.57,34.53,26.0,28.33,66.26,29.47,0.76,6.13,1.98,3.85,12.9,5.52,2.8,1.85,18-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Jun-2019 - 00:00,0.45,202.12,63.85,743.88,144.18,10.13,47.76,33.51,32.35,51.9,26.52,0.86,6.04,1.17,4.55,43.58,9.29,10.68,4.05,19-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Jun-2019 - 00:00,0.34,85.41,63.39,742.49,160.6,19.73,57.01,44.74,70.55,99.24,29.9,1.71,8.73,0.88,5.66,38.4,9.3,10.26,5.11,20-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Jun-2019 - 00:00,0.14,140.63,45.68,743.27,208.33,7.13,41.49,27.32,102.82,106.24,32.91,1.07,4.14,1.04,4.08,14.09,5.79,2.59,2.96,21-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Jun-2019 - 00:00,0.11,152.3,53.65,743.48,121.61,8.23,60.39,38.7,47.41,83.98,32.22,1.4,11.08,0.76,7.33,32.11,12.15,7.98,5.15,22-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Jun-2019 - 00:00,0.1,151.67,42.17,743.03,155.84,9.58,59.16,39.11,56.55,79.46,33.29,0.91,9.47,0.83,5.79,35.94,11.72,8.57,4.75,23-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Jun-2019 - 00:00,0.17,123.89,55.86,743.1,149.75,6.48,16.37,13.89,40.76,43.45,32.58,0.74,8.88,1.62,2.14,6.17,3.0,0.91,0.88,24-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Jun-2019 - 00:00,0.19,115.76,76.04,744.5,96.82,6.9,23.49,18.0,12.91,68.38,29.53,1.36,8.91,1.58,3.25,9.87,3.98,1.43,1.49,25-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Jun-2019 - 00:00,0.18,111.23,68.79,743.83,113.0,8.79,34.83,25.55,23.38,100.92,31.55,1.44,8.72,0.79,5.53,23.66,9.49,4.01,3.68,26-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Jun-2019 - 00:00,0.22,167.82,52.45,741.94,143.62,12.11,46.78,34.57,20.88,102.13,34.07,1.22,8.07,0.77,4.82,32.55,7.3,9.05,3.36,27-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Jun-2019 - 00:00,0.27,257.06,46.33,740.78,144.41,12.29,49.42,36.12,28.19,117.53,33.33,1.08,8.7,0.77,5.1,31.85,8.07,9.07,3.51,28-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Jun-2019 - 00:00,0.31,265.59,40.9,740.12,148.49,11.1,44.59,32.57,24.39,109.12,33.83,1.16,9.3,0.99,6.66,23.07,7.8,5.49,3.17,29-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Jun-2019 - 00:00,0.33,240.14,35.04,739.55,175.28,19.67,42.08,38.12,20.96,144.16,35.34,1.0,8.21,1.06,4.85,23.83,9.09,4.9,3.29,30-Jun-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Jun-2019 - 00:00,0.29,195.99,37.49,739.84,182.95,21.71,39.95,38.62,23.52,151.51,35.33,0.94,8.48,1.11,4.24,19.13,8.32,4.19,2.85,01-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Jul-2019 - 00:00,0.3,161.31,42.12,740.64,141.67,9.51,31.37,24.28,37.25,116.46,34.28,0.82,9.0,0.83,2.69,10.9,4.17,2.19,1.35,02-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Jul-2019 - 00:00,0.31,144.38,51.34,741.4,124.71,6.38,25.37,18.56,43.26,125.13,33.16,0.85,8.82,1.18,3.06,12.64,4.18,2.35,1.73,03-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Jul-2019 - 00:00,0.13,135.02,60.76,741.72,122.55,3.33,17.51,11.97,24.99,67.59,32.72,1.21,7.26,1.36,1.71,5.39,2.6,0.77,0.78,04-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Jul-2019 - 00:00,-0.01,151.17,70.89,741.23,69.42,9.73,28.34,22.84,13.72,57.73,30.04,1.07,8.38,1.2,2.69,15.94,4.26,2.78,1.72,05-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Jul-2019 - 00:00,0.02,133.23,87.89,740.14,81.32,20.52,39.44,37.39,6.68,58.1,28.93,1.4,9.68,1.17,2.54,13.73,4.52,2.56,2.14,06-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Jul-2019 - 00:00,0.04,141.67,75.81,739.21,130.82,4.65,24.34,16.65,15.73,52.98,30.39,0.76,8.79,1.25,1.23,4.01,2.34,0.83,1.37,07-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Jul-2019 - 00:00,0.09,190.46,82.59,739.71,98.63,5.74,30.12,20.61,21.77,52.19,30.34,0.96,9.38,0.87,2.09,8.58,3.72,1.6,1.72,08-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Jul-2019 - 00:00,0.03,178.41,80.07,739.87,113.53,6.33,33.37,22.73,15.37,59.67,30.8,0.94,9.65,0.81,2.01,9.05,4.29,1.95,1.59,09-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Jul-2019 - 00:00,0.11,186.74,85.52,739.86,95.08,5.48,29.47,20.05,8.06,55.65,29.43,1.0,9.68,1.13,1.59,7.49,3.48,1.43,1.85,10-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Jul-2019 - 00:00,0.18,201.63,68.55,739.19,119.31,13.38,28.87,26.05,6.78,99.84,31.71,0.98,9.02,1.14,2.04,8.6,4.13,2.11,1.74,11-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Jul-2019 - 00:00,0.18,206.52,57.18,739.29,123.58,9.05,23.03,19.49,7.12,94.93,33.0,0.84,8.2,1.69,1.76,7.27,3.19,1.34,1.34,12-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Jul-2019 - 00:00,0.17,217.87,61.32,740.9,106.13,7.77,25.72,19.88,3.93,98.18,32.59,1.16,8.64,1.34,1.77,7.63,2.95,1.3,1.24,13-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Jul-2019 - 00:00,0.18,226.59,50.83,741.2,126.64,6.15,20.14,15.61,7.93,78.09,32.93,0.88,8.45,1.94,1.33,4.69,1.67,0.73,0.51,14-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Jul-2019 - 00:00,0.18,180.37,56.18,740.64,107.96,6.16,22.22,16.69,8.24,73.95,31.6,0.86,8.58,1.49,0.82,4.42,1.88,1.08,0.73,15-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Jul-2019 - 00:00,-0.01,113.53,84.22,740.89,79.88,6.57,25.71,18.9,8.85,69.58,27.22,1.09,9.17,1.31,1.56,6.13,2.46,1.19,0.96,16-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Jul-2019 - 00:00,-0.01,71.78,85.54,742.95,106.1,4.92,21.33,15.28,14.7,48.07,26.65,1.01,8.16,1.41,1.38,6.85,2.41,1.14,1.03,17-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Jul-2019 - 00:00,0.13,170.33,90.4,743.71,102.11,7.4,32.75,23.33,10.85,39.23,26.09,0.96,8.56,0.85,1.89,10.53,3.22,2.36,1.23,18-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Jul-2019 - 00:00,0.18,189.37,89.77,743.62,117.63,10.47,36.6,27.83,12.72,45.59,26.05,1.61,6.06,0.86,1.88,10.62,4.64,2.36,2.4,19-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Jul-2019 - 00:00,0.08,111.54,74.37,743.43,136.87,22.92,55.05,47.62,24.37,120.2,29.85,1.51,6.53,0.75,2.26,11.33,5.4,2.55,2.54,20-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Jul-2019 - 00:00,0.22,127.0,87.01,744.01,120.39,7.87,33.62,24.15,11.39,46.37,28.84,1.68,7.33,0.85,2.53,12.83,5.14,2.69,2.53,21-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Jul-2019 - 00:00,0.22,137.1,87.84,743.64,160.36,27.54,24.05,34.81,13.72,27.46,28.44,1.43,7.03,0.87,2.12,9.97,4.87,2.43,1.9,22-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Jul-2019 - 00:00,0.24,113.55,82.24,742.87,218.03,38.27,24.65,43.24,15.43,60.65,29.83,1.59,6.12,0.81,2.67,12.04,6.14,3.13,2.25,23-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Jul-2019 - 00:00,0.16,108.36,73.74,741.87,156.18,28.6,33.93,40.93,18.78,102.75,31.98,1.6,7.58,0.64,2.83,16.93,5.9,4.27,2.4,24-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Jul-2019 - 00:00,0.18,171.42,72.99,740.92,152.13,9.65,44.99,31.51,20.61,86.87,30.98,1.22,6.02,0.91,1.8,11.18,4.72,2.82,2.82,25-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Jul-2019 - 00:00,0.22,181.47,90.02,742.3,108.75,5.37,54.68,32.47,14.71,42.14,27.32,0.79,5.01,1.07,1.98,10.53,4.4,2.09,2.11,26-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Jul-2019 - 00:00,0.21,106.79,94.8,741.15,119.13,6.57,41.89,27.49,11.49,35.38,26.84,1.17,5.79,1.08,1.81,10.69,4.71,2.25,2.42,27-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Jul-2019 - 00:00,0.2,111.02,94.74,741.11,122.59,11.77,31.38,26.1,12.97,51.25,26.99,1.09,6.83,1.28,3.3,12.39,5.07,1.95,2.29,28-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Jul-2019 - 00:00,0.26,117.14,85.69,742.28,151.62,10.72,29.53,24.28,14.11,42.08,28.51,0.73,6.85,1.65,1.54,6.3,2.38,0.68,0.53,29-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Jul-2019 - 00:00,0.25,118.39,75.82,743.08,157.39,10.34,30.14,24.3,15.87,47.57,29.81,0.9,6.16,1.47,1.59,7.1,2.65,0.78,1.12,30-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Jul-2019 - 00:00,0.17,92.89,77.62,742.88,164.26,11.24,32.47,26.21,14.86,50.44,29.49,0.72,6.56,1.32,2.18,9.27,3.85,1.32,1.82,31-Jul-2019 - 00:00,"Shadipur, Delhi - CPCB"
31-Jul-2019 - 00:00,0.19,103.12,76.79,742.42,156.43,10.96,29.6,24.51,20.73,42.96,29.62,0.76,5.94,1.33,2.14,6.89,2.83,0.92,0.94,01-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Aug-2019 - 00:00,0.23,133.81,68.84,741.98,197.27,11.07,31.12,25.39,22.66,40.98,30.65,0.68,5.33,1.31,1.44,5.85,2.58,0.67,1.08,02-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Aug-2019 - 00:00,0.24,111.98,85.04,741.51,152.34,12.5,31.26,26.63,18.03,45.15,28.84,0.79,5.43,1.06,1.98,9.0,3.15,1.61,1.39,03-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Aug-2019 - 00:00,0.24,114.83,91.88,741.46,161.57,11.16,38.05,29.02,9.22,48.71,28.1,1.0,5.78,1.08,2.87,12.87,4.63,1.91,2.08,04-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Aug-2019 - 00:00,-0.01,94.67,88.37,740.8,182.23,12.89,27.81,24.54,16.55,47.36,29.07,1.14,5.16,0.83,2.14,9.18,3.79,1.96,1.47,05-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Aug-2019 - 00:00,-0.18,172.08,86.65,739.75,188.67,9.41,34.5,25.79,17.74,41.14,29.83,1.32,6.64,0.82,1.78,8.57,4.08,1.66,1.69,06-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Aug-2019 - 00:00,-0.17,139.87,96.58,740.2,79.68,11.47,33.55,26.92,11.61,33.37,26.86,1.55,8.03,0.87,2.87,10.66,4.67,1.85,1.88,07-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Aug-2019 - 00:00,-0.09,99.41,82.27,739.99,137.19,22.25,40.25,37.1,19.72,37.92,28.91,1.23,8.34,0.96,3.45,14.46,5.95,3.14,2.67,08-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Aug-2019 - 00:00,-0.03,104.04,71.58,739.7,140.9,11.95,41.88,31.83,17.85,42.12,31.0,0.96,8.22,1.0,2.57,9.67,3.97,1.62,1.67,09-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Aug-2019 - 00:00,-0.08,108.56,65.93,741.0,114.53,4.06,32.57,20.38,17.33,27.5,30.14,0.85,8.13,2.37,1.92,5.1,1.63,0.72,0.57,10-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Aug-2019 - 00:00,-0.12,129.6,80.02,741.61,109.31,3.55,31.36,19.48,18.38,27.5,29.03,1.11,7.0,1.96,0.68,2.96,1.48,0.2,0.41,11-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Aug-2019 - 00:00,-0.18,165.59,73.49,742.38,145.32,4.69,32.98,21.16,20.62,33.52,30.49,0.9,7.82,1.13,0.52,2.99,1.52,0.12,0.27,12-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Aug-2019 - 00:00,-0.17,233.87,85.96,742.58,122.58,7.97,29.14,21.73,16.01,39.5,28.98,0.77,8.2,0.96,1.67,8.67,3.87,1.83,1.78,13-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Aug-2019 - 00:00,-0.14,247.46,92.68,741.94,36.07,6.79,25.0,18.73,7.83,37.47,27.97,0.45,9.2,0.99,0.8,3.83,1.8,0.75,0.71,14-Aug-2019 - 00:00,"Shadipur, Delhi - CPCB"
