from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
13-Feb-2019 - 00:00,24.01,998.2,351.38,212.57,68.09,89.83,169.73,0.72,4.82,43.94,56.6,99.6,175.63,208.15,23.12,9.41,3.03,14-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Feb-2019 - 00:00,23.94,993.96,229.54,155.68,73.51,53.94,129.33,2.08,3.23,29.95,56.21,77.17,36.9,71.14,12.25,9.53,2.06,15-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Feb-2019 - 00:00,23.96,994.13,190.56,126.02,68.08,71.74,240.47,1.53,2.68,27.39,48.61,60.1,38.62,63.49,15.29,7.63,1.57,16-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Feb-2019 - 00:00,23.98,995.6,173.46,117.88,63.92,54.72,299.38,2.1,2.26,22.67,43.03,38.72,11.83,30.19,16.84,7.59,1.54,17-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Feb-2019 - 00:00,23.91,992.5,174.71,104.54,72.57,118.77,293.19,2.01,1.97,22.25,39.79,50.24,36.81,56.66,27.1,10.39,1.7,18-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Feb-2019 - 00:00,23.97,988.06,216.17,124.0,53.26,95.17,166.42,1.34,2.69,29.14,40.52,76.37,69.97,97.69,17.37,13.52,1.75,19-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Feb-2019 - 00:00,23.9,991.01,256.84,138.45,56.32,74.62,178.06,0.76,4.93,29.49,56.56,97.91,97.6,131.63,18.82,13.85,2.33,20-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Feb-2019 - 00:00,24.03,996.22,200.14,95.8,76.42,35.65,109.41,1.27,3.9,39.84,46.54,91.11,85.31,117.93,6.14,15.46,2.29,21-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Feb-2019 - 00:00,24.0,994.94,208.35,74.36,66.63,106.48,135.84,1.38,3.28,34.11,48.9,89.44,117.63,142.46,27.24,31.79,3.09,22-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Feb-2019 - 00:00,23.96,995.1,145.05,71.18,67.04,121.91,300.8,3.03,3.17,29.69,54.08,49.36,21.39,42.66,34.27,24.7,2.07,23-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Feb-2019 - 00:00,24.06,993.44,106.82,51.62,56.01,138.23,301.68,3.11,2.12,21.25,34.63,53.74,12.25,37.67,55.04,28.17,1.84,24-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
