from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,to date,station
01-May-2019 - 00:00,23.37,5.03,27.42,12.34,21.07,0.49,40.63,97.28,181.67,1.22,0.31,1.36,0.46,22.6,1.07,180.17,02-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-May-2019 - 00:00,20.94,4.97,29.68,10.92,19.16,0.49,36.43,95.88,193.75,1.49,0.45,1.85,0.61,29.58,1.38,109.76,03-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-May-2019 - 00:00,21.7,5.07,24.23,20.11,18.12,0.44,33.57,64.19,95.75,1.32,0.37,1.49,1.01,35.2,1.05,138.28,04-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-May-2019 - 00:00,24.22,4.01,17.77,38.63,16.97,0.43,28.4,66.28,117.02,1.36,0.33,0.68,1.61,22.84,1.48,290.96,05-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-May-2019 - 00:00,33.54,5.83,18.75,30.66,20.16,0.64,25.03,81.03,122.13,2.04,0.37,0.89,2.25,17.3,1.24,256.88,06-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-May-2019 - 00:00,35.24,3.62,17.86,27.65,14.51,0.63,25.59,88.74,149.08,2.11,0.35,0.99,2.74,16.16,1.31,253.74,07-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-May-2019 - 00:00,38.45,6.94,22.21,34.73,13.19,0.72,23.76,112.53,211.02,2.16,0.34,1.18,3.05,13.45,1.73,214.07,08-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-May-2019 - 00:00,32.86,3.74,16.72,35.46,15.21,0.62,22.66,140.74,231.37,1.97,0.48,1.06,2.82,19.04,1.79,250.72,09-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-May-2019 - 00:00,28.39,3.37,14.08,29.65,13.03,0.5,24.71,158.14,295.27,1.22,0.29,0.66,1.85,19.96,1.97,256.67,10-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-May-2019 - 00:00,21.82,3.24,10.55,35.28,10.53,0.37,24.56,107.86,184.5,1.08,0.31,0.64,1.71,23.96,2.17,253.14,11-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-May-2019 - 00:00,28.93,3.21,14.24,50.64,21.85,0.54,27.45,82.63,124.49,1.55,0.32,0.73,1.87,32.7,1.42,263.61,12-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-May-2019 - 00:00,36.63,4.07,18.95,52.3,20.93,0.61,26.9,134.79,257.03,1.61,0.33,0.8,2.04,31.41,1.71,279.98,13-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-May-2019 - 00:00,34.2,3.38,17.13,42.35,26.41,0.78,34.29,144.5,173.46,2.27,0.39,0.83,2.28,36.21,1.25,224.84,14-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-May-2019 - 00:00,27.1,3.18,13.26,41.92,12.16,0.71,40.14,39.54,62.9,1.34,0.27,0.63,1.83,47.69,1.23,216.16,15-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-May-2019 - 00:00,31.18,3.15,15.36,43.37,15.9,1.08,42.58,89.4,80.81,2.42,0.29,0.86,2.22,48.73,1.74,116.99,16-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-May-2019 - 00:00,31.96,3.27,15.9,40.94,9.97,1.0,38.79,94.76,123.36,1.75,0.32,0.94,2.65,51.68,1.42,221.86,17-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-May-2019 - 00:00,29.04,3.52,14.53,37.15,10.38,0.97,45.18,83.45,125.65,1.79,0.31,0.93,2.93,50.03,1.79,228.97,18-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-May-2019 - 00:00,26.35,3.31,12.97,34.53,11.76,0.88,76.54,41.31,55.33,1.27,0.25,0.7,2.2,54.88,1.46,254.51,19-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-May-2019 - 00:00,29.53,3.0,14.39,33.62,10.29,0.94,66.92,55.89,74.88,1.73,0.37,0.85,2.69,40.75,0.98,243.42,20-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-May-2019 - 00:00,40.48,5.42,22.05,37.79,13.9,1.21,40.87,102.31,137.28,2.68,0.5,1.29,4.12,37.34,0.89,250.36,21-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-May-2019 - 00:00,28.06,3.21,13.78,32.15,13.11,0.92,32.25,77.89,100.22,1.86,0.46,0.82,2.78,27.58,1.23,269.12,22-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-May-2019 - 00:00,36.26,3.71,18.47,35.73,14.23,0.98,24.28,96.42,143.57,1.88,0.48,0.89,3.03,34.86,1.09,258.73,23-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-May-2019 - 00:00,38.08,3.43,19.22,34.89,15.03,1.14,33.88,91.17,93.38,3.02,0.54,1.17,3.83,45.58,1.11,157.21,24-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-May-2019 - 00:00,25.07,3.22,12.23,31.84,9.26,0.88,34.72,38.43,48.88,1.53,0.3,0.76,2.63,66.26,1.38,201.88,25-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-May-2019 - 00:00,19.79,3.03,9.32,27.74,9.7,0.79,42.04,44.17,57.34,1.27,0.29,0.62,2.22,46.36,1.46,290.05,26-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-May-2019 - 00:00,23.34,3.06,11.2,26.98,12.79,0.82,35.43,46.83,58.24,1.36,0.39,0.65,2.24,35.23,1.26,230.98,27-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-May-2019 - 00:00,24.96,3.15,12.12,27.57,13.3,0.87,30.52,61.91,70.27,1.6,0.39,0.63,2.31,26.22,1.35,293.69,28-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-May-2019 - 00:00,26.15,3.2,12.79,32.59,13.55,0.85,24.48,61.23,70.16,1.49,0.43,0.62,2.4,21.26,1.25,281.21,29-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-May-2019 - 00:00,25.84,3.94,13.21,27.18,15.09,1.0,15.81,74.61,88.27,1.94,0.58,0.75,3.01,24.04,0.85,252.02,30-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-May-2019 - 00:00,31.49,3.99,16.2,27.29,14.3,1.01,18.73,91.6,113.57,2.38,0.67,1.12,4.39,20.96,1.07,240.32,31-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
31-May-2019 - 00:00,23.44,3.25,11.42,25.0,11.1,0.77,15.01,130.05,182.36,1.17,0.42,0.62,2.46,19.41,1.54,267.89,01-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Jun-2019 - 00:00,28.21,3.29,13.9,25.57,12.82,1.04,16.9,92.52,127.71,2.32,0.58,0.85,3.44,17.82,1.4,239.13,02-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Jun-2019 - 00:00,24.56,2.93,11.73,24.92,16.97,1.09,44.81,99.1,134.68,3.07,0.62,0.85,2.67,36.37,1.23,137.64,03-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Jun-2019 - 00:00,21.28,2.97,10.05,22.08,14.78,1.13,57.77,102.19,163.11,2.85,0.48,0.71,2.26,44.57,2.43,109.51,04-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Jun-2019 - 00:00,20.11,2.91,9.39,15.27,14.89,0.98,40.57,73.14,122.28,2.08,0.45,0.64,2.04,38.96,1.67,98.57,05-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Jun-2019 - 00:00,26.14,3.22,12.79,16.94,19.95,1.16,49.06,105.02,146.04,3.25,0.57,1.03,3.17,34.93,1.07,154.37,06-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Jun-2019 - 00:00,21.46,2.99,10.16,16.56,12.69,0.85,39.44,83.25,123.75,1.61,0.48,0.63,2.38,26.23,1.47,221.39,07-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Jun-2019 - 00:00,22.77,2.92,10.78,16.45,14.98,0.92,40.56,71.18,100.0,1.97,0.51,0.67,2.21,32.47,1.22,155.53,08-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Jun-2019 - 00:00,24.04,3.03,11.54,16.49,16.08,0.99,44.66,82.48,110.06,2.52,0.54,0.8,2.42,29.61,1.25,221.59,09-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Jun-2019 - 00:00,27.77,3.0,13.47,17.11,14.03,0.92,38.23,87.93,125.15,2.1,0.6,0.8,2.86,19.88,0.96,257.99,10-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Jun-2019 - 00:00,33.64,4.15,17.46,19.34,11.84,0.96,34.93,87.28,123.81,2.11,0.58,0.86,3.5,18.54,1.08,249.51,11-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Jun-2019 - 00:00,25.23,3.4,12.45,19.66,9.26,0.81,27.75,102.29,274.63,1.49,0.36,0.71,3.34,19.61,1.69,228.69,12-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Jun-2019 - 00:00,20.68,2.92,9.66,20.57,17.19,0.97,39.81,89.23,172.0,1.7,0.32,0.51,1.95,30.86,2.28,101.27,13-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Jun-2019 - 00:00,21.23,3.07,10.1,16.71,11.48,0.81,36.61,72.84,116.71,1.43,0.33,0.56,2.33,27.99,1.49,197.3,14-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Jun-2019 - 00:00,18.88,3.04,8.85,15.64,11.6,0.75,38.61,70.91,129.01,1.02,0.26,0.42,1.86,24.28,1.74,280.43,15-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Jun-2019 - 00:00,20.23,2.93,9.47,18.57,14.16,0.76,32.66,85.95,148.58,1.37,0.29,0.44,1.8,17.32,1.93,262.23,16-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Jun-2019 - 00:00,19.19,3.0,8.98,18.22,8.24,0.79,37.85,54.58,90.4,0.79,0.17,0.35,1.49,50.85,2.06,239.66,17-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Jun-2019 - 00:00,20.83,3.02,9.85,18.6,8.28,0.82,38.32,40.19,52.59,0.93,0.09,0.46,2.16,65.45,2.05,223.43,18-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Jun-2019 - 00:00,18.0,3.04,8.39,15.97,8.76,0.77,45.82,43.85,59.69,0.85,0.1,0.35,1.62,67.29,1.68,147.54,19-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Jun-2019 - 00:00,21.56,3.42,10.55,23.76,10.06,0.86,45.56,78.9,107.42,1.62,0.28,0.47,2.03,58.53,0.87,159.74,20-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Jun-2019 - 00:00,17.73,3.14,8.33,15.11,11.3,0.79,70.18,59.7,86.74,1.35,0.28,0.42,1.38,49.74,1.34,154.82,21-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Jun-2019 - 00:00,18.01,2.99,8.36,13.81,11.4,0.86,65.29,66.22,91.43,1.46,0.34,0.42,1.49,46.67,1.35,232.96,22-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Jun-2019 - 00:00,19.75,3.07,9.33,12.45,11.42,0.85,60.48,63.27,78.49,1.55,0.45,0.47,1.71,37.57,0.92,255.88,23-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Jun-2019 - 00:00,17.38,3.04,8.07,9.88,12.79,0.92,62.85,67.31,88.09,1.85,0.5,0.51,1.57,44.13,1.42,102.65,24-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Jun-2019 - 00:00,16.06,3.05,7.39,7.74,9.07,0.87,65.63,41.27,65.44,1.38,0.39,0.43,1.47,68.9,1.5,133.81,25-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Jun-2019 - 00:00,16.65,3.04,7.64,7.06,7.26,0.92,71.81,49.93,60.83,1.29,0.34,0.41,1.43,55.35,0.74,202.18,26-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Jun-2019 - 00:00,15.59,2.98,7.08,6.49,7.06,0.87,83.02,55.17,67.41,1.09,0.39,0.38,1.41,30.65,1.22,275.87,27-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Jun-2019 - 00:00,19.37,3.35,9.36,5.75,8.42,0.9,80.19,118.55,187.58,1.14,0.24,0.42,1.83,16.4,1.24,241.81,28-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Jun-2019 - 00:00,18.33,3.11,8.62,7.93,13.05,0.79,74.57,100.14,158.23,1.06,0.22,0.41,1.86,28.67,2.18,241.23,29-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Jun-2019 - 00:00,16.35,2.9,7.42,9.85,9.69,0.81,64.09,106.69,175.97,0.94,0.3,0.37,1.4,40.66,1.74,252.94,30-Jun-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-Jun-2019 - 00:00,17.47,2.94,8.03,10.19,9.56,0.81,65.23,95.57,155.24,1.1,0.35,0.41,1.55,40.23,1.73,250.68,01-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Jul-2019 - 00:00,16.78,2.95,7.62,9.34,13.58,0.71,65.67,78.32,136.76,1.0,0.26,0.31,1.04,41.97,1.77,260.59,02-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Jul-2019 - 00:00,17.74,2.95,8.18,10.01,9.18,0.83,84.16,98.18,175.42,1.18,0.32,0.52,1.38,43.53,1.45,255.48,03-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Jul-2019 - 00:00,17.39,2.85,7.92,9.73,9.85,0.88,68.66,56.05,77.83,1.41,0.39,0.47,1.47,48.54,1.67,119.53,04-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Jul-2019 - 00:00,16.45,2.77,7.36,9.34,8.56,0.83,51.02,35.69,52.0,1.39,0.31,0.44,1.5,58.62,1.72,137.05,05-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Jul-2019 - 00:00,18.72,2.94,8.69,8.91,7.98,0.93,53.81,47.14,60.62,1.65,0.27,0.77,1.84,70.84,1.67,119.4,06-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Jul-2019 - 00:00,19.47,2.97,9.1,8.36,7.68,0.91,56.73,43.47,55.59,1.58,0.31,0.68,1.9,72.56,1.19,128.54,07-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Jul-2019 - 00:00,17.51,2.98,8.09,8.63,7.27,0.85,59.35,47.25,60.26,1.32,0.35,0.5,1.61,69.75,1.08,198.49,08-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Jul-2019 - 00:00,18.36,3.19,8.7,8.64,7.3,0.79,54.19,58.51,84.77,1.02,0.33,0.45,1.76,65.6,1.53,221.74,09-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Jul-2019 - 00:00,17.26,3.03,8.0,8.73,6.99,0.8,56.9,55.27,66.46,0.99,0.2,0.45,1.84,78.02,1.73,181.52,10-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Jul-2019 - 00:00,19.71,3.25,9.45,7.88,8.84,0.85,53.08,109.34,183.06,1.3,0.27,0.82,2.49,61.17,1.56,184.25,11-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Jul-2019 - 00:00,18.66,3.05,8.75,8.1,6.55,0.76,55.23,133.04,252.21,1.0,0.26,0.49,2.19,49.26,1.99,220.79,12-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Jul-2019 - 00:00,18.17,3.38,8.75,8.24,10.24,0.72,56.58,142.45,265.5,0.9,0.24,0.45,1.94,46.78,2.12,243.46,13-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Jul-2019 - 00:00,17.39,3.54,8.45,8.0,9.7,0.7,63.64,101.0,196.86,0.84,0.23,0.4,1.63,46.66,2.22,210.94,14-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Jul-2019 - 00:00,17.14,3.17,8.05,8.37,9.11,0.7,60.95,123.62,230.84,0.9,0.25,0.41,1.56,48.2,2.05,200.11,15-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Jul-2019 - 00:00,20.26,3.41,9.86,7.97,8.94,0.83,51.0,93.8,142.98,1.31,0.2,0.53,2.08,77.11,1.57,125.87,16-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Jul-2019 - 00:00,22.63,2.99,10.77,8.21,8.58,0.83,63.6,45.79,52.2,1.53,0.2,0.81,2.47,81.03,1.6,95.94,17-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Jul-2019 - 00:00,15.87,2.76,7.68,7.05,7.7,0.76,71.83,31.47,40.66,0.93,0.14,0.43,1.69,81.71,1.04,160.93,18-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Jul-2019 - 00:00,11.75,1.97,6.4,6.43,5.29,0.74,61.1,41.82,52.69,0.84,0.2,0.36,1.23,92.71,1.86,111.47,19-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Jul-2019 - 00:00,28.02,2.56,15.22,7.42,11.67,0.75,102.87,50.92,116.72,1.23,0.26,0.47,2.37,68.06,0.51,165.12,20-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Jul-2019 - 00:00,21.07,1.92,11.23,7.88,11.02,0.51,100.85,57.89,91.16,1.36,0.45,0.53,2.37,79.46,1.03,122.43,21-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Jul-2019 - 00:00,18.32,1.91,9.78,6.86,10.92,0.49,94.63,45.57,72.72,1.31,0.42,0.92,2.0,75.34,1.42,113.35,22-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Jul-2019 - 00:00,43.51,9.87,27.74,16.29,11.71,0.62,93.49,66.36,84.14,1.17,0.22,0.45,1.36,70.73,1.19,101.89,23-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Jul-2019 - 00:00,129.23,36.41,93.67,52.85,10.54,0.5,65.78,54.29,73.7,1.08,0.51,0.49,1.67,65.46,0.93,173.02,24-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Jul-2019 - 00:00,69.93,8.91,42.27,28.1,11.97,0.43,71.62,70.81,86.79,0.9,0.32,0.3,1.46,61.96,1.45,172.66,25-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Jul-2019 - 00:00,66.17,19.05,48.47,31.03,8.78,0.3,102.95,21.04,64.36,0.86,0.1,0.34,2.28,87.52,1.18,189.87,26-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Jul-2019 - 00:00,65.69,20.2,49.2,32.93,10.78,0.45,106.59,35.11,58.64,0.87,0.16,0.62,1.98,75.94,1.08,146.29,27-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Jul-2019 - 00:00,70.74,7.29,41.48,26.64,10.93,0.49,105.51,28.68,69.14,0.92,0.26,0.42,1.65,61.62,1.22,94.6,28-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Jul-2019 - 00:00,70.81,4.87,39.57,25.03,10.47,0.48,106.79,30.99,70.44,1.1,0.3,0.5,1.81,58.59,1.47,89.16,29-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Jul-2019 - 00:00,51.19,3.91,28.56,18.32,10.63,0.49,95.95,38.23,64.89,0.98,0.21,0.59,1.8,44.31,1.5,82.05,30-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-Jul-2019 - 00:00,58.93,3.52,32.29,20.27,10.64,0.52,81.89,42.12,74.86,1.18,0.35,0.58,1.86,31.32,1.12,72.19,31-Jul-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
31-Jul-2019 - 00:00,57.79,2.91,31.2,20.73,10.25,0.48,84.03,37.72,68.97,1.01,0.38,0.49,1.49,50.65,1.45,93.25,01-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Aug-2019 - 00:00,60.18,3.04,32.54,20.1,10.36,0.45,81.71,40.83,67.52,0.91,0.37,0.48,1.48,58.63,1.66,106.29,02-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Aug-2019 - 00:00,42.18,2.73,23.82,16.13,10.09,0.4,77.86,34.56,61.36,0.67,0.22,0.27,0.99,83.29,1.12,182.03,03-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Aug-2019 - 00:00,60.27,3.6,33.01,23.74,8.71,0.43,83.69,30.1,63.15,0.74,0.17,0.2,0.77,82.8,0.97,80.14,04-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Aug-2019 - 00:00,62.93,2.88,33.86,22.26,6.87,0.53,76.3,35.48,46.53,1.23,0.41,0.46,1.16,78.21,0.76,98.11,05-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Aug-2019 - 00:00,61.28,2.56,32.75,20.03,4.77,0.63,13.21,45.77,64.99,1.27,0.46,0.29,1.66,85.67,0.81,144.88,06-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Aug-2019 - 00:00,35.65,2.86,19.59,15.01,5.94,0.43,38.59,36.22,42.85,0.75,0.27,0.42,1.79,85.7,1.26,148.37,07-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Aug-2019 - 00:00,19.25,3.31,11.38,7.71,5.1,0.5,34.84,34.25,42.79,1.08,0.4,0.79,1.8,83.67,0.9,90.08,08-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Aug-2019 - 00:00,19.35,3.96,11.96,9.3,5.74,0.38,13.33,35.6,45.88,0.63,0.24,0.14,0.6,52.79,0.94,98.58,09-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Aug-2019 - 00:00,21.58,4.69,13.57,11.31,7.95,0.3,50.62,23.57,46.97,0.85,0.43,0.25,1.22,36.74,1.82,76.18,10-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Aug-2019 - 00:00,24.33,5.75,16.0,11.63,8.07,0.37,49.23,23.3,34.29,0.81,0.3,0.31,1.5,77.31,2.32,97.05,11-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Aug-2019 - 00:00,28.01,8.16,19.86,12.99,11.52,0.58,45.94,34.03,47.75,1.11,0.39,0.4,1.54,77.36,1.25,129.8,12-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Aug-2019 - 00:00,23.38,9.06,18.16,14.11,11.79,0.3,36.69,18.04,31.52,0.78,0.35,0.27,1.33,71.21,1.69,238.61,13-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Aug-2019 - 00:00,25.54,10.3,20.29,14.31,10.72,0.29,32.72,29.83,45.93,0.81,0.31,0.28,1.45,73.67,1.75,260.57,14-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Aug-2019 - 00:00,26.05,10.51,20.71,11.89,11.08,0.42,31.55,25.3,39.85,0.91,0.27,0.32,1.95,83.21,0.81,180.66,15-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Aug-2019 - 00:00,23.68,8.23,17.66,12.25,6.01,0.39,29.0,30.28,43.98,0.97,0.28,0.34,1.91,85.0,0.76,132.82,16-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Aug-2019 - 00:00,21.29,5.79,14.41,11.54,7.73,0.43,6.14,22.56,30.89,0.8,0.28,0.26,1.26,80.42,1.36,63.96,17-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Aug-2019 - 00:00,23.26,9.99,18.82,11.26,6.6,0.34,5.31,15.06,15.75,0.79,0.22,0.31,1.6,97.13,1.17,102.67,18-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Aug-2019 - 00:00,22.45,9.1,17.7,12.52,7.53,0.33,25.74,14.9,24.16,0.74,0.2,0.3,1.56,86.72,1.33,257.33,19-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Aug-2019 - 00:00,17.85,6.61,13.29,8.7,7.9,0.4,52.08,38.65,60.47,0.74,0.18,0.27,1.42,76.03,0.95,254.37,20-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Aug-2019 - 00:00,12.76,3.43,8.09,6.52,5.85,0.41,33.95,50.93,69.14,0.46,0.36,0.2,0.85,76.37,1.21,275.79,21-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Aug-2019 - 00:00,13.62,3.78,8.82,6.07,7.28,0.37,6.4,47.32,82.84,0.58,0.99,0.25,1.13,67.82,1.34,257.82,22-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Aug-2019 - 00:00,13.16,3.4,8.27,6.47,11.08,0.37,6.25,41.07,77.27,0.56,1.03,0.25,1.11,66.05,1.36,245.18,23-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Aug-2019 - 00:00,12.98,3.29,8.09,6.56,11.57,0.3,7.44,45.46,76.53,0.55,1.01,0.23,0.92,64.7,1.28,245.53,24-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Aug-2019 - 00:00,14.62,3.23,8.9,7.25,10.73,0.36,5.38,45.94,75.69,0.51,0.97,0.06,0.22,64.45,1.03,165.84,25-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Aug-2019 - 00:00,16.59,3.29,9.98,7.36,8.55,0.46,5.22,46.71,63.23,,0.01,0.0,0.0,80.07,1.42,100.9,26-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Aug-2019 - 00:00,15.11,3.7,9.54,6.91,7.2,0.49,8.58,42.63,46.8,2.98,31.75,1.92,1.86,79.68,1.05,76.09,27-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Aug-2019 - 00:00,16.79,3.92,10.59,7.31,6.52,0.56,12.65,45.85,54.58,1.13,16.93,0.52,1.75,74.31,0.7,96.65,28-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Aug-2019 - 00:00,16.16,3.17,9.66,7.4,6.66,0.58,12.73,43.55,57.08,0.97,1.43,0.53,1.63,71.0,0.89,74.97,29-Aug-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
