from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
11-Apr-2019 - 00:00,17.05,26.79,14.3,15.56,1.17,14.49,172.43,69.17,19.37,12-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
12-Apr-2019 - 00:00,14.0,21.9,22.71,15.03,1.0,11.69,194.76,68.74,18.42,13-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
13-Apr-2019 - 00:00,16.81,26.52,3.8,12.65,0.91,13.36,141.59,49.58,18.84,14-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
14-Apr-2019 - 00:00,,,0.0,12.94,0.8,,138.61,47.3,20.86,15-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
15-Apr-2019 - 00:00,31.83,24.93,23.21,11.96,1.27,18.67,140.76,52.11,15.82,16-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
16-Apr-2019 - 00:00,18.15,21.4,25.92,12.36,1.02,13.49,154.33,73.8,7.79,17-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
17-Apr-2019 - 00:00,15.27,20.1,22.22,12.35,0.86,12.26,56.99,31.04,6.27,18-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
18-Apr-2019 - 00:00,11.72,21.28,20.43,15.12,0.96,10.95,76.47,46.82,12.63,19-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
19-Apr-2019 - 00:00,19.72,24.14,28.57,13.65,1.16,14.25,109.85,64.06,18.81,20-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
20-Apr-2019 - 00:00,16.15,29.64,14.38,15.71,1.5,14.09,137.8,88.94,20.02,21-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
21-Apr-2019 - 00:00,,,0.0,14.51,1.99,,158.66,104.5,22.19,22-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
22-Apr-2019 - 00:00,,,0.0,16.57,2.41,,202.18,138.06,31.2,23-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
23-Apr-2019 - 00:00,25.29,32.19,20.18,16.02,2.61,18.78,171.97,111.83,18.82,24-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
24-Apr-2019 - 00:00,17.05,31.88,10.29,15.69,1.68,15.37,177.88,101.58,14.55,25-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
25-Apr-2019 - 00:00,21.04,31.21,11.52,19.77,1.48,16.94,215.56,96.82,16.16,26-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
26-Apr-2019 - 00:00,32.0,26.74,16.85,17.29,1.41,21.14,168.88,86.8,23.16,27-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
27-Apr-2019 - 00:00,20.8,15.2,22.83,3.7,1.58,26.9,168.0,72.0,6.81,28-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
28-Apr-2019 - 00:00,,,,,,,,,,29-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
29-Apr-2019 - 00:00,57.4,72.83,83.86,16.4,2.21,47.74,207.46,90.33,14.5,30-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
30-Apr-2019 - 00:00,87.07,92.15,22.46,11.69,2.12,62.44,255.07,109.36,29.56,01-May-2019 - 00:00,"ITO, Delhi - CPCB"
01-May-2019 - 00:00,63.63,100.92,47.75,19.37,2.34,59.43,296.68,130.71,37.77,02-May-2019 - 00:00,"ITO, Delhi - CPCB"
02-May-2019 - 00:00,26.35,80.96,41.41,18.15,1.72,42.67,221.89,79.73,21.68,03-May-2019 - 00:00,"ITO, Delhi - CPCB"
03-May-2019 - 00:00,27.19,79.67,64.25,16.5,1.78,42.74,134.46,58.18,20.68,04-May-2019 - 00:00,"ITO, Delhi - CPCB"
04-May-2019 - 00:00,27.16,81.9,65.45,15.06,1.79,42.14,169.07,76.05,14.99,05-May-2019 - 00:00,"ITO, Delhi - CPCB"
05-May-2019 - 00:00,20.1,90.21,13.38,14.58,2.24,38.83,183.45,96.98,20.35,06-May-2019 - 00:00,"ITO, Delhi - CPCB"
06-May-2019 - 00:00,73.13,94.41,63.05,14.18,2.8,59.11,209.5,107.66,19.78,07-May-2019 - 00:00,"ITO, Delhi - CPCB"
07-May-2019 - 00:00,106.48,111.95,134.97,9.86,2.95,82.07,286.53,107.68,17.85,08-May-2019 - 00:00,"ITO, Delhi - CPCB"
08-May-2019 - 00:00,114.32,137.32,79.49,11.4,2.96,88.07,312.0,110.08,18.29,09-May-2019 - 00:00,"ITO, Delhi - CPCB"
09-May-2019 - 00:00,25.3,107.64,37.03,9.84,2.24,45.69,319.19,112.89,21.15,10-May-2019 - 00:00,"ITO, Delhi - CPCB"
10-May-2019 - 00:00,17.69,86.96,60.25,13.71,1.88,37.06,268.99,76.03,13.01,11-May-2019 - 00:00,"ITO, Delhi - CPCB"
11-May-2019 - 00:00,19.85,98.62,68.11,17.9,2.12,45.11,257.11,103.48,20.27,12-May-2019 - 00:00,"ITO, Delhi - CPCB"
12-May-2019 - 00:00,27.35,106.96,78.91,16.38,2.42,52.51,398.06,143.6,14.55,13-May-2019 - 00:00,"ITO, Delhi - CPCB"
13-May-2019 - 00:00,37.72,116.51,92.39,19.33,2.83,55.96,328.49,186.24,32.45,14-May-2019 - 00:00,"ITO, Delhi - CPCB"
14-May-2019 - 00:00,27.86,89.51,70.06,16.89,2.36,49.3,124.85,60.53,9.35,15-May-2019 - 00:00,"ITO, Delhi - CPCB"
15-May-2019 - 00:00,64.65,87.75,99.17,8.59,3.21,60.64,203.42,97.52,15.24,16-May-2019 - 00:00,"ITO, Delhi - CPCB"
16-May-2019 - 00:00,42.52,71.93,72.73,13.44,2.72,48.24,209.28,74.51,10.04,17-May-2019 - 00:00,"ITO, Delhi - CPCB"
17-May-2019 - 00:00,40.77,77.82,74.44,13.07,2.56,48.42,317.61,68.38,7.42,18-May-2019 - 00:00,"ITO, Delhi - CPCB"
18-May-2019 - 00:00,14.15,60.04,42.98,15.87,2.02,34.37,91.79,42.94,5.13,19-May-2019 - 00:00,"ITO, Delhi - CPCB"
19-May-2019 - 00:00,22.89,82.85,62.52,18.9,2.33,44.14,143.76,81.52,11.31,20-May-2019 - 00:00,"ITO, Delhi - CPCB"
20-May-2019 - 00:00,39.2,95.51,82.45,16.37,2.58,52.54,186.9,92.45,15.04,21-May-2019 - 00:00,"ITO, Delhi - CPCB"
21-May-2019 - 00:00,23.91,86.03,65.05,16.15,2.26,45.31,157.58,80.83,16.59,22-May-2019 - 00:00,"ITO, Delhi - CPCB"
22-May-2019 - 00:00,40.78,78.22,74.67,9.49,2.63,48.85,148.09,62.8,10.6,23-May-2019 - 00:00,"ITO, Delhi - CPCB"
23-May-2019 - 00:00,27.37,89.8,54.27,16.73,2.79,41.86,172.91,90.56,17.05,24-May-2019 - 00:00,"ITO, Delhi - CPCB"
24-May-2019 - 00:00,8.73,76.24,36.32,14.57,2.36,31.91,107.6,44.88,4.69,25-May-2019 - 00:00,"ITO, Delhi - CPCB"
25-May-2019 - 00:00,34.87,69.64,46.44,20.94,2.11,44.29,94.2,41.7,7.64,26-May-2019 - 00:00,"ITO, Delhi - CPCB"
26-May-2019 - 00:00,3.89,76.25,27.07,20.52,2.34,30.85,114.78,57.46,16.17,27-May-2019 - 00:00,"ITO, Delhi - CPCB"
27-May-2019 - 00:00,135.9,92.44,137.33,17.03,2.89,72.93,150.25,68.21,16.98,28-May-2019 - 00:00,"ITO, Delhi - CPCB"
28-May-2019 - 00:00,113.9,113.75,141.92,17.02,2.78,135.05,146.19,66.71,20.25,29-May-2019 - 00:00,"ITO, Delhi - CPCB"
29-May-2019 - 00:00,31.16,126.53,166.58,17.27,3.09,87.14,157.79,73.38,23.21,30-May-2019 - 00:00,"ITO, Delhi - CPCB"
30-May-2019 - 00:00,201.16,114.55,200.79,15.55,3.56,89.11,181.14,78.26,18.43,31-May-2019 - 00:00,"ITO, Delhi - CPCB"
31-May-2019 - 00:00,14.89,129.24,40.34,17.9,3.54,169.21,286.1,82.77,19.47,01-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
01-Jun-2019 - 00:00,98.11,87.99,120.31,41.53,3.63,71.34,241.79,99.86,14.62,02-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
02-Jun-2019 - 00:00,123.63,88.4,135.27,35.23,2.95,71.37,187.66,80.74,5.18,03-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
03-Jun-2019 - 00:00,208.03,98.72,238.28,27.04,2.97,110.76,235.45,62.93,6.54,04-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
04-Jun-2019 - 00:00,237.32,105.08,215.7,27.81,3.14,108.19,145.36,61.57,10.02,05-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
05-Jun-2019 - 00:00,126.81,79.49,130.87,28.0,3.21,80.17,179.66,79.42,9.21,06-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
06-Jun-2019 - 00:00,163.35,118.64,187.33,32.03,2.97,123.0,177.65,76.68,15.74,07-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
07-Jun-2019 - 00:00,214.36,103.49,224.86,35.21,3.02,117.0,132.77,64.33,14.7,08-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
08-Jun-2019 - 00:00,66.28,96.02,156.53,55.49,3.73,168.14,167.46,86.44,8.55,09-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
09-Jun-2019 - 00:00,104.61,88.14,88.81,56.19,4.45,69.34,204.36,113.91,21.42,10-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
10-Jun-2019 - 00:00,127.81,92.7,133.96,54.34,4.01,113.29,172.75,82.02,14.13,11-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
11-Jun-2019 - 00:00,145.07,100.3,177.23,27.73,3.37,138.51,431.33,118.89,10.34,12-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
12-Jun-2019 - 00:00,194.61,103.43,192.58,36.29,2.93,141.41,194.19,62.03,10.3,13-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
13-Jun-2019 - 00:00,36.35,68.2,53.02,41.36,2.68,66.86,147.99,54.94,9.65,14-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
14-Jun-2019 - 00:00,24.76,35.61,35.3,57.41,2.64,25.33,149.66,50.91,9.67,15-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
15-Jun-2019 - 00:00,37.84,23.5,39.92,55.64,2.73,25.07,212.65,70.01,15.24,16-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
16-Jun-2019 - 00:00,36.26,7.9,25.98,41.85,2.17,14.16,113.51,32.44,5.54,17-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
17-Jun-2019 - 00:00,36.86,8.65,27.41,39.03,2.24,14.83,104.6,32.92,7.54,18-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
18-Jun-2019 - 00:00,40.72,9.63,32.78,39.04,2.47,17.93,69.35,27.64,3.65,19-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
19-Jun-2019 - 00:00,45.7,10.34,37.92,40.27,2.67,21.41,211.46,96.88,7.23,20-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
20-Jun-2019 - 00:00,41.49,12.06,34.19,57.83,2.49,19.42,118.26,44.62,5.77,21-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
21-Jun-2019 - 00:00,35.48,22.25,38.69,39.6,2.77,22.15,165.31,74.91,9.09,22-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
22-Jun-2019 - 00:00,12.61,30.29,24.97,68.65,2.5,23.6,136.45,64.12,13.27,23-Jun-2019 - 00:00,"ITO, Delhi - CPCB"
