from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
04-Feb-2019 - 00:00,81.44,17.69,57.71,31.44,4.84,1.83,26.37,151.27,253.75,1.13,6.25,13.59,1.02,70.71,63.14,742.16,0.0,71.44,05-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Feb-2019 - 00:00,96.4,31.25,76.66,39.94,10.46,2.04,27.74,210.72,355.44,1.42,11.09,16.5,1.11,112.17,61.24,742.0,0.0,60.08,06-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Feb-2019 - 00:00,37.12,7.17,25.57,81.18,10.23,1.23,25.41,187.92,246.83,1.08,5.58,18.6,2.66,120.56,64.79,741.4,0.01,64.95,07-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Feb-2019 - 00:00,21.46,3.65,14.38,53.36,4.56,0.85,32.31,65.42,91.56,0.38,2.56,17.09,5.48,124.75,66.82,741.06,0.03,19.99,08-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Feb-2019 - 00:00,57.09,8.92,37.63,28.2,10.42,0.89,34.71,71.43,163.73,0.52,6.87,14.92,2.6,48.78,56.06,742.0,0.0,74.21,09-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Feb-2019 - 00:00,54.43,5.96,33.79,24.26,10.74,0.75,44.62,70.28,147.88,0.52,4.27,14.6,3.09,47.0,52.78,742.0,0.0,85.1,10-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Feb-2019 - 00:00,82.3,30.67,68.72,26.42,10.5,1.25,35.82,126.62,230.96,0.97,5.65,14.58,1.67,40.29,55.22,742.06,0.0,70.33,11-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Feb-2019 - 00:00,109.26,37.77,88.82,28.81,14.58,1.58,51.2,171.6,317.58,1.12,10.47,14.85,1.04,79.95,58.39,742.17,0.0,68.56,12-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Feb-2019 - 00:00,143.86,77.91,139.87,34.85,19.69,2.08,2.07,212.47,383.08,1.33,20.64,16.94,0.96,90.54,57.52,742.18,0.0,62.14,13-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Feb-2019 - 00:00,47.78,4.6,29.15,32.02,21.46,1.69,,247.3,379.71,1.36,10.51,18.2,1.22,125.88,58.12,742.16,0.0,62.83,14-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
