from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
10-Apr-2019 - 00:00,84.26,47.92,55.54,2.56,283.06,31.71,84.88,25.93,11-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Apr-2019 - 00:00,85.57,48.22,55.58,2.52,292.55,32.2,84.88,25.99,12-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Apr-2019 - 00:00,107.67,47.55,54.83,2.33,209.0,32.37,83.34,26.78,13-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Apr-2019 - 00:00,389.15,46.69,54.87,2.33,153.6,34.44,75.6,28.28,14-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Apr-2019 - 00:00,673.01,45.76,55.85,2.52,280.5,34.18,70.88,28.26,15-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Apr-2019 - 00:00,341.25,44.6,54.75,2.41,250.88,33.32,70.88,28.13,16-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Apr-2019 - 00:00,74.74,43.73,53.71,2.36,268.1,33.01,70.88,28.05,17-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Apr-2019 - 00:00,51.02,43.26,53.65,2.29,159.18,32.23,70.88,27.96,18-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Apr-2019 - 00:00,81.62,44.24,53.78,2.18,,33.87,70.88,28.16,19-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Apr-2019 - 00:00,101.85,44.07,53.76,2.3,175.35,33.57,70.88,28.12,20-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Apr-2019 - 00:00,91.71,43.31,53.66,2.29,268.0,32.31,70.88,27.97,21-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Apr-2019 - 00:00,71.92,42.99,53.61,2.41,270.16,31.77,70.88,27.9,22-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
