from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
15-Feb-2019 - 00:00,,129.89,70.74,55.74,25.69,51.4,46.47,22.41,16.24,1.22,0.63,0.0,193.23,126.56,18.49,11.66,5.47,,,3.14,16-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
16-Feb-2019 - 00:00,,159.86,73.34,39.94,15.89,40.79,34.4,25.38,16.1,0.95,0.64,0.0,180.38,120.24,18.16,11.15,3.78,,,2.41,17-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
17-Feb-2019 - 00:00,,154.66,65.49,83.55,18.59,46.36,39.53,37.5,15.96,1.05,0.69,0.0,190.31,109.45,18.3,11.58,4.12,,,2.6,18-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
18-Feb-2019 - 00:00,,86.46,52.01,67.68,25.44,67.1,56.05,27.43,18.6,1.48,0.75,0.0,213.75,112.26,18.83,11.99,6.03,,,4.45,19-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
19-Feb-2019 - 00:00,,115.05,66.85,67.73,36.83,54.22,56.95,27.89,16.81,1.6,0.49,0.0,243.85,139.93,20.57,13.65,6.88,,,4.58,20-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
20-Feb-2019 - 00:00,,86.32,69.55,26.6,21.98,45.42,36.46,20.26,16.67,1.48,0.61,0.0,176.44,105.28,25.93,19.54,7.19,,,4.91,21-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
21-Feb-2019 - 00:00,,87.34,55.63,84.6,33.14,45.75,38.14,31.39,19.57,1.52,0.78,0.0,192.75,84.52,38.27,23.53,6.45,,,5.47,22-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
22-Feb-2019 - 00:00,,165.78,59.98,75.05,12.52,29.99,20.52,33.74,17.68,1.02,0.89,0.0,142.55,78.08,25.69,7.89,4.66,,,5.1,23-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
23-Feb-2019 - 00:00,,163.11,52.45,100.95,8.78,32.84,18.92,49.01,15.45,0.53,0.96,0.0,135.42,73.76,24.78,6.73,2.44,,,1.97,24-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
24-Feb-2019 - 00:00,,141.79,51.2,96.78,10.34,40.15,21.96,44.4,16.16,0.78,0.74,0.0,183.91,113.0,27.04,11.55,3.55,,,2.45,25-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
25-Feb-2019 - 00:00,,76.99,54.77,78.24,13.37,59.22,28.95,54.27,15.92,1.0,0.8,0.0,186.27,104.76,34.73,13.48,4.94,,,3.42,26-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
26-Feb-2019 - 00:00,,75.7,60.04,54.2,12.58,79.83,34.44,36.71,14.33,0.72,0.68,0.0,122.99,61.0,29.02,10.59,3.62,,,2.98,27-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
27-Feb-2019 - 00:00,,117.4,62.77,75.34,8.24,51.95,23.88,41.93,13.99,0.34,0.46,0.0,85.58,42.84,24.7,4.66,1.67,,,1.38,28-Feb-2019 - 00:00,"DTU, Delhi - CPCB"
28-Feb-2019 - 00:00,,148.97,59.67,95.47,15.97,71.04,34.05,37.12,14.03,0.93,0.76,0.0,192.8,110.47,26.66,14.37,4.36,,,3.31,01-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
01-Mar-2019 - 00:00,,142.01,52.89,103.47,13.46,65.54,31.03,36.17,15.44,0.71,0.59,0.0,186.36,99.1,23.1,12.74,3.49,,,2.05,02-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
02-Mar-2019 - 00:00,,97.33,71.48,21.71,19.15,75.36,37.21,17.55,13.97,1.47,0.54,0.0,204.98,131.78,21.89,20.2,6.57,,,4.85,03-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
03-Mar-2019 - 00:00,,82.18,71.06,73.31,12.24,45.77,23.66,35.9,14.29,0.89,0.65,0.0,113.5,71.65,20.29,10.71,3.98,,,2.05,04-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
04-Mar-2019 - 00:00,,161.48,70.77,88.39,19.65,38.21,27.59,34.11,13.55,1.23,0.68,0.0,171.08,106.14,21.34,11.54,4.78,,,3.34,05-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
05-Mar-2019 - 00:00,,156.51,65.4,100.86,10.02,36.18,20.84,31.38,12.84,0.72,0.86,0.0,155.11,88.84,18.78,8.3,2.88,,,1.81,06-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
06-Mar-2019 - 00:00,,139.83,58.3,99.04,10.01,39.2,21.67,36.29,13.2,0.72,0.79,0.0,178.65,94.67,19.17,8.31,2.84,,,2.44,07-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
07-Mar-2019 - 00:00,,135.71,56.09,104.71,16.79,49.47,28.89,41.26,14.71,1.09,0.65,0.0,213.74,113.0,21.5,6.19,4.36,,,3.86,08-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
08-Mar-2019 - 00:00,,118.36,56.43,90.03,12.3,47.4,25.43,50.2,15.74,0.97,0.53,0.0,192.93,89.53,20.3,6.97,3.97,,,3.71,09-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
09-Mar-2019 - 00:00,,153.34,53.67,102.19,10.06,37.08,21.12,38.11,16.04,0.73,0.68,0.0,170.45,82.5,18.61,5.06,3.12,,,2.85,10-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
10-Mar-2019 - 00:00,,138.53,49.63,107.86,8.62,38.46,20.59,46.09,15.84,0.66,0.67,0.0,174.9,89.31,18.43,5.83,2.81,,,1.5,11-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
11-Mar-2019 - 00:00,,108.52,47.52,81.27,8.97,53.63,25.03,48.3,18.81,1.04,1.0,0.0,217.81,87.07,20.1,6.1,4.82,,,2.95,12-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
12-Mar-2019 - 00:00,,147.44,51.34,91.22,9.1,36.15,20.14,45.56,20.2,0.6,0.42,0.0,141.09,57.41,18.16,5.0,2.7,,,1.98,13-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
13-Mar-2019 - 00:00,,91.61,55.39,48.44,18.77,53.78,30.18,35.63,18.72,0.83,0.54,0.0,228.66,83.5,21.32,7.19,3.9,,,2.93,14-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
14-Mar-2019 - 00:00,,118.45,69.13,57.59,15.82,45.7,26.57,28.68,17.26,1.17,0.63,0.0,201.9,95.47,20.07,5.42,5.13,,,3.45,15-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
15-Mar-2019 - 00:00,,154.98,61.0,106.6,12.03,36.34,22.18,35.17,18.72,0.79,0.62,0.0,170.9,91.43,18.77,5.07,3.58,,,2.86,16-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
16-Mar-2019 - 00:00,,155.56,51.34,101.82,7.91,28.73,18.97,52.91,19.66,0.57,0.78,0.0,150.3,77.3,19.5,7.19,2.27,,,0.66,17-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
17-Mar-2019 - 00:00,,156.36,49.53,105.9,11.06,28.05,23.76,46.6,20.44,0.92,0.74,0.0,206.59,113.68,25.01,13.55,4.27,,,1.29,18-Mar-2019 - 00:00,"DTU, Delhi - CPCB"
