from date,PM10,PM2.5,NOx,CO,SO2,to date,station
22-Apr-2019 - 00:00,111.12,15.35,2.45,1.47,21.21,23-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Apr-2019 - 00:00,138.23,19.1,4.91,1.6,20.88,24-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Apr-2019 - 00:00,172.12,69.6,4.94,1.39,21.09,25-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Apr-2019 - 00:00,222.1,68.84,19.53,1.37,22.93,26-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Apr-2019 - 00:00,209.71,41.23,21.87,1.67,23.51,27-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Apr-2019 - 00:00,176.15,31.14,18.79,1.35,21.54,28-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Apr-2019 - 00:00,157.62,19.47,22.58,1.43,21.51,29-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Apr-2019 - 00:00,138.87,27.49,28.73,1.55,21.97,30-Apr-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Apr-2019 - 00:00,149.11,22.77,32.42,1.59,21.61,01-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-May-2019 - 00:00,225.42,36.28,62.96,1.76,19.96,02-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-May-2019 - 00:00,149.95,29.46,76.08,1.79,18.34,03-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-May-2019 - 00:00,94.87,15.72,55.36,1.22,16.63,04-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-May-2019 - 00:00,172.85,22.91,3.88,1.53,19.13,05-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-May-2019 - 00:00,160.52,23.2,6.17,1.96,17.65,06-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-May-2019 - 00:00,97.95,19.28,5.79,1.82,18.71,07-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-May-2019 - 00:00,112.88,21.12,5.09,1.69,18.62,08-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-May-2019 - 00:00,131.68,22.63,16.8,1.91,18.16,09-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-May-2019 - 00:00,80.61,13.08,25.81,1.42,19.54,10-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-May-2019 - 00:00,66.88,12.76,30.05,1.43,23.16,11-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-May-2019 - 00:00,106.64,17.77,9.04,2.06,22.22,12-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-May-2019 - 00:00,96.18,16.03,10.96,1.64,23.48,13-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-May-2019 - 00:00,74.87,13.82,9.02,1.41,22.03,14-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-May-2019 - 00:00,48.07,9.72,9.98,1.35,23.22,15-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-May-2019 - 00:00,66.04,13.75,17.12,1.48,23.87,16-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-May-2019 - 00:00,90.71,19.47,19.34,1.63,23.46,17-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-May-2019 - 00:00,94.93,18.85,31.77,1.55,23.59,18-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-May-2019 - 00:00,94.1,16.76,24.49,1.58,23.8,19-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-May-2019 - 00:00,67.13,12.67,19.32,1.38,22.57,20-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-May-2019 - 00:00,83.01,21.35,29.05,1.68,23.42,21-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-May-2019 - 00:00,108.87,23.94,48.41,1.73,22.97,22-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-May-2019 - 00:00,130.18,82.48,107.69,1.56,23.34,23-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-May-2019 - 00:00,94.97,33.08,143.81,1.4,23.72,24-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-May-2019 - 00:00,129.03,31.2,152.56,1.51,23.24,25-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-May-2019 - 00:00,78.28,21.23,87.46,1.34,25.23,26-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-May-2019 - 00:00,75.63,21.91,83.92,1.44,25.78,27-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-May-2019 - 00:00,72.74,23.36,108.36,1.53,25.5,28-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-May-2019 - 00:00,118.3,31.54,154.95,1.72,24.15,29-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-May-2019 - 00:00,115.97,28.34,171.09,1.64,24.52,30-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-May-2019 - 00:00,240.47,32.06,173.08,1.98,25.7,31-May-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-May-2019 - 00:00,91.55,23.74,190.31,1.9,23.63,01-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Jun-2019 - 00:00,94.46,23.27,213.78,1.74,22.05,02-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jun-2019 - 00:00,84.34,17.73,176.73,1.74,22.05,03-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jun-2019 - 00:00,51.64,13.02,107.47,1.48,23.3,04-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jun-2019 - 00:00,73.34,18.6,130.79,1.62,23.54,05-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jun-2019 - 00:00,84.15,17.82,184.19,1.76,24.33,06-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jun-2019 - 00:00,151.4,4.03,207.83,1.64,24.79,07-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jun-2019 - 00:00,650.17,15.0,135.91,1.28,20.38,08-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jun-2019 - 00:00,93.95,2.63,173.86,1.2,11.4,09-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jun-2019 - 00:00,78.33,2.35,202.38,1.21,11.49,10-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Jun-2019 - 00:00,93.07,2.97,261.96,1.45,11.82,11-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Jun-2019 - 00:00,94.69,2.71,319.56,1.46,10.98,12-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Jun-2019 - 00:00,105.97,2.11,304.97,1.22,10.53,13-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Jun-2019 - 00:00,63.29,0.52,154.66,1.07,13.33,14-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Jun-2019 - 00:00,56.94,0.79,88.42,1.37,15.92,15-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Jun-2019 - 00:00,63.82,0.85,86.53,1.32,16.04,16-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Jun-2019 - 00:00,347.66,-0.1,19.93,1.07,17.75,17-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Jun-2019 - 00:00,302.95,0.01,1.48,1.22,19.52,18-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Jun-2019 - 00:00,84.45,-0.16,2.15,1.15,19.54,19-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Jun-2019 - 00:00,49.7,0.33,1.36,1.16,20.23,20-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Jun-2019 - 00:00,39.55,-0.23,1.21,1.32,20.21,21-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Jun-2019 - 00:00,47.52,0.44,1.7,1.1,19.38,22-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Jun-2019 - 00:00,26.51,-0.15,1.39,1.05,20.16,23-Jun-2019 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
