from date,PM10,PM2.5,NOx,NO2,NO,CO,CO2,Ozone,to date,station
07-Apr-2019 - 00:00,388.58,158.96,85.03,7.17,77.89,0.5,,47.75,08-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Apr-2019 - 00:00,306.99,128.37,30.29,6.62,23.67,0.39,,44.44,09-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Apr-2019 - 00:00,218.53,96.66,94.51,7.49,87.01,0.32,19.37,52.95,10-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Apr-2019 - 00:00,242.79,82.37,135.08,8.69,126.39,0.62,15.06,47.73,11-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Apr-2019 - 00:00,194.27,77.98,154.3,7.91,146.38,0.09,15.42,40.19,12-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Apr-2019 - 00:00,246.16,40.63,53.77,7.07,47.62,0.68,10.08,48.42,13-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Apr-2019 - 00:00,182.53,48.4,12.61,10.23,5.48,0.84,3.77,40.88,14-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Apr-2019 - 00:00,217.44,54.29,31.17,18.07,13.1,0.78,,40.38,15-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Apr-2019 - 00:00,198.74,48.81,30.84,18.05,12.79,0.8,,38.7,16-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Apr-2019 - 00:00,165.55,103.54,41.62,40.49,60.75,0.77,,46.35,17-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Apr-2019 - 00:00,30.54,58.34,37.98,32.32,137.93,0.91,,43.89,18-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Apr-2019 - 00:00,76.73,30.63,28.32,17.69,10.63,0.87,,48.2,19-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Apr-2019 - 00:00,188.96,74.49,37.39,22.4,14.98,0.97,,44.08,20-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Apr-2019 - 00:00,174.51,64.69,38.84,22.99,15.84,0.9,,50.9,21-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Apr-2019 - 00:00,211.29,71.75,37.62,22.75,14.87,1.05,,48.83,22-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Apr-2019 - 00:00,268.88,90.95,48.83,29.86,18.96,1.42,,48.92,23-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Apr-2019 - 00:00,304.96,91.85,43.73,25.66,18.07,1.05,8.68,49.55,24-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Apr-2019 - 00:00,341.7,91.43,40.57,22.16,18.41,0.98,7.99,64.05,25-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Apr-2019 - 00:00,364.94,89.95,39.41,21.12,18.29,0.97,18.35,65.91,26-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Apr-2019 - 00:00,297.75,81.42,43.89,25.22,18.67,1.04,6.76,47.91,27-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Apr-2019 - 00:00,400.16,77.81,42.99,25.18,17.81,0.81,2.89,41.48,28-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Apr-2019 - 00:00,,88.65,44.72,23.87,20.85,0.82,14.22,50.59,29-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Apr-2019 - 00:00,287.53,104.64,42.78,24.85,17.93,0.93,40.71,41.12,30-Apr-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-Apr-2019 - 00:00,295.75,105.87,50.7,27.44,23.26,0.99,,50.31,01-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-May-2019 - 00:00,396.32,137.62,53.75,29.59,24.16,1.09,20.7,77.2,02-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-May-2019 - 00:00,323.78,92.53,52.82,26.93,25.89,0.92,10.6,60.62,03-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-May-2019 - 00:00,141.04,52.5,49.93,25.05,24.88,0.79,2.27,63.99,04-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-May-2019 - 00:00,202.96,84.61,60.11,32.13,27.98,0.91,2.46,45.18,05-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-May-2019 - 00:00,240.04,98.39,55.38,28.55,26.83,0.89,2.3,51.64,06-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-May-2019 - 00:00,254.99,104.79,58.73,31.89,26.84,0.96,2.37,43.99,07-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-May-2019 - 00:00,334.17,125.62,58.59,30.91,27.68,0.96,2.36,32.17,08-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-May-2019 - 00:00,411.73,119.82,62.52,31.54,28.57,1.08,3.87,32.98,09-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-May-2019 - 00:00,520.4,123.55,46.64,25.53,21.11,0.88,6.34,37.41,10-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-May-2019 - 00:00,276.77,85.89,36.24,19.42,16.83,0.64,,50.93,11-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-May-2019 - 00:00,306.42,118.74,52.98,26.25,26.73,0.84,,55.11,12-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-May-2019 - 00:00,413.33,201.83,52.15,25.35,26.8,0.91,,55.96,13-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-May-2019 - 00:00,222.45,109.91,54.88,27.02,49.91,0.99,,70.85,14-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-May-2019 - 00:00,105.97,78.36,42.3,22.37,19.93,0.77,,59.57,15-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-May-2019 - 00:00,156.41,82.05,43.92,23.49,20.43,0.9,,50.57,16-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-May-2019 - 00:00,223.07,93.7,55.1,26.77,28.33,0.8,22.96,50.88,17-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-May-2019 - 00:00,228.16,87.04,72.98,32.68,40.3,0.75,20.21,44.28,18-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-May-2019 - 00:00,92.07,55.82,64.33,30.79,33.54,0.81,,41.19,19-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-May-2019 - 00:00,134.25,79.18,55.0,27.44,27.56,0.86,,56.47,20-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-May-2019 - 00:00,187.31,99.5,57.43,29.29,28.14,0.93,,49.82,21-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-May-2019 - 00:00,168.42,84.37,56.41,28.27,28.15,0.84,,53.05,22-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-May-2019 - 00:00,170.14,69.92,56.52,28.38,28.14,0.78,,40.87,23-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-May-2019 - 00:00,169.52,86.43,61.19,30.42,30.77,0.88,,51.76,24-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-May-2019 - 00:00,107.31,55.02,59.88,28.97,30.92,0.8,,43.85,25-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-May-2019 - 00:00,95.33,52.24,64.32,29.48,34.84,0.69,,56.16,26-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-May-2019 - 00:00,123.68,67.72,59.82,28.53,31.29,0.76,,56.24,27-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-May-2019 - 00:00,141.33,67.89,62.93,31.01,31.92,0.79,,50.75,28-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-May-2019 - 00:00,143.73,66.46,62.93,31.22,31.72,0.75,,52.08,29-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-May-2019 - 00:00,163.54,77.43,62.97,30.77,32.2,0.76,,53.12,30-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-May-2019 - 00:00,241.01,116.75,72.68,37.88,34.81,1.07,,26.59,31-May-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
31-May-2019 - 00:00,,,,,,,,,01-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Jun-2019 - 00:00,,,,,,,,,02-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Jun-2019 - 00:00,,,,,,,,,03-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Jun-2019 - 00:00,,,,,,,,,04-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Jun-2019 - 00:00,,,,,,,,,05-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Jun-2019 - 00:00,,,,,,,,,06-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Jun-2019 - 00:00,,,,,,,,,07-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Jun-2019 - 00:00,,,,,,,,,08-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Jun-2019 - 00:00,,,,,,,,,09-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Jun-2019 - 00:00,,,,,,,,,10-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Jun-2019 - 00:00,,,,,,,,,11-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Jun-2019 - 00:00,,,,,,,,,12-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Jun-2019 - 00:00,,,,,,,,,13-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Jun-2019 - 00:00,202.67,63.63,69.73,33.7,33.85,0.75,,42.53,14-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Jun-2019 - 00:00,182.81,63.37,64.29,33.15,64.19,0.67,,49.4,15-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Jun-2019 - 00:00,267.75,81.32,,,0.0,,,45.54,16-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Jun-2019 - 00:00,195.79,84.27,,,0.0,,,35.24,17-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Jun-2019 - 00:00,,,,,,,,,18-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Jun-2019 - 00:00,,,,,,,,,19-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Jun-2019 - 00:00,,,,,,,,,20-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Jun-2019 - 00:00,,,,,,,,,21-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Jun-2019 - 00:00,,,,,,,,,22-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Jun-2019 - 00:00,,,,,,,,,23-Jun-2019 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
