from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,to date,BP,station
20-Sep-2019 - 00:00,20.5,29.93,6.41,9.43,3.23,0.67,24.71,47.8,1.29,0.12,1.81,4.39,17.92,27.17,0.01,248.0,80.97,0.0,151.08,0.6,21-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Sep-2019 - 00:00,25.51,33.61,12.74,7.55,3.24,0.58,21.7,41.47,1.43,0.09,1.78,8.18,17.66,25.84,0.01,180.75,85.71,0.11,120.09,0.63,22-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
22-Sep-2019 - 00:00,20.37,29.56,7.83,9.24,3.18,0.42,17.98,40.74,1.27,0.11,1.63,4.08,17.1,25.25,0.01,175.95,86.75,0.05,130.82,1.39,23-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
23-Sep-2019 - 00:00,26.39,36.92,8.81,10.53,5.12,0.51,21.13,41.49,1.52,0.1,2.1,4.42,18.49,25.06,0.01,148.21,88.25,0.2,86.72,1.0,24-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Sep-2019 - 00:00,17.66,22.58,11.66,4.94,3.25,0.43,10.8,22.0,0.8,0.06,1.01,2.86,23.82,24.67,0.01,179.07,89.7,0.8,74.46,1.69,25-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Sep-2019 - 00:00,25.7,37.53,5.93,11.34,3.31,0.48,10.34,20.22,1.6,0.11,2.14,6.66,14.52,23.4,0.01,56.62,95.9,0.51,92.01,0.63,26-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Sep-2019 - 00:00,16.16,23.35,7.43,7.37,3.2,0.33,14.41,28.76,1.01,0.08,1.18,3.2,15.72,24.85,0.01,210.47,89.61,0.1,183.38,0.36,27-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Sep-2019 - 00:00,19.0,30.32,5.78,11.32,3.2,0.58,15.19,33.05,1.45,0.08,1.77,3.54,15.31,24.58,0.01,181.92,90.21,0.04,140.2,0.48,28-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Sep-2019 - 00:00,27.62,40.11,6.21,12.5,3.42,0.67,19.6,29.45,2.36,0.14,2.97,8.37,12.14,23.18,0.01,45.96,95.44,0.47,58.96,0.62,29-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Sep-2019 - 00:00,20.23,28.43,6.17,8.2,3.3,0.51,10.39,16.11,1.05,0.11,1.77,4.32,21.44,22.25,0.01,57.75,93.75,0.27,55.37,1.19,30-Sep-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Sep-2019 - 00:00,19.67,28.13,7.31,8.82,3.14,0.54,8.93,19.38,1.05,0.1,1.88,3.87,18.88,22.43,0.01,90.96,92.95,0.12,56.11,1.52,01-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Oct-2019 - 00:00,21.76,30.02,10.55,8.26,3.48,0.52,12.02,34.7,1.0,0.08,1.33,3.51,18.63,24.28,0.01,159.69,85.67,0.0,79.23,1.64,02-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Oct-2019 - 00:00,24.35,35.66,6.24,11.32,3.35,0.38,12.07,39.83,1.51,0.15,2.21,5.2,19.0,25.48,0.01,200.1,82.64,0.0,98.02,0.61,03-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Oct-2019 - 00:00,29.33,42.38,5.46,13.07,3.36,0.42,19.0,51.68,1.8,0.16,2.37,5.54,17.11,25.71,0.01,212.96,83.64,0.0,107.78,1.51,04-Oct-2019 - 00:00,990.0,"Ward-32 Bapupara, Siliguri - WBPCB"
