from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
06-Sep-2019 - 00:00,31.57,977.41,108.65,52.92,52.69,168.72,,212.38,1.25,0.45,36.15,90.81,3.49,51.14,43.58,8.6,07-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Sep-2019 - 00:00,30.97,977.9,99.83,46.25,48.98,147.09,138.32,200.73,1.19,1.71,32.3,94.54,5.02,54.37,50.39,7.82,08-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Sep-2019 - 00:00,31.66,979.56,90.13,48.71,40.55,182.27,160.7,122.93,1.1,1.17,33.22,78.79,1.97,43.35,43.49,8.22,09-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Sep-2019 - 00:00,32.69,978.22,150.36,77.62,38.82,214.99,165.76,115.25,1.04,1.25,31.99,79.16,2.5,44.14,42.75,9.15,10-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Sep-2019 - 00:00,32.63,977.69,150.6,74.92,30.8,197.34,130.85,132.35,0.87,1.37,31.73,79.15,4.46,45.71,68.75,8.14,11-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Sep-2019 - 00:00,33.31,978.93,209.74,98.68,28.5,190.93,147.28,174.99,0.76,,33.64,82.9,4.42,47.97,58.25,8.85,12-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Sep-2019 - 00:00,31.83,980.37,147.93,73.7,63.45,133.41,,220.2,1.19,,33.57,81.71,1.73,44.86,52.55,8.83,13-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Sep-2019 - 00:00,31.79,981.45,116.14,47.88,63.03,175.78,220.9,189.71,1.05,,36.99,83.24,2.75,46.52,41.21,6.23,14-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Sep-2019 - 00:00,31.51,982.11,86.65,35.57,61.68,182.8,161.73,181.17,1.48,,33.35,74.39,2.17,41.48,31.51,6.65,15-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Sep-2019 - 00:00,30.5,982.17,84.83,41.06,65.24,145.49,109.3,166.69,1.01,,29.55,95.35,1.89,52.25,38.74,7.68,16-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Sep-2019 - 00:00,31.59,980.77,145.69,71.61,62.48,168.77,164.93,123.11,0.89,1.86,30.66,97.9,8.31,58.99,57.59,8.76,17-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Sep-2019 - 00:00,31.71,981.59,141.48,65.24,57.93,170.34,109.67,172.08,0.85,1.6,30.2,65.93,0.97,35.86,71.85,9.47,18-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Sep-2019 - 00:00,30.85,985.43,134.82,47.42,57.1,185.45,133.3,196.35,1.65,0.91,26.09,56.4,1.1,30.89,62.98,10.21,19-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Sep-2019 - 00:00,28.43,987.73,98.96,36.39,63.76,111.9,128.66,190.53,1.58,0.99,27.58,52.24,1.96,29.4,43.51,10.36,20-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Sep-2019 - 00:00,29.18,986.01,161.92,67.35,63.2,143.43,128.62,187.97,0.98,1.2,26.21,66.77,5.9,40.31,61.66,11.04,21-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Sep-2019 - 00:00,28.61,984.86,146.0,67.78,67.49,123.11,181.02,179.38,0.69,1.18,28.43,72.43,11.71,48.06,53.17,9.56,22-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Sep-2019 - 00:00,26.42,986.9,81.71,45.29,70.75,124.89,,198.1,1.45,0.77,28.86,73.07,7.05,44.63,31.42,8.39,23-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Sep-2019 - 00:00,28.13,988.19,103.51,48.97,64.9,163.52,196.09,178.72,1.13,1.36,27.91,66.79,4.01,38.78,46.98,9.56,24-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Sep-2019 - 00:00,28.9,988.24,93.44,43.69,62.48,151.77,152.42,184.06,1.09,1.79,23.68,62.9,6.33,38.62,43.39,12.18,25-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
25-Sep-2019 - 00:00,29.05,989.4,72.65,40.14,62.74,170.21,143.72,187.14,1.2,1.94,23.35,62.28,7.04,38.87,37.23,10.46,26-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Sep-2019 - 00:00,28.95,989.71,53.05,36.33,63.7,135.79,204.6,177.86,1.54,1.73,25.98,55.45,3.93,32.69,28.93,10.79,27-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
27-Sep-2019 - 00:00,28.01,988.61,75.6,24.96,64.83,128.01,166.07,170.34,1.57,1.56,22.07,41.73,2.05,23.87,28.81,8.18,28-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Sep-2019 - 00:00,27.38,986.81,77.31,32.29,66.59,126.64,155.92,165.75,1.49,1.6,20.5,41.59,2.49,24.15,32.82,8.07,29-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Sep-2019 - 00:00,26.66,987.46,64.8,29.17,68.94,88.88,148.35,186.46,1.31,1.58,20.39,42.12,2.5,24.27,35.71,7.76,30-Sep-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Sep-2019 - 00:00,27.16,986.35,109.48,49.94,67.3,117.84,125.6,214.59,1.22,1.75,22.26,47.15,5.33,29.33,50.58,6.37,01-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
01-Oct-2019 - 00:00,27.88,985.75,122.66,49.25,65.54,125.78,132.64,204.15,1.09,1.81,23.85,57.88,8.81,37.97,49.47,6.63,02-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Oct-2019 - 00:00,28.23,986.97,112.76,51.02,63.38,153.93,,159.96,0.81,1.74,27.0,54.18,12.53,39.04,52.07,7.8,03-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Oct-2019 - 00:00,28.67,986.95,151.71,66.08,59.99,143.54,171.69,162.75,1.02,1.71,29.24,56.54,4.74,33.98,70.02,9.29,04-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Oct-2019 - 00:00,25.87,988.03,96.55,49.77,67.38,162.56,131.63,107.34,1.38,1.61,27.33,45.43,3.3,26.85,51.73,6.7,05-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Oct-2019 - 00:00,25.74,987.95,109.17,55.12,62.67,185.01,,54.29,1.28,1.57,22.45,38.84,2.37,22.59,54.77,7.86,06-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Oct-2019 - 00:00,26.18,988.47,144.88,71.08,63.34,174.53,132.32,53.93,1.18,1.64,30.06,51.25,2.11,28.99,66.55,9.3,07-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Oct-2019 - 00:00,26.17,989.56,144.0,66.67,63.55,155.06,113.22,49.35,1.17,1.61,32.1,48.62,1.98,27.48,56.83,8.23,08-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Oct-2019 - 00:00,25.64,989.03,134.79,65.88,60.52,179.28,,101.64,0.96,1.58,18.74,37.89,2.64,22.5,67.15,9.78,09-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Oct-2019 - 00:00,26.86,988.94,226.12,98.08,56.45,156.63,176.3,153.44,0.86,1.67,29.5,76.79,10.33,49.27,90.79,13.98,10-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Oct-2019 - 00:00,26.42,988.44,281.66,140.78,58.69,137.34,176.72,116.71,0.79,1.29,37.88,70.86,11.19,46.8,65.19,14.09,11-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Oct-2019 - 00:00,26.06,988.03,231.65,137.65,60.74,158.26,172.67,112.43,0.75,0.98,39.11,67.55,7.15,41.85,59.23,11.53,12-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Oct-2019 - 00:00,26.84,988.87,223.4,131.04,60.0,152.98,,117.98,0.85,0.94,36.27,55.69,2.85,31.94,67.69,12.05,13-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Oct-2019 - 00:00,26.72,989.32,269.0,157.45,58.67,140.95,207.58,79.02,0.85,1.03,33.34,55.97,5.87,34.56,67.51,11.5,14-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Oct-2019 - 00:00,26.44,990.1,272.12,141.53,59.25,146.6,234.18,184.08,0.85,1.15,33.03,60.7,13.19,43.02,62.5,10.87,15-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Oct-2019 - 00:00,27.03,990.68,367.5,164.56,58.4,140.88,217.62,194.74,0.64,1.55,38.78,78.32,25.58,62.48,53.36,13.01,16-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Oct-2019 - 00:00,27.26,990.96,360.1,186.27,61.16,129.7,104.45,184.53,0.77,1.53,44.23,65.15,17.57,48.99,67.37,11.91,17-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Oct-2019 - 00:00,27.31,990.63,343.51,164.69,58.64,128.24,,180.42,1.01,1.29,39.5,58.38,4.27,34.73,55.42,12.03,18-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Oct-2019 - 00:00,25.98,990.88,340.71,153.94,60.64,121.8,152.24,177.69,1.34,1.04,40.56,56.01,7.44,35.87,73.54,11.19,19-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Oct-2019 - 00:00,25.09,992.31,169.12,99.62,63.18,143.75,175.54,105.0,0.64,0.77,37.56,63.85,7.61,40.16,42.0,8.92,20-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Oct-2019 - 00:00,24.56,991.97,208.76,119.67,60.67,157.61,108.5,88.14,1.01,0.64,36.69,48.91,6.78,31.55,45.32,8.75,21-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Oct-2019 - 00:00,23.36,990.34,198.8,144.97,60.68,153.26,129.2,144.95,0.93,0.57,32.95,49.56,10.24,34.76,47.78,10.7,22-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Oct-2019 - 00:00,23.1,987.47,238.52,110.28,59.19,150.26,119.47,151.83,1.03,0.54,27.99,48.4,15.39,38.27,49.51,12.03,23-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Oct-2019 - 00:00,23.6,986.78,337.6,165.21,59.74,153.72,194.71,175.02,0.83,0.73,30.75,58.46,21.21,48.39,52.45,11.54,24-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Oct-2019 - 00:00,24.23,987.81,377.31,198.11,59.91,137.76,165.81,164.39,0.56,0.78,36.2,71.97,16.18,51.39,48.73,11.93,25-Oct-2019 - 00:00,"Bawana, Delhi - DPCC"
