from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,12.24,995.29,515.67,151.12,76.28,82.27,,188.31,0.64,2.51,74.42,54.95,56.88,75.44,27.43,18.54,02-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Jan-2019 - 00:00,14.25,995.5,625.6,257.21,72.77,72.17,,166.69,0.84,3.0,81.71,73.14,58.9,86.91,31.07,21.16,03-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Jan-2019 - 00:00,11.74,996.62,515.14,141.07,88.24,63.66,,57.04,0.97,2.02,75.25,44.5,22.73,42.12,17.08,16.18,04-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Jan-2019 - 00:00,11.24,995.36,383.3,222.49,89.87,55.75,,80.11,0.8,1.88,53.2,36.1,18.52,34.29,12.88,15.61,05-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Jan-2019 - 00:00,13.33,993.97,494.91,309.92,73.72,106.89,,194.95,1.33,2.1,49.8,58.23,18.4,45.92,3.63,15.43,06-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Jan-2019 - 00:00,14.31,993.66,255.56,178.92,77.18,98.36,,97.39,1.32,1.19,44.77,39.76,4.85,25.1,3.57,14.52,07-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Jan-2019 - 00:00,11.99,995.36,300.45,204.94,87.97,97.68,131.47,51.63,0.9,1.39,39.97,39.95,15.61,33.97,3.67,14.96,08-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Jan-2019 - 00:00,12.25,993.36,266.65,182.73,83.98,117.8,,46.64,0.93,1.22,40.14,35.62,9.87,26.99,17.8,16.14,09-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Jan-2019 - 00:00,12.04,992.65,293.29,194.78,78.33,135.46,,33.14,1.04,1.31,37.17,37.75,9.59,27.9,24.82,17.67,10-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Jan-2019 - 00:00,12.1,992.32,348.72,249.77,77.71,127.44,298.91,77.48,0.79,1.92,38.09,42.84,37.37,53.23,26.69,19.05,11-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Jan-2019 - 00:00,12.75,993.93,517.52,395.12,75.45,105.02,266.62,174.67,0.61,3.2,57.34,66.42,78.45,99.35,31.39,19.48,12-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Jan-2019 - 00:00,14.11,992.97,648.86,449.05,74.21,90.7,237.76,212.64,0.64,3.1,77.45,100.82,59.37,102.0,37.28,17.95,13-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Jan-2019 - 00:00,15.9,995.04,402.38,277.81,72.86,91.59,207.5,85.03,1.16,1.66,64.17,50.84,15.01,39.4,48.04,17.81,14-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Jan-2019 - 00:00,12.07,994.77,200.58,132.35,68.21,146.09,,29.36,1.26,0.88,41.37,38.07,4.25,23.68,40.35,16.35,15-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Jan-2019 - 00:00,9.76,993.71,290.33,203.04,77.26,96.26,,77.15,1.01,1.41,39.67,47.15,25.36,45.7,29.69,20.44,16-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Jan-2019 - 00:00,11.4,993.59,564.36,397.05,74.27,86.3,148.38,182.16,0.68,2.83,61.01,85.85,60.57,95.37,29.2,20.03,17-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Jan-2019 - 00:00,12.68,992.59,586.89,453.2,75.95,108.01,211.71,95.7,0.7,2.39,69.43,68.68,70.32,93.88,37.19,17.25,18-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Jan-2019 - 00:00,10.97,992.92,421.98,289.05,86.36,96.88,,80.94,0.81,1.71,50.83,56.16,28.47,53.09,27.17,12.3,19-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Jan-2019 - 00:00,14.18,992.58,477.66,333.94,74.54,125.27,239.51,145.46,0.72,2.14,50.28,66.45,54.63,79.86,36.4,17.61,20-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Jan-2019 - 00:00,17.38,991.59,577.85,369.44,68.76,106.27,260.15,188.2,0.6,3.15,70.71,110.46,79.13,123.31,52.2,17.36,21-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Jan-2019 - 00:00,16.88,988.64,427.64,236.15,74.77,58.29,190.88,200.74,2.38,1.78,71.52,65.27,32.11,60.86,41.82,16.07,22-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Jan-2019 - 00:00,14.77,989.46,76.11,64.86,88.94,56.55,169.55,201.86,1.79,0.76,36.73,41.82,2.68,24.42,35.19,10.99,23-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Jan-2019 - 00:00,12.48,993.1,206.27,144.26,90.65,99.74,185.07,83.87,0.74,1.18,35.77,43.21,18.62,38.15,17.82,13.91,24-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Jan-2019 - 00:00,15.32,995.28,207.18,132.48,76.64,112.7,172.21,118.23,1.42,0.88,38.46,37.61,4.45,23.63,34.46,15.44,25-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
25-Jan-2019 - 00:00,13.56,995.47,166.51,122.5,79.43,116.61,138.68,77.19,1.38,0.71,34.69,35.25,2.74,20.99,41.04,15.78,26-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Jan-2019 - 00:00,11.32,997.9,205.89,152.3,75.38,156.37,,38.85,1.17,0.69,31.15,33.38,1.76,19.19,41.29,16.21,27-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
27-Jan-2019 - 00:00,9.86,997.86,222.71,167.75,77.34,122.56,,39.73,1.23,0.85,31.18,40.88,5.95,26.6,32.16,15.84,28-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Jan-2019 - 00:00,10.49,997.46,240.43,165.76,71.67,154.25,,31.56,1.26,0.9,31.87,42.38,8.67,29.59,37.33,15.31,29-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Jan-2019 - 00:00,11.09,995.95,314.79,203.52,70.56,155.47,109.4,30.49,1.12,1.13,35.14,48.3,19.13,41.29,33.9,19.07,30-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Jan-2019 - 00:00,12.33,994.63,395.42,273.81,68.97,112.61,302.47,91.99,0.79,1.66,44.39,60.96,33.9,60.02,35.65,19.21,31-Jan-2019 - 00:00,"Bawana, Delhi - DPCC"
31-Jan-2019 - 00:00,14.65,993.35,404.77,231.05,65.02,92.61,197.1,201.71,1.36,1.57,51.18,62.01,20.18,49.44,33.04,14.71,01-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
01-Feb-2019 - 00:00,14.54,994.13,301.73,225.21,81.46,92.96,,103.12,1.15,1.18,53.29,45.5,10.28,32.58,23.59,12.48,02-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Feb-2019 - 00:00,11.99,994.41,264.69,189.27,92.26,73.12,,34.66,1.1,0.95,41.24,26.18,2.9,16.3,26.85,11.05,03-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Feb-2019 - 00:00,12.94,995.4,209.92,142.03,91.78,85.49,,28.81,0.99,0.8,35.69,29.4,9.39,23.28,34.2,10.85,04-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Feb-2019 - 00:00,13.06,995.81,258.26,193.34,85.1,126.64,127.3,126.36,0.87,1.88,32.65,50.05,32.04,52.71,35.18,14.96,05-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Feb-2019 - 00:00,16.23,993.11,433.18,336.48,75.41,111.92,219.58,205.14,0.95,2.56,60.51,75.35,55.28,85.21,44.31,17.99,06-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Feb-2019 - 00:00,18.08,987.99,309.18,229.1,80.94,106.19,139.92,219.07,1.62,2.11,82.32,61.13,51.55,74.54,48.34,14.94,07-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Feb-2019 - 00:00,16.32,986.1,129.0,80.4,87.96,28.67,168.72,212.48,2.54,0.75,58.28,32.48,1.16,18.21,34.86,10.45,08-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Feb-2019 - 00:00,13.11,992.21,153.43,89.4,77.42,159.11,116.5,71.96,1.02,0.7,32.38,36.68,8.33,26.31,34.16,12.77,09-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Feb-2019 - 00:00,12.56,994.38,153.03,116.82,78.79,175.97,,44.88,1.19,0.79,28.87,38.18,11.22,29.47,39.25,12.45,10-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Feb-2019 - 00:00,13.11,995.79,210.14,188.92,79.58,134.48,115.05,97.97,0.82,1.13,36.5,49.04,21.66,43.88,33.87,15.96,11-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Feb-2019 - 00:00,13.96,996.29,222.65,197.52,76.87,144.53,165.1,103.88,0.61,1.31,38.71,53.27,26.32,49.77,37.45,18.39,12-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Feb-2019 - 00:00,16.02,996.33,322.34,214.45,74.81,121.75,144.28,96.75,0.83,1.37,47.23,58.77,15.94,44.25,53.58,29.46,13-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Feb-2019 - 00:00,17.48,995.3,461.56,252.2,76.46,109.63,131.29,200.43,0.63,2.05,60.85,89.2,32.45,73.87,44.4,20.77,14-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Feb-2019 - 00:00,16.98,990.77,259.45,179.29,81.2,43.27,123.34,206.37,1.76,1.43,58.18,62.67,16.22,46.59,33.6,14.96,15-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Feb-2019 - 00:00,15.75,991.41,200.23,141.46,86.62,107.95,109.2,106.02,0.98,1.06,44.22,35.26,6.78,24.3,24.21,15.17,16-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Feb-2019 - 00:00,14.68,993.01,175.73,116.52,92.07,75.88,,31.93,1.11,0.95,34.15,18.35,4.04,13.06,22.18,20.65,17-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Feb-2019 - 00:00,15.05,989.82,182.21,107.92,82.46,156.02,174.75,43.98,1.12,0.99,31.08,31.4,5.03,20.85,36.74,24.01,18-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Feb-2019 - 00:00,18.02,985.08,234.78,119.14,66.31,126.5,105.2,203.72,1.44,1.12,35.77,47.04,5.99,29.91,73.05,29.18,19-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Feb-2019 - 00:00,17.33,988.39,289.25,156.98,82.97,128.2,347.27,177.38,0.69,1.43,47.76,49.08,22.07,44.1,40.53,21.46,20-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Feb-2019 - 00:00,17.78,993.13,168.65,105.59,84.55,44.73,144.05,184.65,1.32,1.22,45.06,39.32,8.8,28.08,21.87,22.92,21-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Feb-2019 - 00:00,20.45,991.89,233.29,90.03,71.06,145.25,128.97,191.33,1.38,1.38,42.3,42.48,25.51,43.42,42.63,26.65,22-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Feb-2019 - 00:00,17.68,992.77,149.32,82.38,79.77,142.18,104.4,34.66,1.44,0.98,42.34,18.91,2.46,12.06,24.15,17.13,23-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Feb-2019 - 00:00,14.71,991.02,154.1,95.82,74.13,174.69,,34.62,1.32,1.08,30.29,29.89,4.98,19.96,39.1,26.9,24-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Feb-2019 - 00:00,16.14,987.71,204.07,130.15,68.89,163.06,188.89,63.87,1.09,3.63,31.46,38.58,2.92,22.92,47.23,25.64,25-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
25-Feb-2019 - 00:00,16.58,986.83,215.46,107.52,68.14,150.99,105.85,182.48,1.1,3.07,36.32,45.77,20.24,40.87,65.14,22.49,26-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Feb-2019 - 00:00,15.08,987.1,150.02,79.03,72.13,100.45,145.98,163.08,1.2,1.52,35.11,40.56,8.07,28.15,37.57,24.34,27-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
27-Feb-2019 - 00:00,12.54,987.53,152.17,82.7,85.94,72.87,153.64,98.0,1.66,1.09,26.37,42.68,2.41,24.67,24.68,21.48,28-Feb-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Feb-2019 - 00:00,13.89,991.05,218.18,124.4,74.35,163.97,170.61,50.41,1.08,1.4,29.45,36.49,19.45,35.27,36.19,24.26,01-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
01-Mar-2019 - 00:00,15.28,991.46,202.54,120.04,69.61,177.1,187.52,72.99,1.1,0.85,28.54,40.8,10.14,29.97,40.34,22.87,02-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Mar-2019 - 00:00,14.52,991.67,221.5,161.83,84.68,32.76,131.72,167.41,0.95,1.23,36.08,52.27,10.25,36.26,14.47,27.46,03-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Mar-2019 - 00:00,16.55,988.36,100.46,81.71,85.12,143.66,185.1,196.28,1.08,1.05,33.34,37.82,7.26,26.07,44.74,20.4,04-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Mar-2019 - 00:00,17.2,985.65,107.33,109.79,86.74,147.83,169.96,69.17,1.03,1.18,37.1,29.19,12.4,25.64,22.0,20.78,05-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Mar-2019 - 00:00,16.04,986.72,147.17,88.88,80.59,162.99,,31.29,1.13,0.57,30.16,28.85,10.68,24.0,28.4,21.54,06-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Mar-2019 - 00:00,17.16,987.74,205.5,111.65,70.85,185.43,243.85,39.24,1.15,0.73,28.28,32.66,8.19,24.03,38.52,24.67,07-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Mar-2019 - 00:00,18.29,988.09,248.16,135.59,65.68,175.07,,84.4,0.99,0.6,31.04,35.59,12.88,29.43,50.18,29.23,08-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Mar-2019 - 00:00,19.25,989.87,262.7,119.48,63.39,155.8,,96.62,1.48,0.87,34.76,30.22,9.74,24.05,48.73,30.05,09-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Mar-2019 - 00:00,18.7,989.94,179.27,91.68,65.17,169.56,,51.55,1.6,0.53,33.74,24.77,5.09,17.34,39.9,26.85,10-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Mar-2019 - 00:00,18.59,990.03,210.07,100.53,59.9,189.27,102.7,87.61,1.06,0.56,27.53,30.33,4.79,20.04,56.01,27.87,11-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Mar-2019 - 00:00,20.98,989.24,256.2,93.69,55.41,139.13,137.9,192.55,2.14,0.74,33.63,33.65,5.16,22.09,64.78,25.95,12-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Mar-2019 - 00:00,20.63,991.67,164.19,72.98,58.56,160.55,289.75,76.4,1.79,0.77,34.9,20.53,2.33,12.82,49.39,22.48,13-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Mar-2019 - 00:00,18.77,991.89,309.12,108.86,62.42,84.34,171.61,106.69,1.05,1.06,35.11,38.52,11.81,30.18,43.51,20.61,14-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Mar-2019 - 00:00,16.57,992.75,254.62,120.12,78.92,100.76,126.77,101.45,1.54,1.19,43.34,32.21,18.87,32.53,23.25,12.94,15-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Mar-2019 - 00:00,17.27,994.05,213.3,97.33,74.98,175.69,,39.11,1.33,0.93,34.21,24.76,9.85,20.89,30.02,16.0,16-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Mar-2019 - 00:00,18.64,992.46,,92.58,65.84,179.6,,38.73,1.28,1.35,26.8,24.91,3.08,15.78,49.51,15.44,17-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Mar-2019 - 00:00,20.33,990.75,,122.54,60.59,174.53,118.85,53.82,1.24,0.99,27.79,26.36,4.23,17.46,51.97,20.96,18-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Mar-2019 - 00:00,19.96,990.13,,127.7,66.56,183.57,130.76,36.93,0.95,1.14,30.63,33.7,9.71,25.84,46.26,20.02,19-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Mar-2019 - 00:00,22.12,986.53,,135.88,60.03,181.58,153.75,105.47,1.04,1.27,30.94,37.27,13.85,31.07,42.97,21.66,20-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Mar-2019 - 00:00,24.94,984.77,,125.33,51.98,160.04,,171.13,1.6,1.43,38.16,37.1,15.91,32.71,60.27,20.06,21-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Mar-2019 - 00:00,24.21,988.35,,104.38,54.93,171.92,,88.31,1.45,1.14,42.21,13.13,1.83,8.48,49.8,16.81,22-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Mar-2019 - 00:00,21.96,990.42,,52.6,50.53,190.61,,42.23,1.97,0.82,28.12,15.35,1.97,9.6,61.66,14.64,23-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Mar-2019 - 00:00,21.25,989.62,,88.92,58.34,187.12,,33.84,1.75,0.71,27.1,18.34,1.84,11.26,57.81,18.57,24-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Mar-2019 - 00:00,22.81,988.01,,62.57,57.01,181.56,108.42,59.11,1.81,0.65,26.27,14.29,2.43,9.58,47.27,15.72,25-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
25-Mar-2019 - 00:00,21.62,988.43,197.24,86.86,67.47,176.35,126.36,56.59,1.73,0.87,29.46,16.91,2.52,11.06,34.93,17.49,26-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Mar-2019 - 00:00,21.49,989.68,217.85,115.64,66.39,217.31,,40.96,1.48,0.66,28.85,26.78,6.46,19.52,48.01,18.44,27-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
27-Mar-2019 - 00:00,23.0,990.2,257.91,130.91,59.29,191.45,,86.54,1.24,0.92,26.72,34.75,11.12,27.55,57.08,20.95,28-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Mar-2019 - 00:00,25.06,988.12,356.48,179.11,59.42,205.58,183.69,121.16,0.83,2.78,31.59,44.14,28.09,46.36,56.48,25.24,29-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Mar-2019 - 00:00,27.52,985.08,273.92,122.08,59.8,204.13,153.54,107.51,1.09,1.17,42.4,31.98,13.23,27.73,54.43,17.63,30-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Mar-2019 - 00:00,29.05,983.98,283.29,120.81,55.72,205.53,,145.12,1.37,1.22,50.37,35.83,13.56,30.11,76.95,19.8,31-Mar-2019 - 00:00,"Bawana, Delhi - DPCC"
31-Mar-2019 - 00:00,26.44,984.92,218.11,74.33,48.3,234.13,,56.66,1.83,0.79,34.02,21.15,1.58,12.55,70.98,18.1,01-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
01-Apr-2019 - 00:00,25.03,985.09,214.04,85.12,46.84,240.17,198.05,77.22,1.74,0.84,26.47,26.13,1.81,15.33,81.45,20.78,02-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
02-Apr-2019 - 00:00,25.67,985.85,302.88,158.46,45.44,227.97,170.89,134.32,1.11,1.15,27.47,41.97,8.68,29.39,81.5,32.1,03-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
03-Apr-2019 - 00:00,26.88,984.74,340.2,135.96,44.91,238.23,205.63,92.06,1.2,1.28,26.49,46.28,8.81,31.83,73.67,25.92,04-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
04-Apr-2019 - 00:00,29.21,985.19,351.61,139.53,45.24,211.43,124.83,163.84,1.02,1.51,40.16,55.23,17.25,43.43,72.99,26.13,05-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
05-Apr-2019 - 00:00,29.49,984.18,396.0,160.52,47.91,202.18,147.84,131.21,1.0,1.63,48.46,59.44,26.58,53.26,48.22,23.42,06-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
06-Apr-2019 - 00:00,30.66,983.1,383.77,121.76,43.03,200.51,146.05,136.62,1.07,1.22,40.44,38.66,4.04,23.87,57.78,19.45,07-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
07-Apr-2019 - 00:00,29.1,982.13,427.58,185.84,58.79,151.64,114.3,186.09,1.67,1.6,62.41,35.16,4.62,22.46,45.41,19.7,08-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
08-Apr-2019 - 00:00,27.3,983.25,360.22,95.17,54.21,195.02,,159.74,1.19,1.08,50.33,38.52,8.42,27.38,55.34,14.96,09-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
09-Apr-2019 - 00:00,28.35,982.92,367.31,137.6,50.21,188.32,210.59,178.46,0.91,1.54,25.55,59.63,7.48,37.77,45.38,19.29,10-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
10-Apr-2019 - 00:00,30.53,984.26,283.33,115.62,44.21,205.94,134.83,110.13,1.22,0.99,45.7,48.1,8.15,32.24,55.36,21.94,11-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
11-Apr-2019 - 00:00,31.28,984.01,225.47,79.54,37.98,198.26,160.21,86.0,1.39,0.65,39.8,29.17,3.23,18.15,64.14,34.52,12-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
12-Apr-2019 - 00:00,30.63,984.57,249.28,63.91,38.08,189.88,138.55,95.28,1.76,0.74,35.61,28.96,1.04,16.26,75.42,29.75,13-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
13-Apr-2019 - 00:00,30.95,985.15,232.31,65.99,36.38,212.31,,65.16,2.23,1.08,33.87,31.05,2.71,18.73,63.36,31.82,14-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
14-Apr-2019 - 00:00,30.95,984.94,208.93,60.67,37.23,208.94,,55.24,2.0,0.84,29.03,26.32,1.11,14.92,59.55,31.67,15-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
15-Apr-2019 - 00:00,32.19,982.82,241.34,70.05,34.57,215.06,128.7,59.82,1.62,1.61,28.55,36.6,11.7,28.99,54.57,36.41,16-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
16-Apr-2019 - 00:00,25.55,986.0,183.37,47.05,55.29,101.78,121.1,177.43,3.03,1.24,26.76,23.14,1.04,13.16,69.83,19.78,17-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
17-Apr-2019 - 00:00,22.46,987.1,78.61,33.73,67.54,146.29,,230.87,2.13,1.27,27.1,25.55,1.17,14.54,61.39,22.64,18-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
18-Apr-2019 - 00:00,23.87,987.96,99.3,49.05,61.96,229.75,,151.61,1.11,1.73,26.89,27.98,1.45,16.09,65.23,22.04,19-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
19-Apr-2019 - 00:00,25.62,985.44,169.51,91.29,51.19,224.04,,61.44,1.03,3.62,29.59,38.23,3.01,22.8,61.65,31.94,20-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
20-Apr-2019 - 00:00,27.18,982.88,231.66,126.52,46.39,226.85,137.28,177.89,0.79,,29.0,49.76,11.66,35.94,71.39,36.01,21-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
21-Apr-2019 - 00:00,29.56,981.17,293.54,138.64,40.33,225.47,233.71,104.47,0.98,,29.03,51.46,12.74,37.75,68.05,33.86,22-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
22-Apr-2019 - 00:00,31.06,981.19,334.05,120.04,40.52,224.13,228.83,120.9,0.96,1.15,36.13,53.73,12.28,38.93,74.78,32.26,23-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
23-Apr-2019 - 00:00,32.71,982.08,349.51,123.69,36.7,223.73,173.1,128.49,1.02,0.97,36.06,48.43,6.67,31.17,75.35,25.55,24-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
24-Apr-2019 - 00:00,34.05,983.12,368.98,107.56,39.62,218.85,207.16,170.96,1.32,1.03,42.69,48.93,2.14,27.77,70.72,20.6,25-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
25-Apr-2019 - 00:00,32.98,983.14,347.79,94.23,43.63,208.52,126.21,196.08,1.49,0.99,48.67,32.75,1.54,18.68,74.94,17.9,26-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
26-Apr-2019 - 00:00,32.54,982.97,319.23,103.07,34.21,238.19,106.1,65.21,1.16,0.98,32.73,45.92,6.64,29.84,60.32,24.74,27-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
27-Apr-2019 - 00:00,33.68,982.22,402.76,86.21,24.46,262.5,102.1,47.04,2.19,0.7,23.55,31.96,2.08,18.72,75.92,20.83,28-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
28-Apr-2019 - 00:00,33.23,980.93,354.33,82.88,21.62,267.33,243.33,43.06,1.77,0.7,20.08,30.99,3.24,19.12,81.35,19.23,29-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
29-Apr-2019 - 00:00,34.0,980.0,327.42,98.36,20.46,261.87,248.95,96.55,1.36,0.87,21.59,38.52,2.93,22.87,89.39,24.24,30-Apr-2019 - 00:00,"Bawana, Delhi - DPCC"
30-Apr-2019 - 00:00,34.45,977.15,359.9,116.02,21.36,234.55,145.09,212.72,1.36,1.05,27.99,50.37,7.59,33.03,80.24,23.41,01-May-2019 - 00:00,"Bawana, Delhi - DPCC"
01-May-2019 - 00:00,33.26,976.72,383.8,112.39,26.96,223.42,127.29,167.66,1.15,1.11,31.38,47.55,7.48,31.41,86.13,20.38,02-May-2019 - 00:00,"Bawana, Delhi - DPCC"
02-May-2019 - 00:00,31.69,978.82,327.89,77.2,34.55,212.73,132.21,161.5,2.4,0.75,32.94,23.49,1.38,13.63,108.09,12.89,03-May-2019 - 00:00,"Bawana, Delhi - DPCC"
03-May-2019 - 00:00,30.45,981.18,164.41,55.25,37.53,230.53,160.17,162.95,1.62,0.76,28.51,30.97,3.81,19.57,104.37,11.51,04-May-2019 - 00:00,"Bawana, Delhi - DPCC"
04-May-2019 - 00:00,30.39,983.24,252.54,136.16,31.38,325.7,,105.81,1.48,0.83,29.54,30.3,1.93,17.68,95.82,25.19,05-May-2019 - 00:00,"Bawana, Delhi - DPCC"
05-May-2019 - 00:00,34.73,982.38,287.76,94.28,18.46,314.49,145.22,81.71,1.66,1.2,18.51,48.46,15.12,38.1,109.09,12.67,06-May-2019 - 00:00,"Bawana, Delhi - DPCC"
06-May-2019 - 00:00,32.18,980.37,428.24,218.88,21.14,240.41,197.54,116.68,1.3,1.49,26.05,62.54,20.85,50.28,75.6,27.11,07-May-2019 - 00:00,"Bawana, Delhi - DPCC"
07-May-2019 - 00:00,32.38,978.92,488.81,224.55,22.94,231.9,164.27,99.3,1.17,1.5,27.98,63.84,29.32,57.83,52.36,25.27,08-May-2019 - 00:00,"Bawana, Delhi - DPCC"
