from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
27-Feb-2019 - 00:00,64.8,198.2,44.99,10.02,32.08,28.38,10.19,0.89,54.04,1.13,70.85,0.6,300.83,15.95,63.63,741.07,26.17,,28-Feb-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
28-Feb-2019 - 00:00,108.41,210.78,30.66,14.03,27.72,40.62,9.8,0.86,58.38,1.42,63.8,0.59,269.12,15.16,67.89,741.7,116.64,,01-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
01-Mar-2019 - 00:00,114.48,247.0,40.47,11.49,30.87,42.83,16.26,0.93,60.85,1.52,75.75,0.55,274.81,16.54,61.99,741.83,120.53,,02-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
02-Mar-2019 - 00:00,157.65,267.78,60.41,14.35,43.8,60.21,22.91,1.34,18.51,3.15,85.65,0.45,155.39,15.86,77.33,742.0,30.52,1.91,03-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
03-Mar-2019 - 00:00,95.61,157.0,39.41,19.18,36.55,42.85,31.88,1.03,52.93,2.14,72.39,0.53,97.06,16.91,82.33,741.31,89.91,1.0,04-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
04-Mar-2019 - 00:00,101.86,165.43,28.39,12.76,25.46,49.96,12.41,0.91,57.77,1.19,59.03,0.57,257.4,18.28,80.56,741.08,105.6,,05-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
05-Mar-2019 - 00:00,84.39,176.7,25.84,3.51,16.59,33.26,9.44,0.76,53.76,0.76,56.9,0.64,270.2,17.71,73.58,741.19,117.34,,06-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
06-Mar-2019 - 00:00,91.18,187.95,28.62,3.85,18.35,34.41,12.19,0.8,64.37,1.03,61.89,0.62,272.73,18.61,63.62,741.31,123.78,,07-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
