from date,PM2.5,PM10,NOx,NH3,NO,NO2,CO,SO2,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,Xylene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
23-Jun-2019 - 00:00,15.88,33.68,65.79,10.91,61.43,16.98,0.22,1.36,20.29,7.14,10.13,9.17,0.2,,3.01,,,1.25,171.36,0.03,,244.21,0.02,24-Jun-2019 - 00:00,"Fort William, Kolkata - WBPCB"
24-Jun-2019 - 00:00,31.28,57.72,28.51,4.16,13.39,15.21,0.23,2.45,29.96,6.4,9.22,8.41,0.2,,2.86,,,1.32,184.6,0.03,,234.8,0.0,25-Jun-2019 - 00:00,"Fort William, Kolkata - WBPCB"
25-Jun-2019 - 00:00,22.61,47.91,18.82,10.24,26.43,11.85,0.21,3.23,32.45,6.46,8.89,8.06,0.18,,2.64,,,1.62,186.85,0.04,,248.0,0.0,26-Jun-2019 - 00:00,"Fort William, Kolkata - WBPCB"
26-Jun-2019 - 00:00,18.26,39.81,35.38,15.21,43.85,7.97,0.18,2.79,29.86,4.21,9.63,8.64,0.17,,2.81,,,2.04,186.14,0.04,999.93,269.31,0.0,27-Jun-2019 - 00:00,"Fort William, Kolkata - WBPCB"
27-Jun-2019 - 00:00,23.33,44.14,65.33,25.46,97.29,9.42,0.2,3.5,31.26,4.39,10.45,9.4,0.19,,3.06,30.42,75.06,1.86,186.6,0.03,997.53,234.09,0.01,28-Jun-2019 - 00:00,"Fort William, Kolkata - WBPCB"
28-Jun-2019 - 00:00,30.36,51.94,15.63,10.04,14.47,6.95,0.28,4.42,54.41,5.19,10.13,9.4,0.2,,3.15,29.19,78.56,1.18,187.57,0.02,996.25,176.58,0.0,29-Jun-2019 - 00:00,"Fort William, Kolkata - WBPCB"
29-Jun-2019 - 00:00,44.12,78.95,16.64,6.02,12.41,6.51,0.42,3.04,47.86,11.81,13.33,12.56,0.22,,4.2,28.86,84.65,0.58,158.88,0.01,995.58,189.07,0.05,30-Jun-2019 - 00:00,"Fort William, Kolkata - WBPCB"
30-Jun-2019 - 00:00,44.4,86.81,17.87,3.9,11.68,7.62,0.55,2.16,24.31,8.84,12.41,12.4,0.22,,4.32,27.8,87.6,0.38,164.56,0.02,995.53,215.29,0.04,01-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
01-Jul-2019 - 00:00,25.67,56.62,17.09,3.7,10.01,8.18,0.4,2.09,29.87,9.72,8.4,8.86,0.17,,2.99,28.36,84.68,1.02,97.81,-0.04,993.52,214.79,0.03,02-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
02-Jul-2019 - 00:00,18.85,31.36,14.93,5.17,8.01,8.18,0.36,4.15,40.91,8.1,9.62,9.38,0.19,,3.09,27.98,86.81,1.07,120.78,-0.0,994.5,212.29,0.1,03-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
03-Jul-2019 - 00:00,21.25,39.15,14.29,3.98,5.86,8.56,0.36,2.08,44.52,5.56,10.0,10.11,0.22,,3.63,28.3,82.96,0.86,166.05,0.02,996.67,235.92,0.01,04-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
04-Jul-2019 - 00:00,32.4,66.38,12.72,12.81,5.32,7.88,0.37,2.67,47.38,5.42,10.4,9.58,0.21,,3.82,29.78,77.38,0.74,195.22,0.02,995.65,225.94,0.0,05-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
05-Jul-2019 - 00:00,31.8,65.99,18.52,27.67,7.17,11.51,0.43,2.05,24.48,13.04,13.24,12.71,0.23,,4.26,28.83,81.97,0.47,162.02,0.01,992.98,203.47,0.0,06-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
06-Jul-2019 - 00:00,30.89,55.33,16.38,27.36,6.92,9.62,0.38,5.39,29.32,5.99,10.37,9.7,0.19,,3.29,27.86,86.14,0.91,199.03,0.02,991.28,191.46,0.01,07-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
07-Jul-2019 - 00:00,20.34,41.19,10.38,21.0,6.64,5.05,0.27,6.12,26.91,4.1,10.49,9.26,0.17,,3.11,28.15,80.95,1.29,187.88,0.02,993.95,179.31,0.0,08-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
08-Jul-2019 - 00:00,28.71,59.08,7.74,15.16,4.41,4.49,0.22,7.73,34.61,3.81,9.76,8.77,0.17,,2.95,29.28,79.45,1.57,186.42,0.03,996.26,215.28,0.02,09-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
09-Jul-2019 - 00:00,21.95,56.07,17.04,53.44,17.29,4.56,0.24,8.88,31.22,4.01,9.59,8.63,0.18,,2.92,29.54,80.0,1.62,187.02,0.02,996.71,223.89,0.0,10-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
10-Jul-2019 - 00:00,24.93,52.25,12.01,45.43,13.59,4.26,0.29,6.21,29.94,4.25,9.63,8.68,0.17,,3.0,28.91,82.19,1.28,193.62,0.02,996.86,207.91,0.02,11-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
11-Jul-2019 - 00:00,26.74,53.62,78.18,114.64,137.7,12.44,0.24,7.35,28.5,4.07,9.87,8.83,0.16,,2.99,29.07,81.75,1.52,186.96,0.03,999.06,168.0,0.0,12-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
12-Jul-2019 - 00:00,26.24,53.89,11.87,66.95,15.11,3.23,0.26,11.46,30.97,3.92,9.42,8.65,0.16,,2.97,29.31,80.64,1.34,190.24,0.02,,200.22,0.0,13-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
13-Jul-2019 - 00:00,33.12,67.61,6.87,92.21,9.99,1.25,0.27,12.03,42.25,4.17,9.91,8.85,0.17,,3.07,30.05,79.48,1.37,189.84,0.02,999.81,213.37,0.0,14-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
14-Jul-2019 - 00:00,39.54,72.75,2.74,175.16,2.46,1.46,0.31,19.32,51.25,3.96,9.64,8.44,0.19,,2.85,30.86,73.62,1.18,194.79,0.02,998.01,233.61,0.0,15-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
15-Jul-2019 - 00:00,49.7,92.79,11.48,280.29,15.2,6.27,0.31,15.78,52.05,4.29,7.75,7.39,0.17,,2.53,31.21,72.49,0.89,198.03,0.02,997.22,225.68,0.0,16-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
16-Jul-2019 - 00:00,41.45,82.32,32.96,204.1,41.67,8.89,0.46,11.89,31.15,6.05,11.93,10.97,0.21,,3.84,28.46,84.04,0.55,191.02,0.02,998.82,214.0,0.34,17-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
17-Jul-2019 - 00:00,62.24,123.87,58.37,29.92,71.85,14.7,0.61,4.48,30.22,14.6,13.26,14.02,0.22,,5.28,30.14,75.91,0.8,164.49,0.16,998.67,258.02,0.01,18-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
18-Jul-2019 - 00:00,45.13,101.46,29.58,7.39,12.95,16.62,0.31,6.66,17.34,8.07,11.73,10.21,0.18,,3.55,30.65,74.83,1.04,156.63,0.02,998.56,233.22,0.0,19-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
19-Jul-2019 - 00:00,16.51,36.51,17.54,8.9,5.71,11.83,0.19,3.2,18.97,5.64,9.16,8.11,1.35,,2.78,30.32,72.61,1.6,145.57,0.02,999.56,241.45,0.0,20-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
20-Jul-2019 - 00:00,23.19,48.08,19.54,9.74,7.76,12.11,0.18,2.96,23.75,4.16,8.34,7.37,0.14,,2.54,29.96,75.11,2.01,170.58,0.02,,238.0,0.0,21-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
21-Jul-2019 - 00:00,24.21,47.11,15.44,5.73,4.4,11.03,0.2,6.13,28.56,3.9,8.37,7.34,0.14,,2.53,29.94,76.78,2.36,187.63,0.0,,255.24,0.02,22-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
22-Jul-2019 - 00:00,19.48,37.01,19.64,18.57,15.91,12.43,0.15,3.28,18.13,3.6,7.66,6.8,3.84,,2.32,30.08,75.51,2.08,188.64,0.01,,210.48,0.0,23-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
23-Jul-2019 - 00:00,13.55,30.77,18.53,4.71,6.69,11.84,0.15,5.21,15.29,3.81,8.15,7.05,4.0,,2.5,30.04,73.45,1.78,186.45,0.01,999.79,138.09,0.0,24-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
24-Jul-2019 - 00:00,13.42,33.66,26.23,3.82,8.19,18.03,0.2,7.9,20.58,4.86,8.54,7.53,4.6,,2.6,29.62,74.97,1.33,191.8,0.01,999.32,144.51,0.0,25-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
25-Jul-2019 - 00:00,36.65,71.03,34.12,3.74,5.4,29.99,0.35,14.78,32.92,10.14,10.87,9.63,3.6,,3.46,28.89,77.93,0.91,201.88,0.01,998.97,103.79,0.0,26-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
26-Jul-2019 - 00:00,29.54,53.41,34.64,6.9,6.79,27.87,0.35,5.12,23.79,9.3,9.13,8.35,2.06,,2.99,27.44,87.64,0.81,156.95,0.0,996.68,68.29,0.06,27-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
27-Jul-2019 - 00:00,26.88,47.64,49.8,7.47,20.65,29.21,0.37,3.33,17.5,11.87,10.45,10.07,2.18,,3.58,27.81,84.9,0.84,177.88,0.0,995.97,86.51,0.02,28-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
28-Jul-2019 - 00:00,11.61,27.96,21.34,6.13,6.48,16.04,0.22,2.96,19.7,7.97,8.14,7.52,1.86,,2.62,27.87,85.83,1.38,99.0,-0.01,996.58,116.11,0.03,29-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
29-Jul-2019 - 00:00,11.39,21.39,28.69,5.24,7.62,21.12,0.35,2.58,21.11,4.74,7.15,6.88,1.99,,2.45,27.07,89.19,1.5,140.98,0.01,997.99,88.12,0.14,30-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
30-Jul-2019 - 00:00,21.07,45.43,28.71,5.52,6.69,21.85,0.38,3.56,18.66,6.44,9.49,9.17,1.59,,4.62,27.93,84.52,1.32,163.51,0.0,,101.63,0.01,31-Jul-2019 - 00:00,"Fort William, Kolkata - WBPCB"
31-Jul-2019 - 00:00,22.44,47.6,31.22,5.12,8.38,22.83,0.48,4.63,24.63,4.91,7.97,7.63,2.86,,2.76,28.48,80.38,1.26,187.8,0.0,998.85,89.01,0.0,01-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
01-Aug-2019 - 00:00,23.42,47.79,48.85,6.3,28.68,26.84,0.43,8.61,24.1,6.79,8.19,7.59,2.74,,2.79,28.99,76.71,1.15,178.87,0.0,997.66,121.09,0.0,02-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
02-Aug-2019 - 00:00,17.55,34.84,57.79,10.32,35.9,21.95,0.54,9.31,16.87,19.99,18.55,25.48,3.16,,10.8,28.27,84.74,0.94,151.81,-0.0,996.39,127.02,0.01,03-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
03-Aug-2019 - 00:00,30.09,49.83,57.22,28.59,112.13,17.61,0.64,10.1,15.04,12.04,13.69,19.49,2.31,,8.19,28.12,85.49,0.92,182.92,0.0,995.52,101.69,0.0,04-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
04-Aug-2019 - 00:00,39.58,64.96,27.94,12.79,40.99,6.24,0.81,4.17,17.91,7.63,12.57,12.56,3.76,,4.67,28.01,90.63,0.56,200.5,-0.0,994.44,76.21,0.08,05-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
05-Aug-2019 - 00:00,34.57,59.8,19.89,4.84,8.47,15.78,0.7,2.92,21.36,7.79,8.94,9.0,3.27,,3.31,29.35,83.14,0.77,151.56,-0.0,992.37,112.57,0.01,06-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
06-Aug-2019 - 00:00,26.99,47.89,41.25,7.26,16.3,24.99,0.54,3.05,14.43,12.72,7.96,8.38,1.84,,3.05,28.28,85.16,1.25,105.87,-0.02,990.44,82.21,0.06,07-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
07-Aug-2019 - 00:00,8.22,15.5,21.35,14.75,10.75,12.97,0.24,1.68,22.93,11.01,7.44,7.27,0.86,,2.95,26.7,91.43,1.97,99.27,-0.04,988.49,79.3,0.2,08-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
08-Aug-2019 - 00:00,12.48,24.01,20.33,12.07,8.15,15.13,0.25,2.62,15.15,4.07,6.37,6.31,1.18,,2.3,26.75,91.3,1.64,168.41,0.0,993.21,55.68,0.29,09-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
09-Aug-2019 - 00:00,24.59,54.94,30.37,14.21,11.98,26.02,0.29,3.85,17.9,5.1,7.45,7.37,3.27,,2.74,28.68,82.15,1.16,177.21,0.0,997.93,108.59,0.03,10-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
10-Aug-2019 - 00:00,34.95,63.9,55.12,11.01,25.69,30.22,0.6,4.25,23.39,7.27,13.69,11.09,3.61,,4.16,28.46,86.52,0.74,197.62,0.0,997.37,104.44,0.01,11-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
11-Aug-2019 - 00:00,45.94,75.46,55.93,10.98,25.73,29.2,0.61,3.3,23.57,10.95,10.9,11.63,4.72,,4.58,29.38,83.22,0.72,207.97,0.0,996.06,110.67,0.0,12-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
12-Aug-2019 - 00:00,25.29,53.15,45.7,15.78,24.02,26.33,0.53,2.74,14.32,8.43,8.36,8.44,1.85,,3.16,27.57,92.04,0.79,180.47,0.01,994.89,61.59,0.06,13-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
13-Aug-2019 - 00:00,16.93,29.26,24.23,13.84,4.66,18.57,0.3,1.59,21.27,4.94,6.9,6.81,1.56,,2.54,26.97,90.34,1.47,148.3,0.0,996.46,76.59,0.2,14-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
14-Aug-2019 - 00:00,34.89,61.17,26.04,11.02,4.64,20.46,0.26,2.0,22.93,3.79,6.25,6.12,1.59,,2.25,28.09,87.77,1.6,172.25,0.0,,78.47,0.31,15-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
15-Aug-2019 - 00:00,28.55,44.88,22.44,8.61,3.38,18.06,0.29,2.34,23.6,3.91,6.08,6.0,1.34,,2.23,26.93,93.49,1.34,184.64,0.0,,53.99,0.3,16-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
16-Aug-2019 - 00:00,33.28,58.22,33.64,9.81,6.84,25.79,0.34,3.03,20.9,4.57,6.39,6.56,3.5,,2.5,27.87,90.21,1.25,199.01,0.0,,92.64,0.38,17-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
17-Aug-2019 - 00:00,26.83,36.11,35.66,9.34,6.78,27.87,0.38,1.82,14.48,5.93,8.85,8.23,0.93,,3.08,24.95,98.13,0.99,190.86,0.0,,37.92,0.6,18-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
18-Aug-2019 - 00:00,20.47,29.78,21.65,9.31,3.61,17.04,0.28,2.42,23.82,4.26,6.86,6.53,0.95,,2.45,26.23,91.74,1.18,171.83,0.0,,78.18,0.23,19-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
19-Aug-2019 - 00:00,18.67,32.59,26.7,14.41,6.76,18.94,0.24,2.42,19.76,2.99,5.62,5.29,3.27,,2.06,28.48,81.98,1.58,176.68,0.01,,141.44,0.06,20-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
20-Aug-2019 - 00:00,28.14,52.79,28.74,15.12,3.54,24.19,0.27,5.67,23.04,5.07,5.81,6.09,4.39,,2.38,28.86,83.52,1.26,185.34,0.01,,87.67,0.01,21-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
21-Aug-2019 - 00:00,34.32,60.84,32.66,12.14,5.61,26.05,0.32,2.31,16.58,6.14,6.68,6.71,2.67,,2.59,29.49,81.1,0.84,177.44,0.0,,120.88,0.03,22-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
22-Aug-2019 - 00:00,35.24,71.74,48.71,16.36,19.6,28.75,0.33,2.83,12.94,11.21,7.36,7.52,2.94,,3.0,28.58,84.15,0.91,160.42,0.0,999.69,141.06,0.43,23-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
23-Aug-2019 - 00:00,23.47,39.54,47.76,12.76,23.17,23.59,0.41,1.54,10.86,16.79,9.01,9.18,2.72,,3.65,27.97,86.48,1.05,207.79,0.01,,120.59,0.04,24-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
24-Aug-2019 - 00:00,28.09,46.57,48.04,12.01,14.67,32.36,0.45,1.29,6.17,18.07,8.28,8.97,1.73,,3.53,26.92,92.09,0.79,132.67,0.01,,48.69,0.08,25-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
25-Aug-2019 - 00:00,19.37,36.55,33.01,12.23,7.52,24.49,0.31,1.68,16.0,8.38,6.39,6.71,1.32,,2.57,26.97,90.87,1.1,101.01,0.01,999.62,73.64,0.18,26-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
26-Aug-2019 - 00:00,17.14,34.45,42.84,15.09,54.97,19.39,0.36,9.07,20.28,12.22,5.85,7.04,1.59,,2.91,27.17,88.22,1.18,109.47,0.0,999.18,91.94,0.09,27-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
27-Aug-2019 - 00:00,19.88,39.84,55.67,18.94,34.07,29.06,0.34,1.67,7.55,11.67,7.5,8.11,1.57,,4.17,28.1,86.18,1.04,140.25,0.0,999.17,102.08,0.14,28-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
28-Aug-2019 - 00:00,29.12,51.84,51.29,15.74,37.4,30.0,0.46,1.8,7.72,10.13,6.85,7.44,2.61,,3.0,28.08,87.75,0.86,158.74,0.01,,116.94,0.19,29-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
29-Aug-2019 - 00:00,21.63,39.43,68.79,15.41,52.58,29.89,0.4,1.4,5.05,24.92,8.25,9.11,1.83,,3.77,27.71,89.04,0.94,142.12,0.0,,103.96,0.11,30-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
30-Aug-2019 - 00:00,25.35,46.25,36.63,17.3,45.77,24.28,0.33,1.63,7.78,12.37,7.97,6.09,10.04,,3.98,29.16,81.61,0.96,167.42,0.0,999.46,142.05,0.17,31-Aug-2019 - 00:00,"Fort William, Kolkata - WBPCB"
31-Aug-2019 - 00:00,23.88,48.05,47.15,20.6,86.99,15.27,0.32,3.82,8.38,1.38,7.28,1.44,2.01,,2.77,29.58,78.52,0.79,173.68,0.0,998.56,128.37,0.08,01-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
01-Sep-2019 - 00:00,36.24,62.34,39.51,25.31,30.21,24.85,0.36,4.96,16.49,0.9,7.16,1.38,1.89,,2.66,28.58,87.03,0.74,202.47,0.0,999.06,83.16,0.67,02-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
02-Sep-2019 - 00:00,20.73,39.8,118.19,33.02,145.64,27.9,0.42,3.32,16.69,1.96,6.93,1.51,1.82,,2.99,28.44,83.71,0.91,162.65,0.01,998.36,139.84,0.13,03-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
03-Sep-2019 - 00:00,16.04,28.5,65.48,97.63,152.15,18.59,0.34,3.87,11.43,2.36,6.48,1.39,1.75,,2.74,27.73,89.18,0.96,101.01,0.01,997.52,91.05,0.15,04-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
04-Sep-2019 - 00:00,15.43,31.67,17.22,6.99,7.6,9.98,0.28,3.55,9.16,2.36,6.39,1.36,1.75,,2.71,28.62,84.04,1.15,104.25,0.0,997.23,99.35,0.44,05-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
05-Sep-2019 - 00:00,15.97,29.08,25.9,14.15,10.37,15.5,0.3,3.63,11.95,2.99,5.86,1.36,1.5,,2.98,28.17,82.64,1.22,95.46,0.0,997.08,90.73,0.16,06-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
06-Sep-2019 - 00:00,15.34,32.29,22.62,17.05,4.87,17.74,0.29,3.56,11.82,2.59,5.06,1.14,1.38,,2.36,28.84,77.21,1.33,93.72,0.0,996.06,112.51,1.59,07-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
07-Sep-2019 - 00:00,19.16,32.13,25.37,16.82,5.91,19.44,0.38,3.66,8.98,4.43,6.6,2.19,3.35,,3.97,27.34,92.64,1.21,106.59,-0.01,996.85,55.63,0.13,08-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
08-Sep-2019 - 00:00,16.18,36.28,22.56,13.76,3.9,18.64,0.3,3.59,9.88,0.88,4.71,1.05,1.31,,2.36,27.5,92.13,1.14,147.58,-0.01,998.95,67.66,0.11,09-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
09-Sep-2019 - 00:00,24.11,41.02,18.38,11.13,2.1,16.27,0.26,6.32,19.01,0.43,3.86,0.83,1.16,,1.61,28.6,86.48,1.35,197.62,0.0,999.06,104.99,0.07,10-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
10-Sep-2019 - 00:00,25.06,46.69,13.48,18.11,1.41,12.06,0.23,4.94,22.36,0.41,3.53,0.72,1.05,,1.46,29.18,84.76,1.33,191.9,-0.0,998.8,82.91,0.06,11-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
11-Sep-2019 - 00:00,22.53,38.65,23.81,12.58,4.48,19.31,0.37,6.27,16.54,0.49,4.15,0.85,1.06,,1.65,27.61,89.08,1.07,193.98,0.0,999.36,76.27,0.3,12-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
12-Sep-2019 - 00:00,28.95,42.61,36.26,13.49,11.49,24.75,0.35,4.07,7.88,0.7,5.28,1.14,1.22,,2.59,26.42,93.52,1.37,174.0,0.0,,51.87,0.02,13-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
13-Sep-2019 - 00:00,21.75,41.82,23.75,10.87,3.09,20.65,0.26,4.9,16.99,0.5,3.95,0.84,1.07,,1.65,27.81,87.68,1.65,181.51,0.0,,92.26,0.07,14-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
14-Sep-2019 - 00:00,29.04,56.69,23.79,9.3,2.31,21.46,0.27,6.52,35.45,0.57,4.56,0.94,1.26,,1.86,28.61,84.92,1.36,185.37,0.0,,104.34,0.02,15-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
15-Sep-2019 - 00:00,29.2,58.9,19.04,7.72,1.73,17.29,0.22,10.08,43.7,0.43,4.33,0.83,1.21,,1.59,29.31,79.98,1.39,190.47,0.0,,119.93,0.04,16-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
16-Sep-2019 - 00:00,27.67,50.24,20.38,7.48,2.56,17.81,0.24,6.83,30.8,0.46,4.34,0.85,1.14,,1.61,29.3,80.38,1.38,185.76,0.0,999.92,130.23,0.11,17-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
17-Sep-2019 - 00:00,23.24,42.29,27.71,6.14,6.29,21.4,0.21,5.58,22.78,0.65,4.13,0.88,0.99,,1.7,29.74,74.3,1.2,171.81,0.0,,115.92,0.01,18-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
18-Sep-2019 - 00:00,15.97,31.25,23.25,5.85,4.94,18.29,0.3,3.91,23.45,1.69,5.36,1.1,1.36,,2.17,28.71,82.07,1.03,121.33,0.0,,128.75,0.04,19-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
19-Sep-2019 - 00:00,8.2,28.16,31.6,8.92,7.67,21.37,0.32,3.97,19.06,0.95,11.1,1.8,1.98,,3.33,28.46,84.1,0.88,200.55,0.0,,54.69,0.01,20-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
20-Sep-2019 - 00:00,34.66,64.06,65.82,8.13,36.79,29.02,0.59,4.87,24.29,1.28,13.35,2.44,3.08,,4.56,27.8,89.22,0.63,223.2,0.0,,98.95,0.02,21-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
21-Sep-2019 - 00:00,36.67,69.82,77.37,5.56,48.0,29.35,0.66,5.4,26.81,4.09,13.72,3.82,4.33,,7.14,26.68,90.9,0.67,224.25,0.0,,106.25,0.15,22-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
22-Sep-2019 - 00:00,30.42,50.12,37.94,6.33,12.4,25.51,0.46,3.77,26.97,1.46,6.07,1.39,1.33,,2.89,27.54,85.68,0.73,190.19,0.0,,126.58,0.05,23-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
23-Sep-2019 - 00:00,18.97,39.51,28.27,6.91,4.77,23.49,0.37,3.64,21.36,1.73,4.82,1.08,1.12,,2.15,28.31,83.13,1.22,102.74,0.0,,90.44,0.1,24-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
24-Sep-2019 - 00:00,10.36,21.92,24.53,7.77,6.79,17.77,0.26,3.6,20.99,1.84,4.25,0.94,1.03,,1.89,25.88,92.69,1.34,117.69,0.0,,81.22,0.21,25-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
25-Sep-2019 - 00:00,23.4,36.02,40.72,7.18,14.47,26.24,0.49,3.27,16.87,3.54,5.12,1.3,1.23,,2.76,24.94,96.67,0.9,108.1,0.0,,43.31,0.01,26-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
26-Sep-2019 - 00:00,25.33,39.15,41.26,7.01,13.91,27.33,0.49,3.74,22.05,2.72,7.5,1.76,1.33,,4.97,25.49,92.47,0.95,138.24,0.0,,74.34,0.05,27-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
27-Sep-2019 - 00:00,25.51,43.33,43.53,8.09,16.25,27.26,0.52,3.8,24.28,2.39,6.02,1.39,1.42,,2.87,25.92,90.06,0.73,212.7,0.0,,77.79,0.03,28-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
28-Sep-2019 - 00:00,30.2,48.91,55.75,6.68,27.24,28.49,0.59,4.13,18.6,3.81,7.17,1.74,1.68,,3.77,25.15,94.63,0.73,159.84,0.0,,58.6,0.0,29-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
29-Sep-2019 - 00:00,20.6,31.97,33.37,5.83,8.23,25.12,0.38,3.39,21.28,1.75,5.39,1.23,1.39,,2.52,25.14,92.73,0.87,140.84,0.0,,66.39,0.0,30-Sep-2019 - 00:00,"Fort William, Kolkata - WBPCB"
30-Sep-2019 - 00:00,18.43,37.14,30.93,7.06,7.38,23.54,0.37,3.96,23.27,0.63,4.2,0.95,1.1,,1.86,26.52,86.89,1.15,197.53,0.0,,111.79,0.0,01-Oct-2019 - 00:00,"Fort William, Kolkata - WBPCB"
01-Oct-2019 - 00:00,34.85,71.38,36.68,4.98,10.09,26.57,0.47,5.98,29.92,0.97,7.92,1.61,1.39,,3.98,28.0,82.26,0.75,220.85,0.0,,136.54,0.0,02-Oct-2019 - 00:00,"Fort William, Kolkata - WBPCB"
