from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
16-Jul-2019 - 00:00,15.16,6.33,62.82,31.14,1.4,213.84,0.0,65.76,0.41,9.95,1.01,3.04,1.72,1.06,0.2,0.33,0.35,1.46,17-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Jul-2019 - 00:00,17.85,5.49,60.82,31.66,1.28,224.2,0.0,72.33,0.41,,1.62,3.01,1.5,1.36,0.32,0.32,0.51,2.65,18-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Jul-2019 - 00:00,17.82,0.28,64.14,31.11,1.43,200.69,0.0,65.54,,,2.29,2.84,1.48,1.6,0.38,0.35,0.67,2.42,19-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Jul-2019 - 00:00,17.95,3.38,78.43,29.7,1.0,201.42,0.0,43.23,0.41,0.01,2.51,3.2,1.46,3.32,5.68,0.31,7.79,2.82,20-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Jul-2019 - 00:00,17.0,5.76,77.84,29.64,1.25,141.84,0.0,43.76,0.41,0.01,2.92,3.95,1.71,4.34,8.1,0.29,13.12,3.25,21-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Jul-2019 - 00:00,11.33,10.91,80.93,29.62,1.88,143.35,0.0,29.04,0.41,0.01,1.34,3.49,1.65,4.21,7.89,0.26,12.88,2.95,22-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Jul-2019 - 00:00,11.71,10.06,74.17,30.62,1.8,133.69,0.0,29.18,0.41,0.01,1.21,3.91,1.73,6.67,8.04,0.86,15.04,0.94,23-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Jul-2019 - 00:00,6.64,12.84,69.39,31.45,1.58,147.36,0.0,22.02,0.41,31.68,1.08,3.42,2.08,8.36,6.01,0.84,13.49,5.13,24-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Jul-2019 - 00:00,12.1,164.06,72.05,30.74,1.37,152.45,0.0,25.77,0.42,63.4,1.51,4.01,1.4,5.03,6.7,8.24,12.72,3.64,25-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Jul-2019 - 00:00,1.92,250.67,73.93,29.89,2.33,214.77,0.0,19.72,0.4,62.43,1.12,3.66,1.63,4.37,7.6,16.28,12.89,0.68,26-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
