from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
02-Mar-2019 - 00:00,15.28,992.47,161.2,88.22,85.15,22.93,129.94,0.59,7.81,56.98,27.19,90.04,127.45,97.82,13.43,1.69,6.4,03-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Mar-2019 - 00:00,16.44,989.25,115.48,60.84,88.54,74.41,126.83,0.74,3.48,21.34,25.6,53.95,80.85,63.96,11.5,1.28,19.28,04-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Mar-2019 - 00:00,18.47,986.19,188.41,101.72,80.21,87.26,248.71,0.87,8.17,38.44,26.66,48.65,118.09,113.13,11.1,1.82,26.61,05-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Mar-2019 - 00:00,17.8,987.34,114.86,57.89,71.96,97.68,258.27,1.01,5.04,22.16,21.89,58.36,68.9,46.43,11.67,1.11,29.94,06-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Mar-2019 - 00:00,17.74,988.36,160.84,78.03,66.55,108.35,243.23,0.91,6.95,33.63,20.87,67.39,115.28,97.42,12.73,1.51,27.98,07-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Mar-2019 - 00:00,18.49,988.71,189.05,89.82,64.76,107.7,231.96,0.63,8.39,57.38,21.46,71.1,133.91,117.82,15.32,1.84,36.44,08-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Mar-2019 - 00:00,19.63,990.4,160.48,69.0,62.13,88.03,148.75,0.84,6.17,32.82,22.53,66.5,82.31,57.62,16.03,1.25,32.8,09-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Mar-2019 - 00:00,20.41,990.33,142.78,58.92,56.44,104.83,238.96,0.91,3.8,20.94,22.89,58.16,52.53,26.39,15.89,0.94,31.38,10-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Mar-2019 - 00:00,20.04,990.56,144.54,58.8,53.22,118.23,233.58,0.68,3.7,20.75,21.23,73.43,96.2,69.68,14.83,1.25,45.43,11-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Mar-2019 - 00:00,21.52,990.09,200.61,74.44,56.38,87.98,122.54,0.94,5.05,28.39,25.6,83.77,109.5,79.51,15.19,1.38,33.51,12-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Mar-2019 - 00:00,21.57,992.2,114.85,45.71,52.9,88.22,130.8,0.91,3.35,14.76,24.49,47.82,28.49,3.82,13.05,0.76,37.95,13-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Mar-2019 - 00:00,19.78,992.49,237.48,79.2,57.31,49.29,126.78,0.63,6.88,33.49,25.53,88.19,121.11,82.13,20.47,1.65,22.16,14-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
