from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
01-Aug-2019 - 00:00,32.15,977.34,74.68,28.09,71.08,165.52,114.76,0.88,2.03,8.31,40.1,32.71,24.19,8.27,9.3,0.94,18.06,02-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Aug-2019 - 00:00,30.46,976.42,76.45,30.79,81.05,80.07,106.89,0.8,3.44,14.27,39.83,38.03,26.67,7.9,8.54,1.08,25.33,03-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Aug-2019 - 00:00,29.43,976.4,75.61,32.43,86.14,76.84,104.25,0.83,3.69,21.29,37.02,39.82,31.57,12.75,10.91,1.14,19.0,04-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Aug-2019 - 00:00,30.46,975.36,90.55,44.82,83.93,116.99,97.79,0.79,3.4,15.39,40.8,40.92,33.99,15.0,10.62,1.2,14.9,05-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Aug-2019 - 00:00,31.56,973.76,95.39,48.99,81.15,120.45,138.57,0.76,3.11,14.12,49.19,40.65,34.87,16.22,9.5,1.26,11.36,06-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Aug-2019 - 00:00,27.73,974.27,57.3,28.72,95.02,29.3,124.82,0.83,3.68,18.33,54.41,47.36,47.06,26.79,8.93,1.37,10.26,07-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Aug-2019 - 00:00,30.33,974.14,76.47,30.73,81.4,144.35,119.51,0.79,4.75,25.32,36.94,39.66,45.6,30.01,12.24,1.3,28.95,08-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Aug-2019 - 00:00,32.78,973.81,72.56,22.61,71.35,182.08,107.67,0.8,2.53,14.6,29.2,35.16,27.96,11.33,10.6,1.93,9.63,09-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Aug-2019 - 00:00,31.5,975.78,51.43,9.7,68.73,118.29,85.05,1.62,1.22,4.05,29.78,22.2,14.95,3.85,12.57,0.72,13.33,10-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Aug-2019 - 00:00,30.3,976.71,31.72,13.19,79.31,103.55,109.99,1.4,1.56,3.04,25.76,21.55,14.6,3.84,8.92,0.76,15.27,11-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Aug-2019 - 00:00,31.86,977.9,57.31,20.29,73.58,127.57,162.49,1.18,1.16,6.04,34.27,26.95,20.06,7.04,8.56,0.84,10.95,12-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Aug-2019 - 00:00,30.58,977.96,39.19,15.72,81.47,69.33,217.04,0.92,1.23,6.25,29.42,30.8,25.78,11.53,8.67,0.93,9.81,13-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Aug-2019 - 00:00,29.92,978.25,49.92,17.88,85.94,102.34,210.79,0.87,2.18,10.73,28.12,33.99,33.48,18.89,8.21,1.1,9.59,14-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Aug-2019 - 00:00,29.63,979.54,57.29,32.3,89.02,117.17,149.14,0.64,2.74,13.69,31.33,46.7,43.85,23.29,8.23,1.36,11.99,15-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Aug-2019 - 00:00,30.71,979.27,51.62,23.89,81.58,121.93,92.35,0.98,1.69,13.33,29.09,28.5,26.83,14.32,8.14,0.99,9.73,16-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Aug-2019 - 00:00,29.26,977.59,31.33,13.78,82.34,95.11,87.75,1.21,1.23,4.39,23.65,21.91,14.42,3.39,10.18,0.77,11.04,17-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Aug-2019 - 00:00,26.97,977.07,12.47,6.6,95.15,46.2,116.11,1.53,0.7,2.36,18.57,15.63,11.98,4.49,8.24,0.73,9.81,18-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Aug-2019 - 00:00,27.17,980.42,35.17,14.06,92.36,57.96,199.54,0.86,2.53,11.71,20.45,28.54,32.26,21.1,7.96,1.08,12.88,19-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Aug-2019 - 00:00,29.91,982.46,85.71,38.15,81.68,119.0,163.0,0.6,4.83,23.18,21.61,38.97,49.77,35.63,8.06,1.46,14.32,20-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Aug-2019 - 00:00,30.92,981.84,89.44,39.59,76.3,149.92,253.74,0.82,4.43,19.55,28.87,37.33,47.26,33.56,8.61,1.33,13.81,21-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Aug-2019 - 00:00,31.43,980.42,124.49,40.11,74.88,160.24,211.81,0.86,3.62,12.78,31.5,41.32,34.6,15.48,7.9,1.19,13.57,22-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Aug-2019 - 00:00,29.78,980.89,131.75,40.32,76.47,111.37,207.31,0.71,4.98,22.53,33.44,53.3,55.04,32.74,8.87,1.14,11.85,23-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Aug-2019 - 00:00,30.54,980.54,147.75,47.34,78.43,128.39,180.59,0.58,4.92,23.65,34.47,52.46,98.85,87.02,9.17,2.97,12.17,24-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Aug-2019 - 00:00,30.02,980.82,151.88,59.15,82.97,79.78,145.12,0.67,6.86,32.07,39.63,52.82,93.95,78.53,8.38,1.99,10.85,25-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Aug-2019 - 00:00,28.09,981.49,55.4,27.6,89.64,90.4,99.67,0.7,2.58,13.43,34.7,35.84,29.04,12.24,8.25,1.07,10.19,26-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Aug-2019 - 00:00,30.39,981.12,61.0,20.41,79.5,168.59,104.76,0.8,2.61,17.85,28.28,32.19,33.41,19.99,8.42,1.08,10.11,27-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Aug-2019 - 00:00,31.88,980.13,95.76,32.55,75.33,158.64,126.65,0.59,3.7,23.47,25.61,40.55,54.83,40.8,8.89,1.5,12.77,28-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Aug-2019 - 00:00,32.88,981.09,95.66,34.57,72.08,162.3,128.13,0.74,2.52,13.79,28.14,40.56,44.34,27.59,9.81,1.18,12.86,29-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Aug-2019 - 00:00,32.68,982.14,78.43,29.05,71.77,184.88,130.68,1.03,1.79,5.99,28.86,34.03,24.18,7.45,7.77,0.9,12.18,30-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Aug-2019 - 00:00,32.43,979.65,88.95,31.82,71.49,163.23,152.21,0.79,2.23,7.66,26.87,41.05,32.89,13.55,8.51,1.1,11.23,31-Aug-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Aug-2019 - 00:00,32.11,977.58,135.33,47.8,77.02,108.01,198.86,0.67,4.05,19.43,26.91,60.54,53.27,25.84,8.53,1.62,16.48,01-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Sep-2019 - 00:00,29.69,979.87,64.24,23.9,82.11,72.16,104.59,0.94,2.35,10.86,29.29,38.06,25.38,6.27,9.15,1.01,19.56,02-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Sep-2019 - 00:00,31.59,979.97,107.57,44.85,75.52,129.81,113.68,0.62,3.04,12.56,28.57,47.51,33.05,9.57,8.13,1.19,12.51,03-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Sep-2019 - 00:00,32.08,978.79,144.1,61.49,75.0,100.93,149.95,0.66,4.14,13.66,26.42,49.52,48.8,27.52,7.64,1.49,14.95,04-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Sep-2019 - 00:00,31.4,978.46,138.98,67.82,79.46,99.82,121.91,0.8,3.02,16.16,24.36,47.17,30.37,6.49,4.81,1.22,18.07,05-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Sep-2019 - 00:00,31.31,978.63,75.95,28.96,77.69,117.7,116.04,0.86,2.02,10.53,24.7,36.74,29.04,11.64,5.26,1.13,14.45,06-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Sep-2019 - 00:00,31.93,977.71,74.21,29.58,75.09,143.36,131.73,0.97,2.32,12.55,28.2,35.47,26.24,9.02,5.8,1.09,13.87,07-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Sep-2019 - 00:00,30.26,978.35,69.18,28.01,82.74,111.46,128.91,0.9,2.2,9.48,21.88,33.4,27.73,12.21,5.98,1.12,15.16,08-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Sep-2019 - 00:00,31.14,979.88,77.92,29.94,77.64,118.1,88.01,0.69,2.23,9.33,26.34,32.67,29.55,14.93,7.43,1.1,23.87,09-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Sep-2019 - 00:00,31.99,978.47,127.52,52.28,74.38,105.23,133.01,0.68,3.64,12.45,26.81,37.72,48.83,35.32,5.54,1.46,16.24,10-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Sep-2019 - 00:00,32.44,977.98,143.17,61.12,70.24,113.3,165.47,0.48,4.34,12.73,24.78,43.56,57.86,42.54,7.33,1.57,16.4,11-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Sep-2019 - 00:00,33.25,979.3,171.09,71.28,69.15,123.04,138.92,0.6,3.83,12.21,28.59,58.49,55.21,29.57,7.04,1.52,17.2,12-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Sep-2019 - 00:00,32.22,980.79,111.42,50.94,75.17,110.02,121.13,0.96,2.22,6.87,29.82,37.46,27.15,8.88,7.06,1.08,12.54,13-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Sep-2019 - 00:00,32.03,981.76,65.84,26.27,72.2,129.45,121.71,0.92,1.7,7.65,25.59,32.85,23.78,7.77,6.72,0.96,15.11,14-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Sep-2019 - 00:00,31.1,982.45,58.47,23.66,73.67,91.55,98.17,0.98,1.49,6.9,20.25,26.04,17.34,4.28,8.93,0.78,23.72,15-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Sep-2019 - 00:00,29.99,982.54,74.36,35.28,80.02,66.31,136.87,0.77,2.4,9.09,19.12,35.77,31.23,14.97,8.76,1.06,22.66,16-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Sep-2019 - 00:00,31.53,980.96,121.24,51.83,72.79,103.73,145.87,0.69,3.7,12.67,19.35,45.12,50.77,32.85,7.21,1.36,16.87,17-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Sep-2019 - 00:00,31.75,981.84,130.65,51.3,66.57,114.37,154.89,0.73,2.98,12.82,20.4,46.33,39.02,17.4,7.04,1.2,12.96,18-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Sep-2019 - 00:00,30.39,985.95,79.93,31.76,67.95,128.68,115.29,1.06,1.7,5.94,23.59,32.7,20.31,3.61,8.73,0.85,12.28,19-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Sep-2019 - 00:00,28.57,988.15,47.82,18.4,74.72,88.23,111.27,1.15,2.47,6.35,23.01,22.91,15.51,4.07,6.29,0.82,12.27,20-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Sep-2019 - 00:00,29.77,986.33,79.25,30.15,71.63,120.91,130.7,0.79,1.77,11.47,23.74,34.33,33.59,18.8,7.03,1.05,12.25,21-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Sep-2019 - 00:00,28.91,985.13,80.4,31.82,77.92,113.61,155.04,0.75,2.12,12.24,24.08,32.18,36.63,23.92,9.03,1.13,11.89,22-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Sep-2019 - 00:00,26.43,987.19,58.27,20.82,84.67,62.64,114.5,0.89,1.8,11.67,22.73,31.09,34.51,22.06,7.69,0.91,11.25,23-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Sep-2019 - 00:00,27.84,988.46,73.23,28.95,76.84,93.89,117.34,0.78,2.01,11.56,24.9,37.26,28.13,10.22,9.08,0.98,13.02,24-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Sep-2019 - 00:00,28.29,988.51,91.42,33.52,38.14,90.73,139.02,0.8,2.33,14.02,22.77,39.54,36.32,18.77,8.97,1.06,19.1,25-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Sep-2019 - 00:00,28.55,989.73,86.96,29.14,75.41,113.99,99.08,0.88,1.92,11.75,24.1,37.69,36.41,20.07,8.04,1.01,14.54,26-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Sep-2019 - 00:00,29.05,990.03,47.41,15.82,73.08,94.58,99.09,1.12,1.38,10.0,22.56,23.88,18.72,7.37,7.55,0.8,9.93,27-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Sep-2019 - 00:00,27.86,988.9,45.32,11.42,75.28,75.23,89.57,1.02,1.22,8.72,19.77,25.05,19.15,7.16,11.41,0.75,8.59,28-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Sep-2019 - 00:00,27.36,987.07,55.32,16.94,39.65,72.86,90.38,1.0,1.49,11.65,,25.76,22.49,10.78,10.66,0.82,7.71,29-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Sep-2019 - 00:00,26.61,987.81,38.51,14.24,80.43,73.81,107.73,0.95,1.18,7.38,,22.08,16.48,5.82,7.65,0.76,7.82,30-Sep-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Sep-2019 - 00:00,26.89,986.71,73.76,27.88,79.8,74.46,114.66,0.83,1.88,10.53,,31.8,27.89,13.46,6.98,1.0,8.45,01-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Oct-2019 - 00:00,27.43,986.08,71.33,28.41,78.98,100.32,122.86,0.88,1.88,9.99,,28.49,26.83,14.31,6.58,0.98,8.6,02-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Oct-2019 - 00:00,28.06,987.22,83.92,33.06,72.83,98.65,123.99,0.55,2.49,10.68,,34.4,45.56,33.35,8.96,1.02,11.77,03-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Oct-2019 - 00:00,28.15,987.23,126.99,52.4,71.88,94.23,163.66,0.67,5.08,24.0,,49.01,85.77,73.24,9.85,2.29,31.83,04-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Oct-2019 - 00:00,26.44,988.17,94.92,43.2,75.88,108.01,210.59,0.93,3.61,19.82,31.14,41.73,37.24,18.46,8.31,1.37,14.15,05-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Oct-2019 - 00:00,26.86,988.08,97.24,36.49,63.27,123.57,250.57,0.82,3.72,21.1,17.62,40.78,56.16,42.22,7.96,1.25,13.07,06-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Oct-2019 - 00:00,27.15,988.66,129.24,52.04,64.92,107.85,246.93,0.75,4.13,23.82,21.79,42.7,37.4,18.08,8.64,1.17,14.08,07-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Oct-2019 - 00:00,27.5,989.65,126.25,49.47,62.79,87.38,263.33,1.12,3.14,16.78,22.98,39.56,23.49,2.96,8.01,1.07,13.52,08-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Oct-2019 - 00:00,26.9,989.16,114.31,39.06,59.71,115.61,244.6,0.89,3.66,17.66,20.66,47.05,66.66,51.04,9.6,1.23,12.96,09-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Oct-2019 - 00:00,26.85,989.17,181.88,72.8,63.32,109.94,169.95,0.56,4.61,22.72,23.91,66.24,129.6,115.79,10.33,2.12,16.68,10-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Oct-2019 - 00:00,27.4,988.64,188.5,81.0,60.73,99.29,168.04,0.51,2.72,11.15,29.81,72.05,102.11,78.27,11.08,2.03,21.46,11-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Oct-2019 - 00:00,26.8,988.17,203.39,94.64,53.92,101.13,200.14,0.58,7.61,38.95,32.79,83.16,119.69,92.61,11.92,2.02,16.73,12-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Oct-2019 - 00:00,27.12,989.04,218.43,94.06,64.87,127.96,161.8,0.6,10.96,64.53,36.23,86.39,151.46,121.05,14.69,2.31,16.73,13-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Oct-2019 - 00:00,26.75,989.49,261.53,118.03,64.97,100.81,190.43,0.52,8.42,51.91,37.44,82.88,134.57,110.99,13.93,2.26,16.18,14-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Oct-2019 - 00:00,26.93,990.3,215.58,100.45,64.96,117.04,186.98,0.46,8.32,46.42,34.02,73.61,133.04,115.26,13.63,2.39,17.05,15-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Oct-2019 - 00:00,27.12,990.93,273.04,119.49,66.49,111.9,161.23,0.47,10.45,57.54,35.98,91.98,207.19,194.89,14.76,2.92,27.92,16-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Oct-2019 - 00:00,27.27,991.29,264.4,128.15,60.8,106.93,145.15,0.5,9.18,55.01,39.5,71.88,142.35,127.74,12.9,2.88,25.47,17-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Oct-2019 - 00:00,27.06,991.02,212.41,100.64,60.24,111.19,111.99,0.52,5.22,26.49,38.47,59.23,71.79,49.1,12.51,1.7,6.3,18-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Oct-2019 - 00:00,27.18,991.14,183.97,78.58,55.83,112.73,136.45,0.81,3.79,17.44,37.33,48.59,49.99,29.75,11.6,1.24,5.05,19-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Oct-2019 - 00:00,26.13,992.48,180.51,77.94,60.78,99.59,136.72,0.56,5.61,31.49,32.06,76.98,115.47,90.81,15.16,1.82,6.72,20-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Oct-2019 - 00:00,25.65,992.01,187.52,94.38,26.38,120.14,239.34,0.62,7.22,37.15,31.11,73.27,108.42,85.26,14.13,1.72,3.88,21-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Oct-2019 - 00:00,24.59,990.32,206.6,105.84,19.72,118.34,235.53,0.83,6.85,35.5,30.56,75.17,101.06,74.96,13.9,1.71,8.02,22-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Oct-2019 - 00:00,24.04,987.5,193.06,84.41,2.72,111.75,253.18,0.89,6.38,30.22,28.89,76.84,110.1,84.9,12.98,1.7,6.37,23-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Oct-2019 - 00:00,24.82,986.85,259.5,107.69,15.4,115.98,229.26,0.74,6.72,23.22,31.14,97.88,83.77,53.78,17.7,1.59,11.71,24-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Oct-2019 - 00:00,24.28,987.95,327.11,153.88,64.48,96.51,139.04,0.46,8.76,48.66,36.66,107.01,228.28,215.41,18.43,3.21,59.4,25-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Oct-2019 - 00:00,23.98,989.36,279.52,122.41,63.23,100.52,154.33,0.48,6.25,36.62,35.29,92.49,123.33,101.93,15.51,1.93,22.17,26-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Oct-2019 - 00:00,23.83,990.6,265.93,133.65,67.07,83.75,186.22,0.43,8.44,44.27,38.83,97.72,207.14,184.53,12.64,2.84,16.1,27-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Oct-2019 - 00:00,23.88,989.94,279.28,162.03,62.63,97.86,246.77,0.84,7.28,33.15,35.09,75.72,103.88,78.0,13.1,2.09,9.8,28-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Oct-2019 - 00:00,23.72,990.65,389.98,256.36,64.1,75.99,224.08,0.63,6.75,20.16,35.12,92.09,113.19,78.73,19.62,2.13,11.13,29-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Oct-2019 - 00:00,23.47,991.32,443.46,272.66,69.39,43.32,215.3,0.49,10.29,43.01,45.34,117.25,171.7,118.15,14.19,2.84,13.77,30-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Oct-2019 - 00:00,24.13,990.02,431.73,257.86,65.37,57.01,225.04,0.46,9.92,47.17,45.6,102.98,204.67,169.16,14.32,2.87,13.15,31-Oct-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Oct-2019 - 00:00,23.55,989.33,503.34,291.67,66.76,66.36,215.97,0.4,10.6,58.39,48.49,122.85,221.4,187.13,14.75,3.1,12.97,01-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Nov-2019 - 00:00,24.18,989.39,568.17,362.09,65.06,64.2,173.53,0.48,10.78,58.03,57.06,121.7,161.15,118.26,14.27,3.66,15.65,02-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Nov-2019 - 00:00,23.83,990.97,448.69,289.2,66.31,47.84,231.44,0.7,8.69,37.71,52.98,88.31,91.62,54.89,13.84,2.47,14.08,03-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Nov-2019 - 00:00,23.02,991.83,570.22,534.46,70.92,39.83,241.13,0.66,9.4,27.98,69.89,80.35,76.6,41.51,10.38,2.99,15.16,04-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Nov-2019 - 00:00,23.54,991.51,354.71,131.05,64.21,78.05,247.91,0.86,7.04,30.55,42.86,73.99,78.74,48.28,13.95,1.94,12.28,05-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Nov-2019 - 00:00,23.26,988.75,305.25,194.96,60.24,94.99,241.57,0.79,5.88,25.13,34.26,72.59,104.0,80.16,14.16,1.99,9.03,06-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Nov-2019 - 00:00,23.11,986.78,200.95,89.85,59.6,87.31,176.41,0.6,5.19,26.89,26.14,86.68,140.14,115.31,10.79,1.94,6.05,07-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Nov-2019 - 00:00,21.69,988.2,334.12,198.19,69.12,23.98,125.87,0.6,7.29,35.62,45.45,86.5,100.8,67.23,13.55,1.98,10.16,08-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Nov-2019 - 00:00,22.76,990.76,258.66,140.82,65.75,72.82,160.51,0.42,7.44,48.35,39.62,91.43,160.06,136.72,16.95,2.44,11.23,09-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Nov-2019 - 00:00,23.09,991.24,229.76,127.03,58.9,90.04,249.84,0.9,6.39,38.76,33.95,73.73,86.48,57.95,14.04,1.57,6.53,10-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Nov-2019 - 00:00,22.18,991.32,315.89,157.74,55.52,77.32,230.06,0.56,6.14,29.45,30.63,88.7,115.85,84.25,16.97,1.86,4.62,11-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Nov-2019 - 00:00,21.4,990.29,365.54,194.08,59.47,70.89,226.55,0.51,7.71,41.81,33.41,107.76,186.52,143.47,15.92,2.83,4.69,12-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Nov-2019 - 00:00,20.75,991.2,484.4,311.24,64.82,70.55,229.06,0.52,9.64,56.41,37.69,111.17,206.54,168.02,16.25,3.02,6.22,13-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Nov-2019 - 00:00,21.29,993.17,548.8,361.0,66.6,55.13,203.04,0.39,11.23,57.35,40.7,139.01,209.76,171.06,16.47,3.18,8.87,14-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Nov-2019 - 00:00,21.34,993.85,574.4,386.18,71.35,38.47,193.7,0.42,11.4,63.18,27.06,159.68,244.23,214.22,16.19,3.96,21.02,15-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Nov-2019 - 00:00,22.05,992.83,553.82,386.99,66.38,57.93,208.53,0.59,9.34,41.85,17.65,97.17,132.18,113.27,21.32,3.03,11.04,16-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Nov-2019 - 00:00,22.87,992.51,281.92,159.72,59.68,72.04,268.2,1.05,5.84,25.51,6.77,58.8,47.28,22.04,16.24,1.38,5.34,17-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Nov-2019 - 00:00,22.49,992.49,165.31,87.74,57.35,79.86,268.85,1.23,3.18,12.3,3.56,44.05,29.81,10.47,13.0,0.91,3.09,18-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Nov-2019 - 00:00,21.14,992.09,181.66,96.83,64.46,74.94,240.05,0.82,4.02,21.77,12.73,65.26,96.61,96.62,12.0,1.56,5.33,19-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
