from date,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,PM2.5,PM10,RH,WD,WS,SR,RF,to date,station
18-Feb-2019 - 00:00,9.04,14.07,5.03,90.94,16.49,0.62,53.92,3.85,10.0,2.35,1.86,4.89,60.18,131.36,72.39,19.56,2.89,303.96,0.0,19-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Feb-2019 - 00:00,5.46,9.66,4.21,29.73,12.98,0.46,42.83,2.51,10.0,1.47,1.04,2.74,40.6,87.89,84.1,16.3,2.39,374.47,0.0,20-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Feb-2019 - 00:00,7.61,11.59,3.98,36.15,11.22,0.64,30.61,4.0,10.0,1.62,1.19,3.14,55.82,152.27,85.03,20.45,3.01,95.89,0.01,21-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Feb-2019 - 00:00,7.24,11.61,4.37,24.87,7.3,0.62,45.49,4.21,10.0,2.26,1.48,3.82,35.07,120.75,77.75,21.9,3.24,226.74,0.05,22-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Feb-2019 - 00:00,7.88,12.12,4.24,18.45,6.95,0.48,54.73,3.04,9.81,1.45,0.99,2.79,20.73,75.04,73.94,20.32,2.98,365.45,0.0,23-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Feb-2019 - 00:00,15.14,19.95,4.81,12.53,9.64,0.56,68.01,3.97,9.77,1.47,1.02,2.84,29.65,114.31,63.4,18.61,2.73,465.87,0.0,24-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Feb-2019 - 00:00,18.6,23.71,5.12,18.57,17.04,0.62,77.38,6.02,10.0,1.79,1.27,3.75,38.1,129.45,59.98,11.65,1.64,465.45,0.0,25-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Feb-2019 - 00:00,11.93,16.61,4.68,19.78,13.23,0.46,78.41,2.99,10.0,1.45,1.08,3.29,38.66,119.92,62.78,16.13,2.3,380.06,0.06,26-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Feb-2019 - 00:00,12.61,17.26,4.65,18.48,6.91,0.44,60.29,5.85,17.1,2.26,1.58,3.27,16.21,82.96,74.69,15.21,2.24,291.18,0.01,27-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Feb-2019 - 00:00,11.51,16.36,4.85,13.47,6.79,0.38,62.86,4.02,7.0,2.96,2.66,2.07,23.85,69.66,72.0,15.16,2.17,418.53,0.0,28-Feb-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
