from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
05-Mar-2019 - 00:00,1.32,152.97,9.29,34.93,44.22,6.6,06-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Mar-2019 - 00:00,1.22,134.15,7.77,24.96,32.73,5.29,07-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Mar-2019 - 00:00,1.51,228.35,23.18,51.38,74.56,5.83,08-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Mar-2019 - 00:00,1.42,191.37,28.19,61.5,89.69,6.09,09-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Mar-2019 - 00:00,1.23,159.8,11.54,31.63,43.17,4.39,10-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Mar-2019 - 00:00,,,,,,,11-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Mar-2019 - 00:00,,,,,,,12-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Mar-2019 - 00:00,1.47,203.18,23.54,57.58,81.12,8.65,13-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Mar-2019 - 00:00,1.52,176.94,22.7,52.08,74.78,6.42,14-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Mar-2019 - 00:00,1.56,186.22,22.11,54.21,76.31,6.4,15-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Mar-2019 - 00:00,1.98,168.87,24.62,59.11,83.73,3.77,16-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Mar-2019 - 00:00,2.0,170.36,26.4,58.55,84.95,5.64,17-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Mar-2019 - 00:00,1.74,181.18,26.62,61.99,88.61,4.61,18-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Mar-2019 - 00:00,1.31,221.13,7.74,37.93,45.68,4.09,19-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Mar-2019 - 00:00,1.46,241.26,25.63,68.27,93.9,7.27,20-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Mar-2019 - 00:00,1.19,120.59,5.39,20.09,25.48,5.32,21-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Mar-2019 - 00:00,,,,,,,22-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Mar-2019 - 00:00,,,,,,,23-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Mar-2019 - 00:00,,,,,,,24-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Mar-2019 - 00:00,,,,,,,25-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Mar-2019 - 00:00,1.44,200.9,24.03,59.66,83.69,8.44,26-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Mar-2019 - 00:00,1.37,162.16,15.64,47.61,63.25,7.01,27-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Mar-2019 - 00:00,1.43,165.17,21.19,49.95,71.14,6.44,28-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Mar-2019 - 00:00,1.39,179.94,23.16,58.33,81.5,7.32,29-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Mar-2019 - 00:00,1.38,176.04,22.85,57.23,80.08,7.05,30-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Mar-2019 - 00:00,1.32,122.29,12.79,40.45,53.24,6.38,31-Mar-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Mar-2019 - 00:00,,,,,,,01-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Apr-2019 - 00:00,,,,,,,02-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Apr-2019 - 00:00,1.42,296.62,18.96,54.68,73.64,7.64,03-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Apr-2019 - 00:00,1.42,211.57,27.56,68.45,96.0,8.33,04-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Apr-2019 - 00:00,1.42,171.97,23.59,52.07,75.66,7.12,05-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Apr-2019 - 00:00,1.39,166.88,27.37,57.78,85.15,7.01,06-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Apr-2019 - 00:00,1.35,175.53,17.1,49.65,66.75,6.95,07-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Apr-2019 - 00:00,1.33,157.58,18.05,46.9,64.95,7.21,08-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Apr-2019 - 00:00,1.33,138.0,15.05,42.32,57.37,7.0,09-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Apr-2019 - 00:00,1.34,190.84,8.69,45.47,54.16,8.12,10-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Apr-2019 - 00:00,1.32,125.87,13.9,44.52,58.42,6.92,11-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Apr-2019 - 00:00,1.49,228.09,39.51,80.66,109.5,9.78,12-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Apr-2019 - 00:00,1.34,169.49,22.26,55.38,77.57,6.71,13-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Apr-2019 - 00:00,1.38,168.96,20.55,54.0,74.54,7.88,14-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Apr-2019 - 00:00,1.34,157.26,16.16,45.96,62.13,8.07,15-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Apr-2019 - 00:00,1.4,156.47,21.26,52.35,73.61,6.85,16-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Apr-2019 - 00:00,1.33,147.7,12.38,42.68,55.07,7.0,17-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Apr-2019 - 00:00,1.32,168.55,12.05,32.31,44.36,6.34,18-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Apr-2019 - 00:00,1.36,177.74,10.51,47.47,57.98,5.91,19-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Apr-2019 - 00:00,2.41,219.28,23.2,60.91,84.11,7.6,20-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Apr-2019 - 00:00,1.71,124.63,13.09,38.77,51.87,6.55,21-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Apr-2019 - 00:00,1.71,127.06,11.82,36.99,48.81,6.65,22-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Apr-2019 - 00:00,1.33,151.79,14.77,39.5,54.27,6.69,23-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Apr-2019 - 00:00,1.35,139.59,14.83,46.53,61.36,6.81,24-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Apr-2019 - 00:00,1.34,140.52,17.39,51.39,68.78,7.59,25-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Apr-2019 - 00:00,1.38,182.58,24.08,60.39,84.47,6.83,26-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Apr-2019 - 00:00,1.3,150.65,11.59,44.11,55.7,5.36,27-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Apr-2019 - 00:00,1.84,219.85,25.99,67.62,93.61,7.2,28-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Apr-2019 - 00:00,1.64,177.77,21.9,58.3,80.2,7.27,29-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Apr-2019 - 00:00,1.52,160.39,9.86,36.57,46.42,6.36,30-Apr-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Apr-2019 - 00:00,1.81,149.38,8.92,27.13,36.06,6.09,01-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-May-2019 - 00:00,2.06,121.76,8.99,25.13,34.12,5.53,02-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-May-2019 - 00:00,1.36,161.85,10.22,24.72,34.94,5.95,03-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-May-2019 - 00:00,1.37,193.87,13.21,36.41,49.63,7.19,04-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-May-2019 - 00:00,1.3,189.84,10.42,28.37,38.79,6.13,05-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-May-2019 - 00:00,1.33,189.89,15.48,39.53,55.16,5.77,06-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-May-2019 - 00:00,1.32,184.51,9.46,38.65,48.11,6.19,07-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-May-2019 - 00:00,1.34,138.03,9.84,26.61,36.45,6.19,08-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-May-2019 - 00:00,1.45,105.91,7.77,19.84,27.61,5.99,09-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-May-2019 - 00:00,1.53,166.02,19.23,36.58,55.81,5.72,10-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-May-2019 - 00:00,1.3,154.22,9.08,30.73,39.81,6.05,11-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-May-2019 - 00:00,1.34,173.85,13.85,34.3,48.16,6.28,12-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-May-2019 - 00:00,1.46,167.08,15.74,36.27,52.02,6.26,13-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-May-2019 - 00:00,1.41,151.73,11.2,32.97,44.17,5.43,14-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-May-2019 - 00:00,1.48,142.66,10.69,30.17,40.86,5.51,15-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-May-2019 - 00:00,2.24,143.36,13.59,31.55,45.14,6.67,16-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-May-2019 - 00:00,1.69,162.51,14.19,44.52,58.72,6.23,17-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-May-2019 - 00:00,1.59,139.67,7.7,27.69,35.39,4.64,18-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-May-2019 - 00:00,,,,,,,19-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-May-2019 - 00:00,,,,,,,20-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-May-2019 - 00:00,1.45,170.29,16.95,57.83,74.78,7.32,21-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-May-2019 - 00:00,1.3,101.47,10.57,45.28,55.85,5.32,22-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-May-2019 - 00:00,1.32,75.37,7.52,34.27,41.8,6.19,23-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-May-2019 - 00:00,1.36,114.31,11.66,46.08,57.74,6.5,24-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-May-2019 - 00:00,1.3,56.09,11.61,39.83,51.45,5.46,25-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-May-2019 - 00:00,1.3,127.9,10.46,36.81,47.0,6.03,26-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-May-2019 - 00:00,1.29,42.21,12.77,37.91,50.68,5.12,27-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-May-2019 - 00:00,1.37,95.23,7.96,46.36,54.32,6.57,28-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-May-2019 - 00:00,1.28,72.95,11.53,33.02,44.55,5.28,29-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-May-2019 - 00:00,1.42,,19.91,69.73,89.65,7.01,30-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-May-2019 - 00:00,1.31,,10.88,39.87,50.75,6.48,31-May-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-May-2019 - 00:00,1.31,,10.89,41.63,52.52,6.17,01-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Jun-2019 - 00:00,1.3,,8.31,33.3,41.61,6.79,02-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jun-2019 - 00:00,1.32,,13.68,36.07,49.75,6.7,03-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jun-2019 - 00:00,1.29,,7.98,29.62,37.6,6.89,04-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jun-2019 - 00:00,1.28,,8.16,28.19,36.35,6.27,05-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jun-2019 - 00:00,1.32,,5.27,22.82,27.44,4.51,06-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jun-2019 - 00:00,1.48,,9.24,36.14,45.38,5.88,07-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jun-2019 - 00:00,1.33,,17.47,46.18,63.65,6.28,08-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jun-2019 - 00:00,1.29,,9.61,36.05,45.66,8.4,09-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jun-2019 - 00:00,1.14,,13.54,34.68,48.22,6.49,10-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jun-2019 - 00:00,1.14,,14.84,33.49,48.33,7.47,11-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jun-2019 - 00:00,1.19,,15.01,32.88,47.89,6.44,12-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jun-2019 - 00:00,1.4,,15.61,48.67,64.29,9.25,13-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Jun-2019 - 00:00,1.31,,11.43,43.28,54.71,15.0,14-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Jun-2019 - 00:00,1.26,92.77,9.11,39.14,48.26,12.29,15-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Jun-2019 - 00:00,1.31,75.77,9.02,39.61,48.63,13.8,16-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Jun-2019 - 00:00,1.25,71.09,6.4,32.37,38.78,13.62,17-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Jun-2019 - 00:00,1.62,92.77,6.78,41.99,48.77,12.1,18-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Jun-2019 - 00:00,1.28,73.03,7.07,33.27,40.31,11.76,19-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Jun-2019 - 00:00,1.52,82.94,5.97,36.15,42.12,12.6,20-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
