from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
08-Feb-2019 - 00:00,0.65,0.0,0.0,758.97,2.95,176.09,71.5,0.0,31.35,215.34,16.36,191.35,1.12,0.52,22.08,13.87,30.81,43.81,39.85,8.43,09-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Feb-2019 - 00:00,0.93,0.04,0.02,759.81,1.02,166.81,78.55,0.0,31.46,209.22,16.94,181.18,0.81,0.93,14.05,9.23,50.54,54.51,37.03,12.8,10-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Feb-2019 - 00:00,0.69,0.01,0.0,759.47,1.17,115.48,63.11,0.0,28.6,210.51,18.14,183.06,1.05,0.82,23.93,6.18,42.99,49.17,47.52,6.2,11-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Feb-2019 - 00:00,0.38,0.0,0.0,759.05,0.72,112.43,51.17,0.0,28.45,232.13,20.77,59.54,1.54,0.6,25.41,4.82,37.66,42.47,54.58,9.26,12-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Feb-2019 - 00:00,0.41,0.01,0.0,758.71,0.91,117.68,64.25,0.0,33.84,234.03,22.84,60.29,1.62,0.55,22.46,5.47,38.55,44.02,63.18,7.61,13-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Feb-2019 - 00:00,0.64,0.03,0.01,757.85,1.11,118.11,65.79,0.0,34.34,205.92,26.64,173.01,1.67,0.71,23.03,6.03,39.05,45.09,44.73,20.99,14-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Feb-2019 - 00:00,0.72,0.0,0.0,757.58,1.3,140.56,82.79,0.0,42.35,217.11,23.69,234.5,1.53,0.7,23.19,5.97,42.09,48.05,56.35,10.67,15-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Feb-2019 - 00:00,0.5,0.0,0.0,760.67,0.88,142.24,79.23,0.0,39.88,202.96,21.0,135.11,1.17,0.59,19.55,5.7,36.39,42.1,69.49,4.31,16-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Feb-2019 - 00:00,0.33,0.0,0.0,760.8,0.64,92.58,44.58,0.0,34.32,222.96,20.14,133.86,1.36,0.5,17.59,5.92,36.52,42.43,59.09,2.68,17-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Feb-2019 - 00:00,0.82,0.02,0.0,758.51,1.15,97.98,54.53,0.0,29.82,235.55,21.79,178.25,1.2,0.72,20.75,8.05,43.85,51.9,44.62,7.48,18-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Feb-2019 - 00:00,0.67,0.0,0.0,757.63,1.56,134.23,66.02,0.0,27.11,185.03,24.91,210.3,1.78,0.53,24.09,6.63,34.56,41.19,41.55,4.31,19-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Feb-2019 - 00:00,0.6,0.01,0.0,759.93,1.03,85.17,45.97,0.0,47.23,247.11,24.74,219.55,1.42,0.55,22.62,6.17,37.27,43.44,25.17,12.34,20-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Feb-2019 - 00:00,0.62,0.03,0.01,761.14,1.8,86.51,46.83,0.0,51.94,201.11,26.42,137.41,1.85,0.57,29.98,6.85,41.44,48.29,27.37,12.53,21-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Feb-2019 - 00:00,0.86,0.01,0.0,761.97,1.18,107.61,69.11,0.0,54.64,259.21,25.16,257.49,1.84,0.54,24.83,6.95,36.71,43.67,24.67,11.69,22-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
