from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
13-Jan-2019 - 00:00,16.48,481.21,259.42,996.17,74.31,0.62,68.47,67.68,9.8,55.27,93.42,44.27,82.04,88.78,32.81,21.01,3.67,14-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Jan-2019 - 00:00,13.99,240.25,115.17,995.9,28.29,0.86,54.48,99.6,6.61,35.84,57.05,10.37,60.49,40.07,37.16,19.6,1.48,15-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Jan-2019 - 00:00,12.39,303.49,160.16,994.91,75.94,0.62,59.91,77.42,6.25,39.14,54.77,30.99,72.64,63.9,30.91,22.51,2.05,16-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Jan-2019 - 00:00,13.06,535.17,300.23,994.89,154.66,0.34,67.35,76.12,9.55,55.25,82.85,91.96,106.19,180.17,23.89,26.41,3.9,17-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Jan-2019 - 00:00,14.36,595.61,349.2,993.76,70.04,0.46,66.33,71.92,11.04,59.81,98.77,75.34,106.11,124.99,26.35,23.37,3.21,18-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Jan-2019 - 00:00,14.03,474.22,280.96,994.08,90.32,0.43,71.84,87.87,8.71,51.55,82.63,57.26,90.79,86.76,26.12,23.97,2.7,19-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Jan-2019 - 00:00,15.86,482.12,399.14,993.81,141.47,0.26,64.73,90.6,10.21,55.03,90.94,106.9,99.03,141.65,30.69,29.23,3.89,20-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Jan-2019 - 00:00,18.1,653.97,401.38,992.79,172.8,0.24,67.4,79.27,13.01,76.28,105.6,135.2,143.16,267.74,39.21,24.49,6.14,21-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Jan-2019 - 00:00,17.27,379.44,216.21,990.03,194.02,1.23,74.89,42.44,8.15,44.05,83.27,69.54,80.37,104.66,53.86,24.65,1.72,22-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Jan-2019 - 00:00,14.87,96.99,62.65,990.81,171.13,1.01,90.06,47.5,3.8,21.54,45.64,9.43,51.6,32.22,28.06,11.61,1.47,23-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Jan-2019 - 00:00,13.98,314.25,177.95,994.23,107.57,0.32,89.09,85.91,7.11,47.68,62.2,56.4,67.72,81.99,21.88,20.17,2.58,24-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Jan-2019 - 00:00,15.75,223.95,119.64,996.38,82.58,0.66,74.36,85.12,5.46,31.91,60.86,19.96,55.03,43.24,25.0,17.04,1.69,25-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Jan-2019 - 00:00,14.43,191.76,106.6,996.52,54.76,0.76,74.82,83.95,4.61,32.22,51.5,9.96,60.17,38.43,24.88,18.45,1.66,26-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Jan-2019 - 00:00,13.61,243.48,136.73,998.94,34.86,0.8,61.0,108.04,6.06,28.02,54.93,5.01,55.09,31.7,34.73,20.22,1.58,27-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Jan-2019 - 00:00,12.23,298.72,171.6,998.95,25.78,0.69,62.66,68.26,6.35,28.96,54.38,11.1,66.5,43.8,,22.98,1.79,28-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Jan-2019 - 00:00,12.93,283.38,157.04,998.6,27.82,0.76,56.08,107.39,5.57,31.46,51.43,18.01,68.35,48.03,26.69,22.48,1.79,29-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Jan-2019 - 00:00,13.52,328.47,183.3,997.12,36.03,0.65,56.42,105.98,6.12,37.49,53.39,28.52,71.47,56.41,22.49,27.34,2.09,30-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Jan-2019 - 00:00,14.13,432.0,275.21,995.82,81.15,0.4,57.96,89.97,7.38,42.39,62.23,60.85,86.38,95.84,23.61,32.75,3.06,31-Jan-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-Jan-2019 - 00:00,15.46,366.21,194.12,994.66,185.56,0.91,60.44,72.33,7.66,39.37,66.62,56.84,76.77,80.12,36.36,26.87,2.2,01-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Feb-2019 - 00:00,15.61,339.54,196.5,995.29,114.69,0.71,74.16,79.55,6.92,35.66,76.04,18.14,69.09,51.53,26.52,21.13,2.02,02-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Feb-2019 - 00:00,12.65,324.44,194.01,995.5,44.6,0.71,89.16,59.05,6.61,28.28,63.48,15.37,48.94,35.2,25.65,11.62,1.94,03-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Feb-2019 - 00:00,13.7,279.76,158.94,996.45,107.89,0.56,88.7,67.35,6.51,30.16,58.25,22.74,47.44,43.77,23.84,11.98,2.1,04-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Feb-2019 - 00:00,14.86,415.45,223.44,996.97,101.69,0.4,79.11,98.17,8.75,42.79,50.95,53.75,70.35,97.68,32.67,16.63,3.12,05-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Feb-2019 - 00:00,17.17,505.79,272.35,994.32,168.75,0.42,72.81,79.74,8.87,66.1,66.16,94.62,90.84,156.41,35.29,24.61,3.51,06-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Feb-2019 - 00:00,18.92,314.17,166.59,989.27,205.82,1.02,78.24,77.67,7.06,41.9,68.53,53.35,66.02,78.93,32.49,16.63,2.31,07-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Feb-2019 - 00:00,16.55,117.42,63.04,987.42,192.34,1.71,86.22,19.5,3.77,26.81,45.83,10.05,38.7,28.78,31.21,11.76,1.42,08-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Feb-2019 - 00:00,14.33,198.5,98.12,993.3,51.1,0.64,73.15,109.89,5.06,37.05,42.16,35.11,54.41,57.58,25.73,15.26,1.67,09-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Feb-2019 - 00:00,14.33,235.96,122.45,995.49,30.66,0.78,67.31,115.02,5.34,31.06,43.41,18.77,53.06,43.52,31.84,17.2,1.69,10-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Feb-2019 - 00:00,14.88,332.18,183.51,996.91,63.94,0.46,67.42,104.29,6.06,37.66,49.28,33.09,64.77,61.41,31.82,24.05,1.98,11-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Feb-2019 - 00:00,15.36,406.57,225.98,997.38,81.37,0.36,69.62,95.45,7.6,49.68,67.72,64.47,71.38,90.54,34.25,23.54,2.51,12-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Feb-2019 - 00:00,16.98,425.38,239.0,997.45,85.28,0.31,71.57,85.07,6.68,58.11,71.2,53.51,71.2,81.56,40.8,27.07,2.39,13-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Feb-2019 - 00:00,18.59,388.92,209.29,996.41,176.51,0.29,69.51,85.44,7.25,42.09,68.54,73.53,92.69,110.39,40.03,21.34,3.18,14-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Feb-2019 - 00:00,17.68,252.38,153.58,992.11,188.28,1.19,77.35,38.45,6.32,35.42,61.74,23.74,57.33,49.82,34.68,14.78,1.75,15-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Feb-2019 - 00:00,16.76,235.42,148.04,992.57,73.8,0.62,82.06,81.04,5.87,35.09,60.16,19.25,48.65,41.6,17.66,15.05,1.79,16-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Feb-2019 - 00:00,15.7,209.5,128.25,994.09,27.09,0.74,85.78,53.57,6.38,27.47,52.82,11.21,38.7,29.73,14.55,12.7,1.66,17-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Feb-2019 - 00:00,16.23,227.04,130.38,990.94,65.41,0.67,76.41,111.64,4.97,24.6,49.47,17.37,50.35,40.93,28.03,16.63,1.85,18-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Feb-2019 - 00:00,18.65,224.25,113.91,986.32,184.2,0.87,61.29,82.94,4.58,26.9,46.43,23.45,67.73,55.14,27.41,18.86,1.83,19-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Feb-2019 - 00:00,18.65,261.0,144.65,989.55,179.48,0.41,75.89,89.52,5.19,33.57,61.52,33.54,70.13,64.65,42.03,16.37,2.15,20-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Feb-2019 - 00:00,18.29,182.18,98.52,994.43,167.0,0.58,81.87,36.43,5.24,28.65,53.51,34.23,54.58,56.95,13.12,15.59,2.11,21-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Feb-2019 - 00:00,20.97,214.02,92.77,993.12,174.41,0.8,67.64,109.06,5.48,33.7,49.01,57.36,51.91,74.64,41.89,20.24,2.38,22-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Feb-2019 - 00:00,19.03,187.88,95.38,993.67,35.7,1.26,71.18,93.36,4.55,33.55,53.07,15.62,38.69,33.33,27.34,16.43,1.39,23-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Feb-2019 - 00:00,16.88,184.0,91.54,992.05,37.18,1.23,58.64,112.26,4.11,23.4,38.02,9.38,46.01,32.12,39.39,18.48,1.55,24-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Feb-2019 - 00:00,17.59,213.58,118.29,988.78,42.28,0.72,57.08,111.3,4.07,24.81,39.1,11.38,54.5,38.29,40.06,21.24,1.57,25-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Feb-2019 - 00:00,17.17,182.38,94.25,988.08,134.73,0.49,63.83,88.45,3.89,23.07,45.78,21.58,58.07,48.5,43.66,19.59,1.51,26-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Feb-2019 - 00:00,15.58,135.88,65.57,988.24,136.21,0.61,68.97,77.34,3.69,24.45,39.28,27.28,51.62,49.75,32.83,17.19,1.62,27-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Feb-2019 - 00:00,12.86,117.53,65.43,988.67,67.85,0.67,84.62,56.6,3.4,20.06,34.61,14.7,39.3,32.89,14.87,12.78,1.6,28-Feb-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Feb-2019 - 00:00,15.28,241.46,129.46,992.14,58.31,0.82,66.97,105.19,4.53,34.21,42.35,40.21,49.8,59.28,30.81,21.66,1.63,01-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Mar-2019 - 00:00,17.02,244.72,124.64,992.53,66.96,0.73,58.39,111.29,4.31,41.23,40.84,29.0,53.21,51.95,30.78,18.84,1.54,02-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Mar-2019 - 00:00,15.55,212.67,118.3,992.87,147.93,0.34,76.85,28.0,5.79,41.25,53.16,34.85,65.69,63.35,10.48,19.64,1.5,03-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Mar-2019 - 00:00,16.93,125.86,69.42,989.57,174.34,0.64,81.48,94.19,3.72,23.67,39.51,20.94,42.03,39.46,27.78,15.89,1.55,04-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Mar-2019 - 00:00,18.69,198.2,104.52,986.66,78.8,0.81,80.3,103.54,5.13,30.19,47.25,33.27,38.02,47.35,29.66,16.35,1.55,05-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Mar-2019 - 00:00,18.16,239.44,96.31,987.76,32.76,0.91,69.08,103.43,4.76,28.77,41.17,14.76,44.17,35.52,27.02,18.44,1.47,06-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Mar-2019 - 00:00,18.83,223.96,107.41,988.76,62.57,0.81,60.82,110.35,4.63,34.14,40.5,28.02,55.41,51.91,30.65,18.66,1.66,07-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Mar-2019 - 00:00,19.27,286.5,138.0,989.15,92.15,0.52,59.33,113.64,5.18,36.77,44.69,37.57,61.56,63.39,35.66,23.19,1.86,08-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Mar-2019 - 00:00,20.1,209.42,101.88,990.89,80.68,0.71,59.88,108.02,4.12,27.1,47.14,24.51,55.05,49.3,34.88,21.44,1.51,09-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Mar-2019 - 00:00,20.55,210.83,95.58,990.86,41.52,1.18,53.69,111.95,3.91,27.21,46.92,16.97,50.01,40.45,28.8,22.89,1.33,10-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Mar-2019 - 00:00,20.49,220.07,105.0,991.0,62.93,0.76,47.45,122.98,4.04,24.83,37.68,12.87,57.56,41.16,43.09,22.37,1.76,11-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Mar-2019 - 00:00,21.87,235.55,97.73,990.42,170.61,1.17,51.37,96.13,4.18,24.69,38.96,21.03,64.46,51.38,36.36,18.85,1.52,12-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Mar-2019 - 00:00,21.15,148.18,69.45,992.75,52.84,0.95,53.47,110.22,3.28,22.06,43.13,10.69,43.01,31.6,26.16,15.89,1.42,13-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Mar-2019 - 00:00,19.84,248.03,111.25,992.97,74.74,0.49,55.89,65.99,4.14,30.16,45.75,21.39,59.62,49.21,22.18,24.95,1.63,14-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Mar-2019 - 00:00,18.02,232.41,113.73,993.8,82.97,0.84,70.15,84.6,5.03,33.76,54.31,35.7,51.35,56.44,16.52,21.13,1.73,15-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Mar-2019 - 00:00,19.48,210.02,96.69,995.03,40.39,1.06,61.95,132.6,4.42,33.66,47.4,27.12,45.63,46.43,31.54,25.07,1.55,16-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Mar-2019 - 00:00,20.41,203.58,89.38,993.42,40.65,1.06,53.83,152.05,3.78,25.66,38.66,9.74,47.54,33.25,52.19,21.6,1.48,17-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Mar-2019 - 00:00,21.64,272.12,126.08,991.57,55.71,0.73,51.81,156.71,5.01,31.55,42.45,16.23,55.49,42.74,46.66,28.33,1.83,18-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Mar-2019 - 00:00,22.04,290.0,132.88,991.06,66.39,0.63,52.71,153.91,4.85,32.83,45.8,17.01,57.43,44.46,53.61,34.64,1.52,19-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Mar-2019 - 00:00,23.67,317.21,140.79,987.5,90.51,0.61,48.37,160.36,5.21,36.98,43.8,33.21,62.41,60.24,47.29,29.27,2.0,20-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Mar-2019 - 00:00,25.95,306.5,128.17,985.78,161.91,0.75,44.03,142.55,5.78,34.05,45.02,33.94,62.15,60.68,58.13,30.28,1.9,21-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Mar-2019 - 00:00,25.03,216.67,115.71,989.31,65.77,0.7,49.83,151.37,5.39,20.34,54.46,7.28,33.35,23.67,48.47,25.9,1.74,22-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Mar-2019 - 00:00,23.97,155.54,61.42,991.25,38.02,1.33,39.51,180.35,3.22,20.09,38.7,4.53,33.24,21.38,58.16,22.88,1.15,23-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Mar-2019 - 00:00,23.7,185.58,78.75,990.5,34.46,1.33,44.04,173.56,3.27,20.27,34.79,4.39,37.1,23.3,64.8,23.99,1.47,24-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Mar-2019 - 00:00,24.64,190.71,84.58,988.88,43.95,1.05,46.01,166.83,3.68,24.11,35.65,8.25,39.09,27.53,43.63,25.75,1.29,25-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Mar-2019 - 00:00,23.25,182.5,85.21,989.31,36.32,1.05,57.86,161.64,3.93,22.87,40.25,8.41,36.47,26.27,37.79,23.84,1.51,26-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Mar-2019 - 00:00,23.97,229.42,104.04,990.54,33.32,0.95,51.52,175.62,4.72,28.11,41.94,9.94,42.43,30.66,50.11,30.19,1.44,27-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Mar-2019 - 00:00,24.99,276.83,123.42,991.14,94.18,0.64,47.13,157.29,5.37,35.72,40.13,21.91,53.09,46.24,51.98,31.83,1.91,28-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Mar-2019 - 00:00,26.96,328.67,151.71,989.07,139.25,0.35,48.47,164.84,5.93,38.78,42.31,41.09,61.81,66.29,62.84,46.35,2.19,29-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Mar-2019 - 00:00,28.56,328.83,153.08,986.06,102.04,0.43,54.59,159.02,6.39,48.13,62.69,53.42,65.2,90.74,58.48,27.27,2.25,30-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Mar-2019 - 00:00,30.2,250.17,114.25,985.01,147.12,0.43,49.42,158.44,4.88,28.82,64.49,18.6,53.51,43.61,56.19,30.88,1.84,31-Mar-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-Mar-2019 - 00:00,28.58,221.88,89.17,985.83,46.13,1.02,38.72,193.72,3.67,24.06,43.94,6.34,38.59,25.65,58.54,25.64,1.63,01-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Apr-2019 - 00:00,27.35,230.62,91.88,986.05,38.24,0.95,36.65,193.49,3.66,23.81,36.61,6.65,44.77,29.23,62.52,26.7,,02-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Apr-2019 - 00:00,27.86,308.01,138.74,986.88,69.41,0.65,36.77,166.51,5.53,31.64,28.2,9.46,61.98,40.68,78.95,30.54,1.76,03-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Apr-2019 - 00:00,28.49,257.53,116.18,985.75,143.15,0.45,37.7,179.92,6.54,35.04,37.11,17.17,58.21,44.92,59.43,30.11,1.79,04-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Apr-2019 - 00:00,29.87,280.01,135.36,986.29,122.02,0.39,41.16,159.65,6.05,32.07,43.44,23.03,65.09,53.41,57.96,42.54,2.03,05-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Apr-2019 - 00:00,31.06,325.21,148.88,985.23,152.74,0.45,40.86,149.21,5.72,38.63,54.24,49.16,67.35,76.51,36.31,46.04,2.42,06-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Apr-2019 - 00:00,31.48,346.21,145.54,984.14,118.56,0.53,39.58,141.38,6.7,34.16,49.33,21.91,53.39,46.26,56.71,33.77,1.89,07-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Apr-2019 - 00:00,29.73,400.09,240.08,983.3,175.22,1.01,55.84,117.51,7.45,29.85,71.22,15.44,43.2,35.57,54.26,30.96,1.88,08-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Apr-2019 - 00:00,27.81,302.92,127.83,984.37,137.85,0.45,52.73,166.2,4.61,25.44,53.83,15.49,52.58,40.61,46.94,21.85,1.61,09-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Apr-2019 - 00:00,28.96,270.25,126.92,984.07,120.11,0.4,48.25,179.93,6.79,30.05,47.89,28.43,59.33,54.71,49.88,30.51,1.97,10-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Apr-2019 - 00:00,31.55,290.83,131.0,985.24,83.79,0.54,41.27,183.4,6.53,36.26,55.09,32.07,55.0,55.47,57.14,28.78,1.86,11-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Apr-2019 - 00:00,31.99,219.42,93.0,984.97,80.27,0.58,36.35,173.44,3.7,30.76,51.22,18.52,56.68,44.91,49.95,26.65,1.59,12-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Apr-2019 - 00:00,30.82,235.58,91.08,985.6,68.52,0.74,38.42,161.79,3.6,27.54,53.93,10.84,47.37,34.03,51.01,21.75,1.5,13-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Apr-2019 - 00:00,31.29,186.79,72.17,986.12,48.95,0.96,35.71,178.74,2.62,23.69,49.64,10.71,45.34,32.85,47.81,22.46,1.36,14-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Apr-2019 - 00:00,31.83,220.12,88.54,985.82,38.93,0.84,34.33,175.66,3.68,28.93,47.49,11.88,44.21,33.21,42.23,24.4,1.5,15-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Apr-2019 - 00:00,33.54,218.12,81.79,983.74,85.04,0.73,30.4,186.22,4.33,30.3,48.57,33.02,52.58,54.91,41.51,26.8,1.99,16-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Apr-2019 - 00:00,25.78,173.22,91.83,987.18,156.88,1.33,54.83,86.7,2.88,23.05,44.78,8.26,35.93,25.85,51.53,15.67,1.16,17-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Apr-2019 - 00:00,23.61,76.92,33.92,988.22,205.31,1.19,58.23,120.1,2.31,18.75,30.07,6.61,35.23,24.15,56.39,15.46,1.23,18-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Apr-2019 - 00:00,24.81,121.08,51.5,989.02,98.95,0.46,55.94,187.94,3.29,23.52,29.63,11.16,42.78,31.87,64.05,18.38,1.49,19-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Apr-2019 - 00:00,27.53,206.46,89.17,986.46,115.55,0.5,41.83,180.27,5.85,34.96,40.62,17.81,53.45,42.94,55.54,29.25,1.61,20-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Apr-2019 - 00:00,29.29,240.0,91.75,983.93,144.12,0.34,36.81,176.41,5.95,41.41,36.74,21.17,59.93,49.2,70.14,36.56,2.16,21-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Apr-2019 - 00:00,30.97,300.0,113.4,982.17,137.45,0.38,35.22,174.46,6.73,49.26,39.95,33.23,62.67,60.44,59.26,30.84,1.94,22-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Apr-2019 - 00:00,32.1,278.65,107.02,982.19,107.12,0.4,37.68,166.9,7.15,41.88,53.08,25.78,57.16,51.43,61.1,33.11,2.18,23-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Apr-2019 - 00:00,33.9,331.92,119.45,983.09,143.64,0.43,33.93,169.66,7.14,53.03,53.98,46.96,68.08,74.5,65.92,33.34,2.1,24-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Apr-2019 - 00:00,34.72,309.6,107.34,984.19,164.25,0.82,37.58,172.35,5.71,37.61,57.31,7.12,50.24,32.51,79.05,23.18,1.75,25-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Apr-2019 - 00:00,33.59,293.16,100.25,984.18,170.32,0.74,41.37,174.67,4.44,30.32,60.56,9.7,40.21,29.31,69.58,22.24,1.49,26-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Apr-2019 - 00:00,34.17,319.46,115.58,983.83,44.73,0.64,30.24,196.73,5.83,42.62,48.37,23.77,49.33,45.62,55.45,30.93,1.71,27-Apr-2019 - 00:00,"Jahangirpuri, Delhi - DPCC"
