from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
05-May-2019 - 00:00,35.5,982.79,0.3,296.05,287.24,2.57,292.63,114.85,,,,,,,,96.13,,06-May-2019 - 00:00,"Rohini, Delhi - DPCC"
06-May-2019 - 00:00,32.97,980.74,0.3,216.78,279.26,1.76,392.17,167.74,5.1,62.63,32.57,75.16,69.43,96.48,1.87,72.92,33.01,07-May-2019 - 00:00,"Rohini, Delhi - DPCC"
07-May-2019 - 00:00,33.19,979.37,0.3,208.22,258.64,1.57,474.88,169.71,4.91,54.86,41.0,82.5,99.46,123.24,1.96,50.61,28.16,08-May-2019 - 00:00,"Rohini, Delhi - DPCC"
08-May-2019 - 00:00,34.51,979.34,0.3,215.05,277.6,1.9,489.79,196.33,4.44,61.76,37.46,64.41,48.21,73.58,1.73,62.55,34.0,09-May-2019 - 00:00,"Rohini, Delhi - DPCC"
09-May-2019 - 00:00,35.31,978.56,0.3,205.49,267.96,1.69,441.83,162.12,3.64,40.29,34.95,61.97,15.21,45.36,1.48,67.06,32.74,10-May-2019 - 00:00,"Rohini, Delhi - DPCC"
10-May-2019 - 00:00,35.05,979.59,0.3,213.9,257.73,1.91,358.92,104.21,3.55,29.78,24.98,43.57,4.69,26.95,1.31,71.61,18.44,11-May-2019 - 00:00,"Rohini, Delhi - DPCC"
11-May-2019 - 00:00,32.63,981.94,0.3,195.34,281.05,2.21,289.88,120.58,3.34,13.73,33.08,39.78,2.33,23.06,0.96,99.58,28.72,12-May-2019 - 00:00,"Rohini, Delhi - DPCC"
12-May-2019 - 00:00,32.23,981.62,0.3,200.44,313.99,2.05,401.94,200.0,4.04,23.72,35.08,45.89,9.47,31.8,1.01,84.76,26.19,13-May-2019 - 00:00,"Rohini, Delhi - DPCC"
13-May-2019 - 00:00,32.08,980.33,0.3,152.63,198.74,2.14,363.26,203.04,4.26,22.3,44.79,53.17,6.62,33.64,1.08,70.72,42.09,14-May-2019 - 00:00,"Rohini, Delhi - DPCC"
14-May-2019 - 00:00,30.03,981.38,0.3,234.1,209.43,1.45,135.3,73.59,7.01,34.2,41.65,45.43,11.13,33.2,0.88,79.91,15.71,15-May-2019 - 00:00,"Rohini, Delhi - DPCC"
15-May-2019 - 00:00,28.67,982.69,1.76,167.72,110.82,2.03,209.97,104.21,5.07,41.72,63.12,70.61,32.04,63.72,1.6,53.69,27.35,16-May-2019 - 00:00,"Rohini, Delhi - DPCC"
16-May-2019 - 00:00,29.25,983.36,0.3,153.5,245.17,1.84,210.39,85.81,5.57,43.64,57.81,62.49,42.38,67.74,1.25,51.15,18.8,17-May-2019 - 00:00,"Rohini, Delhi - DPCC"
17-May-2019 - 00:00,27.47,983.05,0.3,169.69,212.12,1.78,295.32,102.72,6.12,58.08,59.49,49.44,28.62,49.57,1.08,49.36,14.99,18-May-2019 - 00:00,"Rohini, Delhi - DPCC"
18-May-2019 - 00:00,27.24,983.03,0.3,248.54,286.75,1.55,105.49,55.89,3.4,21.9,44.64,31.06,3.14,19.11,0.52,68.25,12.4,19-May-2019 - 00:00,"Rohini, Delhi - DPCC"
19-May-2019 - 00:00,30.72,983.1,0.3,239.13,314.99,1.46,175.07,107.96,4.6,20.8,37.02,42.59,9.49,30.35,0.71,85.63,30.26,20-May-2019 - 00:00,"Rohini, Delhi - DPCC"
20-May-2019 - 00:00,32.48,983.41,0.3,241.76,287.98,1.41,239.11,114.12,3.34,25.88,43.47,58.22,21.64,48.61,1.12,70.52,22.73,21-May-2019 - 00:00,"Rohini, Delhi - DPCC"
21-May-2019 - 00:00,34.01,982.02,0.3,227.16,297.8,1.67,209.29,105.52,3.21,21.08,41.08,47.59,5.28,29.66,0.88,76.84,29.02,22-May-2019 - 00:00,"Rohini, Delhi - DPCC"
22-May-2019 - 00:00,33.13,980.46,0.3,156.69,271.57,1.22,260.86,87.42,4.95,42.8,34.89,62.79,45.15,70.12,1.53,50.04,25.14,23-May-2019 - 00:00,"Rohini, Delhi - DPCC"
23-May-2019 - 00:00,31.93,979.73,0.3,181.98,251.67,1.49,280.79,125.33,4.45,42.86,46.03,56.65,26.81,51.94,1.3,92.19,30.89,24-May-2019 - 00:00,"Rohini, Delhi - DPCC"
24-May-2019 - 00:00,28.83,981.43,0.3,203.78,218.44,2.79,124.0,51.29,6.41,33.66,52.57,38.43,7.83,26.83,0.88,39.14,13.24,25-May-2019 - 00:00,"Rohini, Delhi - DPCC"
25-May-2019 - 00:00,31.11,980.89,0.3,257.36,331.63,3.12,109.33,50.0,,,34.41,25.6,1.45,14.79,0.36,82.29,14.83,26-May-2019 - 00:00,"Rohini, Delhi - DPCC"
26-May-2019 - 00:00,32.2,979.33,0.3,262.01,323.36,2.29,136.67,64.12,3.3,57.4,28.82,37.45,3.3,22.62,0.82,81.72,21.3,27-May-2019 - 00:00,"Rohini, Delhi - DPCC"
27-May-2019 - 00:00,34.1,979.05,0.3,253.07,305.57,1.94,173.67,76.17,3.1,15.82,36.67,46.69,7.95,31.36,1.43,74.27,23.47,28-May-2019 - 00:00,"Rohini, Delhi - DPCC"
28-May-2019 - 00:00,33.95,978.65,0.3,258.95,301.33,1.74,188.5,76.96,3.77,35.64,36.72,56.14,26.42,51.38,2.2,69.34,22.27,29-May-2019 - 00:00,"Rohini, Delhi - DPCC"
29-May-2019 - 00:00,35.12,977.12,0.3,242.43,290.37,1.44,245.67,105.83,3.88,58.7,41.65,61.5,42.32,67.16,2.38,71.73,31.8,30-May-2019 - 00:00,"Rohini, Delhi - DPCC"
30-May-2019 - 00:00,36.46,975.81,0.3,239.97,288.64,1.64,278.75,118.54,3.12,26.31,46.98,52.9,53.9,85.4,2.55,50.4,29.56,31-May-2019 - 00:00,"Rohini, Delhi - DPCC"
31-May-2019 - 00:00,37.03,976.08,0.31,224.87,232.68,1.44,373.75,88.79,1.5,12.88,54.08,32.52,49.43,81.77,2.53,34.69,9.61,01-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Jun-2019 - 00:00,36.62,976.26,0.31,207.77,126.42,1.7,308.58,109.17,0.97,8.49,107.17,33.36,25.39,58.78,2.39,48.77,10.02,02-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Jun-2019 - 00:00,36.37,976.44,0.31,211.92,104.32,2.47,231.33,80.08,0.71,3.81,108.14,18.62,2.35,20.88,2.02,41.15,6.76,03-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Jun-2019 - 00:00,34.8,977.05,0.3,205.75,116.62,3.14,299.45,64.88,0.42,3.25,75.59,21.16,2.66,23.83,1.89,41.97,6.68,04-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Jun-2019 - 00:00,34.77,977.56,0.31,214.07,102.81,2.57,176.72,58.99,0.55,3.73,61.19,22.54,2.47,25.03,1.8,55.61,6.76,05-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Jun-2019 - 00:00,36.69,976.91,0.31,206.46,115.94,1.68,213.15,77.83,0.84,6.21,67.1,34.43,9.94,44.31,2.09,48.72,7.67,06-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Jun-2019 - 00:00,35.91,977.49,0.31,212.58,161.4,1.56,245.16,67.76,0.54,5.67,57.34,28.6,6.87,35.48,2.18,46.27,6.77,07-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Jun-2019 - 00:00,34.2,980.11,0.3,213.46,94.72,1.92,145.06,58.59,0.45,3.81,56.45,22.88,3.96,26.86,1.73,57.66,7.38,08-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Jun-2019 - 00:00,35.91,978.96,0.3,239.79,209.9,1.33,193.5,63.12,0.64,5.02,57.06,33.51,31.57,65.02,2.46,50.24,5.25,09-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Jun-2019 - 00:00,36.04,976.17,0.31,216.83,190.13,0.95,320.17,126.17,1.12,9.58,61.42,41.36,51.86,93.22,2.98,48.82,13.21,10-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Jun-2019 - 00:00,35.62,973.78,0.3,163.15,238.44,1.1,256.96,74.84,1.08,9.56,67.3,42.09,49.95,92.01,2.56,31.36,6.21,11-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Jun-2019 - 00:00,37.13,973.57,0.3,177.09,229.05,2.03,406.99,100.69,0.69,7.07,67.49,31.4,36.32,69.22,1.97,19.02,7.8,12-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Jun-2019 - 00:00,34.65,975.9,0.3,216.98,102.03,3.55,222.12,55.65,0.44,3.65,60.8,12.11,3.46,15.42,0.37,46.63,5.98,13-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Jun-2019 - 00:00,35.78,976.1,0.3,218.98,214.74,1.58,171.5,50.96,0.37,3.6,58.23,18.6,3.96,22.5,0.53,34.7,6.89,14-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Jun-2019 - 00:00,36.36,975.0,0.3,240.06,299.61,2.21,197.96,59.23,0.43,4.52,45.74,19.23,17.27,36.15,0.88,41.28,8.43,15-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Jun-2019 - 00:00,36.15,975.05,0.3,237.24,294.3,2.25,279.02,88.55,1.15,4.95,56.19,18.79,7.42,26.06,1.26,36.25,6.73,16-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Jun-2019 - 00:00,32.08,976.67,0.3,148.76,285.97,2.6,160.54,42.12,0.18,1.87,42.6,4.45,1.93,6.0,1.32,31.41,5.5,17-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Jun-2019 - 00:00,30.84,976.18,0.3,114.67,239.13,2.44,130.88,39.92,0.24,2.57,47.01,6.52,2.48,9.01,1.38,29.8,6.54,18-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Jun-2019 - 00:00,27.23,978.06,0.3,190.45,264.22,2.87,86.6,241.54,0.25,4.63,52.8,12.44,3.05,14.99,1.43,32.99,5.85,19-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Jun-2019 - 00:00,31.29,976.92,0.3,232.49,173.65,1.61,229.34,85.11,0.44,4.84,62.25,14.56,5.24,19.8,1.72,40.54,10.45,20-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Jun-2019 - 00:00,32.48,978.03,0.3,235.52,138.97,1.53,131.79,42.62,0.33,3.51,50.99,13.74,5.13,18.89,1.62,58.45,5.69,21-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Jun-2019 - 00:00,33.77,978.02,0.3,172.11,179.14,1.37,179.16,71.48,0.61,21.21,55.9,27.07,6.93,34.0,1.74,42.51,8.03,22-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Jun-2019 - 00:00,34.63,977.37,0.3,235.18,219.85,1.77,186.08,80.67,0.71,62.31,63.03,16.8,3.41,19.49,1.72,44.43,10.84,23-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Jun-2019 - 00:00,34.57,977.61,0.3,223.04,109.68,2.48,128.67,44.71,0.36,2.91,63.85,11.41,2.76,14.18,1.46,42.19,7.11,24-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Jun-2019 - 00:00,30.86,979.55,0.3,152.44,98.9,2.73,85.12,27.17,0.36,3.03,53.26,11.23,2.06,13.28,1.0,23.45,6.52,25-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Jun-2019 - 00:00,33.69,978.62,0.31,194.39,96.79,1.24,129.46,56.5,0.71,4.81,52.17,14.91,2.46,17.35,0.93,40.34,6.03,26-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Jun-2019 - 00:00,35.59,975.67,0.3,209.56,296.21,2.01,163.42,73.75,0.68,4.22,60.19,11.41,3.61,15.0,0.94,31.66,6.86,27-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Jun-2019 - 00:00,34.21,973.83,0.3,197.86,316.58,2.24,248.07,69.42,0.46,4.62,54.16,13.22,4.83,18.04,0.94,27.81,8.62,28-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Jun-2019 - 00:00,35.19,972.84,0.3,209.77,303.55,2.0,251.23,71.96,0.53,4.39,54.35,13.14,4.04,17.21,0.91,22.57,8.71,29-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Jun-2019 - 00:00,36.19,972.59,0.3,217.88,262.74,1.73,306.78,63.71,0.45,3.66,43.27,15.39,6.37,21.75,0.8,24.45,6.52,30-Jun-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Jun-2019 - 00:00,36.48,972.75,0.3,222.88,226.16,2.39,274.05,61.5,0.46,5.0,49.41,12.47,10.9,23.34,0.92,20.69,6.98,01-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Jul-2019 - 00:00,35.83,974.07,0.3,220.54,201.23,1.34,178.48,52.31,0.32,3.6,51.52,9.46,2.54,11.99,0.91,36.58,5.49,02-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Jul-2019 - 00:00,34.99,974.81,0.3,184.45,174.61,2.16,230.01,64.08,0.36,3.33,49.69,8.14,2.04,10.17,0.74,38.44,5.05,03-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Jul-2019 - 00:00,34.83,975.31,0.31,179.04,133.8,2.15,114.58,37.48,0.38,3.5,63.09,16.93,4.91,21.86,0.83,27.48,4.2,04-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Jul-2019 - 00:00,30.7,974.34,0.3,73.73,135.61,2.19,75.97,35.33,0.47,5.68,57.64,13.97,6.66,20.62,1.02,9.84,3.16,05-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Jul-2019 - 00:00,30.53,972.51,0.3,127.95,161.87,1.95,105.79,56.08,0.7,6.99,55.88,17.29,8.01,25.33,0.74,8.04,2.71,06-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Jul-2019 - 00:00,32.52,971.27,0.3,195.79,128.54,1.75,84.05,603.38,0.41,4.59,60.51,16.2,10.46,26.69,0.72,22.63,3.19,07-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Jul-2019 - 00:00,32.18,971.95,0.3,127.06,208.45,1.29,88.26,40.23,0.35,4.1,31.34,9.42,3.11,12.51,1.03,12.09,3.17,08-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Jul-2019 - 00:00,32.01,972.23,0.3,115.6,195.94,1.39,142.55,46.65,0.48,5.69,43.42,16.66,7.97,24.64,1.27,8.5,3.64,09-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Jul-2019 - 00:00,30.74,972.19,0.3,122.71,183.8,1.82,125.84,39.0,0.42,5.56,60.56,17.41,8.65,26.06,1.13,9.0,3.09,10-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Jul-2019 - 00:00,33.14,971.32,0.3,159.66,198.34,1.54,332.09,69.71,0.43,4.38,82.62,16.27,8.85,25.13,1.73,10.19,2.4,11-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Jul-2019 - 00:00,34.23,971.61,0.3,172.44,199.29,2.13,383.7,67.54,0.34,3.98,59.73,12.52,6.21,18.74,1.79,10.98,2.78,12-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Jul-2019 - 00:00,34.07,974.07,0.3,147.19,210.41,1.62,446.83,72.06,3.25,2.25,55.21,12.89,4.92,17.68,1.73,9.7,2.91,13-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Jul-2019 - 00:00,34.47,974.6,0.3,175.44,219.06,2.2,286.58,54.08,3.25,0.36,51.64,10.82,3.16,13.9,1.53,14.63,2.8,14-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Jul-2019 - 00:00,32.88,973.69,0.3,125.74,146.37,2.36,300.88,58.25,3.29,0.34,46.2,10.99,3.17,13.1,1.31,19.42,3.72,15-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Jul-2019 - 00:00,28.15,973.76,0.31,96.75,112.12,2.33,120.12,30.62,4.07,0.39,41.54,13.11,5.53,16.87,1.68,17.54,3.28,16-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Jul-2019 - 00:00,27.46,976.96,0.3,114.14,69.03,2.57,61.79,24.58,4.03,0.39,39.21,11.06,1.84,12.49,1.43,19.89,3.11,17-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Jul-2019 - 00:00,27.16,977.92,0.3,115.3,197.28,1.51,59.29,29.42,4.46,0.38,39.86,14.79,3.29,18.07,1.51,21.7,3.16,18-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Jul-2019 - 00:00,27.59,977.68,0.3,135.06,201.94,1.32,84.38,30.58,7.29,0.98,43.95,26.63,13.47,40.09,2.27,23.65,3.07,19-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Jul-2019 - 00:00,31.57,977.79,0.3,174.92,101.62,1.04,159.5,61.42,9.07,1.82,51.52,27.76,25.28,53.05,1.87,44.87,3.82,20-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Jul-2019 - 00:00,30.51,978.52,0.3,96.55,132.99,1.32,125.29,46.12,1.25,9.36,50.78,24.1,8.16,32.26,0.79,14.02,3.5,21-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Jul-2019 - 00:00,29.84,978.03,0.31,133.06,146.17,1.54,119.75,49.5,1.43,13.18,58.51,25.29,22.73,48.02,1.24,26.72,2.75,22-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Jul-2019 - 00:00,30.96,977.02,0.3,157.74,83.27,1.33,152.5,78.12,1.52,11.58,68.37,22.73,29.58,52.3,1.54,21.34,2.92,23-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Jul-2019 - 00:00,33.41,975.63,0.3,160.89,147.95,1.05,163.12,79.46,1.37,10.16,95.13,23.09,19.06,42.14,1.46,24.35,2.95,24-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Jul-2019 - 00:00,32.53,974.06,0.3,157.02,193.9,1.73,161.21,59.04,1.41,13.0,88.8,24.27,16.11,40.39,1.06,14.96,2.79,25-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Jul-2019 - 00:00,28.5,975.93,0.31,55.08,179.51,1.48,51.58,17.38,,,53.46,14.92,4.72,19.63,0.75,11.66,2.65,26-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Jul-2019 - 00:00,28.18,974.28,0.31,84.96,104.07,1.74,62.42,31.0,3.0,3.47,49.12,15.0,6.43,21.41,0.75,16.85,2.79,27-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Jul-2019 - 00:00,27.91,974.21,0.31,101.1,87.52,2.23,51.33,29.54,1.4,5.9,42.81,14.44,4.77,19.27,0.84,19.48,2.67,28-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Jul-2019 - 00:00,29.51,976.08,0.31,123.74,104.01,2.39,54.79,25.5,1.39,5.46,49.14,14.17,5.8,19.96,0.7,27.25,3.05,29-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Jul-2019 - 00:00,31.02,977.42,0.3,140.64,97.89,2.29,69.23,28.65,1.92,7.55,54.34,14.78,5.52,20.28,0.81,19.21,3.6,30-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Jul-2019 - 00:00,30.82,977.16,0.3,127.6,85.27,2.1,82.94,33.92,1.63,6.42,58.65,13.69,4.33,18.01,0.71,13.31,3.68,31-Jul-2019 - 00:00,"Rohini, Delhi - DPCC"
31-Jul-2019 - 00:00,30.95,976.44,0.3,115.97,84.53,1.94,83.39,36.68,1.2,4.08,56.25,14.15,4.24,18.33,0.84,19.2,3.43,01-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Aug-2019 - 00:00,32.27,975.82,0.3,191.94,118.83,2.02,86.61,38.92,1.49,5.03,59.19,19.51,6.93,26.43,0.79,17.32,3.98,02-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Aug-2019 - 00:00,30.03,974.89,0.3,92.75,127.01,1.77,72.51,30.15,,,46.37,17.16,6.76,23.92,0.85,18.49,3.6,03-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Aug-2019 - 00:00,29.11,974.82,0.32,117.85,94.43,1.93,89.57,47.88,1.13,6.01,57.81,16.91,8.36,25.28,0.91,12.63,3.34,04-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Aug-2019 - 00:00,30.75,973.87,0.3,158.4,83.9,1.37,108.49,61.08,1.23,6.74,55.7,17.17,7.88,25.04,1.05,12.24,2.89,05-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Aug-2019 - 00:00,30.84,972.19,0.31,114.88,156.22,1.23,128.45,60.75,1.41,9.17,55.31,25.19,18.16,43.32,1.49,15.46,3.15,06-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Aug-2019 - 00:00,27.72,972.74,0.31,49.56,137.57,1.28,65.44,34.83,1.27,9.25,63.95,23.23,10.65,33.9,1.15,10.49,2.36,07-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Aug-2019 - 00:00,30.26,972.67,0.3,160.66,106.09,1.53,66.71,34.29,1.25,4.5,52.79,14.35,6.87,21.2,0.99,10.85,2.86,08-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Aug-2019 - 00:00,32.85,972.34,0.31,175.47,88.63,1.47,97.36,42.04,1.25,8.08,51.71,18.91,6.75,25.66,1.01,21.34,3.06,09-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Aug-2019 - 00:00,31.32,974.4,0.3,160.15,91.69,3.94,50.34,11.62,,,45.47,8.5,2.52,11.01,0.61,16.58,3.21,10-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Aug-2019 - 00:00,30.31,975.24,0.3,133.39,118.27,3.15,39.25,16.92,1.1,2.2,41.91,14.55,6.38,20.93,0.65,10.87,3.15,11-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Aug-2019 - 00:00,31.89,976.45,0.3,132.36,169.0,1.43,71.17,30.71,1.38,6.16,47.5,16.0,6.94,22.94,0.84,19.8,3.8,12-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Aug-2019 - 00:00,30.97,976.51,0.3,115.24,246.5,1.55,52.49,15.83,1.37,12.17,42.84,13.9,5.0,18.91,0.85,9.89,3.4,13-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Aug-2019 - 00:00,29.93,976.76,0.3,114.28,262.41,2.04,55.26,20.75,,,36.66,12.95,7.43,20.36,1.43,7.25,3.46,14-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Aug-2019 - 00:00,30.06,978.36,38.12,145.84,185.13,1.34,64.82,34.21,1.15,4.57,48.78,14.16,4.2,18.36,0.89,13.71,2.84,15-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Aug-2019 - 00:00,30.91,978.33,78.2,184.64,115.18,2.32,58.12,31.67,1.85,3.38,56.15,9.05,2.27,11.29,0.72,11.11,3.13,16-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Aug-2019 - 00:00,28.99,976.68,81.41,121.58,97.14,2.93,34.83,15.71,1.43,2.08,39.97,11.1,3.91,14.99,0.7,11.22,2.9,17-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Aug-2019 - 00:00,26.96,976.05,90.71,61.28,121.25,3.28,17.92,8.08,1.2,3.0,31.49,10.56,7.09,17.64,0.26,5.8,2.53,18-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Aug-2019 - 00:00,27.12,979.4,89.67,70.11,209.38,1.42,38.71,21.88,,,34.13,11.96,9.79,21.74,1.02,8.51,2.79,19-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Aug-2019 - 00:00,30.03,981.45,79.96,182.49,215.75,1.26,96.42,46.12,,,49.12,16.14,19.17,35.31,1.43,18.08,2.84,20-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Aug-2019 - 00:00,30.58,980.87,77.48,191.72,326.76,2.15,92.54,43.92,,,64.41,10.11,4.74,14.86,0.89,12.83,3.53,21-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Aug-2019 - 00:00,31.28,979.59,75.7,190.09,278.38,1.81,141.75,52.29,1.0,19.35,67.26,12.14,3.04,15.16,1.0,15.1,3.54,22-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Aug-2019 - 00:00,29.81,979.9,76.62,141.89,234.59,1.36,137.33,48.38,1.55,10.86,60.34,25.22,17.15,42.31,1.6,8.74,4.14,23-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Aug-2019 - 00:00,31.56,979.61,73.57,149.81,224.97,1.28,169.83,54.75,1.29,11.88,73.03,21.64,24.29,45.86,1.26,12.42,4.13,24-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Aug-2019 - 00:00,30.49,979.8,78.83,93.02,199.21,1.42,187.38,65.25,1.7,10.85,86.51,23.4,20.11,43.5,1.33,12.4,4.7,25-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Aug-2019 - 00:00,28.41,980.48,84.54,95.66,111.82,1.5,70.92,36.08,1.09,109.31,57.55,19.58,6.93,26.55,0.95,12.05,3.32,26-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Aug-2019 - 00:00,30.48,980.24,79.42,139.57,92.58,1.61,78.88,35.71,1.0,207.82,57.35,19.43,12.7,32.1,1.08,9.01,3.52,27-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Aug-2019 - 00:00,30.8,979.79,78.52,110.31,110.8,0.85,144.87,75.53,1.63,155.76,72.63,22.17,28.47,50.64,1.48,34.58,5.05,28-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Aug-2019 - 00:00,31.46,980.71,79.19,108.95,83.11,1.05,134.04,60.62,1.6,7.12,90.14,20.67,16.8,37.46,1.25,29.28,5.85,29-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Aug-2019 - 00:00,32.59,981.82,72.44,167.54,129.97,1.55,88.46,38.42,2.18,8.03,59.16,22.7,10.16,32.85,1.07,13.9,4.57,30-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Aug-2019 - 00:00,32.2,979.34,74.14,128.63,159.34,1.06,135.79,276.25,1.44,9.65,59.16,21.25,6.22,27.49,1.26,35.7,5.73,31-Aug-2019 - 00:00,"Rohini, Delhi - DPCC"
31-Aug-2019 - 00:00,31.77,976.76,79.85,99.99,173.47,0.68,161.08,74.17,2.01,15.56,65.88,28.41,14.21,42.62,1.96,17.91,4.66,01-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Sep-2019 - 00:00,30.22,978.98,79.51,123.28,113.04,1.84,99.71,54.42,1.85,12.68,85.34,18.47,7.62,26.09,0.9,18.3,3.52,02-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Sep-2019 - 00:00,30.85,980.1,78.23,163.09,123.12,0.94,94.29,49.83,1.08,5.75,69.17,17.39,6.82,24.25,1.32,23.67,4.36,03-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Sep-2019 - 00:00,31.59,978.66,77.93,97.92,176.77,1.01,160.0,87.92,1.8,10.3,71.77,21.32,6.6,27.89,1.36,15.88,5.32,04-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
