from date,PM2.5,NO2,NO,NOx,SO2,CO,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
25-Nov-2019 - 00:00,194.81,67.67,12.94,45.91,15.5,,21.0,59.53,1.09,-0.35,174.26,736.0,65.05,0.0,7.0,15.27,44.02,26-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Nov-2019 - 00:00,160.87,76.99,44.08,76.78,20.18,0.48,21.18,57.46,0.91,-0.43,186.49,736.0,86.93,0.0,8.52,18.65,42.58,27-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Nov-2019 - 00:00,174.41,48.04,1.29,25.95,12.77,0.56,21.12,59.57,2.82,-1.15,188.73,736.0,81.17,0.0,5.89,10.23,36.59,28-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Nov-2019 - 00:00,143.27,38.69,0.95,21.16,13.43,0.54,21.2,60.61,3.0,-1.42,199.8,736.0,85.04,0.0,5.06,8.24,33.09,29-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Nov-2019 - 00:00,61.88,41.72,22.86,39.93,17.67,0.44,18.71,62.86,1.43,-0.35,208.04,736.0,25.01,0.0,6.36,18.66,16.29,30-Nov-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Nov-2019 - 00:00,74.76,44.66,16.69,37.27,15.26,0.33,18.5,60.48,1.9,-0.21,216.29,736.0,107.51,0.0,4.81,14.13,15.22,01-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Dec-2019 - 00:00,103.4,46.64,8.59,31.7,16.8,0.33,18.6,56.28,2.28,-0.19,220.66,736.0,131.25,0.0,3.86,9.65,23.83,02-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Dec-2019 - 00:00,108.98,59.13,22.2,49.48,17.51,0.51,17.51,56.85,2.03,-0.2,215.92,736.0,91.32,0.0,4.89,12.66,20.77,03-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Dec-2019 - 00:00,311.17,51.82,16.94,41.33,14.14,0.68,16.81,57.38,2.0,-0.19,214.47,736.0,145.82,0.0,4.5,10.81,23.35,04-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Dec-2019 - 00:00,144.78,86.06,34.62,73.88,22.07,0.48,19.02,46.03,0.84,-0.2,207.05,736.0,139.53,0.0,8.79,21.13,26.15,05-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Dec-2019 - 00:00,189.43,90.57,23.66,67.28,19.15,0.46,17.7,53.44,0.74,-0.26,225.73,736.0,78.67,0.0,10.81,25.5,17.98,06-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Dec-2019 - 00:00,201.77,77.87,47.76,79.38,19.49,0.52,17.79,55.69,0.83,-0.34,194.78,736.0,93.57,0.0,8.16,18.14,14.37,07-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Dec-2019 - 00:00,142.69,75.04,38.01,68.27,14.82,0.52,18.47,54.97,1.1,-0.47,194.09,736.0,88.86,0.0,8.12,16.56,15.85,08-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Dec-2019 - 00:00,116.85,70.74,12.35,46.96,13.01,0.52,18.32,53.83,0.97,-0.23,228.42,736.0,89.48,0.0,6.51,15.37,15.97,09-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Dec-2019 - 00:00,133.46,69.89,25.16,56.38,15.35,0.52,17.85,54.1,1.04,-0.21,217.08,736.0,83.41,0.0,6.93,16.47,16.15,10-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Dec-2019 - 00:00,140.11,67.58,20.24,51.87,23.74,0.52,17.55,54.27,1.03,-0.21,218.82,736.0,80.01,0.0,8.32,21.03,16.35,11-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Dec-2019 - 00:00,143.93,88.07,25.27,63.47,34.35,,17.48,52.71,0.86,-0.23,209.93,736.0,76.36,0.0,8.77,21.43,16.69,12-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Dec-2019 - 00:00,139.99,48.98,21.1,37.01,26.67,,16.28,57.71,3.71,-1.15,189.04,736.0,39.05,0.0,6.05,13.43,22.71,13-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Dec-2019 - 00:00,72.69,18.7,0.67,9.74,20.92,,13.51,72.12,6.22,-1.19,175.63,736.0,10.17,0.06,2.81,4.04,20.61,14-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Dec-2019 - 00:00,42.36,23.51,1.4,13.35,22.97,,13.8,68.28,2.4,-0.45,196.49,736.0,72.08,0.0,2.93,8.95,34.06,15-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Dec-2019 - 00:00,49.24,33.96,6.31,23.17,25.25,,13.87,64.5,1.11,-0.23,228.19,736.0,82.83,0.0,3.83,10.26,32.18,16-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Dec-2019 - 00:00,57.91,31.31,8.36,21.54,22.41,,13.26,62.33,2.49,-0.16,220.6,736.0,106.53,0.0,4.27,11.84,32.05,17-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Dec-2019 - 00:00,59.21,19.3,14.84,17.26,20.59,,12.12,67.32,2.63,-0.16,218.68,736.0,25.2,0.0,4.47,13.42,29.29,18-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Dec-2019 - 00:00,78.28,23.45,8.54,19.28,20.96,,12.18,64.76,1.6,-0.16,215.23,736.0,23.03,0.0,5.16,15.2,26.33,19-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Dec-2019 - 00:00,136.58,30.45,12.42,22.43,20.65,,12.28,60.27,1.77,-0.18,224.45,736.0,80.61,0.0,6.06,19.06,20.62,20-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Dec-2019 - 00:00,236.2,80.3,26.8,64.51,33.63,,12.99,65.67,1.18,-0.18,187.43,736.0,26.67,0.0,14.44,133.67,18.9,21-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Dec-2019 - 00:00,229.82,62.35,27.24,55.31,23.76,,13.35,66.01,0.9,-0.18,165.26,736.0,83.32,0.0,9.45,41.45,27.59,22-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Dec-2019 - 00:00,160.93,45.33,16.89,37.84,20.19,,14.14,60.86,2.52,-0.14,213.63,736.0,96.52,0.0,6.17,20.73,21.06,23-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Dec-2019 - 00:00,144.32,37.11,7.27,25.65,20.73,,12.35,68.21,1.56,-0.3,203.33,736.0,68.45,0.0,7.12,20.68,14.32,24-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Dec-2019 - 00:00,110.72,39.25,6.35,26.04,19.17,,11.42,68.99,1.32,-0.26,212.22,736.0,57.49,0.0,7.09,18.01,11.55,25-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Dec-2019 - 00:00,86.23,43.27,11.02,31.98,19.06,,11.76,68.59,1.21,-0.21,212.7,736.0,72.5,0.0,6.64,14.34,13.09,26-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Dec-2019 - 00:00,98.21,33.03,5.52,22.07,15.42,,10.43,66.66,1.6,-0.18,220.69,736.0,56.59,0.0,5.8,14.75,12.41,27-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Dec-2019 - 00:00,135.44,44.26,9.88,31.56,19.19,,10.46,62.17,1.64,-0.18,219.62,736.0,73.85,0.0,6.02,15.04,14.06,28-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Dec-2019 - 00:00,144.59,44.16,8.6,30.47,18.33,,9.75,68.49,1.48,-0.26,213.18,736.0,73.47,0.0,6.86,16.64,10.46,29-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Dec-2019 - 00:00,120.34,35.82,3.61,21.76,17.32,,9.96,66.22,1.53,-0.26,208.71,736.0,71.71,0.0,5.65,10.4,12.45,30-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Dec-2019 - 00:00,120.87,35.73,4.65,22.79,18.1,,9.43,67.38,2.07,-0.41,198.39,736.0,55.16,0.0,5.77,11.56,12.01,31-Dec-2019 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Dec-2019 - 00:00,154.0,57.95,79.2,95.25,21.55,,8.65,72.0,0.5,-0.2,238.5,736.0,5.0,0.0,6.95,14.55,4.65,01-Jan-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
