from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
14-Mar-2019 - 00:00,23.15,6.29,14.27,3.02,4.37,0.56,63.17,40.85,118.93,0.21,27.88,46.51,717.32,1.71,92.33,15-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Mar-2019 - 00:00,25.56,6.21,14.61,1.85,4.92,0.69,65.28,39.58,109.05,0.22,29.09,39.35,716.96,1.91,104.74,16-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Mar-2019 - 00:00,24.27,6.78,14.63,2.73,2.5,0.59,59.49,38.88,104.83,0.2,29.21,50.34,716.7,1.4,125.34,17-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Mar-2019 - 00:00,22.62,7.98,13.06,1.88,2.08,0.62,79.46,41.17,93.09,0.24,29.53,51.36,716.04,1.69,133.33,18-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Mar-2019 - 00:00,21.81,9.39,12.13,1.27,2.37,0.65,74.4,39.51,96.79,0.24,29.54,54.04,715.7,1.76,110.79,19-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Mar-2019 - 00:00,18.44,9.61,10.44,1.39,2.59,0.57,72.58,33.29,84.24,0.19,29.34,54.76,714.27,1.61,113.31,20-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Mar-2019 - 00:00,17.14,9.59,9.64,1.26,2.73,0.6,69.56,33.58,91.76,0.18,30.54,52.24,714.03,1.64,103.74,21-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Mar-2019 - 00:00,21.17,13.66,11.87,1.36,2.78,0.73,73.22,54.34,119.38,0.44,31.98,47.97,715.25,2.27,124.16,22-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Mar-2019 - 00:00,24.11,16.87,14.12,2.21,3.18,0.78,66.39,47.04,108.74,0.47,31.91,48.49,715.75,2.74,119.08,23-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Mar-2019 - 00:00,24.59,14.36,14.26,2.05,2.49,0.72,65.47,41.4,103.14,0.39,31.79,45.96,715.25,2.83,117.21,24-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Mar-2019 - 00:00,14.34,12.33,7.95,1.03,3.11,0.55,75.35,36.77,95.38,0.21,31.74,48.69,714.5,1.59,133.75,25-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Mar-2019 - 00:00,21.54,10.92,12.66,2.1,2.87,0.58,57.67,42.56,103.94,0.28,31.83,48.62,714.46,1.86,106.58,26-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Mar-2019 - 00:00,20.99,8.93,11.86,1.48,3.04,0.54,69.94,40.8,101.38,0.24,31.91,40.89,715.77,2.02,108.58,27-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Mar-2019 - 00:00,26.22,8.94,16.64,3.92,3.29,0.73,63.62,41.22,105.08,0.27,31.9,44.39,717.03,2.22,139.82,28-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Mar-2019 - 00:00,30.36,9.39,17.77,2.59,2.64,0.74,63.79,44.48,115.73,0.32,32.04,41.52,716.18,2.45,144.97,29-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Mar-2019 - 00:00,24.86,10.68,15.15,2.68,2.93,0.74,77.06,44.77,113.21,0.29,31.16,49.07,714.42,2.41,142.89,30-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Mar-2019 - 00:00,27.14,10.18,18.58,5.1,2.13,0.86,62.75,45.33,115.97,0.33,29.86,46.54,714.31,2.71,133.9,31-Mar-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Mar-2019 - 00:00,20.24,11.58,12.53,2.19,2.22,0.78,60.19,43.2,104.62,0.28,29.86,57.86,714.86,1.87,140.98,01-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Apr-2019 - 00:00,20.98,10.56,12.71,1.91,2.55,0.76,63.32,40.83,105.62,0.27,29.85,57.0,714.7,1.87,146.87,02-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Apr-2019 - 00:00,25.09,10.59,16.92,4.41,2.73,0.91,60.3,41.68,110.39,0.31,29.83,59.6,714.34,2.38,128.64,03-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Apr-2019 - 00:00,21.78,9.83,12.85,1.55,2.86,0.71,65.75,41.52,108.24,0.3,29.93,59.64,714.04,2.65,106.7,04-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Apr-2019 - 00:00,19.91,8.47,11.88,1.59,2.79,0.64,52.89,33.11,95.52,0.23,29.79,62.51,715.38,2.03,96.46,05-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Apr-2019 - 00:00,18.81,8.28,11.09,1.35,2.38,0.73,65.96,36.0,98.02,0.25,30.01,59.62,715.86,2.01,146.26,06-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Apr-2019 - 00:00,18.95,8.59,11.04,1.19,2.43,0.75,73.5,40.66,100.54,0.25,29.85,56.02,715.09,1.93,138.45,07-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Apr-2019 - 00:00,15.79,9.38,9.39,1.23,3.13,0.73,75.58,39.99,98.73,0.25,30.38,51.07,714.04,1.72,120.15,08-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Apr-2019 - 00:00,18.89,10.41,12.33,2.83,3.33,0.8,62.74,32.25,86.44,0.24,30.33,59.54,713.3,2.05,120.74,09-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Apr-2019 - 00:00,18.01,11.62,10.82,1.53,2.3,0.77,77.7,33.85,73.97,0.21,30.08,54.44,713.86,1.79,151.94,10-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Apr-2019 - 00:00,25.87,10.93,15.29,1.88,2.67,0.86,58.11,41.47,101.93,0.27,25.33,49.0,714.21,2.38,109.55,11-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Apr-2019 - 00:00,23.11,10.4,14.0,2.1,4.18,0.9,55.42,40.6,100.49,0.25,21.61,51.07,714.01,2.63,114.81,12-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Apr-2019 - 00:00,21.7,9.39,12.74,1.47,2.93,0.74,70.05,35.15,93.19,0.22,21.67,43.89,713.33,1.84,134.9,13-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Apr-2019 - 00:00,17.04,9.68,10.1,1.28,3.44,0.58,67.7,34.85,94.07,0.2,22.03,44.57,713.7,1.78,114.95,14-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Apr-2019 - 00:00,14.32,8.65,8.53,1.14,3.6,0.5,68.2,31.38,85.21,0.16,22.07,42.4,714.01,1.35,122.2,15-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Apr-2019 - 00:00,24.1,8.05,14.52,2.09,4.91,0.65,60.63,32.25,87.51,0.18,21.99,41.8,714.02,1.69,126.21,16-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Apr-2019 - 00:00,19.57,8.62,12.25,2.27,4.33,0.71,66.16,26.97,79.44,0.2,21.77,49.49,713.59,1.71,133.22,17-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Apr-2019 - 00:00,22.85,10.67,14.21,2.53,4.58,0.95,52.53,31.74,79.33,0.21,22.21,65.58,714.47,1.93,168.31,18-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Apr-2019 - 00:00,21.35,13.02,12.58,1.51,2.55,0.64,65.43,24.78,56.2,0.2,22.57,64.12,713.71,1.8,181.96,19-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Apr-2019 - 00:00,17.94,13.67,10.57,1.28,3.21,0.59,60.45,22.82,50.71,0.16,22.49,67.0,713.05,1.5,139.67,20-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Apr-2019 - 00:00,16.04,12.34,9.43,1.1,4.95,0.64,72.73,21.62,54.42,0.16,22.17,67.32,711.71,1.43,145.22,21-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
