from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
01-Jan-2019 - 00:00,11.34,32.97,14.84,51.1,84.07,2.85,,1.57,0.28,108.15,,125.41,203.3,27.39,0.32,35.61,1.14,02-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
02-Jan-2019 - 00:00,11.42,33.28,14.98,51.43,84.71,2.29,,1.15,0.28,109.5,,96.14,170.55,33.37,0.22,35.64,0.78,03-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
03-Jan-2019 - 00:00,11.45,35.73,16.08,55.38,90.18,2.24,,1.16,0.28,83.09,,81.55,153.12,33.51,0.22,35.62,1.13,04-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
04-Jan-2019 - 00:00,11.43,31.39,14.12,48.53,80.04,2.2,,1.2,0.28,99.64,,88.87,151.95,32.55,0.24,35.67,1.17,05-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
05-Jan-2019 - 00:00,11.44,28.52,12.83,44.04,72.74,1.77,,0.9,0.28,102.61,,91.54,159.97,37.54,0.18,35.77,0.95,06-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
06-Jan-2019 - 00:00,11.36,25.13,11.31,38.46,64.08,1.3,,0.61,0.28,108.24,,89.68,148.55,33.74,0.15,35.69,0.28,07-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
07-Jan-2019 - 00:00,11.37,25.62,11.53,39.61,65.35,2.47,,1.37,0.28,78.86,,93.77,183.09,37.76,0.25,35.54,0.82,08-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
08-Jan-2019 - 00:00,11.6,35.27,15.87,54.48,89.09,2.35,,1.3,0.28,80.11,,106.42,204.41,33.14,0.24,35.54,0.78,09-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
09-Jan-2019 - 00:00,11.6,35.44,15.95,54.81,89.88,2.52,,1.34,0.28,124.64,,110.86,207.23,33.3,0.27,35.6,0.78,10-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
10-Jan-2019 - 00:00,11.56,33.92,15.26,52.58,86.03,2.89,,1.48,0.28,91.2,,114.58,208.31,34.07,0.37,35.6,1.03,11-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
11-Jan-2019 - 00:00,11.3,25.33,11.4,39.26,64.59,1.21,,0.52,0.28,122.26,,101.1,167.11,35.17,0.11,35.66,0.51,12-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
12-Jan-2019 - 00:00,11.29,20.6,9.27,31.93,52.48,0.91,,0.38,0.28,108.53,,85.36,142.57,30.53,0.09,35.78,1.36,13-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
13-Jan-2019 - 00:00,11.36,17.75,7.99,27.37,45.27,1.05,,0.43,0.28,143.99,,91.74,171.6,36.6,0.12,35.71,1.56,14-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
14-Jan-2019 - 00:00,11.38,15.67,7.05,22.84,39.96,2.58,,1.35,0.28,83.3,,93.61,158.24,39.45,0.31,35.73,1.25,15-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
15-Jan-2019 - 00:00,11.39,15.51,6.98,22.79,39.56,3.02,,1.59,0.28,82.51,,109.85,192.56,37.94,0.31,35.88,0.97,16-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
16-Jan-2019 - 00:00,11.61,20.68,9.3,31.58,52.72,2.73,,1.43,0.28,97.86,,107.76,177.4,37.79,0.23,35.8,0.42,17-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
17-Jan-2019 - 00:00,11.52,15.94,7.17,24.23,40.64,2.05,,1.06,0.28,125.48,,101.99,183.03,34.39,0.21,35.87,0.91,18-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
18-Jan-2019 - 00:00,11.42,15.62,7.03,23.8,39.82,2.29,,1.16,0.28,104.97,,99.31,183.6,32.56,0.24,35.88,0.89,19-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
19-Jan-2019 - 00:00,11.32,15.97,7.19,23.91,40.73,2.07,,1.05,0.28,110.51,,100.46,183.05,37.42,0.22,35.85,0.96,20-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
20-Jan-2019 - 00:00,11.24,10.11,4.55,14.12,25.78,1.27,,0.62,0.28,120.15,,88.23,146.35,35.29,0.12,35.84,0.22,21-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
21-Jan-2019 - 00:00,11.21,13.73,6.18,21.21,34.71,0.55,,0.18,0.28,116.63,,75.04,130.86,32.7,0.05,35.9,0.56,22-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
22-Jan-2019 - 00:00,11.22,7.97,3.59,12.36,20.34,0.36,,0.12,0.28,111.01,,49.74,97.11,37.38,0.04,35.79,0.64,23-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
23-Jan-2019 - 00:00,11.25,3.88,1.75,5.41,9.89,0.24,,0.07,0.28,123.38,,46.35,84.76,40.01,0.03,35.74,0.43,24-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
24-Jan-2019 - 00:00,11.4,8.18,3.68,11.73,20.85,0.36,,0.08,0.28,123.78,,57.88,116.35,37.65,0.04,34.8,0.64,25-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
25-Jan-2019 - 00:00,7.89,10.58,4.76,14.94,26.97,0.65,,0.26,0.28,121.43,,70.58,140.19,26.3,0.13,35.73,1.18,26-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
26-Jan-2019 - 00:00,8.88,9.17,4.22,13.82,23.37,0.6,,0.24,0.28,160.19,,75.02,130.96,43.93,0.07,35.58,1.08,27-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
27-Jan-2019 - 00:00,9.18,5.48,2.47,7.81,13.98,0.39,,0.16,0.28,169.72,,61.04,103.46,44.89,0.04,35.76,0.7,28-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
28-Jan-2019 - 00:00,9.16,10.23,4.61,15.03,26.1,0.66,,0.31,0.28,150.82,,60.67,110.35,42.0,0.07,35.67,0.56,29-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
29-Jan-2019 - 00:00,8.33,16.93,13.97,22.86,42.0,1.21,,0.6,0.28,147.81,,70.79,131.01,38.2,0.12,35.68,0.56,30-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
30-Jan-2019 - 00:00,7.85,26.39,31.67,38.71,64.59,2.06,,1.09,0.28,155.02,,89.86,173.06,35.85,0.21,35.79,0.74,31-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
31-Jan-2019 - 00:00,8.71,22.54,27.05,33.06,55.44,2.01,,1.09,0.28,112.13,,94.57,161.56,35.87,0.22,35.79,0.58,01-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
01-Feb-2019 - 00:00,9.61,15.34,18.41,22.5,37.84,0.92,,0.4,0.28,100.71,,70.81,124.91,36.22,0.09,36.05,1.26,02-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
02-Feb-2019 - 00:00,10.05,16.84,20.21,24.7,41.54,0.91,,0.4,0.28,108.15,,73.95,127.63,38.02,0.1,36.21,1.24,03-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
03-Feb-2019 - 00:00,9.35,14.49,17.39,21.25,35.74,0.89,,0.38,0.28,95.28,,69.32,108.77,34.47,0.09,35.92,1.61,04-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
04-Feb-2019 - 00:00,9.4,17.56,21.07,25.75,43.3,1.5,,0.7,0.28,149.46,,70.4,136.17,39.08,0.11,36.05,2.38,05-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
05-Feb-2019 - 00:00,9.55,16.87,20.24,24.74,41.6,1.43,,0.71,0.28,121.59,,76.92,146.65,36.39,0.13,36.03,1.34,06-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
06-Feb-2019 - 00:00,10.12,10.43,12.51,15.29,25.72,0.41,,0.14,0.28,133.95,,63.62,122.0,35.28,0.05,36.07,0.31,07-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
07-Feb-2019 - 00:00,10.32,10.21,12.25,14.97,25.14,0.16,,0.05,0.28,109.5,,39.89,88.9,40.0,0.02,35.74,0.29,08-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
08-Feb-2019 - 00:00,10.09,10.12,12.14,14.84,24.96,0.17,,0.05,0.28,134.78,,48.57,120.1,30.67,0.02,35.56,0.31,09-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
09-Feb-2019 - 00:00,12.03,19.51,23.42,28.62,48.13,1.07,,0.57,0.28,128.14,,79.64,183.61,31.65,0.11,35.36,1.58,10-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
10-Feb-2019 - 00:00,8.78,25.42,30.5,37.28,62.7,2.06,,1.08,0.28,84.57,,108.96,218.69,34.9,0.21,35.61,2.37,11-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
11-Feb-2019 - 00:00,9.64,28.72,34.47,42.12,52.7,2.6,,1.45,0.28,79.07,,91.45,185.68,32.99,0.28,35.94,1.78,12-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
12-Feb-2019 - 00:00,10.43,13.67,16.41,20.06,33.73,0.96,,0.46,0.28,102.32,,68.53,127.44,42.1,0.08,36.22,0.61,13-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
13-Feb-2019 - 00:00,10.44,14.03,16.83,20.57,34.6,0.92,,0.4,0.28,111.42,,69.46,121.31,33.49,0.08,36.29,0.56,14-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
14-Feb-2019 - 00:00,11.17,11.37,13.64,16.67,28.04,0.47,,0.17,0.28,108.85,,55.1,108.02,34.99,0.04,36.25,0.63,15-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
15-Feb-2019 - 00:00,10.47,10.48,12.57,15.37,25.84,0.35,,0.12,0.28,119.06,,51.98,107.0,33.61,0.04,36.05,0.63,16-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
16-Feb-2019 - 00:00,10.0,10.86,13.04,15.94,26.8,0.29,,0.09,0.28,96.6,,47.2,85.15,31.29,0.03,35.9,0.53,17-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
17-Feb-2019 - 00:00,9.91,9.22,11.06,13.52,22.74,0.21,,0.06,0.28,99.28,,56.26,109.01,33.58,0.04,35.81,0.38,18-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
18-Feb-2019 - 00:00,9.63,10.01,12.01,14.68,24.69,0.45,,0.16,0.28,87.2,,65.37,135.42,26.94,0.05,36.05,0.82,19-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
19-Feb-2019 - 00:00,9.62,11.51,13.81,16.88,28.36,0.62,,0.27,0.28,105.29,,61.22,134.19,29.81,0.07,36.22,1.12,20-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
20-Feb-2019 - 00:00,10.24,10.94,13.13,16.04,26.98,0.51,,0.2,0.28,149.97,,67.49,132.01,35.58,0.06,36.36,0.91,21-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
21-Feb-2019 - 00:00,10.58,10.46,12.55,15.34,25.8,0.03,,0.02,0.28,139.18,,56.65,105.43,40.45,0.01,36.45,0.27,22-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
22-Feb-2019 - 00:00,10.72,13.15,15.78,19.29,32.45,0.24,,0.15,0.28,100.87,,55.4,111.11,29.33,0.18,36.58,1.06,23-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
23-Feb-2019 - 00:00,10.21,15.03,18.04,22.04,37.05,0.82,,0.51,0.28,144.73,,64.34,128.53,32.61,0.65,36.51,1.04,24-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
24-Feb-2019 - 00:00,10.0,9.83,11.79,14.41,24.22,0.79,,0.49,0.28,120.1,,49.02,110.84,27.35,0.64,36.39,0.99,25-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
25-Feb-2019 - 00:00,10.02,9.74,11.69,14.29,24.03,0.65,,0.46,0.28,115.91,,44.38,109.29,25.99,0.48,36.27,1.04,26-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
26-Feb-2019 - 00:00,10.14,10.34,12.41,15.17,25.51,0.06,,0.02,0.28,143.73,,43.16,112.61,28.13,0.01,36.09,1.43,27-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
27-Feb-2019 - 00:00,36.33,10.27,12.33,15.07,25.34,0.0,,0.0,0.28,133.88,,45.34,126.89,35.93,0.0,35.95,1.94,28-Feb-2019 - 00:00,"Karve Road, Pune - MPCB"
28-Feb-2019 - 00:00,61.7,14.24,17.08,20.88,35.12,2.3,,1.07,0.28,156.31,,51.69,118.95,30.21,0.68,35.94,2.25,01-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
01-Mar-2019 - 00:00,63.21,17.68,21.21,25.93,43.6,7.07,,3.54,0.28,105.66,,68.17,156.33,27.42,2.36,36.06,1.18,02-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
02-Mar-2019 - 00:00,47.31,10.92,13.1,16.01,26.93,4.37,,2.18,0.28,94.38,,60.97,146.34,30.03,1.46,36.28,0.73,03-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
03-Mar-2019 - 00:00,41.24,9.52,11.42,13.96,23.47,3.81,,1.9,0.28,86.76,,37.0,70.35,32.12,1.27,36.19,0.63,04-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
04-Mar-2019 - 00:00,45.97,10.61,12.73,15.56,26.17,4.24,,2.12,0.28,138.56,,34.94,81.08,30.96,1.41,36.13,0.71,05-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
05-Mar-2019 - 00:00,47.52,10.97,13.16,16.08,27.05,4.39,,2.19,0.28,150.04,,44.63,123.59,35.45,1.46,36.07,0.73,06-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
06-Mar-2019 - 00:00,45.47,10.49,12.45,15.39,25.88,4.2,,2.1,0.28,125.98,,46.46,114.52,33.55,1.4,36.03,0.7,07-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
07-Mar-2019 - 00:00,48.34,11.15,13.39,16.36,27.51,4.46,,2.23,0.28,130.95,,53.92,124.38,25.33,1.49,36.16,0.74,08-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
08-Mar-2019 - 00:00,49.67,11.46,13.75,16.81,28.27,4.58,,2.29,0.28,118.29,,59.66,142.22,24.93,1.53,36.35,0.76,09-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
09-Mar-2019 - 00:00,49.57,11.44,13.73,16.78,28.21,4.58,,2.29,0.28,146.53,,53.7,144.73,30.14,1.53,36.41,0.76,10-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
10-Mar-2019 - 00:00,44.66,10.31,12.37,15.12,25.42,4.12,,2.06,0.28,143.69,,57.5,137.57,29.86,1.37,36.45,0.69,11-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
11-Mar-2019 - 00:00,47.82,11.03,13.24,16.18,27.22,4.41,,2.21,0.28,146.8,,51.75,144.03,31.08,1.47,36.38,0.74,12-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
12-Mar-2019 - 00:00,62.17,14.35,17.22,21.04,35.39,5.74,,2.87,0.28,146.27,,62.34,163.92,30.51,1.91,36.42,0.96,13-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
13-Mar-2019 - 00:00,48.16,11.11,13.34,16.3,27.41,4.45,,2.22,0.28,128.48,,46.23,117.63,29.23,1.48,36.41,0.74,14-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
14-Mar-2019 - 00:00,52.74,12.17,14.61,17.85,30.02,4.87,,2.43,0.28,168.32,,44.0,126.41,29.35,1.62,36.43,0.81,15-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
15-Mar-2019 - 00:00,56.78,13.1,15.72,19.22,32.32,5.24,,2.62,0.28,153.06,,59.58,157.78,29.51,1.75,36.45,0.87,16-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
16-Mar-2019 - 00:00,45.49,10.5,12.6,15.4,25.89,4.2,,2.1,0.28,146.27,,48.75,134.4,25.63,1.4,36.53,0.7,17-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
17-Mar-2019 - 00:00,39.99,9.23,11.08,13.54,22.77,3.69,,1.85,0.28,148.72,,37.75,95.69,24.54,1.23,36.53,0.62,18-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
18-Mar-2019 - 00:00,43.7,10.08,12.1,14.79,24.88,4.03,,2.02,0.28,125.0,,50.52,133.86,29.67,1.34,36.5,0.67,19-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
19-Mar-2019 - 00:00,42.59,9.83,11.8,14.42,24.25,3.93,,1.97,0.28,96.71,,55.53,138.81,30.19,1.31,36.56,0.66,20-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
20-Mar-2019 - 00:00,41.35,9.54,11.45,14.0,23.54,3.82,,1.91,0.28,146.55,,48.19,125.32,26.82,1.27,36.52,0.64,21-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
21-Mar-2019 - 00:00,40.96,9.45,11.34,13.86,23.32,3.78,,1.89,0.28,90.92,,38.24,96.64,27.98,1.26,36.44,0.63,22-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
22-Mar-2019 - 00:00,51.11,11.79,14.15,17.3,29.09,4.72,,2.36,0.28,75.76,,44.6,109.57,25.29,1.57,36.43,0.79,23-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
23-Mar-2019 - 00:00,45.3,10.45,12.55,15.33,25.79,4.18,,2.09,0.28,75.05,,57.12,139.92,30.03,1.39,36.67,0.7,24-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
24-Mar-2019 - 00:00,50.48,11.65,13.98,17.08,28.73,4.66,,2.33,0.28,80.13,,66.67,153.22,29.43,1.55,36.69,0.78,25-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
25-Mar-2019 - 00:00,51.26,13.17,15.8,19.31,29.81,5.27,,2.63,0.28,78.98,,78.02,182.63,29.45,1.76,36.72,0.82,26-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
26-Mar-2019 - 00:00,47.36,10.93,13.11,16.03,26.96,4.37,,2.19,0.28,80.6,,72.49,186.14,27.66,1.46,36.87,0.73,27-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
27-Mar-2019 - 00:00,43.94,10.75,12.9,15.58,25.51,4.25,,2.12,0.28,124.93,,75.08,140.4,34.93,1.42,36.83,0.71,28-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
28-Mar-2019 - 00:00,50.17,11.58,13.89,16.98,28.56,4.63,,2.32,0.28,140.55,,72.39,152.01,20.58,1.54,36.88,0.77,29-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
29-Mar-2019 - 00:00,45.51,10.5,12.6,15.4,25.91,4.2,,2.1,0.28,133.95,,66.07,151.07,31.31,1.4,36.97,0.7,30-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
30-Mar-2019 - 00:00,41.7,9.62,11.55,14.11,23.74,3.85,,1.92,0.28,104.74,,62.74,144.31,36.43,1.28,36.94,0.64,31-Mar-2019 - 00:00,"Karve Road, Pune - MPCB"
31-Mar-2019 - 00:00,41.31,9.53,11.44,13.98,23.52,3.81,,1.91,0.28,88.58,,45.91,107.04,32.08,1.27,36.92,0.64,01-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
01-Apr-2019 - 00:00,42.04,9.7,11.64,14.23,23.93,3.88,,1.94,0.28,112.83,,48.97,94.25,31.33,1.29,36.81,0.65,02-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
02-Apr-2019 - 00:00,44.59,10.29,12.35,15.09,25.38,4.12,,2.06,0.28,157.4,,37.93,90.6,30.48,1.37,36.83,0.69,03-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
03-Apr-2019 - 00:00,46.42,10.71,12.85,15.71,26.42,4.28,,2.14,0.28,98.3,,47.21,100.72,29.75,1.43,36.95,0.71,04-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
04-Apr-2019 - 00:00,42.94,9.91,11.89,14.53,24.45,3.96,,1.98,0.28,143.06,,54.4,120.96,33.93,1.32,36.94,0.66,05-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
05-Apr-2019 - 00:00,43.37,10.01,12.01,14.68,24.69,4.0,,2.0,0.28,125.8,,43.54,94.91,34.88,1.33,36.85,0.67,06-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
06-Apr-2019 - 00:00,41.88,9.66,11.6,14.17,23.84,3.87,,1.93,0.28,139.87,,40.67,79.59,31.39,1.29,36.92,0.64,07-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
07-Apr-2019 - 00:00,40.53,9.35,11.22,13.72,23.07,3.74,,1.87,0.28,145.04,,40.66,90.15,28.67,1.25,36.86,0.62,08-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
08-Apr-2019 - 00:00,42.16,9.73,11.67,14.27,24.0,3.89,,1.95,0.28,148.48,,40.85,87.65,27.98,1.3,36.94,0.65,09-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
09-Apr-2019 - 00:00,41.32,9.53,11.44,13.98,23.52,3.81,,1.91,0.28,146.42,,38.75,83.58,26.23,1.27,36.85,0.64,10-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
10-Apr-2019 - 00:00,44.27,10.22,12.26,14.98,25.2,4.09,,2.04,0.28,153.77,,43.8,95.75,29.35,1.36,36.91,0.68,11-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
11-Apr-2019 - 00:00,41.94,9.68,11.61,14.2,23.87,3.87,,1.94,0.28,154.92,,50.58,107.49,30.43,1.29,36.96,0.65,12-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
12-Apr-2019 - 00:00,41.11,9.49,11.38,13.91,23.4,3.79,,1.9,0.28,154.72,,46.77,100.11,31.17,1.26,37.04,0.63,13-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
13-Apr-2019 - 00:00,43.27,9.99,11.98,14.64,24.63,3.99,,2.0,0.28,92.06,,51.78,119.82,33.42,1.33,36.85,0.67,14-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
14-Apr-2019 - 00:00,44.56,10.28,12.34,15.08,25.36,4.11,,2.06,0.28,133.84,0.25,40.25,62.89,33.33,1.37,39.58,0.69,15-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
15-Apr-2019 - 00:00,50.27,11.6,13.92,17.02,28.62,4.64,105.89,2.32,0.29,48.2,0.25,51.02,71.35,38.66,1.55,57.83,0.77,16-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
16-Apr-2019 - 00:00,48.26,11.14,13.37,16.34,27.47,4.46,96.31,2.23,0.28,83.62,,57.78,96.31,36.56,1.49,36.82,0.74,17-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
17-Apr-2019 - 00:00,44.99,10.38,12.46,15.23,25.58,4.15,102.43,2.08,0.28,68.29,,61.46,102.43,25.57,1.38,36.7,0.69,18-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
18-Apr-2019 - 00:00,41.74,9.63,11.56,14.13,23.76,3.85,87.15,1.93,0.28,66.81,,52.29,87.15,32.35,1.28,36.67,0.64,19-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
19-Apr-2019 - 00:00,41.02,9.47,11.36,13.89,23.35,3.79,98.41,1.89,0.28,81.71,,59.05,98.41,32.27,1.26,36.78,0.63,20-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
20-Apr-2019 - 00:00,41.59,9.6,11.52,14.08,23.68,3.84,73.3,1.92,0.28,94.99,,43.98,73.3,34.74,1.28,36.79,0.64,21-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
21-Apr-2019 - 00:00,37.74,8.71,10.45,12.77,21.48,3.48,64.49,1.74,0.28,147.58,,38.7,64.49,34.47,1.16,36.72,0.58,22-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
22-Apr-2019 - 00:00,41.3,9.53,11.44,13.98,23.51,3.81,60.33,1.91,0.28,145.09,,36.2,60.33,28.05,1.27,36.81,0.64,23-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
23-Apr-2019 - 00:00,42.28,9.76,11.71,14.31,24.07,3.9,62.89,1.95,0.28,156.3,,37.73,62.89,20.98,1.3,37.03,0.65,24-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
24-Apr-2019 - 00:00,40.12,9.26,11.11,13.58,22.84,3.7,76.32,1.85,0.28,155.62,,45.79,76.32,25.03,1.23,37.19,0.62,25-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
25-Apr-2019 - 00:00,40.49,12.29,14.74,17.84,25.07,4.87,92.84,2.43,0.28,124.41,,55.71,92.84,31.17,1.62,37.22,0.71,26-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
26-Apr-2019 - 00:00,41.27,9.52,11.43,13.97,23.41,3.81,99.25,1.9,0.28,133.32,,59.55,99.25,30.46,1.27,37.25,0.63,27-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
27-Apr-2019 - 00:00,43.79,10.11,12.13,14.82,24.79,4.04,125.25,2.02,0.28,120.64,,75.15,125.25,28.29,1.35,37.38,0.67,28-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
28-Apr-2019 - 00:00,38.98,8.99,10.79,13.19,22.19,3.6,111.4,1.8,0.28,138.63,,66.84,111.4,28.42,1.2,37.37,0.6,29-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
29-Apr-2019 - 00:00,39.89,9.21,11.05,13.5,22.71,3.68,103.38,1.84,0.28,152.58,,62.03,103.38,38.13,1.23,37.16,0.61,30-Apr-2019 - 00:00,"Karve Road, Pune - MPCB"
30-Apr-2019 - 00:00,41.87,9.66,11.59,14.17,23.83,3.86,93.89,1.93,0.28,145.9,,56.33,93.89,33.85,1.29,37.0,0.64,01-May-2019 - 00:00,"Karve Road, Pune - MPCB"
01-May-2019 - 00:00,41.19,9.5,11.41,13.94,23.45,3.8,117.08,1.9,0.28,174.3,,70.25,117.08,35.41,1.27,36.77,0.63,02-May-2019 - 00:00,"Karve Road, Pune - MPCB"
02-May-2019 - 00:00,40.98,9.46,11.35,13.87,23.33,3.78,94.8,1.89,0.28,153.32,,56.88,94.8,32.03,1.26,36.69,0.63,03-May-2019 - 00:00,"Karve Road, Pune - MPCB"
03-May-2019 - 00:00,41.0,9.46,11.35,13.88,23.34,3.78,93.4,1.89,0.28,148.14,,56.04,93.4,37.79,1.26,36.49,0.63,04-May-2019 - 00:00,"Karve Road, Pune - MPCB"
04-May-2019 - 00:00,45.7,13.03,14.66,17.6,30.63,3.92,89.92,1.96,0.28,139.01,,53.95,89.92,37.09,1.31,36.53,0.65,05-May-2019 - 00:00,"Karve Road, Pune - MPCB"
05-May-2019 - 00:00,48.69,16.23,17.53,20.78,37.01,3.9,80.83,1.95,0.28,127.17,,48.5,80.83,34.46,1.3,36.62,0.65,06-May-2019 - 00:00,"Karve Road, Pune - MPCB"
06-May-2019 - 00:00,49.95,16.65,17.98,21.31,37.96,4.0,86.53,2.0,0.28,155.66,,56.36,93.93,34.22,1.33,36.88,0.67,07-May-2019 - 00:00,"Karve Road, Pune - MPCB"
07-May-2019 - 00:00,49.47,16.49,17.81,21.11,37.6,3.96,,1.98,0.28,122.53,,50.5,84.17,33.88,1.32,36.94,0.66,08-May-2019 - 00:00,"Karve Road, Pune - MPCB"
