from date,CO,PM10,WD,AT,SR,WS,RH,NO,NO2,NOx,SO2,to date,station
23-Jan-2019 - 00:00,0.72,73.66,168.85,,183.23,1.56,,3.99,41.91,43.74,5.76,24-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Jan-2019 - 00:00,0.59,78.32,173.54,,192.09,2.01,,0.8,27.13,24.82,5.63,25-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Jan-2019 - 00:00,0.68,47.82,218.8,,176.69,1.02,,1.67,38.67,34.79,2.79,26-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Jan-2019 - 00:00,0.69,55.33,215.62,,152.92,1.22,,2.12,30.79,30.37,2.47,27-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Jan-2019 - 00:00,0.61,60.77,252.32,,129.7,1.04,,0.73,25.54,23.99,0.27,28-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Jan-2019 - 00:00,0.57,49.84,256.42,,144.2,0.94,,0.39,19.99,17.6,1.2,29-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Jan-2019 - 00:00,0.61,43.09,249.14,,123.48,0.89,,0.75,24.31,22.8,4.29,30-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Jan-2019 - 00:00,0.63,46.49,204.42,,162.56,1.4,,5.9,37.24,41.5,5.18,31-Jan-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
31-Jan-2019 - 00:00,0.56,53.88,175.17,,187.0,1.54,,2.17,32.04,32.59,5.77,01-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Feb-2019 - 00:00,0.56,57.48,168.2,,185.29,1.81,,4.65,41.49,44.62,5.81,02-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Feb-2019 - 00:00,0.61,50.38,179.85,,190.21,1.46,,1.76,31.63,32.07,5.21,03-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Feb-2019 - 00:00,0.6,35.92,178.93,,206.76,1.15,,1.31,26.6,26.18,4.66,04-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Feb-2019 - 00:00,0.6,49.96,163.07,,217.82,1.63,,1.76,25.31,25.58,4.69,05-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Feb-2019 - 00:00,0.63,76.1,179.39,,181.57,1.78,,1.74,27.13,27.19,6.29,06-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Feb-2019 - 00:00,0.65,90.03,223.21,,193.47,1.89,,1.28,33.05,32.92,7.01,07-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Feb-2019 - 00:00,0.66,81.71,214.59,,159.3,1.76,,2.93,39.62,41.26,7.37,08-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Feb-2019 - 00:00,0.62,78.64,252.28,,190.54,1.59,,1.72,28.81,28.85,7.5,09-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Feb-2019 - 00:00,0.7,56.48,193.9,,149.46,1.52,,1.99,38.14,38.44,8.26,10-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Feb-2019 - 00:00,0.66,87.61,259.11,,189.92,1.66,,1.28,27.96,27.67,7.49,11-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Feb-2019 - 00:00,0.58,39.08,231.86,,257.52,0.89,,1.91,30.01,30.59,1.1,12-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Feb-2019 - 00:00,0.61,48.8,206.86,,225.2,1.39,,1.47,25.95,25.87,1.01,13-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Feb-2019 - 00:00,0.61,64.95,236.21,,224.43,1.5,,1.2,29.29,27.59,7.85,14-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Feb-2019 - 00:00,0.61,35.9,202.89,,148.43,1.19,,2.09,31.4,32.33,8.38,15-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Feb-2019 - 00:00,0.43,32.5,110.54,,198.38,1.31,,6.63,48.63,53.25,5.73,16-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Feb-2019 - 00:00,0.54,72.33,112.85,,266.91,2.42,,7.27,36.29,43.12,4.43,17-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Feb-2019 - 00:00,0.42,73.02,111.92,,273.48,2.44,,7.38,26.37,33.27,3.45,18-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Feb-2019 - 00:00,0.85,52.68,131.26,,299.71,1.49,,9.82,39.58,46.85,2.64,19-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Feb-2019 - 00:00,0.56,73.71,187.53,,338.29,1.75,,3.2,35.49,36.57,5.24,20-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Feb-2019 - 00:00,0.58,79.34,226.61,,364.69,1.9,,2.19,28.09,29.28,3.92,21-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Feb-2019 - 00:00,0.64,30.33,219.93,,298.11,1.01,,2.05,28.44,29.43,3.86,22-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Feb-2019 - 00:00,0.59,32.65,137.71,,241.65,1.46,,1.73,31.75,31.92,3.88,23-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Feb-2019 - 00:00,0.61,35.96,124.04,,268.36,1.39,,2.39,39.85,40.82,5.14,24-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Feb-2019 - 00:00,0.44,30.31,107.94,,292.46,1.25,,10.6,43.31,41.73,5.55,25-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Feb-2019 - 00:00,0.69,51.58,113.8,,255.25,1.84,,6.33,43.43,50.35,1.34,26-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Feb-2019 - 00:00,0.67,44.01,173.7,,220.6,1.22,,1.9,30.15,30.54,2.21,27-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Feb-2019 - 00:00,0.66,58.43,210.76,,213.93,1.26,,2.45,29.75,30.44,2.63,28-Feb-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Feb-2019 - 00:00,0.61,59.83,237.45,,229.0,1.13,,0.79,28.12,27.35,3.9,01-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Mar-2019 - 00:00,0.62,68.65,221.84,,203.59,1.47,,3.08,40.43,41.53,4.83,02-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Mar-2019 - 00:00,0.6,70.19,255.7,,213.14,1.29,,0.88,20.14,19.46,5.73,03-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Mar-2019 - 00:00,0.66,77.78,270.77,,194.32,1.1,,1.76,22.7,22.98,6.75,04-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Mar-2019 - 00:00,0.49,66.74,294.82,,49.67,1.23,,0.98,20.8,20.6,7.73,05-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Mar-2019 - 00:00,1.18,80.29,230.7,,252.29,1.38,,0.97,1.93,0.92,0.56,06-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Mar-2019 - 00:00,0.52,58.33,213.48,,202.46,1.02,,1.96,4.6,4.86,1.91,07-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Mar-2019 - 00:00,0.8,39.76,170.92,,233.57,1.22,,3.62,10.12,13.75,4.37,08-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Mar-2019 - 00:00,0.54,49.71,119.74,,146.58,1.44,,3.61,10.04,13.61,7.1,09-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Mar-2019 - 00:00,0.6,55.56,208.77,,190.92,1.04,,3.46,9.97,13.35,10.83,10-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Mar-2019 - 00:00,0.61,55.45,259.68,,201.54,0.75,,3.52,10.22,13.72,3.9,11-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Mar-2019 - 00:00,0.61,55.54,235.19,,218.74,0.8,,3.47,9.95,13.4,4.14,12-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Mar-2019 - 00:00,0.59,52.38,251.06,,227.3,0.78,,3.62,10.14,13.76,4.45,13-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Mar-2019 - 00:00,0.54,50.18,231.59,,268.09,0.84,,3.42,9.8,13.21,2.84,14-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Mar-2019 - 00:00,0.62,59.7,199.96,,334.38,0.93,,3.38,9.54,12.85,2.16,15-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Mar-2019 - 00:00,0.52,67.13,202.44,,66.93,1.19,,3.67,10.27,13.92,1.68,16-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Mar-2019 - 00:00,0.66,,183.18,,241.74,1.07,,3.6,10.18,13.76,3.45,17-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Mar-2019 - 00:00,0.59,,192.78,,238.38,1.1,,3.44,10.18,13.59,4.18,18-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Mar-2019 - 00:00,0.62,,226.25,,230.65,0.89,,3.72,10.37,14.05,4.45,19-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Mar-2019 - 00:00,0.62,,238.21,,230.38,0.79,,3.5,10.16,13.64,4.78,20-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Mar-2019 - 00:00,0.6,,231.59,,221.56,0.94,,3.61,10.77,13.98,1.87,21-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Mar-2019 - 00:00,0.65,,185.38,,225.44,1.29,,3.47,10.0,13.5,3.51,22-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Mar-2019 - 00:00,0.71,,124.87,,237.84,1.63,,3.54,10.09,13.53,4.28,23-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Mar-2019 - 00:00,0.56,,112.38,,155.91,1.71,,5.25,12.29,17.52,8.85,24-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Mar-2019 - 00:00,0.42,,113.14,,303.57,1.88,,7.32,14.29,21.59,24.3,25-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Mar-2019 - 00:00,0.53,,112.24,,314.9,1.79,,6.99,13.79,20.76,20.57,26-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Mar-2019 - 00:00,,,111.32,,228.31,1.75,,,,,,27-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Mar-2019 - 00:00,,,112.6,,391.39,2.23,,,,,,28-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Mar-2019 - 00:00,,,112.26,,292.32,2.17,,,,,,29-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Mar-2019 - 00:00,0.94,,131.83,,268.22,1.84,,3.13,8.65,11.45,2.54,30-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Mar-2019 - 00:00,0.54,,118.16,,320.83,1.89,,2.87,8.96,11.71,2.76,31-Mar-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,01-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,02-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Apr-2019 - 00:00,0.46,,111.3,,350.39,1.27,,3.64,7.96,11.57,0.24,03-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Apr-2019 - 00:00,,,110.08,,290.08,1.4,,,,,,04-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Apr-2019 - 00:00,,,111.26,,315.91,1.69,,,,,,05-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Apr-2019 - 00:00,,,111.03,,192.48,1.57,,,,,,06-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Apr-2019 - 00:00,,,108.82,,97.18,1.45,,,,,,07-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,08-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Apr-2019 - 00:00,,,114.31,,375.08,2.15,,,,,,09-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Apr-2019 - 00:00,,,112.19,,219.89,1.59,,,,,,10-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Apr-2019 - 00:00,1.3,,173.76,,25.41,1.8,,4.54,10.76,14.74,0.48,11-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Apr-2019 - 00:00,0.64,131.57,194.56,,221.84,2.55,,3.84,10.15,13.97,4.02,12-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Apr-2019 - 00:00,0.54,71.07,180.73,,124.49,3.79,,3.71,10.05,13.73,8.16,13-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Apr-2019 - 00:00,0.59,30.47,190.1,,283.43,2.89,,3.66,10.22,13.86,15.14,14-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Apr-2019 - 00:00,0.55,23.57,188.5,,293.44,0.84,,3.57,9.97,13.53,15.74,15-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Apr-2019 - 00:00,0.58,32.64,203.11,,296.18,1.61,,3.8,9.93,13.71,16.03,16-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Apr-2019 - 00:00,0.56,52.14,211.25,,321.04,2.54,,3.92,10.37,13.68,9.81,17-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Apr-2019 - 00:00,0.49,50.87,203.88,,521.24,2.89,,3.59,9.25,12.81,2.67,18-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Apr-2019 - 00:00,0.53,45.63,175.29,,727.76,1.84,,8.53,14.29,22.02,0.37,19-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Apr-2019 - 00:00,0.59,60.99,246.38,,434.09,1.22,,3.83,9.81,13.31,5.36,20-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,21-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,22-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Apr-2019 - 00:00,0.66,63.5,238.19,,481.56,1.92,,3.6,9.9,13.06,2.3,23-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Apr-2019 - 00:00,0.67,70.99,199.49,,271.06,1.41,,3.94,9.81,13.36,3.87,24-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-Apr-2019 - 00:00,0.55,68.17,141.12,,287.36,1.97,,3.8,9.92,13.7,3.75,25-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-Apr-2019 - 00:00,0.59,71.5,220.63,,272.23,1.29,,3.42,9.15,12.56,3.19,26-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-Apr-2019 - 00:00,0.54,68.51,223.38,,326.19,1.43,,3.54,9.75,13.28,1.62,27-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-Apr-2019 - 00:00,0.6,74.23,163.23,,236.87,1.2,,3.43,9.4,12.82,6.48,28-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-Apr-2019 - 00:00,0.73,78.97,179.14,,185.95,0.94,,3.49,9.54,12.8,3.93,29-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-Apr-2019 - 00:00,0.62,69.61,233.49,,235.66,1.52,,3.5,9.62,12.96,2.3,30-Apr-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-Apr-2019 - 00:00,0.59,68.01,150.92,,259.32,1.83,,3.39,9.24,12.62,2.61,01-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-May-2019 - 00:00,0.57,73.36,232.94,,216.66,1.48,,3.57,9.83,13.39,4.37,02-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-May-2019 - 00:00,0.56,62.3,194.75,,262.66,1.79,,3.63,9.93,13.56,4.28,03-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-May-2019 - 00:00,0.55,72.33,232.48,,275.74,1.6,,3.47,9.76,13.25,4.21,04-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-May-2019 - 00:00,0.62,70.65,196.56,,281.87,2.13,,4.11,10.24,14.32,3.4,05-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-May-2019 - 00:00,0.58,69.96,241.77,,292.08,1.68,,3.42,9.9,13.02,3.04,06-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-May-2019 - 00:00,0.58,63.69,158.42,,284.29,2.44,,3.46,9.8,13.22,1.4,07-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-May-2019 - 00:00,0.54,62.78,197.29,,263.4,2.11,,3.08,9.0,11.74,2.67,08-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-May-2019 - 00:00,0.59,58.5,196.13,,280.28,2.19,,3.42,9.5,12.88,2.35,09-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-May-2019 - 00:00,0.85,67.39,202.9,,278.89,2.01,,3.39,11.1,13.39,1.21,10-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-May-2019 - 00:00,0.54,61.36,222.4,,299.96,2.32,,4.09,10.15,14.24,3.2,11-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-May-2019 - 00:00,0.63,64.79,192.57,,271.97,2.09,,3.41,9.87,12.71,1.21,12-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-May-2019 - 00:00,0.72,75.24,213.8,,253.93,1.63,,3.82,9.88,13.67,0.08,13-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-May-2019 - 00:00,0.52,78.82,166.16,,271.58,1.53,,3.59,9.6,13.18,1.89,14-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-May-2019 - 00:00,0.68,76.63,153.6,,291.7,1.75,,3.69,9.95,13.66,5.03,15-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-May-2019 - 00:00,0.56,62.27,223.39,,261.69,2.59,,3.75,10.08,13.79,2.1,16-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-May-2019 - 00:00,0.83,55.09,191.2,,287.43,2.64,,3.76,9.76,13.46,4.61,17-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-May-2019 - 00:00,0.73,72.55,211.4,,234.64,1.38,,3.35,10.08,12.97,2.92,18-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-May-2019 - 00:00,0.76,75.24,198.79,,276.32,1.42,,3.44,9.65,13.02,0.87,19-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-May-2019 - 00:00,0.72,68.73,239.97,,286.27,1.49,,3.9,10.56,14.41,3.38,20-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-May-2019 - 00:00,0.68,58.93,150.12,,269.49,1.53,,4.2,10.25,14.36,4.75,21-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-May-2019 - 00:00,0.45,67.29,173.48,,272.52,1.12,,3.53,9.77,13.02,4.47,22-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-May-2019 - 00:00,0.54,67.66,203.4,,280.44,1.23,,3.53,9.97,13.53,7.73,23-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-May-2019 - 00:00,0.57,69.16,240.9,,296.59,1.87,,3.4,9.51,12.87,0.63,24-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
24-May-2019 - 00:00,0.58,75.57,217.41,,261.0,1.63,,3.46,9.58,13.02,15.31,25-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
25-May-2019 - 00:00,0.53,68.06,239.07,,283.41,2.0,,3.2,10.16,12.65,23.6,26-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
26-May-2019 - 00:00,0.49,72.12,252.19,,347.7,1.78,,4.73,11.22,15.92,3.62,27-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
27-May-2019 - 00:00,0.82,69.41,240.51,,395.99,1.6,,4.3,11.09,13.94,2.41,28-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
28-May-2019 - 00:00,0.52,55.77,215.6,,271.22,1.3,,3.15,9.5,12.42,5.8,29-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
29-May-2019 - 00:00,0.55,45.03,212.28,,278.56,1.4,,2.75,8.86,11.48,5.03,30-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
30-May-2019 - 00:00,0.57,48.79,239.7,,274.38,1.1,,2.87,9.11,11.99,3.42,31-May-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
31-May-2019 - 00:00,0.54,36.52,229.53,,280.68,1.28,,2.75,8.83,11.57,3.37,01-Jun-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
01-Jun-2019 - 00:00,0.71,9.81,211.7,,306.66,1.55,,2.61,8.75,11.11,5.29,02-Jun-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Jun-2019 - 00:00,0.55,,226.53,,233.06,1.34,,2.79,9.16,11.95,5.43,03-Jun-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Jun-2019 - 00:00,0.59,25.01,218.34,,234.11,1.42,,2.92,8.95,11.87,5.36,04-Jun-2019 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
