from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
13-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
15-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
16-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
17-Jul-2019 - 00:00,44.59,156.18,55.15,16.13,42.45,147.93,4.85,0.73,5.41,0.44,19.95,0.31,258.67,27.63,88.88,741.0,11.33,,18-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
18-Jul-2019 - 00:00,46.59,127.91,82.69,60.97,93.64,83.25,11.23,1.57,59.22,0.43,11.53,0.43,172.9,27.69,84.7,741.0,63.77,1.0,19-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
19-Jul-2019 - 00:00,69.49,172.83,54.38,17.49,43.23,67.95,11.45,1.64,45.95,0.4,11.17,0.39,239.85,30.5,76.78,741.0,112.94,,20-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
20-Jul-2019 - 00:00,48.98,120.32,54.59,17.43,43.3,67.47,8.01,1.39,34.98,0.4,11.88,0.4,231.95,30.02,83.55,741.0,78.41,7.83,21-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
21-Jul-2019 - 00:00,41.94,96.89,42.06,15.34,34.94,62.27,10.57,1.46,30.36,0.31,9.37,0.4,246.59,30.16,82.96,741.0,113.26,1.0,22-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
22-Jul-2019 - 00:00,51.74,115.96,42.52,14.64,34.59,67.13,9.63,1.8,35.11,0.41,8.75,0.42,240.9,30.78,82.78,741.0,110.09,1.5,23-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
23-Jul-2019 - 00:00,62.48,159.83,58.12,18.24,45.83,75.1,13.45,1.61,43.6,0.44,10.08,0.41,233.61,32.75,75.33,740.93,116.58,,24-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
24-Jul-2019 - 00:00,66.24,168.73,73.5,54.94,83.82,86.84,12.02,0.71,32.74,0.45,12.27,0.49,203.89,31.44,75.81,740.56,75.98,,25-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
25-Jul-2019 - 00:00,23.0,69.43,50.42,33.06,53.79,60.71,6.24,0.88,24.44,0.23,7.7,0.47,205.34,28.04,87.0,740.96,40.44,1.0,26-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
26-Jul-2019 - 00:00,17.71,34.93,34.75,4.42,22.17,41.17,9.27,0.8,25.74,0.2,5.79,0.47,238.99,27.17,93.47,740.32,51.52,9.33,27-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
27-Jul-2019 - 00:00,16.01,31.79,35.21,9.27,26.35,38.48,6.43,0.84,21.2,0.19,6.5,0.49,248.48,27.53,94.04,740.36,43.92,4.67,28-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
28-Jul-2019 - 00:00,16.44,41.91,30.79,6.43,21.7,36.5,8.91,0.72,22.25,0.15,5.2,0.53,256.27,29.42,83.66,740.96,102.39,,29-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
29-Jul-2019 - 00:00,13.06,46.81,31.68,5.6,21.49,43.97,7.68,0.73,21.77,0.18,5.35,0.5,257.18,30.48,77.98,741.0,98.82,,30-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
30-Jul-2019 - 00:00,19.07,61.07,31.38,6.42,22.0,49.24,7.8,0.82,17.34,0.23,5.56,0.48,254.42,29.7,82.4,741.0,66.08,,31-Jul-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
31-Jul-2019 - 00:00,19.58,65.2,32.89,4.9,21.56,49.72,8.97,0.8,24.74,0.22,5.67,0.47,256.26,30.19,79.2,741.0,82.85,,01-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
01-Aug-2019 - 00:00,32.35,75.61,37.11,9.34,27.42,50.28,10.28,0.79,22.94,0.22,4.98,0.43,255.27,30.97,77.36,741.0,109.89,,02-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
02-Aug-2019 - 00:00,26.34,72.24,32.77,4.64,21.29,48.28,8.01,0.64,22.02,0.24,4.98,0.45,250.93,29.67,84.17,740.75,76.45,,03-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
03-Aug-2019 - 00:00,23.38,51.08,35.32,10.34,27.29,47.65,5.8,0.93,12.38,0.26,5.53,0.42,246.38,27.94,93.64,740.65,48.12,7.7,04-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
04-Aug-2019 - 00:00,29.45,73.81,36.35,13.59,30.47,49.4,9.43,1.06,14.8,0.27,5.96,0.39,239.78,29.01,90.0,740.54,79.18,,05-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
05-Aug-2019 - 00:00,50.32,109.66,44.8,23.52,42.98,61.16,13.4,1.02,18.09,0.35,5.82,0.39,244.68,30.82,83.69,740.18,95.92,,06-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
06-Aug-2019 - 00:00,33.01,54.0,35.76,23.63,38.35,62.09,7.89,1.58,12.35,0.29,6.06,0.44,239.4,27.54,94.61,740.0,29.21,16.5,07-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
07-Aug-2019 - 00:00,19.89,63.39,32.41,14.59,29.19,43.07,7.5,0.95,13.11,0.29,5.84,0.42,238.14,29.33,85.33,740.26,101.79,,08-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
08-Aug-2019 - 00:00,20.97,78.68,33.85,13.24,28.85,43.22,12.61,0.87,12.84,0.29,6.12,0.42,253.24,31.62,77.12,740.23,122.78,,09-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
09-Aug-2019 - 00:00,6.69,43.52,28.17,6.87,20.65,37.37,10.57,1.04,27.53,0.15,7.47,0.72,254.05,30.28,75.14,740.54,94.54,5.67,10-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
10-Aug-2019 - 00:00,10.92,36.09,46.15,21.82,42.37,42.39,8.6,1.6,24.58,0.14,16.5,0.55,248.18,29.42,83.8,740.9,87.82,1.25,11-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
11-Aug-2019 - 00:00,28.1,80.59,58.7,81.84,97.81,69.59,11.88,1.13,18.46,0.25,17.82,0.44,230.57,31.39,75.38,741.0,102.34,,12-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
12-Aug-2019 - 00:00,29.32,103.53,57.31,40.62,63.59,55.19,9.47,1.04,57.69,0.29,15.03,0.51,100.07,31.61,74.08,741.0,79.72,,13-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
13-Aug-2019 - 00:00,27.14,76.19,57.33,42.6,65.22,56.63,8.66,1.49,17.93,0.28,16.08,0.57,149.17,29.62,83.52,741.0,72.38,6.64,14-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
14-Aug-2019 - 00:00,30.93,56.05,58.62,39.79,63.61,60.77,18.93,1.74,31.69,0.26,15.85,0.44,198.51,29.93,79.5,741.0,125.19,16.38,15-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
15-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
16-Aug-2019 - 00:00,11.44,42.12,19.76,5.01,14.57,52.89,7.46,0.44,10.77,0.17,6.44,0.59,249.89,28.25,87.39,741.0,6.0,,17-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
17-Aug-2019 - 00:00,4.21,12.38,22.86,8.99,19.56,34.65,5.71,1.02,9.45,0.1,4.1,0.57,245.02,26.68,95.71,740.88,39.06,2.19,18-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
18-Aug-2019 - 00:00,14.67,38.98,34.67,28.65,41.81,33.8,8.57,1.1,18.98,0.18,5.02,0.49,166.71,27.01,89.93,741.0,53.3,4.84,19-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
19-Aug-2019 - 00:00,48.59,89.04,36.42,10.67,28.13,31.15,6.22,1.29,35.4,0.3,5.06,0.4,198.3,29.46,81.76,741.08,112.66,,20-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
20-Aug-2019 - 00:00,57.04,110.15,37.45,12.55,30.2,35.26,9.9,1.02,26.59,0.26,6.52,0.52,152.61,30.52,77.81,741.06,122.48,,21-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
21-Aug-2019 - 00:00,90.57,172.14,41.89,7.53,28.49,50.27,11.55,0.95,27.38,0.34,4.73,0.52,129.2,31.47,73.64,741.0,120.32,,22-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
22-Aug-2019 - 00:00,62.7,165.62,41.34,25.16,42.54,61.07,8.56,1.47,22.73,0.38,6.96,0.43,185.29,29.74,77.59,741.0,79.15,,23-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
23-Aug-2019 - 00:00,66.99,197.76,52.62,54.76,72.59,70.52,11.87,1.51,27.65,0.46,10.94,0.4,166.06,30.9,72.26,741.0,101.53,,24-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
24-Aug-2019 - 00:00,97.12,194.72,46.49,50.12,65.55,78.21,12.82,1.7,15.15,0.62,14.17,0.39,218.25,29.58,84.42,741.0,50.08,3.75,25-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
25-Aug-2019 - 00:00,35.12,58.6,33.02,15.01,29.85,49.1,8.97,0.99,11.27,0.21,5.17,0.38,236.84,27.42,92.12,741.0,60.65,5.86,26-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
26-Aug-2019 - 00:00,16.15,63.34,31.87,18.58,32.14,39.8,11.31,1.11,11.03,0.24,5.09,0.43,247.85,29.57,79.38,741.0,110.31,,27-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
27-Aug-2019 - 00:00,66.01,134.86,35.68,21.49,36.54,44.23,17.97,1.13,11.75,0.39,6.25,0.39,248.78,31.33,75.92,741.0,115.47,,28-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
28-Aug-2019 - 00:00,50.0,101.41,36.06,13.99,30.64,43.07,18.64,1.16,14.55,0.28,5.49,0.39,251.16,32.18,74.28,741.0,119.49,,29-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
29-Aug-2019 - 00:00,39.55,93.03,33.96,7.03,23.87,40.24,9.86,0.97,19.62,0.19,4.63,0.42,248.8,31.59,76.77,741.16,119.28,,30-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
30-Aug-2019 - 00:00,44.06,112.43,42.2,20.74,39.4,49.93,18.25,1.11,15.1,0.26,5.47,0.4,255.98,31.57,75.92,741.0,112.54,,31-Aug-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
31-Aug-2019 - 00:00,72.15,169.98,48.01,20.86,42.57,55.11,12.63,1.42,32.75,0.38,6.9,0.4,206.62,32.0,75.08,740.97,82.72,,01-Sep-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
01-Sep-2019 - 00:00,33.97,65.74,33.04,11.14,26.73,42.15,7.73,1.04,17.82,0.21,5.59,0.46,238.17,28.54,88.16,741.0,57.57,4.5,02-Sep-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
02-Sep-2019 - 00:00,53.18,102.54,35.42,10.32,27.3,41.61,11.1,1.14,24.59,0.27,4.25,0.38,217.48,30.96,79.28,741.0,109.07,,03-Sep-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
03-Sep-2019 - 00:00,74.69,145.02,37.77,13.89,31.46,46.73,10.57,1.26,20.68,0.32,5.05,0.39,193.11,32.01,76.42,741.0,102.15,,04-Sep-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
04-Sep-2019 - 00:00,67.16,127.43,40.6,12.48,31.83,47.19,12.89,1.19,22.56,0.33,6.12,0.43,233.82,30.48,84.5,741.0,75.85,,05-Sep-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
05-Sep-2019 - 00:00,37.64,83.15,29.49,9.85,23.78,41.25,10.69,1.17,9.17,0.24,4.19,0.42,248.83,29.97,85.43,741.0,94.4,,06-Sep-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
06-Sep-2019 - 00:00,38.35,88.2,33.38,14.7,29.79,42.64,13.18,0.96,10.23,0.23,5.27,0.44,246.41,30.93,81.2,741.0,91.16,,07-Sep-2019 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
