from date,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
04-May-2019 - 00:00,0.63,0.32,31.92,43.78,0.15,50.82,0.05,0.42,200.93,1.52,7.84,5.21,9.04,33.37,40.06,5.12,05-May-2019 - 00:00,997.24,"Central School, Lucknow - CPCB"
05-May-2019 - 00:00,0.63,0.32,33.16,22.75,0.15,57.35,0.07,0.46,249.91,1.16,7.84,5.2,9.04,42.73,49.36,5.13,06-May-2019 - 00:00,997.93,"Central School, Lucknow - CPCB"
06-May-2019 - 00:00,0.63,0.32,34.07,19.36,0.15,56.34,0.05,0.47,270.03,1.16,7.81,5.21,9.02,44.05,41.65,5.13,07-May-2019 - 00:00,992.98,"Central School, Lucknow - CPCB"
07-May-2019 - 00:00,4.0,0.53,34.96,19.49,0.15,57.6,0.08,0.47,266.02,1.63,9.21,5.23,10.14,35.52,109.74,5.12,08-May-2019 - 00:00,993.08,"Central School, Lucknow - CPCB"
08-May-2019 - 00:00,6.69,0.69,36.02,22.15,0.15,54.56,0.07,0.46,260.85,0.84,10.32,5.22,11.03,33.19,94.09,5.13,09-May-2019 - 00:00,991.91,"Central School, Lucknow - CPCB"
09-May-2019 - 00:00,6.69,0.69,35.91,22.36,0.15,52.97,0.09,0.46,262.1,1.01,10.33,5.22,11.04,33.71,74.12,5.1,10-May-2019 - 00:00,990.91,"Central School, Lucknow - CPCB"
10-May-2019 - 00:00,6.69,0.69,35.54,24.01,0.15,46.51,0.08,0.46,262.5,1.1,10.33,5.22,11.04,29.38,97.49,5.13,11-May-2019 - 00:00,992.64,"Central School, Lucknow - CPCB"
11-May-2019 - 00:00,6.69,0.69,35.44,24.86,0.15,54.58,0.06,0.45,232.45,2.34,10.37,5.19,11.06,4.33,55.02,5.13,12-May-2019 - 00:00,994.98,"Central School, Lucknow - CPCB"
12-May-2019 - 00:00,6.69,0.69,34.39,29.83,0.15,52.29,0.08,0.43,263.01,2.51,10.37,5.22,11.08,2.76,57.03,5.14,13-May-2019 - 00:00,995.14,"Central School, Lucknow - CPCB"
13-May-2019 - 00:00,6.69,0.69,33.99,32.33,0.15,51.33,0.08,0.43,243.37,1.7,10.32,5.22,11.03,2.69,43.09,5.12,14-May-2019 - 00:00,994.9,"Central School, Lucknow - CPCB"
14-May-2019 - 00:00,6.69,0.69,33.04,32.92,0.15,47.73,0.08,0.39,268.93,2.48,10.3,5.22,11.02,2.04,42.6,5.12,15-May-2019 - 00:00,995.34,"Central School, Lucknow - CPCB"
15-May-2019 - 00:00,6.69,0.69,33.96,34.27,0.15,54.18,0.09,0.38,261.24,2.4,10.18,5.18,10.89,2.31,55.34,5.11,16-May-2019 - 00:00,994.46,"Central School, Lucknow - CPCB"
16-May-2019 - 00:00,6.69,0.69,34.52,32.08,0.15,48.77,0.09,0.33,234.25,2.24,10.29,5.23,11.02,3.93,58.36,5.14,17-May-2019 - 00:00,997.12,"Central School, Lucknow - CPCB"
17-May-2019 - 00:00,6.69,0.69,34.12,31.18,0.15,50.01,0.09,0.39,231.68,1.44,10.31,5.26,11.04,2.74,56.88,5.35,18-May-2019 - 00:00,996.47,"Central School, Lucknow - CPCB"
18-May-2019 - 00:00,6.69,0.69,30.59,46.27,0.15,52.03,0.12,0.39,258.96,1.27,10.3,5.22,11.01,2.63,51.89,5.78,19-May-2019 - 00:00,997.49,"Central School, Lucknow - CPCB"
19-May-2019 - 00:00,6.69,0.69,32.76,39.93,0.15,50.94,0.09,0.44,268.09,1.36,10.32,5.19,11.01,3.24,46.34,5.94,20-May-2019 - 00:00,997.75,"Central School, Lucknow - CPCB"
20-May-2019 - 00:00,6.69,0.69,34.96,30.51,0.15,51.46,0.09,0.45,269.08,2.03,10.13,5.67,10.87,3.27,75.66,6.0,21-May-2019 - 00:00,997.96,"Central School, Lucknow - CPCB"
21-May-2019 - 00:00,6.69,0.69,36.0,27.01,0.15,51.06,0.08,0.46,256.6,1.66,10.31,5.21,11.02,3.57,46.47,5.79,22-May-2019 - 00:00,996.11,"Central School, Lucknow - CPCB"
22-May-2019 - 00:00,6.69,0.69,35.65,29.9,0.15,42.79,0.08,0.4,185.01,1.8,15.5,21.92,16.29,2.52,93.08,10.13,23-May-2019 - 00:00,994.65,"Central School, Lucknow - CPCB"
23-May-2019 - 00:00,6.69,0.69,36.7,30.93,0.15,46.57,0.03,0.41,201.54,2.18,19.27,33.91,20.03,3.54,53.85,6.05,24-May-2019 - 00:00,993.29,"Central School, Lucknow - CPCB"
24-May-2019 - 00:00,6.69,0.69,36.01,37.52,0.15,47.18,0.04,0.37,226.43,1.49,19.26,33.74,20.06,3.03,60.98,0.51,25-May-2019 - 00:00,993.24,"Central School, Lucknow - CPCB"
25-May-2019 - 00:00,6.69,0.69,34.39,34.03,0.15,53.47,0.07,0.4,276.03,1.45,19.27,33.72,19.94,3.0,58.35,2.05,26-May-2019 - 00:00,993.25,"Central School, Lucknow - CPCB"
26-May-2019 - 00:00,6.69,0.69,34.54,30.06,0.15,54.72,0.06,0.45,266.36,1.71,19.22,33.83,19.91,2.61,75.39,4.57,27-May-2019 - 00:00,992.96,"Central School, Lucknow - CPCB"
27-May-2019 - 00:00,6.69,0.69,35.72,27.69,0.15,52.97,0.04,0.46,264.01,2.74,19.39,34.34,20.19,4.02,81.78,3.7,28-May-2019 - 00:00,992.34,"Central School, Lucknow - CPCB"
28-May-2019 - 00:00,6.69,0.69,36.73,22.25,0.15,54.74,0.02,0.47,268.01,2.52,19.28,34.11,19.82,3.21,68.73,4.44,29-May-2019 - 00:00,991.91,"Central School, Lucknow - CPCB"
29-May-2019 - 00:00,6.69,0.69,35.54,26.52,0.15,52.8,0.05,0.45,213.23,0.34,19.25,33.79,19.85,3.31,57.26,2.27,30-May-2019 - 00:00,990.83,"Central School, Lucknow - CPCB"
30-May-2019 - 00:00,6.69,0.69,36.2,35.61,0.15,48.25,0.05,0.44,166.16,0.34,12.27,31.21,20.07,19.93,76.48,1.58,31-May-2019 - 00:00,989.57,"Central School, Lucknow - CPCB"
31-May-2019 - 00:00,6.69,0.69,33.35,45.34,0.15,47.87,0.07,0.45,108.56,0.34,6.75,28.94,20.4,42.14,63.68,0.51,01-Jun-2019 - 00:00,990.55,"Central School, Lucknow - CPCB"
01-Jun-2019 - 00:00,6.69,0.69,33.07,52.82,0.15,46.13,0.07,0.43,106.67,0.34,6.77,28.96,20.38,42.53,53.67,1.62,02-Jun-2019 - 00:00,991.76,"Central School, Lucknow - CPCB"
02-Jun-2019 - 00:00,6.69,0.69,33.42,54.89,0.15,43.62,0.07,0.43,104.27,0.34,6.76,28.94,20.4,43.04,53.08,1.6,03-Jun-2019 - 00:00,991.52,"Central School, Lucknow - CPCB"
03-Jun-2019 - 00:00,6.69,0.69,31.47,47.98,0.15,48.56,0.07,0.46,104.01,0.34,7.17,28.48,20.65,42.12,54.81,2.92,04-Jun-2019 - 00:00,992.91,"Central School, Lucknow - CPCB"
04-Jun-2019 - 00:00,6.69,0.69,33.0,48.92,0.15,46.83,0.05,0.45,101.24,0.34,8.24,28.98,21.62,41.98,40.02,4.19,05-Jun-2019 - 00:00,991.89,"Central School, Lucknow - CPCB"
05-Jun-2019 - 00:00,6.69,0.69,34.88,48.85,0.15,47.24,0.02,0.43,101.37,0.34,9.24,28.95,22.39,42.24,46.11,9.14,06-Jun-2019 - 00:00,990.78,"Central School, Lucknow - CPCB"
06-Jun-2019 - 00:00,6.69,0.69,34.54,53.11,0.15,45.26,0.07,0.44,109.81,0.34,9.24,28.96,22.4,42.53,53.16,4.19,07-Jun-2019 - 00:00,992.49,"Central School, Lucknow - CPCB"
07-Jun-2019 - 00:00,6.69,0.69,30.86,68.53,0.15,51.8,0.11,0.4,107.01,0.34,9.28,28.98,22.43,42.67,34.71,3.07,08-Jun-2019 - 00:00,995.69,"Central School, Lucknow - CPCB"
08-Jun-2019 - 00:00,6.69,0.69,34.84,48.58,0.15,50.86,0.02,0.4,150.49,0.34,9.23,28.94,22.39,42.33,44.61,7.14,09-Jun-2019 - 00:00,992.86,"Central School, Lucknow - CPCB"
09-Jun-2019 - 00:00,6.69,0.69,36.06,44.43,0.15,48.29,0.01,0.4,131.48,0.34,9.27,28.97,22.4,42.25,57.78,3.01,10-Jun-2019 - 00:00,989.54,"Central School, Lucknow - CPCB"
10-Jun-2019 - 00:00,6.69,0.69,35.85,44.97,0.15,48.72,-0.03,0.41,147.65,0.34,9.27,28.94,22.41,42.41,59.0,13.73,11-Jun-2019 - 00:00,986.67,"Central School, Lucknow - CPCB"
11-Jun-2019 - 00:00,6.69,0.69,34.45,52.21,0.15,47.34,0.01,0.45,104.58,0.34,13.35,25.99,27.91,38.44,53.94,12.31,12-Jun-2019 - 00:00,987.34,"Central School, Lucknow - CPCB"
12-Jun-2019 - 00:00,6.69,0.69,32.57,53.35,0.15,23.87,0.02,0.43,138.57,0.34,9.27,23.28,27.37,32.05,36.04,4.78,13-Jun-2019 - 00:00,990.36,"Central School, Lucknow - CPCB"
13-Jun-2019 - 00:00,6.69,0.69,33.53,50.67,0.15,20.05,0.07,0.44,207.92,0.34,9.25,23.29,27.41,32.15,40.15,3.21,14-Jun-2019 - 00:00,990.17,"Central School, Lucknow - CPCB"
14-Jun-2019 - 00:00,6.69,0.69,34.95,45.32,0.15,74.09,0.09,0.43,261.91,0.34,9.26,23.35,27.4,32.24,24.75,0.46,15-Jun-2019 - 00:00,989.37,"Central School, Lucknow - CPCB"
15-Jun-2019 - 00:00,8.13,1.53,40.99,18.92,2.2,69.22,0.06,0.46,266.54,0.57,9.22,23.34,27.39,41.63,102.23,12.86,16-Jun-2019 - 00:00,985.47,"Central School, Lucknow - CPCB"
16-Jun-2019 - 00:00,3.85,0.98,35.8,37.58,1.16,44.16,0.08,0.46,267.86,0.57,9.25,23.31,27.42,20.44,34.98,3.74,17-Jun-2019 - 00:00,987.99,"Central School, Lucknow - CPCB"
17-Jun-2019 - 00:00,3.0,0.43,35.2,46.23,0.56,60.65,0.09,0.46,269.17,0.87,9.22,23.32,27.39,22.4,48.33,3.62,18-Jun-2019 - 00:00,988.8,"Central School, Lucknow - CPCB"
18-Jun-2019 - 00:00,3.17,0.44,32.78,46.3,0.48,41.9,0.08,0.45,269.97,1.32,11.0,53.03,40.33,48.89,38.47,6.21,19-Jun-2019 - 00:00,990.48,"Central School, Lucknow - CPCB"
19-Jun-2019 - 00:00,3.99,1.11,28.63,67.13,1.5,17.27,0.16,0.38,255.06,1.89,10.65,36.28,27.27,61.5,72.71,10.22,20-Jun-2019 - 00:00,992.39,"Central School, Lucknow - CPCB"
20-Jun-2019 - 00:00,3.59,0.67,30.26,70.11,0.11,51.99,0.08,0.3,188.5,1.18,10.57,27.41,22.78,49.94,45.71,13.28,21-Jun-2019 - 00:00,992.61,"Central School, Lucknow - CPCB"
21-Jun-2019 - 00:00,6.69,0.69,32.94,58.29,0.15,29.51,0.04,0.37,146.7,1.55,10.32,29.52,23.96,60.66,51.76,6.34,22-Jun-2019 - 00:00,992.38,"Central School, Lucknow - CPCB"
22-Jun-2019 - 00:00,4.24,0.46,31.22,69.09,0.26,33.17,0.05,0.47,104.12,1.19,9.78,27.11,22.11,34.13,52.86,5.1,23-Jun-2019 - 00:00,992.99,"Central School, Lucknow - CPCB"
23-Jun-2019 - 00:00,0.4,0.28,27.73,94.33,0.02,34.99,0.07,0.42,88.63,1.25,9.75,21.62,19.3,28.62,25.09,0.84,24-Jun-2019 - 00:00,993.45,"Central School, Lucknow - CPCB"
24-Jun-2019 - 00:00,1.4,0.3,31.07,82.22,0.26,38.6,0.05,0.39,132.85,1.36,10.19,21.04,18.85,31.56,40.62,1.64,25-Jun-2019 - 00:00,993.55,"Central School, Lucknow - CPCB"
25-Jun-2019 - 00:00,1.11,0.41,30.93,79.84,0.51,35.79,0.08,0.37,115.87,1.4,11.01,20.71,18.85,36.63,39.1,2.2,26-Jun-2019 - 00:00,992.59,"Central School, Lucknow - CPCB"
26-Jun-2019 - 00:00,3.13,0.72,32.78,71.26,1.94,37.59,0.07,0.41,236.72,1.19,10.97,17.29,17.97,33.28,56.2,1.56,27-Jun-2019 - 00:00,989.9,"Central School, Lucknow - CPCB"
27-Jun-2019 - 00:00,5.18,0.88,35.81,52.18,1.23,46.93,0.04,0.39,252.07,0.69,13.53,11.96,17.19,56.04,56.05,1.6,28-Jun-2019 - 00:00,986.13,"Central School, Lucknow - CPCB"
28-Jun-2019 - 00:00,3.68,0.99,36.45,43.48,1.17,47.02,0.03,0.43,240.04,0.69,14.05,13.42,18.38,59.79,92.34,1.47,29-Jun-2019 - 00:00,985.05,"Central School, Lucknow - CPCB"
29-Jun-2019 - 00:00,2.55,1.41,36.83,44.89,1.66,43.51,0.01,0.41,183.42,0.74,13.49,12.9,17.65,9.08,96.79,1.14,30-Jun-2019 - 00:00,984.75,"Central School, Lucknow - CPCB"
30-Jun-2019 - 00:00,1.37,0.61,31.83,75.04,0.76,29.65,0.24,0.45,110.22,0.52,13.48,11.69,17.0,24.39,64.44,1.11,01-Jul-2019 - 00:00,986.39,"Central School, Lucknow - CPCB"
01-Jul-2019 - 00:00,1.01,0.35,33.19,69.57,0.6,40.24,0.07,0.44,99.24,0.63,13.53,12.27,17.35,18.35,46.86,1.05,02-Jul-2019 - 00:00,987.05,"Central School, Lucknow - CPCB"
02-Jul-2019 - 00:00,1.66,0.26,30.95,84.18,1.53,51.43,0.34,0.44,148.8,0.58,14.17,17.73,20.77,6.68,35.49,0.68,03-Jul-2019 - 00:00,988.3,"Central School, Lucknow - CPCB"
03-Jul-2019 - 00:00,0.69,0.18,31.37,78.28,0.46,68.33,0.04,0.49,91.85,0.58,13.4,25.03,24.04,9.1,16.45,0.79,04-Jul-2019 - 00:00,988.17,"Central School, Lucknow - CPCB"
04-Jul-2019 - 00:00,0.79,0.44,32.75,69.75,0.39,78.71,0.03,0.5,100.31,0.61,9.79,25.12,21.19,11.71,23.43,1.45,05-Jul-2019 - 00:00,986.44,"Central School, Lucknow - CPCB"
05-Jul-2019 - 00:00,1.08,0.16,32.25,73.36,0.46,72.83,0.16,0.47,121.03,0.55,9.79,24.84,21.04,14.47,32.84,1.42,06-Jul-2019 - 00:00,983.84,"Central School, Lucknow - CPCB"
06-Jul-2019 - 00:00,1.14,0.04,27.34,99.14,0.61,38.31,0.33,0.38,133.22,0.63,9.87,24.83,21.1,10.53,8.7,1.32,07-Jul-2019 - 00:00,983.79,"Central School, Lucknow - CPCB"
07-Jul-2019 - 00:00,3.45,0.27,28.62,93.56,1.2,42.75,0.07,0.44,166.98,1.0,10.22,25.52,21.75,6.88,9.2,1.34,08-Jul-2019 - 00:00,985.14,"Central School, Lucknow - CPCB"
08-Jul-2019 - 00:00,3.02,0.46,29.08,91.73,1.78,37.15,0.15,0.46,154.35,0.77,10.95,25.72,22.44,12.36,18.75,1.47,09-Jul-2019 - 00:00,986.61,"Central School, Lucknow - CPCB"
09-Jul-2019 - 00:00,1.56,0.02,27.19,99.13,0.81,51.3,0.23,0.52,130.13,0.47,8.95,26.35,21.19,7.36,8.47,1.13,10-Jul-2019 - 00:00,986.03,"Central School, Lucknow - CPCB"
10-Jul-2019 - 00:00,2.71,0.22,27.05,99.15,2.27,36.84,0.3,0.54,225.59,0.39,7.3,25.57,19.44,9.53,16.21,1.01,11-Jul-2019 - 00:00,985.45,"Central School, Lucknow - CPCB"
11-Jul-2019 - 00:00,2.15,0.28,27.08,99.1,1.49,47.87,0.5,0.46,205.86,0.87,8.89,24.48,20.13,14.53,30.04,0.98,12-Jul-2019 - 00:00,987.26,"Central School, Lucknow - CPCB"
12-Jul-2019 - 00:00,4.56,0.56,29.08,93.58,1.42,46.72,0.25,0.57,238.92,1.1,9.21,26.3,21.36,13.6,40.07,0.97,13-Jul-2019 - 00:00,989.14,"Central School, Lucknow - CPCB"
13-Jul-2019 - 00:00,1.56,0.14,31.75,76.08,0.9,39.11,0.07,0.57,254.45,0.82,8.68,23.37,19.37,10.61,47.13,1.49,14-Jul-2019 - 00:00,988.48,"Central School, Lucknow - CPCB"
14-Jul-2019 - 00:00,1.92,0.25,32.09,68.97,1.11,47.95,0.06,0.56,258.19,0.8,8.68,22.7,19.02,11.49,60.75,2.09,15-Jul-2019 - 00:00,986.96,"Central School, Lucknow - CPCB"
15-Jul-2019 - 00:00,0.9,0.1,29.95,79.88,0.86,48.09,0.13,0.46,218.1,0.66,8.72,23.47,19.45,13.79,57.8,2.07,16-Jul-2019 - 00:00,987.55,"Central School, Lucknow - CPCB"
16-Jul-2019 - 00:00,0.91,0.1,28.4,84.42,0.72,67.81,0.08,0.55,131.84,0.73,8.72,23.13,19.28,19.4,20.08,2.08,17-Jul-2019 - 00:00,991.87,"Central School, Lucknow - CPCB"
17-Jul-2019 - 00:00,0.62,0.02,31.09,77.79,0.22,62.28,0.03,0.48,195.9,0.65,8.69,23.41,19.41,20.11,28.02,4.34,18-Jul-2019 - 00:00,991.46,"Central School, Lucknow - CPCB"
18-Jul-2019 - 00:00,1.09,0.05,32.29,73.94,0.51,52.63,0.03,0.46,217.61,0.62,8.72,24.17,19.83,28.1,30.56,2.82,19-Jul-2019 - 00:00,990.95,"Central School, Lucknow - CPCB"
19-Jul-2019 - 00:00,1.51,0.4,31.75,82.4,1.15,47.73,0.07,0.52,90.89,1.0,10.04,24.67,21.15,25.44,40.95,2.09,20-Jul-2019 - 00:00,991.63,"Central School, Lucknow - CPCB"
20-Jul-2019 - 00:00,3.0,0.29,32.53,77.01,0.49,50.42,0.01,0.53,110.67,0.52,8.78,23.91,19.74,42.04,33.1,7.63,21-Jul-2019 - 00:00,992.68,"Central School, Lucknow - CPCB"
21-Jul-2019 - 00:00,0.58,0.04,30.4,90.03,0.32,43.89,0.03,0.5,107.88,0.59,8.62,22.3,18.76,44.92,26.56,30.79,22-Jul-2019 - 00:00,992.26,"Central School, Lucknow - CPCB"
22-Jul-2019 - 00:00,1.1,0.1,32.24,77.48,0.63,54.27,0.02,0.47,162.77,0.74,9.94,20.46,18.84,55.5,27.39,28.77,23-Jul-2019 - 00:00,990.35,"Central School, Lucknow - CPCB"
23-Jul-2019 - 00:00,1.6,0.1,32.64,81.48,1.08,44.69,0.04,0.56,184.81,0.77,11.17,19.04,19.07,40.73,33.32,14.2,24-Jul-2019 - 00:00,988.78,"Central School, Lucknow - CPCB"
24-Jul-2019 - 00:00,0.96,0.03,26.55,98.12,0.63,24.49,0.38,0.43,154.04,0.75,11.19,20.15,19.68,43.93,14.26,2.16,25-Jul-2019 - 00:00,989.47,"Central School, Lucknow - CPCB"
25-Jul-2019 - 00:00,1.22,0.05,27.48,96.12,0.54,36.02,0.11,0.47,159.58,0.75,11.15,19.81,19.46,48.62,11.25,2.14,26-Jul-2019 - 00:00,990.39,"Central School, Lucknow - CPCB"
26-Jul-2019 - 00:00,0.32,0.0,28.18,98.56,0.25,50.0,0.09,0.53,114.48,0.8,11.1,19.46,19.22,48.88,8.33,2.16,27-Jul-2019 - 00:00,987.47,"Central School, Lucknow - CPCB"
27-Jul-2019 - 00:00,0.27,0.02,28.51,95.28,0.06,37.12,0.08,0.55,107.72,0.66,11.1,18.63,18.79,39.48,11.8,2.31,28-Jul-2019 - 00:00,987.84,"Central School, Lucknow - CPCB"
28-Jul-2019 - 00:00,0.22,0.14,28.81,94.8,0.04,47.03,0.09,0.5,101.38,1.28,11.05,17.58,18.19,12.75,103.89,3.08,29-Jul-2019 - 00:00,989.41,"Central School, Lucknow - CPCB"
29-Jul-2019 - 00:00,0.25,0.0,29.99,84.5,0.06,40.54,0.05,0.57,98.31,1.11,11.08,18.32,18.61,13.12,13.26,1.71,30-Jul-2019 - 00:00,990.18,"Central School, Lucknow - CPCB"
30-Jul-2019 - 00:00,1.05,0.1,29.8,85.51,0.04,39.19,0.07,0.59,96.56,1.21,10.67,19.71,19.02,19.05,16.51,0.27,31-Jul-2019 - 00:00,989.33,"Central School, Lucknow - CPCB"
31-Jul-2019 - 00:00,3.87,0.41,29.95,86.28,0.09,44.52,0.07,0.57,96.25,1.16,9.04,20.95,18.37,18.69,22.92,0.4,01-Aug-2019 - 00:00,988.72,"Central School, Lucknow - CPCB"
01-Aug-2019 - 00:00,6.69,0.69,30.19,88.38,0.15,29.82,0.08,0.54,96.86,1.44,8.54,21.44,18.23,19.39,40.39,0.21,02-Aug-2019 - 00:00,988.58,"Central School, Lucknow - CPCB"
02-Aug-2019 - 00:00,6.69,0.69,30.31,89.17,0.15,36.23,0.08,0.59,103.23,1.26,8.53,21.53,18.28,17.96,141.95,0.04,03-Aug-2019 - 00:00,987.67,"Central School, Lucknow - CPCB"
03-Aug-2019 - 00:00,3.19,0.31,30.57,92.46,0.26,50.68,0.04,0.57,99.06,0.9,7.1,25.02,18.99,12.46,30.79,0.86,04-Aug-2019 - 00:00,987.51,"Central School, Lucknow - CPCB"
04-Aug-2019 - 00:00,1.87,0.27,31.17,88.95,0.76,38.32,-0.03,0.62,140.76,1.53,6.67,30.29,21.45,13.83,34.76,0.76,05-Aug-2019 - 00:00,986.25,"Central School, Lucknow - CPCB"
05-Aug-2019 - 00:00,1.91,0.23,30.15,94.8,1.46,27.14,-0.02,0.56,138.85,1.61,8.0,25.35,19.89,9.25,31.34,2.19,06-Aug-2019 - 00:00,985.18,"Central School, Lucknow - CPCB"
06-Aug-2019 - 00:00,1.32,0.11,30.37,90.16,0.95,33.18,-0.03,0.58,164.67,1.98,6.34,22.98,17.3,17.37,22.9,0.31,07-Aug-2019 - 00:00,984.44,"Central School, Lucknow - CPCB"
07-Aug-2019 - 00:00,0.93,0.05,27.85,96.48,0.8,53.14,0.05,0.5,114.0,1.73,4.99,21.27,10.55,18.38,14.8,0.07,08-Aug-2019 - 00:00,984.42,"Central School, Lucknow - CPCB"
08-Aug-2019 - 00:00,3.8,0.39,30.35,80.89,0.09,42.86,-0.02,0.63,93.13,1.63,4.74,23.35,10.39,18.04,18.68,6.71,09-Aug-2019 - 00:00,983.28,"Central School, Lucknow - CPCB"
09-Aug-2019 - 00:00,6.69,0.69,28.91,95.26,0.15,28.48,-0.0,0.6,102.88,1.39,5.98,23.3,17.18,22.67,22.17,4.26,10-Aug-2019 - 00:00,986.94,"Central School, Lucknow - CPCB"
10-Aug-2019 - 00:00,6.69,0.69,30.9,81.56,0.15,52.67,0.03,0.55,170.46,2.54,6.1,22.15,16.66,17.26,26.92,2.86,11-Aug-2019 - 00:00,989.23,"Central School, Lucknow - CPCB"
11-Aug-2019 - 00:00,6.69,0.69,30.52,92.48,0.15,31.53,0.17,0.57,227.02,2.54,6.08,21.37,16.23,11.39,24.4,1.22,12-Aug-2019 - 00:00,990.15,"Central School, Lucknow - CPCB"
12-Aug-2019 - 00:00,6.69,0.69,31.77,82.3,0.15,41.48,-0.02,0.55,255.88,4.04,6.01,21.07,16.02,16.51,21.63,0.99,13-Aug-2019 - 00:00,988.62,"Central School, Lucknow - CPCB"
13-Aug-2019 - 00:00,6.69,0.69,30.36,90.08,0.15,52.22,0.08,0.6,133.26,5.59,6.03,22.61,16.85,14.49,24.3,0.22,14-Aug-2019 - 00:00,989.87,"Central School, Lucknow - CPCB"
14-Aug-2019 - 00:00,6.69,0.69,29.74,90.81,0.15,40.54,0.01,0.56,93.27,4.08,4.77,22.13,10.24,19.51,25.81,0.77,15-Aug-2019 - 00:00,990.82,"Central School, Lucknow - CPCB"
15-Aug-2019 - 00:00,6.69,0.69,28.95,95.47,0.15,39.94,0.04,0.55,107.82,1.26,5.91,21.44,16.13,22.11,23.83,1.26,16-Aug-2019 - 00:00,991.35,"Central School, Lucknow - CPCB"
16-Aug-2019 - 00:00,5.63,0.58,29.02,88.22,0.13,40.84,0.06,0.5,149.68,1.32,5.14,19.55,14.51,17.72,24.21,3.41,17-Aug-2019 - 00:00,991.49,"Central School, Lucknow - CPCB"
17-Aug-2019 - 00:00,3.69,0.34,29.61,83.39,0.23,67.73,0.1,0.56,183.09,1.26,3.52,17.4,12.07,15.82,19.63,4.04,18-Aug-2019 - 00:00,993.03,"Central School, Lucknow - CPCB"
18-Aug-2019 - 00:00,0.78,0.03,31.18,79.22,0.27,45.22,-0.02,0.62,221.45,1.26,3.9,18.14,12.77,20.82,26.24,4.75,19-Aug-2019 - 00:00,994.13,"Central School, Lucknow - CPCB"
19-Aug-2019 - 00:00,0.68,0.01,28.59,98.89,0.23,56.57,0.24,0.41,208.35,1.26,3.6,17.5,12.19,21.52,25.9,4.68,20-Aug-2019 - 00:00,995.43,"Central School, Lucknow - CPCB"
20-Aug-2019 - 00:00,1.24,0.09,28.93,93.08,0.66,39.17,0.01,0.46,214.45,1.26,3.76,16.75,11.94,14.69,21.81,2.92,21-Aug-2019 - 00:00,994.05,"Central School, Lucknow - CPCB"
21-Aug-2019 - 00:00,0.98,0.07,26.37,99.14,0.63,27.9,0.31,0.48,129.36,1.26,4.14,18.16,12.97,13.34,21.75,2.69,22-Aug-2019 - 00:00,993.57,"Central School, Lucknow - CPCB"
22-Aug-2019 - 00:00,2.84,0.27,27.69,99.09,0.09,57.04,0.11,0.41,157.42,1.26,4.86,15.47,12.12,17.95,20.88,2.2,23-Aug-2019 - 00:00,993.0,"Central School, Lucknow - CPCB"
23-Aug-2019 - 00:00,3.34,0.36,29.98,87.25,0.43,44.66,0.02,0.47,221.13,1.26,5.31,15.78,12.64,29.64,29.11,3.67,24-Aug-2019 - 00:00,992.69,"Central School, Lucknow - CPCB"
24-Aug-2019 - 00:00,0.29,0.01,27.15,99.07,0.04,67.71,0.11,0.49,107.69,1.26,4.93,17.4,13.2,58.4,24.99,3.02,25-Aug-2019 - 00:00,994.28,"Central School, Lucknow - CPCB"
25-Aug-2019 - 00:00,0.09,0.0,28.69,92.38,0.0,113.79,0.06,0.57,97.72,1.26,4.75,15.99,12.3,74.89,20.83,3.49,26-Aug-2019 - 00:00,993.46,"Central School, Lucknow - CPCB"
26-Aug-2019 - 00:00,3.95,0.41,29.44,90.84,0.09,86.84,0.04,0.56,92.38,1.26,5.53,16.06,12.97,34.45,20.52,3.13,27-Aug-2019 - 00:00,992.75,"Central School, Lucknow - CPCB"
27-Aug-2019 - 00:00,6.69,0.69,31.0,85.28,0.15,81.89,0.0,0.6,93.42,1.26,6.06,16.51,13.63,23.24,23.4,2.08,28-Aug-2019 - 00:00,991.7,"Central School, Lucknow - CPCB"
28-Aug-2019 - 00:00,6.69,0.69,31.47,81.32,0.15,77.47,-0.0,0.62,98.89,1.26,6.07,16.87,13.83,25.58,26.29,2.1,29-Aug-2019 - 00:00,993.24,"Central School, Lucknow - CPCB"
29-Aug-2019 - 00:00,4.84,0.45,30.79,90.88,0.25,58.18,0.01,0.57,96.56,3.1,6.06,15.75,13.23,21.2,25.7,2.75,30-Aug-2019 - 00:00,994.61,"Central School, Lucknow - CPCB"
30-Aug-2019 - 00:00,0.57,0.25,31.54,84.91,0.39,77.59,0.01,0.55,131.03,6.6,6.36,14.83,12.8,15.5,32.79,2.59,31-Aug-2019 - 00:00,991.45,"Central School, Lucknow - CPCB"
31-Aug-2019 - 00:00,3.03,0.26,31.05,90.17,0.06,68.88,0.09,0.5,93.73,6.26,4.77,17.62,7.73,21.11,37.42,5.97,01-Sep-2019 - 00:00,989.64,"Central School, Lucknow - CPCB"
01-Sep-2019 - 00:00,6.69,0.69,29.58,97.42,0.15,32.22,0.08,0.51,93.87,6.26,2.76,23.32,0.0,21.22,38.86,3.24,02-Sep-2019 - 00:00,992.12,"Central School, Lucknow - CPCB"
