from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
26-Feb-2019 - 00:00,1.19,24.62,15.21,3.58,18.78,4.22,51.31,0.26,2.3,183.78,31.54,219.05,0.0,,0.85,0.0,0.0,27-Feb-2019 - 00:00,981.42,"Velachery Res. Area, Chennai - CPCB"
27-Feb-2019 - 00:00,0.99,22.17,12.72,3.93,16.64,4.55,51.36,0.29,2.66,167.33,13.85,219.22,0.0,,0.09,0.0,0.0,28-Feb-2019 - 00:00,985.29,"Velachery Res. Area, Chennai - CPCB"
28-Feb-2019 - 00:00,1.2,19.1,21.1,15.38,28.02,3.4,54.84,0.24,2.16,166.02,24.64,182.43,0.03,,4.89,0.0,0.18,01-Mar-2019 - 00:00,978.25,"Velachery Res. Area, Chennai - CPCB"
01-Mar-2019 - 00:00,0.6,16.98,10.32,8.37,18.42,4.91,54.08,0.19,1.35,130.5,35.52,207.78,0.0,,0.0,63.89,8.09,02-Mar-2019 - 00:00,971.57,"Velachery Res. Area, Chennai - CPCB"
02-Mar-2019 - 00:00,0.41,23.23,7.51,7.89,14.75,1.86,44.49,0.16,0.96,95.49,27.81,267.27,0.0,,13.92,0.97,5.57,03-Mar-2019 - 00:00,966.17,"Velachery Res. Area, Chennai - CPCB"
03-Mar-2019 - 00:00,0.54,21.84,8.22,9.6,17.82,3.91,49.62,0.15,0.85,127.81,19.67,235.87,0.0,,0.18,0.0,3.08,04-Mar-2019 - 00:00,965.21,"Velachery Res. Area, Chennai - CPCB"
04-Mar-2019 - 00:00,0.77,23.19,11.31,10.59,21.9,3.75,50.0,0.24,2.0,174.73,30.49,248.46,0.0,,5.78,0.03,5.97,05-Mar-2019 - 00:00,977.76,"Velachery Res. Area, Chennai - CPCB"
05-Mar-2019 - 00:00,0.84,22.93,9.06,10.09,19.16,4.01,52.91,0.29,2.7,178.11,35.24,250.46,0.0,,6.11,0.2,2.93,06-Mar-2019 - 00:00,985.65,"Velachery Res. Area, Chennai - CPCB"
06-Mar-2019 - 00:00,0.89,23.18,9.71,10.49,20.2,3.45,51.12,0.31,3.0,178.85,29.71,248.06,0.0,,6.95,0.0,1.34,07-Mar-2019 - 00:00,989.53,"Velachery Res. Area, Chennai - CPCB"
07-Mar-2019 - 00:00,0.79,23.16,12.86,11.05,23.9,2.99,51.73,0.31,3.02,171.47,32.12,242.34,0.0,,4.8,0.0,0.2,08-Mar-2019 - 00:00,989.41,"Velachery Res. Area, Chennai - CPCB"
08-Mar-2019 - 00:00,0.7,22.94,12.15,11.07,23.22,3.36,57.35,0.27,2.42,153.54,30.14,244.87,0.0,,2.52,0.0,0.58,09-Mar-2019 - 00:00,982.87,"Velachery Res. Area, Chennai - CPCB"
09-Mar-2019 - 00:00,0.69,22.4,11.23,11.03,22.26,3.73,55.25,0.24,2.07,147.33,22.6,243.06,0.0,,1.87,0.45,0.11,10-Mar-2019 - 00:00,978.78,"Velachery Res. Area, Chennai - CPCB"
