from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
23-Jan-2019 - 00:00,50.49,8.76,36.54,12.18,3.43,1.64,72.3,63.83,153.33,0.74,143.53,57.97,715.55,5.12,21.64,24-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Jan-2019 - 00:00,39.52,9.6,26.76,7.05,2.66,1.16,64.91,50.0,125.21,0.56,136.11,59.23,715.99,3.88,23.68,25-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Jan-2019 - 00:00,39.72,12.95,27.93,8.37,3.61,1.2,56.97,36.89,114.23,0.52,142.21,54.98,715.51,3.68,26.47,26-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Jan-2019 - 00:00,41.32,12.84,28.58,8.11,4.54,1.26,57.03,57.17,146.94,0.54,154.93,57.78,715.53,3.66,27.47,27-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Jan-2019 - 00:00,41.22,11.79,28.02,7.49,4.12,0.97,57.42,43.38,115.46,0.46,143.35,65.04,715.75,3.2,27.57,28-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Jan-2019 - 00:00,35.22,10.95,24.29,6.82,3.16,1.05,53.19,29.88,83.46,0.46,153.64,67.35,716.15,3.05,27.53,29-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Jan-2019 - 00:00,39.6,9.63,28.2,8.78,2.65,1.42,36.92,30.33,72.58,0.58,96.73,66.01,716.83,3.57,27.02,30-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Jan-2019 - 00:00,41.06,9.18,28.84,8.6,3.26,1.69,53.69,52.08,116.67,0.66,103.32,59.19,716.91,4.38,26.81,31-Jan-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Jan-2019 - 00:00,43.63,10.7,29.79,8.09,3.07,1.3,65.15,52.46,108.0,0.61,101.97,59.2,716.36,3.93,27.29,01-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Feb-2019 - 00:00,47.73,11.13,32.8,9.13,3.04,1.34,67.09,54.66,115.41,0.6,111.4,58.31,716.19,4.08,27.77,02-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Feb-2019 - 00:00,51.76,9.66,35.43,9.71,2.74,1.41,61.85,47.79,110.54,0.68,101.92,56.78,715.34,4.61,27.49,03-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Feb-2019 - 00:00,45.1,8.34,29.94,7.31,2.69,1.09,60.41,45.38,120.58,0.52,108.06,57.53,716.39,3.42,27.51,04-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Feb-2019 - 00:00,44.11,12.92,32.73,11.49,2.65,1.4,50.48,36.54,88.0,0.58,96.69,58.09,717.95,3.62,27.59,05-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Feb-2019 - 00:00,43.25,12.68,30.22,8.89,2.9,1.4,66.77,41.92,101.96,0.56,104.36,59.97,717.6,3.47,26.98,06-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Feb-2019 - 00:00,46.87,13.24,30.65,7.04,3.15,1.33,75.3,56.29,141.29,0.56,112.93,48.34,715.6,3.53,25.96,07-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Feb-2019 - 00:00,43.81,11.74,30.02,8.27,3.04,1.52,69.5,59.21,136.33,0.64,117.72,50.24,715.41,4.24,25.54,08-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Feb-2019 - 00:00,34.09,10.69,22.33,5.16,2.84,1.19,73.58,57.92,141.92,0.52,177.48,55.86,715.55,3.89,25.68,09-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Feb-2019 - 00:00,40.67,9.97,30.88,11.38,3.47,1.75,61.37,73.79,139.75,0.68,129.36,66.33,715.74,4.67,25.69,10-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Feb-2019 - 00:00,35.21,8.92,27.64,10.97,2.43,1.3,48.08,52.04,100.75,0.61,111.11,65.61,716.75,3.98,25.3,11-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Feb-2019 - 00:00,33.03,8.58,26.14,10.53,2.94,1.22,45.42,43.67,91.67,0.52,97.93,64.94,717.52,3.41,25.32,12-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Feb-2019 - 00:00,35.78,8.69,25.53,8.0,3.1,1.19,55.6,49.46,102.71,0.5,98.49,60.92,718.24,3.24,25.24,13-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Feb-2019 - 00:00,32.71,8.54,21.21,4.69,2.84,0.57,75.84,40.0,91.33,0.43,96.64,80.43,719.43,2.73,25.34,14-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Feb-2019 - 00:00,38.13,11.54,27.87,9.33,3.02,1.91,45.32,42.17,120.4,0.71,128.9,49.37,716.07,4.96,26.85,16-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Feb-2019 - 00:00,31.07,11.88,19.78,4.0,2.76,0.79,72.01,36.47,79.72,0.44,198.45,58.61,716.03,3.15,28.6,17-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Feb-2019 - 00:00,33.5,9.89,27.94,12.46,1.21,0.64,56.77,56.35,94.4,0.77,204.1,75.65,715.5,5.19,25.29,18-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Feb-2019 - 00:00,38.35,11.51,34.9,17.84,2.99,2.07,49.72,39.77,125.2,0.69,197.18,41.89,712.86,5.2,26.43,19-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Feb-2019 - 00:00,38.87,12.19,29.71,11.11,2.26,1.3,52.78,41.47,96.25,0.63,131.72,58.42,714.19,4.65,28.07,20-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Feb-2019 - 00:00,34.68,11.34,26.02,9.32,3.06,1.09,42.01,28.38,82.73,0.5,108.22,56.68,716.89,3.43,28.09,21-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Feb-2019 - 00:00,37.68,11.08,29.04,11.07,3.51,1.33,41.86,32.73,94.86,0.56,97.29,50.6,718.46,3.8,27.98,22-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Feb-2019 - 00:00,40.59,11.27,31.33,11.98,3.63,1.36,40.17,34.82,103.05,0.58,93.66,39.01,716.75,3.77,26.66,23-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Feb-2019 - 00:00,48.02,11.67,35.99,12.85,4.24,1.5,56.74,51.39,121.3,0.7,94.17,30.52,715.19,4.28,24.97,24-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Feb-2019 - 00:00,50.33,12.64,35.96,11.3,3.02,1.16,87.43,34.73,97.05,0.57,100.57,30.08,713.97,3.78,24.9,25-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Feb-2019 - 00:00,51.38,13.0,39.82,15.35,3.76,1.55,76.46,38.69,111.5,0.66,136.18,28.31,713.02,4.02,24.48,26-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Feb-2019 - 00:00,42.96,11.89,32.7,12.11,3.38,1.19,78.19,47.0,129.47,0.66,208.79,43.91,712.11,4.25,24.61,27-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Feb-2019 - 00:00,30.22,11.76,21.26,6.39,3.49,1.04,68.62,42.36,110.24,0.54,210.64,53.61,711.51,3.94,26.45,28-Feb-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Feb-2019 - 00:00,37.03,15.61,25.01,6.54,2.6,1.18,69.13,39.81,117.26,0.6,226.02,40.75,712.44,3.9,28.37,01-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Mar-2019 - 00:00,40.83,16.14,31.24,11.7,2.77,1.94,60.41,52.93,145.8,0.81,141.32,49.21,712.88,5.03,27.63,02-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Mar-2019 - 00:00,29.78,13.75,20.77,6.06,3.13,1.19,49.19,37.97,103.34,0.59,115.69,58.35,713.6,3.21,25.58,03-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Mar-2019 - 00:00,33.21,12.47,23.76,7.49,3.27,1.24,58.85,32.93,103.34,0.56,133.57,55.09,713.36,3.56,24.89,04-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Mar-2019 - 00:00,29.12,11.66,18.51,3.71,3.09,0.86,68.23,40.03,98.04,0.43,170.98,54.53,712.36,2.57,25.14,05-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Mar-2019 - 00:00,27.98,11.32,23.2,10.24,3.3,1.73,60.37,49.54,154.13,0.59,214.52,55.03,712.38,3.32,25.08,06-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Mar-2019 - 00:00,35.31,12.89,27.26,10.42,2.48,1.54,54.76,41.6,118.86,0.71,227.67,41.93,712.67,4.51,25.79,07-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Mar-2019 - 00:00,39.97,13.05,41.11,24.42,9.04,2.02,47.6,57.65,179.47,1.0,216.91,33.7,712.22,6.5,25.3,08-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Mar-2019 - 00:00,40.68,9.47,34.32,15.6,9.89,1.72,60.03,46.85,141.26,0.77,177.5,32.41,713.36,5.21,23.75,09-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Mar-2019 - 00:00,30.17,6.47,20.95,6.02,10.53,1.44,67.89,45.94,132.37,0.58,159.13,50.5,715.41,3.54,23.46,10-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Mar-2019 - 00:00,26.58,3.34,18.12,4.89,7.89,0.86,44.8,31.71,111.83,0.4,142.42,53.93,715.21,2.49,21.68,11-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Mar-2019 - 00:00,28.5,6.67,19.19,4.96,9.69,0.86,55.45,27.24,93.04,0.43,146.22,47.72,716.0,2.67,24.56,12-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Mar-2019 - 00:00,33.93,9.98,23.19,6.32,16.67,0.88,66.67,44.31,124.39,0.49,149.33,41.76,716.22,3.58,27.3,13-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Mar-2019 - 00:00,40.91,10.6,30.36,10.58,17.66,1.19,54.01,46.28,137.11,0.58,128.06,34.7,716.53,3.77,28.53,14-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Mar-2019 - 00:00,35.38,6.81,27.37,10.51,5.06,0.42,65.3,36.14,88.71,0.5,109.64,40.93,716.71,3.41,23.62,15-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Mar-2019 - 00:00,42.26,7.07,29.74,8.94,12.74,1.56,59.09,46.41,124.09,0.6,109.56,28.12,714.94,4.03,23.99,16-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Mar-2019 - 00:00,41.92,5.95,29.67,9.06,7.71,1.61,56.52,42.83,122.52,0.63,107.63,28.52,715.4,4.04,23.98,17-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Mar-2019 - 00:00,35.43,5.76,23.28,5.46,6.37,0.93,74.5,43.92,119.64,0.47,117.76,37.85,715.21,2.93,23.66,18-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Mar-2019 - 00:00,29.7,6.91,19.57,4.64,12.09,0.89,78.97,38.96,103.01,0.45,161.48,47.7,714.78,2.8,25.36,19-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Mar-2019 - 00:00,29.84,6.98,20.13,5.25,7.74,1.07,70.7,34.64,96.07,0.42,154.03,50.59,713.43,2.83,25.7,20-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Mar-2019 - 00:00,30.35,6.05,19.95,4.69,4.83,0.88,69.78,34.61,98.98,0.39,158.95,49.62,713.27,2.64,25.56,21-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Mar-2019 - 00:00,31.55,4.87,20.71,4.83,9.92,1.13,77.76,37.35,108.43,0.47,159.82,38.95,714.58,2.81,25.82,22-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Mar-2019 - 00:00,31.44,5.29,21.65,6.06,13.71,1.17,71.08,36.03,110.98,0.47,158.2,44.89,714.82,3.14,25.91,23-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Mar-2019 - 00:00,34.7,5.38,23.75,6.51,10.42,1.21,68.56,39.24,125.01,0.51,160.14,42.29,714.36,3.66,26.22,24-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Mar-2019 - 00:00,31.57,4.58,20.49,4.55,6.46,0.9,76.08,38.09,111.93,0.41,159.82,45.83,713.74,2.68,26.2,25-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Mar-2019 - 00:00,28.83,4.67,18.96,4.47,14.32,0.68,61.12,39.65,105.5,0.39,140.68,52.03,713.97,2.64,25.92,26-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Mar-2019 - 00:00,42.99,4.98,31.91,11.12,18.49,1.92,58.92,53.33,144.57,0.67,108.03,33.23,715.1,4.42,25.62,27-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Mar-2019 - 00:00,34.13,4.98,25.73,9.32,13.87,1.66,64.34,44.04,138.21,0.52,148.97,39.97,716.05,3.49,25.91,28-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Mar-2019 - 00:00,38.22,5.03,27.66,9.02,11.25,1.16,59.8,45.18,123.53,0.58,152.05,36.79,715.2,3.94,26.04,29-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Mar-2019 - 00:00,36.89,4.4,26.0,7.84,7.75,1.9,78.47,50.04,137.34,0.58,158.49,39.14,713.67,3.73,25.96,30-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Mar-2019 - 00:00,39.25,4.24,29.35,10.42,7.77,1.5,69.05,49.11,143.54,0.57,174.03,42.14,713.55,3.73,25.83,31-Mar-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Mar-2019 - 00:00,33.36,3.77,23.16,6.64,5.15,1.09,77.71,45.71,128.85,0.45,191.3,49.65,714.1,2.71,25.73,01-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Apr-2019 - 00:00,27.47,3.94,17.24,3.24,5.62,1.84,74.52,37.14,104.36,0.35,194.77,49.7,713.88,2.03,25.75,02-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Apr-2019 - 00:00,35.98,12.24,22.23,3.81,10.06,1.08,74.64,42.68,127.87,0.45,189.87,45.34,712.61,3.37,28.02,10-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Apr-2019 - 00:00,35.04,12.44,24.86,7.66,10.61,1.19,56.37,43.97,114.86,0.52,149.85,45.06,713.38,3.64,28.88,11-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Apr-2019 - 00:00,36.95,12.01,26.69,8.65,17.48,1.12,54.9,44.64,125.24,0.57,158.17,36.89,712.64,3.96,28.73,12-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Apr-2019 - 00:00,33.37,12.74,23.93,7.59,12.44,1.12,65.77,38.67,115.51,0.53,162.44,41.28,712.58,3.69,27.79,13-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Apr-2019 - 00:00,31.06,13.79,20.98,5.48,9.66,1.04,59.81,37.46,134.8,0.45,145.87,38.22,713.13,3.33,27.36,14-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Apr-2019 - 00:00,30.98,13.08,20.19,4.56,17.12,0.49,67.98,35.28,116.7,0.36,161.09,40.0,713.25,2.66,27.06,15-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Apr-2019 - 00:00,33.14,15.26,23.09,6.72,8.93,1.28,68.58,35.22,103.78,0.42,164.31,39.76,713.2,2.89,27.45,16-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Apr-2019 - 00:00,30.88,13.44,21.32,6.03,1.67,1.22,62.29,29.6,107.12,0.42,192.46,45.24,712.82,2.9,24.73,17-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Apr-2019 - 00:00,26.75,10.52,19.13,6.03,2.4,1.44,53.72,34.67,105.85,0.42,191.73,62.09,713.68,2.82,23.13,18-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Apr-2019 - 00:00,29.74,9.69,21.2,6.62,1.99,1.16,62.22,24.71,63.75,0.47,178.8,60.0,712.89,3.34,23.13,19-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Apr-2019 - 00:00,26.47,9.37,16.94,3.53,2.75,0.8,68.17,22.01,60.4,0.33,189.15,55.27,712.33,2.42,23.48,20-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Apr-2019 - 00:00,26.59,9.04,16.4,2.77,2.84,0.68,75.16,20.45,60.86,0.33,185.14,61.04,711.11,2.32,23.11,21-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Apr-2019 - 00:00,26.56,8.77,17.09,3.65,2.8,1.02,75.64,20.38,69.78,0.29,208.53,56.44,710.85,2.09,23.17,22-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Apr-2019 - 00:00,29.07,8.77,18.24,3.42,2.29,1.06,69.1,30.53,84.52,0.39,175.2,60.8,710.5,2.55,23.18,23-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Apr-2019 - 00:00,29.82,11.45,19.68,4.71,3.64,0.63,63.16,21.59,66.5,0.5,167.08,56.79,712.15,2.7,23.46,24-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Apr-2019 - 00:00,32.66,9.75,21.72,5.33,3.37,2.01,48.82,33.82,94.51,0.42,141.95,41.54,712.82,3.08,21.59,25-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Apr-2019 - 00:00,34.69,9.4,23.42,6.1,3.35,1.42,49.09,42.36,116.68,0.44,142.39,41.75,712.78,3.58,20.79,26-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Apr-2019 - 00:00,31.06,10.58,20.37,4.73,2.38,1.31,62.26,43.43,109.03,0.43,164.88,47.08,711.56,3.17,23.08,27-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Apr-2019 - 00:00,37.61,11.25,24.53,5.57,3.28,1.02,70.64,47.25,137.61,0.54,158.19,45.61,711.31,3.79,25.54,28-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Apr-2019 - 00:00,33.35,10.92,21.65,4.81,3.93,1.09,78.3,47.2,141.22,0.47,157.37,50.42,711.49,3.26,25.32,29-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Apr-2019 - 00:00,29.91,10.4,18.5,3.18,3.19,0.52,76.26,42.54,108.36,0.38,218.01,57.07,711.47,2.75,25.39,30-Apr-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Apr-2019 - 00:00,25.6,10.11,15.34,2.11,3.11,0.47,81.84,27.23,83.7,0.24,234.59,63.99,710.85,1.85,24.99,01-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-May-2019 - 00:00,25.29,9.73,15.42,2.43,3.17,0.67,72.5,20.64,59.89,0.22,237.34,68.09,709.94,1.62,24.55,02-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
