from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
16-Feb-2019 - 00:00,217.03,118.95,26.95,10.47,37.43,2.79,0.0,38.21,,0.29,0.26,3.57,17-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
17-Feb-2019 - 00:00,192.82,108.71,30.57,9.68,40.25,2.88,,28.3,,0.63,0.07,5.01,18-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
18-Feb-2019 - 00:00,,,,,,,,,,,,,19-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
19-Feb-2019 - 00:00,384.22,215.31,25.43,4.26,29.57,3.82,,40.67,,0.17,0.3,4.59,20-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
20-Feb-2019 - 00:00,222.41,123.24,25.61,6.15,31.75,2.56,0.0,28.81,6.87,0.26,0.11,2.79,21-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
21-Feb-2019 - 00:00,251.67,104.56,23.94,7.69,31.62,1.53,6.84,37.81,6.81,0.25,2.13,6.24,22-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
22-Feb-2019 - 00:00,170.06,85.76,18.09,4.98,23.07,1.87,6.62,22.88,3.92,0.08,1.32,5.87,23-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
23-Feb-2019 - 00:00,114.61,66.36,20.66,5.84,26.5,3.01,,25.83,2.92,0.09,0.01,1.11,24-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
24-Feb-2019 - 00:00,170.89,99.36,21.79,6.42,28.2,0.65,,22.17,4.5,0.0,0.0,0.0,25-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
25-Feb-2019 - 00:00,198.52,113.65,21.94,7.72,29.66,0.68,,34.15,5.63,0.0,0.0,0.0,26-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
26-Feb-2019 - 00:00,144.51,76.86,25.12,7.9,33.01,0.42,,23.63,5.2,0.0,0.0,0.0,27-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
27-Feb-2019 - 00:00,99.76,53.08,24.31,7.28,31.59,0.23,,22.36,3.56,0.0,0.0,0.0,28-Feb-2019 - 00:00,"North Campus, DU, Delhi - IMD"
28-Feb-2019 - 00:00,192.96,108.46,27.82,8.66,36.49,1.05,,22.41,6.91,0.0,0.0,0.0,01-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
01-Mar-2019 - 00:00,200.79,105.24,28.42,8.98,37.39,1.66,,22.08,5.55,0.01,0.04,0.18,02-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
02-Mar-2019 - 00:00,220.03,116.42,34.0,11.85,45.85,1.9,,20.52,6.46,0.46,0.82,2.07,03-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
03-Mar-2019 - 00:00,142.07,79.0,33.11,10.82,43.93,1.52,,23.04,4.27,0.39,0.38,0.27,04-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
04-Mar-2019 - 00:00,202.1,107.58,38.16,12.59,50.75,2.45,,21.8,4.61,1.05,0.25,0.76,05-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
05-Mar-2019 - 00:00,145.12,76.07,33.65,11.07,44.72,1.01,,19.0,2.91,0.32,0.35,1.42,06-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
06-Mar-2019 - 00:00,196.39,93.55,35.13,11.51,46.63,2.2,,21.66,4.16,2.07,2.62,1.9,07-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
07-Mar-2019 - 00:00,267.54,120.69,41.02,13.79,54.81,2.31,,23.4,6.17,3.54,2.88,0.81,08-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
08-Mar-2019 - 00:00,222.27,106.61,41.2,13.87,55.07,2.13,,22.57,4.94,1.45,1.03,0.35,09-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
09-Mar-2019 - 00:00,190.9,79.62,40.46,13.58,54.04,1.96,,21.56,3.85,0.71,0.7,0.48,10-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
10-Mar-2019 - 00:00,197.04,82.91,43.39,14.72,58.1,2.12,,25.86,3.21,0.62,1.42,0.42,11-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
11-Mar-2019 - 00:00,267.53,106.8,47.46,16.29,63.75,2.89,,26.82,4.92,0.91,1.82,0.68,12-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
12-Mar-2019 - 00:00,147.81,55.11,42.62,14.48,57.11,1.29,,22.04,2.74,0.38,0.76,0.33,13-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
13-Mar-2019 - 00:00,287.11,96.47,46.21,28.14,67.82,1.41,2.12,26.39,5.41,1.71,2.86,1.19,14-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
14-Mar-2019 - 00:00,259.01,117.18,28.74,24.66,53.41,0.25,,25.45,6.92,1.58,2.16,0.51,15-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
15-Mar-2019 - 00:00,180.24,82.84,22.4,18.86,41.26,0.66,8.02,26.67,4.27,1.04,1.59,1.12,16-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
16-Mar-2019 - 00:00,169.9,74.0,14.26,14.95,29.2,1.23,,27.13,3.0,0.0,0.0,0.0,17-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
17-Mar-2019 - 00:00,207.14,91.59,21.57,18.89,40.46,1.63,,24.49,4.36,0.0,0.0,0.0,18-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
18-Mar-2019 - 00:00,225.54,95.7,24.73,22.08,46.81,1.9,,24.94,5.14,0.0,0.0,0.0,19-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
19-Mar-2019 - 00:00,281.98,110.14,34.52,26.16,60.67,2.19,,26.54,7.19,0.0,0.0,0.0,20-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
20-Mar-2019 - 00:00,316.09,113.5,50.44,31.75,82.19,3.04,,25.07,7.36,0.0,0.01,0.0,21-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
21-Mar-2019 - 00:00,236.45,118.84,18.5,16.51,35.01,2.35,,16.5,6.33,0.0,0.0,0.0,22-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
22-Mar-2019 - 00:00,144.44,41.84,15.27,16.96,32.23,1.46,,23.16,2.06,0.0,0.0,0.0,23-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
23-Mar-2019 - 00:00,160.43,58.55,16.77,18.55,35.3,1.58,,26.56,2.47,0.0,0.0,0.0,24-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
24-Mar-2019 - 00:00,172.25,55.95,18.4,22.89,41.28,1.64,,21.15,2.71,0.0,0.0,0.0,25-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
25-Mar-2019 - 00:00,176.64,69.62,18.54,23.04,41.56,2.02,,22.71,3.36,0.0,0.0,0.0,26-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
