from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WD,WS,RF,to date,station
30-Jan-2019 - 00:00,54.66,67.36,41.83,26.7,3.77,1.09,8.02,112.52,232.8,9.32,2.3,2.82,10.58,5.14,63.1,318.07,225.53,1.64,0.0,31-Jan-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
31-Jan-2019 - 00:00,71.35,91.67,58.72,31.78,5.17,1.5,12.69,138.83,279.27,16.61,2.65,3.14,18.7,8.75,64.38,218.95,110.93,2.72,0.0,01-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
01-Feb-2019 - 00:00,47.45,36.5,12.46,34.28,4.39,0.92,8.16,98.61,156.75,10.3,2.13,2.68,11.67,5.26,81.97,244.89,227.57,2.6,0.0,02-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Feb-2019 - 00:00,31.67,23.29,7.96,24.95,4.25,0.83,9.67,94.16,142.21,9.15,2.77,3.0,12.33,5.83,92.96,187.62,285.54,2.36,0.0,03-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Feb-2019 - 00:00,29.09,24.52,9.74,21.86,7.4,0.77,7.51,71.38,164.53,9.01,3.14,3.0,12.65,6.04,94.02,256.3,272.43,1.91,0.0,04-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Feb-2019 - 00:00,45.56,49.17,27.46,14.52,6.79,1.08,8.13,66.47,180.67,10.13,1.95,2.73,9.11,4.3,79.58,302.19,245.89,1.55,0.0,05-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Feb-2019 - 00:00,103.38,165.85,121.22,23.85,8.38,2.07,12.46,169.95,394.01,16.11,2.8,3.15,22.17,10.54,68.02,280.26,104.5,2.02,0.0,06-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Feb-2019 - 00:00,69.68,73.91,41.05,34.43,3.56,1.19,16.47,101.85,217.83,8.67,1.94,1.89,8.9,4.65,79.98,307.26,131.09,2.85,0.0,07-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Feb-2019 - 00:00,30.51,16.82,2.48,18.03,2.97,0.51,14.74,43.51,87.06,6.96,2.47,1.98,10.91,4.85,88.18,62.6,160.0,3.9,0.0,08-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Feb-2019 - 00:00,33.39,40.34,25.21,11.15,3.3,0.56,9.58,43.63,102.49,6.56,2.83,2.1,8.58,3.98,74.39,388.42,269.94,1.94,0.0,09-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Feb-2019 - 00:00,33.14,39.73,24.43,11.0,2.66,0.62,10.26,44.0,108.94,6.14,1.47,2.47,10.48,5.31,75.43,401.16,286.82,2.04,0.0,10-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Feb-2019 - 00:00,49.97,74.49,52.48,16.47,3.4,0.94,11.79,89.6,224.57,9.83,2.06,2.96,13.8,6.39,77.63,297.37,252.95,1.37,0.0,11-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
11-Feb-2019 - 00:00,55.82,69.01,43.31,15.02,3.29,1.06,14.78,103.03,237.33,10.48,1.92,2.64,13.02,5.9,74.82,294.56,261.75,1.1,0.0,12-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Feb-2019 - 00:00,53.83,67.29,42.69,19.52,3.77,1.08,20.58,121.48,233.78,12.54,1.82,2.59,13.2,5.95,71.16,284.78,207.25,1.15,0.0,13-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Feb-2019 - 00:00,80.52,100.97,63.78,11.75,3.75,1.45,16.16,137.51,301.97,13.23,4.19,2.98,20.88,12.43,68.35,246.98,153.08,1.16,0.0,14-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Feb-2019 - 00:00,64.51,49.31,16.74,15.63,2.88,1.09,17.39,104.6,150.57,4.98,13.35,2.45,18.24,8.79,76.31,102.45,134.54,2.81,0.0,15-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Feb-2019 - 00:00,52.77,44.17,19.71,25.79,2.54,0.87,8.14,77.01,95.37,3.97,9.32,2.18,10.51,5.08,83.56,261.26,243.08,1.83,0.0,16-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
16-Feb-2019 - 00:00,36.82,16.07,0.94,33.2,3.05,0.76,8.6,62.39,78.95,3.0,7.94,2.21,8.3,3.9,91.15,171.96,283.36,1.87,0.0,17-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
17-Feb-2019 - 00:00,48.21,27.24,7.85,26.36,4.38,0.84,9.94,60.12,80.12,2.91,8.97,2.71,12.47,5.83,81.31,336.87,283.72,1.85,0.0,18-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
18-Feb-2019 - 00:00,74.65,50.88,18.63,28.74,4.97,0.89,11.69,74.0,125.56,2.73,9.0,2.61,12.28,6.05,68.76,280.34,141.08,2.23,0.0,19-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
19-Feb-2019 - 00:00,65.93,37.1,8.45,30.79,4.59,1.06,9.55,73.72,114.08,4.25,9.74,2.65,15.52,7.05,80.21,550.07,162.87,1.64,0.0,20-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
20-Feb-2019 - 00:00,100.67,77.83,32.47,37.23,4.31,1.41,4.34,87.51,139.1,7.64,17.0,2.67,20.4,9.07,67.63,733.07,85.62,2.54,0.0,21-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
21-Feb-2019 - 00:00,79.1,60.49,26.21,45.5,3.28,0.96,11.79,46.55,108.05,3.38,9.9,2.18,18.04,8.07,41.04,524.2,130.37,2.66,0.0,22-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
22-Feb-2019 - 00:00,36.58,16.63,3.15,49.59,2.0,0.64,12.85,42.37,69.67,2.92,8.32,2.15,14.29,6.74,51.0,277.55,292.38,3.31,0.0,23-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
23-Feb-2019 - 00:00,38.77,18.79,4.21,32.31,2.0,0.55,11.64,35.66,58.03,2.29,6.47,2.04,10.36,4.92,69.35,433.21,286.55,3.07,0.0,24-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
24-Feb-2019 - 00:00,49.72,27.13,6.81,33.39,2.0,0.73,11.38,65.5,95.86,2.76,9.49,2.36,13.17,6.12,68.62,472.94,270.2,2.08,0.0,25-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
25-Feb-2019 - 00:00,76.2,60.57,28.23,41.96,2.0,0.85,15.71,67.34,134.37,4.55,12.35,2.21,7.23,3.38,53.71,251.68,130.53,2.7,0.0,26-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
26-Feb-2019 - 00:00,75.94,40.33,6.31,30.36,2.0,0.85,14.37,52.52,85.14,7.15,10.27,2.18,9.97,4.53,50.72,201.13,104.39,2.24,0.0,27-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
27-Feb-2019 - 00:00,47.74,24.66,6.14,33.52,2.0,0.66,20.79,44.8,68.58,3.97,8.58,2.19,14.58,6.83,54.01,297.03,166.55,2.44,0.0,28-Feb-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
28-Feb-2019 - 00:00,69.06,61.42,37.39,37.69,2.0,0.87,16.96,68.57,108.4,4.15,9.92,2.23,14.24,6.39,51.9,418.94,285.17,2.14,0.0,01-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
01-Mar-2019 - 00:00,65.12,48.88,24.69,28.14,2.0,0.75,16.15,69.0,109.99,2.41,8.16,2.09,10.92,4.94,47.94,420.09,283.93,1.98,0.0,02-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Mar-2019 - 00:00,84.46,52.58,16.12,23.1,2.0,1.08,12.81,88.24,121.8,4.05,11.33,2.38,15.67,7.03,51.61,70.34,148.74,2.19,0.0,03-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Mar-2019 - 00:00,56.32,28.74,5.16,23.43,2.01,0.89,22.34,48.96,63.16,3.61,10.04,2.32,17.06,7.76,60.58,297.82,98.26,2.17,0.0,04-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Mar-2019 - 00:00,50.84,32.61,13.6,30.7,2.0,1.01,18.52,70.15,95.74,4.53,12.34,2.49,17.14,7.92,76.34,188.23,258.04,2.28,0.0,05-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Mar-2019 - 00:00,43.92,20.77,3.79,27.56,1.99,0.54,18.59,32.58,63.01,2.7,7.94,2.94,21.66,12.22,63.67,396.03,290.83,2.42,0.0,06-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Mar-2019 - 00:00,43.38,32.44,18.25,29.73,2.01,0.63,17.22,63.15,101.59,2.88,9.21,2.32,15.71,7.73,23.15,437.44,283.31,2.23,0.0,07-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Mar-2019 - 00:00,40.28,43.38,33.77,37.23,2.0,0.69,18.84,72.08,116.04,2.89,9.25,2.35,12.74,5.98,36.46,643.7,215.28,1.9,0.0,08-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Mar-2019 - 00:00,41.21,30.25,16.7,30.36,2.0,0.64,19.99,66.53,114.2,4.36,9.72,2.38,13.47,6.32,60.78,753.07,158.73,2.33,0.0,09-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Mar-2019 - 00:00,31.93,14.26,3.59,24.92,2.0,0.51,18.92,56.03,85.87,2.39,7.76,2.22,10.51,5.12,58.82,455.88,309.56,2.69,0.0,10-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Mar-2019 - 00:00,45.32,25.42,8.61,22.85,2.0,0.62,18.26,51.33,97.57,3.17,8.28,2.35,12.77,6.03,52.93,427.71,243.12,1.95,0.0,11-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
11-Mar-2019 - 00:00,48.3,36.39,21.51,20.5,2.0,0.74,19.12,71.79,152.53,3.1,10.12,2.36,12.27,5.54,53.41,325.19,163.31,3.27,0.0,12-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Mar-2019 - 00:00,33.0,9.01,3.63,14.78,2.0,0.52,24.18,53.3,89.08,2.56,8.44,2.39,9.75,4.59,60.29,373.13,228.93,2.69,0.0,13-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Mar-2019 - 00:00,39.13,18.26,12.63,10.26,2.0,0.77,20.45,74.06,153.85,5.82,9.09,2.88,18.15,10.36,60.19,198.03,184.12,1.81,0.0,14-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Mar-2019 - 00:00,32.43,18.36,16.44,11.63,2.0,0.84,14.24,89.77,141.45,5.16,11.61,2.42,14.0,7.0,77.79,202.93,236.86,2.49,0.0,15-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Mar-2019 - 00:00,29.89,10.17,5.95,9.36,2.0,0.53,18.13,50.11,76.65,2.92,7.48,2.12,9.63,4.59,72.03,437.98,306.89,2.58,0.0,16-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
16-Mar-2019 - 00:00,28.97,8.62,2.92,6.86,1.99,0.54,20.89,56.16,81.59,2.87,7.43,2.34,9.54,4.43,60.75,395.87,292.74,2.44,0.0,17-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
17-Mar-2019 - 00:00,23.98,11.45,7.27,7.39,2.0,0.66,18.64,69.74,108.75,2.8,9.54,2.68,11.11,5.23,57.01,404.95,276.56,2.15,0.0,18-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
18-Mar-2019 - 00:00,27.72,18.37,18.56,5.5,2.0,0.68,15.93,74.31,128.9,2.28,8.28,2.5,8.62,4.03,59.35,410.38,262.49,1.9,0.0,19-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
19-Mar-2019 - 00:00,23.82,30.44,42.01,11.91,8.46,0.89,14.24,79.48,167.18,4.3,10.99,2.77,12.46,5.76,54.44,414.05,204.13,2.03,0.0,20-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
20-Mar-2019 - 00:00,15.02,23.73,30.11,18.73,17.34,0.86,21.75,65.67,154.1,4.61,11.38,2.81,16.01,7.45,49.0,376.29,208.48,2.69,0.0,21-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
21-Mar-2019 - 00:00,17.65,7.27,2.35,13.47,16.1,0.76,23.28,72.86,109.88,3.1,10.56,2.82,13.22,6.33,54.77,389.63,244.15,2.37,0.0,22-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
22-Mar-2019 - 00:00,14.4,5.75,2.14,10.52,12.13,0.43,19.95,33.4,69.32,2.43,7.08,2.73,10.9,5.31,48.38,467.36,302.03,3.06,0.0,23-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
23-Mar-2019 - 00:00,19.01,6.34,1.66,11.13,12.31,0.44,20.98,39.35,79.32,2.23,6.98,2.29,8.52,4.14,50.93,432.05,299.2,3.4,0.0,24-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
24-Mar-2019 - 00:00,18.37,6.64,2.36,10.54,12.98,0.5,16.16,46.2,81.61,2.43,7.94,2.25,11.1,5.32,56.36,427.71,290.66,2.61,0.0,25-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
25-Mar-2019 - 00:00,18.96,6.99,2.86,8.71,13.28,0.52,16.12,46.07,84.37,3.0,8.18,3.03,21.11,12.95,63.79,405.18,296.2,2.61,0.0,26-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
26-Mar-2019 - 00:00,20.49,8.05,3.25,8.3,10.35,0.58,22.41,51.36,95.99,2.5,7.63,2.21,11.05,6.03,60.68,449.5,295.64,2.69,0.0,27-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
27-Mar-2019 - 00:00,22.04,14.62,13.35,7.93,4.2,0.73,21.67,66.49,116.47,2.96,9.66,2.24,10.99,5.21,48.51,406.81,274.85,2.31,0.0,28-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
28-Mar-2019 - 00:00,16.97,30.72,53.93,17.67,6.19,0.95,16.15,86.85,164.67,3.65,11.33,2.23,12.49,5.68,48.5,446.21,235.66,1.82,0.0,29-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
29-Mar-2019 - 00:00,21.56,25.71,55.29,22.43,7.48,1.03,23.15,98.76,174.54,4.54,13.08,2.33,15.61,7.16,52.39,418.51,196.41,1.85,0.0,30-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
30-Mar-2019 - 00:00,22.02,28.08,43.87,16.96,5.79,0.93,15.58,82.64,181.93,4.32,11.94,2.36,14.07,6.42,52.4,389.83,203.42,1.94,0.0,31-Mar-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
31-Mar-2019 - 00:00,25.15,16.03,2.84,15.45,4.32,0.52,15.4,51.32,114.43,3.19,9.31,2.26,15.1,6.94,42.43,518.86,299.24,3.08,0.0,01-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
01-Apr-2019 - 00:00,24.98,15.6,2.28,13.4,3.27,0.49,13.96,45.39,106.74,2.14,8.79,2.11,11.82,5.62,41.31,500.35,298.67,3.01,0.0,02-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Apr-2019 - 00:00,27.42,31.04,16.92,5.54,4.96,0.65,13.72,63.98,114.98,2.5,9.93,2.19,11.8,5.67,41.41,458.58,259.52,1.96,0.0,03-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Apr-2019 - 00:00,26.97,24.75,9.67,5.31,5.68,0.87,13.55,77.76,137.93,2.81,11.18,2.37,10.95,5.28,40.39,479.17,222.51,2.16,0.0,04-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Apr-2019 - 00:00,36.73,54.27,34.25,10.01,7.03,1.26,18.6,100.29,198.01,4.46,13.4,2.98,17.91,9.36,38.68,411.01,179.59,1.94,0.0,05-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Apr-2019 - 00:00,39.4,57.75,35.28,9.68,6.35,1.17,18.38,113.78,216.3,5.6,14.98,2.65,14.28,6.74,42.49,415.8,237.07,1.79,0.0,06-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Apr-2019 - 00:00,32.08,34.99,15.97,12.25,7.76,0.86,14.37,92.85,214.78,5.42,12.65,2.63,14.19,6.5,35.85,421.43,171.59,2.08,0.0,07-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Apr-2019 - 00:00,30.07,25.77,7.14,10.09,6.2,1.03,25.08,146.91,293.58,5.69,12.89,2.51,13.89,6.52,55.01,274.3,151.87,2.76,0.0,08-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Apr-2019 - 00:00,31.43,28.18,8.97,9.78,3.52,0.64,17.06,76.18,193.69,3.92,8.77,2.31,12.62,6.06,50.62,395.74,118.47,2.35,0.0,09-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Apr-2019 - 00:00,36.31,51.82,32.1,9.97,4.54,1.06,17.22,92.49,175.47,6.38,13.93,2.33,15.32,7.11,44.69,411.13,131.08,1.68,0.0,10-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Apr-2019 - 00:00,29.32,35.77,20.23,10.41,4.88,0.87,14.99,94.99,168.22,7.21,12.22,2.58,14.67,6.75,38.63,413.65,235.65,2.08,0.0,11-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
11-Apr-2019 - 00:00,28.64,24.98,13.84,20.67,6.86,0.59,16.35,55.68,132.94,3.04,8.24,2.75,8.43,3.95,34.53,430.71,257.46,2.22,0.0,12-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Apr-2019 - 00:00,28.62,12.65,5.98,34.12,5.34,0.46,23.72,53.64,141.67,2.35,7.55,2.45,7.73,3.65,39.1,397.71,188.32,3.0,0.0,13-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Apr-2019 - 00:00,34.53,15.21,5.5,31.35,6.36,0.53,21.62,53.21,123.51,2.44,7.67,2.33,9.61,4.46,31.36,501.8,191.67,3.21,0.0,14-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Apr-2019 - 00:00,30.44,10.47,2.52,33.13,4.37,0.41,20.03,44.35,109.42,2.72,8.2,2.5,13.11,6.25,35.75,433.03,290.75,2.98,0.0,15-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Apr-2019 - 00:00,38.58,22.9,12.4,30.15,4.47,0.59,17.54,51.24,139.08,2.01,7.31,2.47,9.83,4.69,33.03,429.07,288.58,2.42,0.0,16-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
16-Apr-2019 - 00:00,33.63,13.46,3.74,31.18,2.51,0.41,27.66,44.09,99.74,2.32,7.14,2.49,10.19,4.92,57.04,195.29,167.77,4.67,0.0,17-Apr-2019 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
