from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,to date,station
22-Jan-2019 - 00:00,82.59,65.45,10.29,25.32,34.96,0.49,,20.61,0.57,23-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
23-Jan-2019 - 00:00,165.75,104.22,17.6,24.45,42.06,0.7,,21.22,0.0,24-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
24-Jan-2019 - 00:00,157.35,91.13,15.42,24.8,40.22,0.71,,21.78,0.0,25-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
25-Jan-2019 - 00:00,99.08,59.64,5.98,25.88,31.86,0.42,0.0,24.46,0.11,26-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
26-Jan-2019 - 00:00,130.43,72.08,7.29,24.79,32.08,0.42,,28.07,0.0,27-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
27-Jan-2019 - 00:00,142.06,69.35,5.04,24.87,29.92,0.36,,20.05,0.0,28-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
28-Jan-2019 - 00:00,138.29,75.26,7.46,14.19,19.45,0.33,,37.51,0.62,29-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
29-Jan-2019 - 00:00,146.27,83.41,15.29,15.51,25.92,0.36,,31.29,0.87,30-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
30-Jan-2019 - 00:00,209.04,121.77,10.59,27.04,37.63,0.46,,30.31,0.67,31-Jan-2019 - 00:00,"Aya Nagar, Delhi - IMD"
31-Jan-2019 - 00:00,213.83,119.53,10.09,33.75,43.84,0.68,,28.55,0.0,01-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
01-Feb-2019 - 00:00,181.67,125.83,8.52,26.79,35.31,0.53,0.0,29.9,0.28,02-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
02-Feb-2019 - 00:00,188.23,166.05,7.41,23.66,31.07,0.5,,29.19,1.7,03-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
03-Feb-2019 - 00:00,154.38,95.57,9.31,23.2,32.51,0.53,,27.48,3.9,04-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
04-Feb-2019 - 00:00,153.61,91.33,10.22,29.49,39.71,0.6,0.0,31.26,1.95,05-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
05-Feb-2019 - 00:00,265.71,157.56,17.5,39.09,56.58,0.65,,29.34,1.0,06-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
06-Feb-2019 - 00:00,163.31,110.0,10.29,27.91,38.21,0.47,,29.03,1.63,07-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
07-Feb-2019 - 00:00,93.86,52.78,10.12,23.76,33.88,0.3,,27.88,2.73,08-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
08-Feb-2019 - 00:00,118.58,50.53,12.22,22.19,34.41,0.23,,32.36,1.92,09-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
09-Feb-2019 - 00:00,118.73,61.72,21.6,19.53,41.13,0.26,,34.78,0.53,10-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
10-Feb-2019 - 00:00,138.66,93.05,22.54,24.86,47.4,0.38,,33.03,0.33,11-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
11-Feb-2019 - 00:00,177.96,100.16,19.75,34.9,54.65,0.47,,33.86,1.87,12-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
12-Feb-2019 - 00:00,298.09,144.39,22.68,35.79,58.46,0.57,,37.22,0.46,13-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
13-Feb-2019 - 00:00,297.6,165.43,18.32,39.54,57.86,0.62,0.0,34.42,0.53,14-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
14-Feb-2019 - 00:00,176.97,93.91,22.05,26.43,48.48,0.42,,35.2,0.0,15-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
15-Feb-2019 - 00:00,137.33,69.7,19.51,24.11,43.62,0.33,,32.12,0.0,16-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
16-Feb-2019 - 00:00,130.57,61.11,18.07,20.29,38.36,0.29,,33.32,1.2,17-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
17-Feb-2019 - 00:00,103.28,43.17,19.06,18.63,37.69,0.28,,33.19,0.76,18-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
18-Feb-2019 - 00:00,,,,,,,,,,19-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
19-Feb-2019 - 00:00,227.05,93.78,18.41,32.25,50.67,0.42,,39.28,0.34,20-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
20-Feb-2019 - 00:00,142.82,60.38,18.1,29.65,47.75,0.49,,31.8,0.3,21-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
21-Feb-2019 - 00:00,138.61,46.83,19.26,26.97,46.23,0.29,,33.58,0.31,22-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
22-Feb-2019 - 00:00,96.54,38.9,19.3,23.17,42.47,0.28,,35.28,0.15,23-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
23-Feb-2019 - 00:00,73.58,33.29,19.32,18.14,37.46,0.19,,40.03,0.0,24-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
24-Feb-2019 - 00:00,106.92,51.62,19.23,19.23,38.46,0.22,,40.13,1.43,25-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
25-Feb-2019 - 00:00,111.85,50.77,16.75,25.56,42.31,0.22,,40.9,0.97,26-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
26-Feb-2019 - 00:00,91.11,36.36,12.04,30.09,42.12,0.21,,36.97,0.04,27-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
27-Feb-2019 - 00:00,70.93,30.21,12.49,27.91,40.4,0.18,,37.01,0.03,28-Feb-2019 - 00:00,"Aya Nagar, Delhi - IMD"
28-Feb-2019 - 00:00,117.1,52.42,15.44,30.78,46.22,0.24,,36.77,0.03,01-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
01-Mar-2019 - 00:00,129.37,63.08,14.4,31.06,45.46,0.22,,37.83,0.03,02-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
02-Mar-2019 - 00:00,105.8,60.87,15.4,36.0,51.6,0.31,,30.25,0.01,03-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
03-Mar-2019 - 00:00,79.91,41.97,11.28,29.09,40.37,0.27,,34.27,0.0,04-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
04-Mar-2019 - 00:00,127.42,59.55,14.48,35.33,49.81,0.44,,35.81,0.0,05-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
05-Mar-2019 - 00:00,98.89,47.11,13.5,27.26,40.76,0.24,,33.92,0.0,06-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
06-Mar-2019 - 00:00,104.63,41.9,13.24,28.81,42.05,0.22,,38.66,0.0,07-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
07-Mar-2019 - 00:00,150.63,62.96,11.71,34.65,46.36,0.31,,39.33,0.0,08-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
08-Mar-2019 - 00:00,127.63,56.01,15.57,30.78,46.35,0.24,,39.95,0.0,09-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
09-Mar-2019 - 00:00,125.94,51.4,11.73,27.36,39.09,0.18,0.0,36.86,0.0,10-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
10-Mar-2019 - 00:00,121.9,47.84,14.04,27.83,41.87,0.19,,40.21,0.0,11-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
11-Mar-2019 - 00:00,157.34,54.71,12.68,29.85,42.53,0.29,,43.08,0.0,12-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
12-Mar-2019 - 00:00,122.26,47.19,13.73,27.93,41.66,0.2,,42.09,0.0,13-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
13-Mar-2019 - 00:00,187.12,56.67,13.59,29.45,43.04,0.23,,32.94,0.0,14-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
14-Mar-2019 - 00:00,175.42,72.95,12.49,31.73,44.22,0.39,,32.81,0.0,15-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
15-Mar-2019 - 00:00,114.48,47.98,10.6,26.6,37.2,0.25,,36.91,0.0,16-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
16-Mar-2019 - 00:00,111.34,49.4,11.14,23.82,34.96,0.19,,41.8,0.0,17-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
17-Mar-2019 - 00:00,117.24,51.49,11.87,24.23,36.1,0.23,,42.73,0.0,18-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
18-Mar-2019 - 00:00,121.74,59.57,9.94,21.74,31.68,0.44,8.48,42.51,0.0,19-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
19-Mar-2019 - 00:00,147.17,68.74,1.06,25.26,26.32,0.49,,33.07,0.0,20-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
20-Mar-2019 - 00:00,174.46,60.82,17.92,21.0,32.67,0.37,29.55,34.06,0.0,21-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
21-Mar-2019 - 00:00,198.41,97.5,3.12,14.99,13.38,0.72,,47.84,0.0,22-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
22-Mar-2019 - 00:00,82.78,27.65,6.12,11.8,13.35,0.31,,44.84,0.0,23-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
23-Mar-2019 - 00:00,96.13,32.05,5.1,15.21,20.3,0.32,,44.21,0.0,24-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
24-Mar-2019 - 00:00,102.57,33.13,4.88,15.63,20.51,0.33,,36.0,0.0,25-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
25-Mar-2019 - 00:00,116.29,42.36,5.33,14.93,20.27,0.36,,34.47,0.0,26-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
26-Mar-2019 - 00:00,119.11,50.29,4.66,15.05,19.71,0.49,,36.94,0.0,27-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
27-Mar-2019 - 00:00,121.12,45.64,4.72,16.83,21.55,0.5,,37.69,0.0,28-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
28-Mar-2019 - 00:00,170.89,58.68,6.0,21.21,27.21,0.6,,38.94,0.0,29-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
29-Mar-2019 - 00:00,200.44,69.15,9.16,23.78,32.94,0.73,,38.78,0.0,30-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
30-Mar-2019 - 00:00,171.36,69.45,6.36,20.31,26.67,0.65,,41.46,0.03,31-Mar-2019 - 00:00,"Aya Nagar, Delhi - IMD"
31-Mar-2019 - 00:00,132.71,39.52,3.83,14.21,18.03,0.51,,39.88,0.0,01-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
01-Apr-2019 - 00:00,109.22,30.48,3.34,13.06,16.4,0.45,,44.32,0.0,02-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
02-Apr-2019 - 00:00,181.01,67.98,3.44,15.5,18.94,0.46,,44.55,1.09,03-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
03-Apr-2019 - 00:00,155.55,70.08,2.96,15.94,18.9,0.5,,41.88,1.42,04-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
04-Apr-2019 - 00:00,208.05,74.62,4.09,18.47,22.56,0.61,,45.58,1.49,05-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
05-Apr-2019 - 00:00,240.97,74.99,4.51,20.1,24.62,0.69,,48.58,0.0,06-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
06-Apr-2019 - 00:00,240.15,59.19,11.2,18.87,30.07,0.41,,44.38,0.4,07-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
07-Apr-2019 - 00:00,282.29,82.45,3.4,14.18,17.58,0.51,,43.41,0.0,08-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
08-Apr-2019 - 00:00,205.49,42.95,2.03,11.93,13.96,0.3,,43.12,0.0,09-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
09-Apr-2019 - 00:00,155.9,62.47,1.97,12.43,14.4,0.36,,48.9,0.0,10-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
10-Apr-2019 - 00:00,198.52,70.85,8.8,19.11,27.92,0.62,,46.79,0.0,11-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
11-Apr-2019 - 00:00,142.02,51.87,14.36,18.29,32.65,0.36,,43.59,0.0,12-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
12-Apr-2019 - 00:00,150.85,36.27,5.74,12.65,18.39,0.32,,45.4,0.0,13-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
13-Apr-2019 - 00:00,110.41,39.86,7.45,13.47,20.92,0.29,,41.81,0.78,14-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
14-Apr-2019 - 00:00,124.18,39.1,5.74,11.27,17.01,0.25,,39.22,2.49,15-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
15-Apr-2019 - 00:00,131.69,50.09,23.12,18.32,41.44,0.25,,40.14,2.69,16-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
16-Apr-2019 - 00:00,120.78,26.55,6.49,9.14,15.63,0.25,,39.98,1.88,17-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
17-Apr-2019 - 00:00,32.71,17.05,4.17,5.43,9.6,0.18,,37.96,1.28,18-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
18-Apr-2019 - 00:00,60.83,26.76,3.83,5.52,9.35,0.21,,40.91,2.43,19-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
19-Apr-2019 - 00:00,110.45,54.19,4.35,5.95,10.3,0.27,,40.3,3.66,20-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
20-Apr-2019 - 00:00,96.2,46.31,4.52,6.21,10.73,0.28,,46.02,3.18,21-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
21-Apr-2019 - 00:00,171.45,75.35,4.39,9.56,13.95,0.44,,25.06,7.27,22-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
22-Apr-2019 - 00:00,,,,,,,,,,23-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
23-Apr-2019 - 00:00,,,,,,,,,,24-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
24-Apr-2019 - 00:00,182.82,44.4,4.01,7.5,11.51,0.95,,29.83,1.68,25-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
25-Apr-2019 - 00:00,186.53,56.73,2.68,4.67,7.36,1.09,,48.97,1.03,26-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
26-Apr-2019 - 00:00,168.32,58.77,6.91,7.41,14.32,1.02,,40.24,1.54,27-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
27-Apr-2019 - 00:00,188.89,56.15,15.75,9.62,23.33,0.84,0.0,42.0,0.59,28-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
28-Apr-2019 - 00:00,,,,,,,,,,29-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
29-Apr-2019 - 00:00,166.09,47.95,6.64,5.13,11.77,0.75,1.08,43.38,0.92,30-Apr-2019 - 00:00,"Aya Nagar, Delhi - IMD"
30-Apr-2019 - 00:00,188.8,61.12,3.91,6.11,10.02,0.98,,40.1,0.98,01-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
01-May-2019 - 00:00,237.56,82.41,4.12,5.91,10.04,1.02,,56.27,1.25,02-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
02-May-2019 - 00:00,181.57,84.19,4.43,5.24,9.67,0.93,,47.18,1.02,03-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
03-May-2019 - 00:00,102.37,38.28,2.44,4.16,6.6,0.77,,47.82,0.68,04-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
04-May-2019 - 00:00,149.95,54.02,3.94,5.37,9.31,0.83,,45.81,0.9,05-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
05-May-2019 - 00:00,146.43,77.7,2.63,4.17,6.79,0.83,,44.5,1.57,06-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
06-May-2019 - 00:00,141.57,73.58,2.49,4.83,7.32,0.9,,41.64,1.05,07-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
07-May-2019 - 00:00,236.83,72.87,3.03,5.42,8.43,0.91,,31.66,1.41,08-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
08-May-2019 - 00:00,262.8,77.96,5.05,6.5,11.55,0.96,,31.93,1.15,09-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
09-May-2019 - 00:00,289.98,74.87,4.98,5.36,10.34,0.84,,36.2,1.08,10-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
10-May-2019 - 00:00,191.81,42.58,4.99,3.91,8.88,0.72,,40.91,0.78,11-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
11-May-2019 - 00:00,228.78,72.62,1.97,3.07,5.04,0.8,,46.03,1.03,12-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
12-May-2019 - 00:00,360.78,115.51,1.31,2.66,3.93,0.85,,46.66,1.34,13-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
13-May-2019 - 00:00,240.86,104.19,2.73,3.66,6.38,0.96,,51.32,1.62,14-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
14-May-2019 - 00:00,95.0,31.38,1.43,2.56,3.89,0.75,,47.56,0.34,15-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
15-May-2019 - 00:00,139.98,49.06,0.97,3.66,4.55,0.96,,35.83,0.74,16-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
16-May-2019 - 00:00,183.96,39.38,8.92,13.03,20.05,0.8,,42.28,1.28,17-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
17-May-2019 - 00:00,201.32,37.27,6.33,19.25,25.57,0.72,,39.02,0.57,18-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
18-May-2019 - 00:00,79.9,29.12,8.24,16.86,25.1,0.64,,42.57,0.44,19-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
19-May-2019 - 00:00,111.08,50.89,9.02,14.66,23.67,0.67,,55.27,0.73,20-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
20-May-2019 - 00:00,145.31,56.32,9.16,19.07,28.24,0.73,,49.87,1.19,21-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
21-May-2019 - 00:00,132.62,49.09,5.79,19.5,25.29,0.7,,49.15,0.75,22-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
22-May-2019 - 00:00,138.73,34.73,6.87,20.09,26.95,0.78,,39.06,0.64,23-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
23-May-2019 - 00:00,167.75,64.52,13.32,21.52,34.84,0.78,,47.29,1.01,24-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
24-May-2019 - 00:00,84.64,33.39,11.01,19.68,30.69,0.69,,36.0,0.95,25-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
25-May-2019 - 00:00,88.9,34.77,10.52,17.03,27.55,0.59,,48.01,0.65,26-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
26-May-2019 - 00:00,114.98,48.21,9.69,17.73,27.42,0.64,,52.07,0.8,27-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
27-May-2019 - 00:00,147.86,68.31,29.88,25.66,55.54,0.61,,46.07,1.28,28-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
28-May-2019 - 00:00,130.7,138.77,166.96,62.51,192.67,0.37,,43.68,0.43,29-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
29-May-2019 - 00:00,100.69,35.91,15.79,32.63,48.43,0.62,,47.61,1.13,30-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
30-May-2019 - 00:00,158.46,64.11,35.69,36.0,71.68,0.79,,42.76,1.23,31-May-2019 - 00:00,"Aya Nagar, Delhi - IMD"
31-May-2019 - 00:00,243.48,45.64,35.4,31.63,67.03,0.69,,45.37,0.65,01-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
01-Jun-2019 - 00:00,209.36,60.63,21.69,30.13,51.82,0.76,,53.29,0.99,02-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
02-Jun-2019 - 00:00,205.89,77.78,13.35,25.58,38.93,0.75,,53.36,1.09,03-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
03-Jun-2019 - 00:00,242.13,55.85,9.98,24.61,34.59,0.77,,52.8,0.87,04-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
04-Jun-2019 - 00:00,152.18,56.16,9.5,25.14,34.64,0.76,,56.67,0.78,05-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
05-Jun-2019 - 00:00,198.75,60.0,6.88,25.78,32.62,0.89,,55.06,0.84,06-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
06-Jun-2019 - 00:00,197.9,48.38,10.68,25.8,36.48,0.88,,53.63,0.65,07-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
07-Jun-2019 - 00:00,154.36,19.38,12.0,24.88,36.86,0.92,,61.76,0.67,08-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
08-Jun-2019 - 00:00,145.51,80.02,12.8,26.61,39.39,0.95,,56.73,0.91,09-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
09-Jun-2019 - 00:00,206.01,93.11,22.06,29.57,51.47,1.23,,55.27,1.11,10-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
10-Jun-2019 - 00:00,165.7,55.86,16.37,28.16,44.53,1.08,,51.29,0.77,11-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
11-Jun-2019 - 00:00,435.31,66.52,14.14,26.92,41.07,0.98,,37.45,0.62,12-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
12-Jun-2019 - 00:00,239.62,43.37,15.01,24.64,39.64,0.87,,46.84,0.53,13-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
13-Jun-2019 - 00:00,162.87,36.5,10.36,27.86,38.22,0.87,,44.07,0.0,14-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
14-Jun-2019 - 00:00,158.28,32.82,11.77,25.77,37.1,0.84,,52.41,0.0,15-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
15-Jun-2019 - 00:00,227.5,56.52,10.93,28.97,39.89,0.87,,47.81,0.33,16-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
16-Jun-2019 - 00:00,127.64,18.49,11.01,23.93,32.89,0.77,,36.69,0.31,17-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
17-Jun-2019 - 00:00,143.2,28.47,22.87,25.91,31.5,0.79,,32.84,1.09,18-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
18-Jun-2019 - 00:00,78.48,25.56,12.21,19.2,25.9,0.8,,36.96,0.47,19-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
19-Jun-2019 - 00:00,165.56,52.21,18.15,26.43,44.59,1.0,,69.26,0.77,20-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
20-Jun-2019 - 00:00,113.61,70.86,16.44,23.28,39.72,0.86,,74.4,0.85,21-Jun-2019 - 00:00,"Aya Nagar, Delhi - IMD"
